,start_time,premium,premium_rate,time
0,1704067200000,5.0,0.0118,1704067200
1,1704070800000,-21.4,-0.0504,1704070800
2,1704074400000,-18.99,-0.0446,1704074400
3,1704078000000,-9.77,-0.0229,1704078000
4,1704081600000,-5.4,-0.0128,1704081600
5,1704085200000,-10.2,-0.0241,1704085200
6,1704088800000,-2.54,-0.006,1704088800
7,1704092400000,4.21,0.0099,1704092400
8,1704096000000,4.12,0.0097,1704096000
9,1704099600000,2.7,0.0063,1704099600
10,1704103200000,1.28,0.003,1704103200
11,1704106800000,-4.37,-0.0102,1704106800
12,1704110400000,-0.21,-0.0005,1704110400
13,1704114000000,-0.52,-0.0012,1704114000
14,1704117600000,1.99,0.0047,1704117600
15,1704121200000,21.33,0.0501,1704121200
16,1704124800000,16.32,0.0381,1704124800
17,1704128400000,13.73,0.0321,1704128400
18,1704132000000,22.92,0.0535,1704132000
19,1704135600000,12.72,0.0295,1704135600
20,1704139200000,19.06,0.0438,1704139200
21,1704142800000,15.21,0.0348,1704142800
22,1704146400000,12.57,0.0288,1704146400
23,1704150000000,16.05,0.0369,1704150000
24,1704153600000,41.23,0.0933,1704153600
25,1704157200000,37.14,0.0824,1704157200
26,1704160800000,35.45,0.079,1704160800
27,1704164400000,106.36,0.2344,1704164400
28,1704168000000,73.89,0.1627,1704168000
29,1704171600000,39.04,0.0864,1704171600
30,1704175200000,34.93,0.0773,1704175200
31,1704178800000,40.73,0.0902,1704178800
32,1704182400000,48.88,0.1075,1704182400
33,1704186000000,51.98,0.1136,1704186000
34,1704189600000,35.99,0.0788,1704189600
35,1704193200000,36.04,0.0791,1704193200
36,1704196800000,54.91,0.1209,1704196800
37,1704200400000,37.29,0.0823,1704200400
38,1704204000000,53.04,0.1162,1704204000
39,1704207600000,46.39,0.1025,1704207600
40,1704211200000,51.02,0.1129,1704211200
41,1704214800000,37.64,0.083,1704214800
42,1704218400000,28.85,0.0642,1704218400
43,1704222000000,17.54,0.0388,1704222000
44,1704225600000,12.69,0.0282,1704225600
45,1704229200000,11.06,0.0247,1704229200
46,1704232800000,8.8,0.0195,1704232800
47,1704236400000,18.65,0.0415,1704236400
48,1704240000000,25.9,0.0576,1704240000
49,1704243600000,20.89,0.0463,1704243600
50,1704247200000,23.54,0.0519,1704247200
51,1704250800000,28.43,0.0628,1704250800
52,1704254400000,26.38,0.0583,1704254400
53,1704258000000,16.36,0.0362,1704258000
54,1704261600000,12.06,0.0267,1704261600
55,1704265200000,21.6,0.0477,1704265200
56,1704268800000,15.66,0.0348,1704268800
57,1704272400000,21.54,0.0477,1704272400
58,1704276000000,14.06,0.031,1704276000
59,1704279600000,11.67,0.0258,1704279600
60,1704283200000,48.26,0.1104,1704283200
61,1704286800000,37.23,0.087,1704286800
62,1704290400000,40.69,0.0957,1704290400
63,1704294000000,19.85,0.0471,1704294000
64,1704297600000,22.17,0.0516,1704297600
65,1704301200000,33.02,0.0768,1704301200
66,1704304800000,20.82,0.0485,1704304800
67,1704308400000,13.05,0.0309,1704308400
68,1704312000000,15.65,0.0367,1704312000
69,1704315600000,21.67,0.0507,1704315600
70,1704319200000,28.79,0.0671,1704319200
71,1704322800000,14.43,0.0338,1704322800
72,1704326400000,15.35,0.0358,1704326400
73,1704330000000,25.26,0.0589,1704330000
74,1704333600000,27.33,0.064,1704333600
75,1704337200000,29.73,0.0689,1704337200
76,1704340800000,37.47,0.0869,1704340800
77,1704344400000,33.45,0.0775,1704344400
78,1704348000000,35.17,0.0814,1704348000
79,1704351600000,35.17,0.0815,1704351600
80,1704355200000,38.37,0.0897,1704355200
81,1704358800000,30.98,0.0723,1704358800
82,1704362400000,41.23,0.0959,1704362400
83,1704366000000,44.64,0.1036,1704366000
84,1704369600000,49.73,0.1152,1704369600
85,1704373200000,48.92,0.1128,1704373200
86,1704376800000,46.13,0.1064,1704376800
87,1704380400000,32.77,0.075,1704380400
88,1704384000000,44.53,0.1011,1704384000
89,1704387600000,47.92,0.1091,1704387600
90,1704391200000,62.53,0.1421,1704391200
91,1704394800000,52.04,0.1181,1704394800
92,1704398400000,50.28,0.1144,1704398400
93,1704402000000,49.37,0.1119,1704402000
94,1704405600000,61.94,0.1394,1704405600
95,1704409200000,56.04,0.1264,1704409200
96,1704412800000,47.25,0.107,1704412800
97,1704416400000,53.95,0.122,1704416400
98,1704420000000,57.02,0.1315,1704420000
99,1704423600000,46.1,0.106,1704423600
100,1704427200000,43.94,0.1011,1704427200
101,1704430800000,37.36,0.0857,1704430800
102,1704434400000,24.56,0.0563,1704434400
103,1704438000000,35.33,0.0806,1704438000
104,1704441600000,35.15,0.0803,1704441600
105,1704445200000,38.3,0.0872,1704445200
106,1704448800000,34.45,0.078,1704448800
107,1704452400000,32.52,0.0745,1704452400
108,1704456000000,36.24,0.0828,1704456000
109,1704459600000,35.94,0.0819,1704459600
110,1704463200000,39.01,0.0887,1704463200
111,1704466800000,35.45,0.0815,1704466800
112,1704470400000,25.43,0.0585,1704470400
113,1704474000000,33.62,0.0778,1704474000
114,1704477600000,33.03,0.0757,1704477600
115,1704481200000,33.64,0.0771,1704481200
116,1704484800000,24.5,0.0562,1704484800
117,1704488400000,39.21,0.0892,1704488400
118,1704492000000,26.14,0.0595,1704492000
119,1704495600000,42.18,0.0959,1704495600
120,1704499200000,42.64,0.0966,1704499200
121,1704502800000,42.79,0.0971,1704502800
122,1704506400000,42.65,0.097,1704506400
123,1704510000000,36.79,0.0838,1704510000
124,1704513600000,42.22,0.0961,1704513600
125,1704517200000,41.87,0.0955,1704517200
126,1704520800000,40.64,0.093,1704520800
127,1704524400000,39.78,0.0915,1704524400
128,1704528000000,43.27,0.0991,1704528000
129,1704531600000,40.9,0.0936,1704531600
130,1704535200000,33.17,0.076,1704535200
131,1704538800000,30.65,0.0701,1704538800
132,1704542400000,33.18,0.076,1704542400
133,1704546000000,37.24,0.0854,1704546000
134,1704549600000,31.65,0.0724,1704549600
135,1704553200000,31.97,0.0729,1704553200
136,1704556800000,34.47,0.0786,1704556800
137,1704560400000,28.32,0.0646,1704560400
138,1704564000000,36.28,0.0825,1704564000
139,1704567600000,35.75,0.0813,1704567600
140,1704571200000,33.95,0.0773,1704571200
141,1704574800000,33.55,0.0766,1704574800
142,1704578400000,29.96,0.0683,1704578400
143,1704582000000,28.65,0.0653,1704582000
144,1704585600000,24.47,0.0557,1704585600
145,1704589200000,24.1,0.0546,1704589200
146,1704592800000,28.57,0.065,1704592800
147,1704596400000,29.39,0.0669,1704596400
148,1704600000000,30.69,0.0698,1704600000
149,1704603600000,25.31,0.0575,1704603600
150,1704607200000,28.02,0.0638,1704607200
151,1704610800000,31.21,0.0709,1704610800
152,1704614400000,35.58,0.0807,1704614400
153,1704618000000,28.39,0.0645,1704618000
154,1704621600000,25.1,0.0571,1704621600
155,1704625200000,27.5,0.0626,1704625200
156,1704628800000,31.08,0.0705,1704628800
157,1704632400000,32.66,0.0741,1704632400
158,1704636000000,16.14,0.0363,1704636000
159,1704639600000,32.31,0.0728,1704639600
160,1704643200000,31.2,0.0708,1704643200
161,1704646800000,29.75,0.0677,1704646800
162,1704650400000,25.71,0.0583,1704650400
163,1704654000000,23.9,0.0542,1704654000
164,1704657600000,28.67,0.0648,1704657600
165,1704661200000,30.99,0.0702,1704661200
166,1704664800000,25.66,0.058,1704664800
167,1704668400000,30.45,0.0694,1704668400
168,1704672000000,25.51,0.0581,1704672000
169,1704675600000,27.42,0.0628,1704675600
170,1704679200000,28.43,0.065,1704679200
171,1704682800000,26.0,0.0599,1704682800
172,1704686400000,24.72,0.0568,1704686400
173,1704690000000,19.21,0.0441,1704690000
174,1704693600000,20.68,0.0474,1704693600
175,1704697200000,9.83,0.0224,1704697200
176,1704700800000,19.94,0.0453,1704700800
177,1704704400000,17.89,0.0408,1704704400
178,1704708000000,25.05,0.0573,1704708000
179,1704711600000,16.98,0.0385,1704711600
180,1704715200000,20.58,0.0461,1704715200
181,1704718800000,56.8,0.1259,1704718800
182,1704722400000,49.86,0.111,1704722400
183,1704726000000,38.53,0.086,1704726000
184,1704729600000,35.94,0.0799,1704729600
185,1704733200000,40.95,0.0911,1704733200
186,1704736800000,58.25,0.1276,1704736800
187,1704740400000,62.26,0.1326,1704740400
188,1704744000000,48.54,0.1033,1704744000
189,1704747600000,45.17,0.0966,1704747600
190,1704751200000,45.97,0.0977,1704751200
191,1704754800000,44.02,0.0937,1704754800
192,1704758400000,44.05,0.0938,1704758400
193,1704762000000,36.68,0.0786,1704762000
194,1704765600000,29.74,0.0639,1704765600
195,1704769200000,34.31,0.0733,1704769200
196,1704772800000,38.86,0.0828,1704772800
197,1704776400000,29.69,0.0634,1704776400
198,1704780000000,32.43,0.0694,1704780000
199,1704783600000,24.93,0.0533,1704783600
200,1704787200000,25.44,0.0543,1704787200
201,1704790800000,27.76,0.0596,1704790800
202,1704794400000,18.99,0.0408,1704794400
203,1704798000000,22.48,0.0484,1704798000
204,1704801600000,27.78,0.0596,1704801600
205,1704805200000,27.42,0.0594,1704805200
206,1704808800000,20.53,0.0438,1704808800
207,1704812400000,-0.28,-0.0006,1704812400
208,1704816000000,7.16,0.0153,1704816000
209,1704819600000,17.25,0.0368,1704819600
210,1704823200000,24.84,0.0532,1704823200
211,1704826800000,18.21,0.039,1704826800
212,1704830400000,12.27,0.0262,1704830400
213,1704834000000,6.86,0.0147,1704834000
214,1704837600000,-19.34,-0.0426,1704837600
215,1704841200000,18.94,0.0409,1704841200
216,1704844800000,10.79,0.0234,1704844800
217,1704848400000,5.79,0.0126,1704848400
218,1704852000000,7.34,0.016,1704852000
219,1704855600000,23.02,0.0501,1704855600
220,1704859200000,13.47,0.0292,1704859200
221,1704862800000,20.77,0.0452,1704862800
222,1704866400000,5.96,0.013,1704866400
223,1704870000000,20.56,0.0447,1704870000
224,1704873600000,10.45,0.0228,1704873600
225,1704877200000,10.18,0.0225,1704877200
226,1704880800000,10.92,0.0239,1704880800
227,1704884400000,20.65,0.0454,1704884400
228,1704888000000,13.75,0.0302,1704888000
229,1704891600000,17.18,0.0385,1704891600
230,1704895200000,3.4,0.0075,1704895200
231,1704898800000,-17.22,-0.0384,1704898800
232,1704902400000,16.92,0.0371,1704902400
233,1704906000000,6.78,0.015,1704906000
234,1704909600000,21.25,0.0458,1704909600
235,1704913200000,27.45,0.059,1704913200
236,1704916800000,25.26,0.0543,1704916800
237,1704920400000,17.91,0.0388,1704920400
238,1704924000000,8.81,0.0192,1704924000
239,1704927600000,25.64,0.0547,1704927600
240,1704931200000,24.54,0.0526,1704931200
241,1704934800000,23.6,0.0506,1704934800
242,1704938400000,18.94,0.0407,1704938400
243,1704942000000,12.95,0.0278,1704942000
244,1704945600000,11.5,0.0247,1704945600
245,1704949200000,13.21,0.0285,1704949200
246,1704952800000,9.25,0.0201,1704952800
247,1704956400000,5.5,0.012,1704956400
248,1704960000000,1.33,0.0029,1704960000
249,1704963600000,4.32,0.0093,1704963600
250,1704967200000,1.28,0.0028,1704967200
251,1704970800000,7.63,0.0163,1704970800
252,1704974400000,16.79,0.0357,1704974400
253,1704978000000,19.28,0.0406,1704978000
254,1704981600000,36.85,0.0779,1704981600
255,1704985200000,73.05,0.1504,1704985200
256,1704988800000,-80.84,-0.1728,1704988800
257,1704992400000,-69.37,-0.1508,1704992400
258,1704996000000,-21.88,-0.0471,1704996000
259,1704999600000,5.51,0.0118,1704999600
260,1705003200000,9.8,0.021,1705003200
261,1705006800000,37.01,0.08,1705006800
262,1705010400000,5.53,0.012,1705010400
263,1705014000000,11.78,0.0254,1705014000
264,1705017600000,5.8,0.0125,1705017600
265,1705021200000,0.55,0.0012,1705021200
266,1705024800000,7.74,0.0168,1705024800
267,1705028400000,0.99,0.0021,1705028400
268,1705032000000,6.86,0.0149,1705032000
269,1705035600000,-0.18,-0.0004,1705035600
270,1705039200000,-2.07,-0.0045,1705039200
271,1705042800000,5.79,0.0126,1705042800
272,1705046400000,25.69,0.0558,1705046400
273,1705050000000,19.65,0.0428,1705050000
274,1705053600000,0.83,0.0018,1705053600
275,1705057200000,6.58,0.0143,1705057200
276,1705060800000,-0.45,-0.001,1705060800
277,1705064400000,0.32,0.0007,1705064400
278,1705068000000,0.58,0.0013,1705068000
279,1705071600000,-1.89,-0.0042,1705071600
280,1705075200000,-83.61,-0.188,1705075200
281,1705078800000,-90.47,-0.2074,1705078800
282,1705082400000,-129.58,-0.2958,1705082400
283,1705086000000,-56.32,-0.1296,1705086000
284,1705089600000,-51.91,-0.1194,1705089600
285,1705093200000,-9.99,-0.0229,1705093200
286,1705096800000,-31.5,-0.0725,1705096800
287,1705100400000,-24.76,-0.0582,1705100400
288,1705104000000,-7.64,-0.0179,1705104000
289,1705107600000,-16.9,-0.0395,1705107600
290,1705111200000,-17.87,-0.0419,1705111200
291,1705114800000,-9.34,-0.022,1705114800
292,1705118400000,-9.45,-0.0222,1705118400
293,1705122000000,-11.32,-0.0264,1705122000
294,1705125600000,-9.85,-0.0229,1705125600
295,1705129200000,-4.62,-0.0107,1705129200
296,1705132800000,-3.53,-0.0082,1705132800
297,1705136400000,-5.69,-0.0132,1705136400
298,1705140000000,-6.48,-0.0151,1705140000
299,1705143600000,-8.83,-0.0207,1705143600
300,1705147200000,-13.42,-0.0315,1705147200
301,1705150800000,-8.58,-0.0201,1705150800
302,1705154400000,-7.66,-0.0179,1705154400
303,1705158000000,-9.76,-0.0228,1705158000
304,1705161600000,-11.64,-0.027,1705161600
305,1705165200000,-10.6,-0.0247,1705165200
306,1705168800000,-9.83,-0.0229,1705168800
307,1705172400000,-14.57,-0.034,1705172400
308,1705176000000,-15.24,-0.0356,1705176000
309,1705179600000,-11.38,-0.0265,1705179600
310,1705183200000,-9.89,-0.023,1705183200
311,1705186800000,-9.25,-0.0215,1705186800
312,1705190400000,-8.67,-0.0202,1705190400
313,1705194000000,-9.95,-0.0233,1705194000
