start_time,date,range_0d_1d,range_0d_1d_percent,range_10y_inf,range_10y_inf_percent,range_12m_18m,range_12m_18m_percent,range_18m_2y,range_18m_2y_percent,range_1d_1w,range_1d_1w_percent,range_1m_3m,range_1m_3m_percent,range_1w_1m,range_1w_1m_percent,range_2y_3y,range_2y_3y_percent,range_3m_6m,range_3m_6m_percent,range_3y_5y,range_3y_5y_percent,range_5y_7y,range_5y_7y_percent,range_6m_12m,range_6m_12m_percent,range_7y_10y,range_7y_10y_percent,close,change
2021-01-01,2021-01-01,12024.49997807,78.08936375,0.0,0.0,76.24414789,0.49514383,76.9425408,0.49967933,1543.51001615,10.02384426,445.26326321,2.89162335,551.23275918,3.57980918,57.09956595,0.37081532,124.08341553,0.80582103,38.98744616,0.25319181,3.83502657,0.02490538,452.37122562,2.9377838,4.31446703,0.02801896,29337.16,
2021-01-02,2021-01-02,11682.65770626,63.02694735,0.0,0.0,367.32769545,1.98170176,178.03639178,0.96049123,2892.63918836,15.60554305,862.68874616,4.65413261,1182.22599637,6.37800897,238.93719148,1.28904588,492.39334832,2.65642035,92.488277,0.49896641,0.89367984,0.00482133,544.59327715,2.93803454,1.09112502,0.00588653,32199.91,0.0975810201123763
2021-01-03,2021-01-03,14413.94794322,65.73245648,0.0,0.0,188.80394399,0.86100956,304.21452381,1.38732067,3146.97313918,14.35125725,916.43463964,4.17925056,1850.71004964,8.43986105,350.37102511,1.59780986,345.5797413,1.57595999,68.07773733,0.31045741,0.66080529,0.00301349,341.20592698,1.55601393,1.22573092,0.00558975,33054.53,0.0265410679719291
2021-01-04,2021-01-04,17510.03287252,75.70590312,0.0,0.0,1359.34814814,5.87724078,106.41658287,0.46009985,1867.49163241,8.07423616,841.739806,3.63932339,700.44432359,3.02842208,154.7801733,0.66920336,293.59241285,1.26936819,75.01558359,0.32433534,0.28129425,0.0012162,219.82625194,0.95043482,0.05012368,0.00021671,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,11044.65003025,59.19359477,0.0,0.0,70.03561612,0.37535457,38.33075026,0.20543294,5401.97728581,28.95179599,573.17120435,3.07190032,884.81630354,4.74215639,54.25790202,0.29079421,249.95915551,1.33965141,25.3127451,0.13566318,2.21363381,0.01186393,313.79100667,1.68175702,0.00658124,3.527e-05,33999.52,0.0614543941242049
2021-01-06,2021-01-06,19611.01912316,76.07068646,0.0,0.0,131.72440048,0.51095588,78.86115971,0.3059006,3731.18499703,14.47317971,740.17847799,2.87113508,906.67431352,3.51696855,104.30212447,0.40458551,206.58382666,0.80133385,67.85997697,0.26322727,2.66815896,0.01034973,197.90272501,0.76766006,1.03566128,0.00401731,36823.68,0.083064702089912
2021-01-07,2021-01-07,19428.06952177,66.98743918,0.0,0.0,637.88191204,2.19939895,185.08646223,0.63817293,3437.67607687,11.85301076,1866.17764646,6.43452822,1049.66866079,3.61922812,210.81240057,0.72687525,485.40308207,1.67365622,111.93952497,0.38596434,0.49407749,0.00170357,589.20745879,2.0315708,1000.13911849,3.44845165,39498.92,0.0726499904409336
2021-01-08,2021-01-08,17904.82591114,76.95549463,0.0,0.0,258.44869806,1.11082048,149.43602106,0.64228063,1597.6086076,6.86657113,939.50630292,4.0380271,1193.72842391,5.13068163,267.20255739,1.14844484,347.24775899,1.49248159,180.5456728,0.77599088,0.20169939,0.00086691,427.64731942,1.83804138,0.0695203,0.0002988,40637.23,0.0288187626395861
2021-01-09,2021-01-09,11000.96285765,76.54103647,0.0,0.0,272.46439754,1.89571655,85.76801445,0.59674529,1512.88166578,10.52612687,525.24370499,3.6544708,432.94844783,3.01231114,89.61113083,0.62348441,225.14432579,1.56647925,55.51295698,0.38624067,5.0628602,0.0352257,166.96748565,1.16170417,0.06592551,0.00045869,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,14089.83309443,70.06844758,0.0,0.0,97.35384007,0.48413863,78.64038825,0.39107702,2993.82181285,14.88821375,1082.67535595,5.38412208,953.80939846,4.74327434,153.64543238,0.76407555,238.8626055,1.18785878,171.16557552,0.85120285,0.86361872,0.00429476,247.57819813,1.23120124,0.42095938,0.00209342,38221.67,-0.047697032392832
