start_time,date,stablecoins_ratio,stablecoins_ratio_usd,close,change
2021-01-01,2021-01-01,0.00018524,5.44568933,29337.16,
2021-01-02,2021-01-02,0.00017209,5.52761417,32199.91,0.0975810201123763
2021-01-03,2021-01-03,0.00017357,5.73799457,33054.53,0.0265410679719291
2021-01-04,2021-01-04,0.00016792,5.37420508,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,0.00016437,5.5931951,33999.52,0.0614543941242049
2021-01-06,2021-01-06,0.00015499,5.71032282,36823.68,0.083064702089912
2021-01-07,2021-01-07,0.00016295,6.43125393,39498.92,0.0726499904409336
2021-01-08,2021-01-08,0.00015642,6.34606428,40637.23,0.0288187626395861
2021-01-09,2021-01-09,0.00015235,6.12828205,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,0.00015904,6.07041028,38221.67,-0.047697032392832
2021-01-11,2021-01-11,0.0001592,5.64122323,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,0.00015619,5.32081167,34056.9,-0.038170538905109
2021-01-13,2021-01-13,0.00015765,5.89063037,37421.07,0.0987808637897165
2021-01-14,2021-01-14,0.00015918,6.22544617,39163.31,0.0465577280393103
2021-01-15,2021-01-15,0.00014685,5.3950106,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,0.00013752,4.95134278,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,0.00013656,4.89470446,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,0.00013649,5.00131868,36686.86,0.0227776379202242
2021-01-19,2021-01-19,0.00013641,4.8978781,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,0.00014481,5.13952817,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,0.00015103,4.66168522,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,0.00014372,4.74249924,32986.34,0.0682115299982479
2021-01-23,2021-01-23,0.00013852,4.44708171,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,0.00013089,4.22862916,32275.63,0.0058950062456213
2021-01-25,2021-01-25,0.00013236,4.26951653,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,0.00012895,4.19142982,32474.14,0.0068351890388942
2021-01-27,2021-01-27,0.00011892,3.61731832,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,0.0001305,4.36276881,33399.75,0.0993616413394669
2021-01-29,2021-01-29,0.00012502,4.2841637,34269.35,0.0260361230248729
2021-01-30,2021-01-30,0.00011801,4.04891274,34289.85,0.0005982021835839
2021-01-31,2021-01-31,0.0001172,3.8818236,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,0.00012338,4.13958552,33546.09,0.0126751596394516
2021-02-02,2021-02-02,0.0001242,4.41274203,35504.06,0.0583665637336572
2021-02-03,2021-02-03,6.879e-05,2.59049294,37652.51,0.0605127976913064
2021-02-04,2021-02-04,6.765e-05,2.50115638,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,6.773e-05,2.59445454,38362.65,0.0374752582218156
2021-02-06,2021-02-06,7.042e-05,2.76282204,39249.54,0.0231185801815045
2021-02-07,2021-02-07,6.872e-05,2.66962359,38849.25,-0.0101985908624662
2021-02-08,2021-02-08,7.254e-05,3.36808325,46451.32,0.195681255107885
2021-02-09,2021-02-09,7.057e-05,3.28058284,46492.54,0.0008873805954277
2021-02-10,2021-02-10,7.019e-05,3.14764354,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,6.867e-05,3.29633889,48060.21,0.0715765886287624
2021-02-12,2021-02-12,6.919e-05,3.2776202,47361.03,-0.0145480013508055
2021-02-13,2021-02-13,6.845e-05,3.23181337,47221.62,-0.0029435592933683
2021-02-14,2021-02-14,6.858e-05,3.33538686,48655.21,0.0303587636341149
2021-02-15,2021-02-15,7.02e-05,3.36437692,47981.58,-0.0138449715868043
2021-02-16,2021-02-16,7.133e-05,3.50595087,49197.94,0.0253505616113516
2021-02-17,2021-02-17,7.006e-05,3.65330498,52194.62,0.0609106804065373
2021-02-18,2021-02-18,6.972e-05,3.59547386,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,6.716e-05,3.75553071,56004.1,0.0849365649161075
2021-02-20,2021-02-20,6.687e-05,3.73507886,55917.41,-0.0015479223842539
2021-02-21,2021-02-21,6.613e-05,3.80017096,57487.43,0.0280774806987662
2021-02-22,2021-02-22,6.361e-05,3.44143391,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,6.486e-05,3.17126337,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,6.157e-05,3.06078477,49702.03,0.0157782546494993
2021-02-25,2021-02-25,6.283e-05,2.95929148,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,6.308e-05,2.92055053,46313.13,-0.0164843997700543
2021-02-27,2021-02-27,6.022e-05,2.78080035,46102.63,-0.0045451473480631
2021-02-28,2021-02-28,5.833e-05,2.63904988,45163.36,-0.0203734580868812
