start_time,a_sopr,date,lth_sopr,sopr,sth_sopr,close,change
2021-01-01,1.13783811,2021-01-01,4.04799237,1.04198131,1.09385229,,
2021-01-02,1.20386414,2021-01-02,4.51968848,1.04639026,1.07793307,,
2021-01-03,1.26464915,2021-01-03,4.45111895,1.04415007,1.17717244,,
2021-01-04,1.15587059,2021-01-04,5.30179025,1.04589231,1.0910302,,
2021-01-05,1.17906091,2021-01-05,4.03918817,1.03855678,1.12986461,,
2021-01-06,1.1876384,2021-01-06,4.8089154,1.04491132,1.15063587,,
2021-01-07,1.25833135,2021-01-07,4.71605422,1.05609994,1.19352966,,
2021-01-08,1.2299116,2021-01-08,4.87048432,1.05317458,1.16552922,,
2021-01-09,1.23172893,2021-01-09,5.22836689,1.04590689,1.15233628,,
2021-01-10,1.16024531,2021-01-10,5.32189908,1.0248305,1.09328829,,
2021-01-11,1.06601026,2021-01-11,3.97964032,1.01287332,1.01296855,,
2021-01-12,1.07737291,2021-01-12,4.47487949,1.01777415,1.04955207,,
2021-01-13,1.0698265,2021-01-13,4.55396948,1.01832829,1.04662614,,
2021-01-14,1.11234057,2021-01-14,5.00034697,1.03084801,1.08027881,,
2021-01-15,1.0706211,2021-01-15,4.34100288,1.01895403,1.02173077,,
2021-01-16,1.07612838,2021-01-16,4.64215091,1.01227654,1.03225148,,
2021-01-17,1.0456636,2021-01-17,4.30763106,1.01018312,1.01298249,,
2021-01-18,1.08592214,2021-01-18,5.29906503,1.01883472,1.03974933,,
2021-01-19,1.05678525,2021-01-19,4.38631147,1.01317268,1.03627225,,
2021-01-20,1.02288849,2021-01-20,4.7846129,1.00548166,1.0060164,,
2021-01-21,1.01062308,2021-01-21,3.91317984,1.00149074,0.98765643,,
2021-01-22,1.00732546,2021-01-22,4.3049823,1.00229555,0.98708404,,
2021-01-23,1.03020628,2021-01-23,3.75625473,1.00561806,1.01380607,,
2021-01-24,1.02005558,2021-01-24,4.01755037,1.0036223,1.00263152,,
2021-01-25,1.03779887,2021-01-25,4.54674349,1.00634279,1.02080084,,
2021-01-26,1.01125885,2021-01-26,4.43783057,1.00271924,0.99615992,,
2021-01-27,1.07541754,2021-01-27,4.11562593,1.01987074,0.99464196,,
2021-01-28,1.05290487,2021-01-28,3.59282496,1.01317006,1.02740957,,
2021-01-29,1.09440921,2021-01-29,4.36203624,1.0238938,1.06148632,,
2021-01-30,1.04212068,2021-01-30,4.49023089,1.00806492,1.01508879,,
2021-01-31,1.06801844,2021-01-31,4.86524519,1.00976382,1.00480708,,
2021-02-01,1.02648569,2021-02-01,4.34440587,1.00669317,1.01475262,,
2021-02-02,1.06364382,2021-02-02,3.90849263,1.01480468,1.04661313,,
2021-02-03,1.05641608,2021-02-03,4.6592976,1.01308944,1.03658091,,
2021-02-04,1.07844657,2021-02-04,4.37887508,1.01850722,1.05035963,,
2021-02-05,1.09844863,2021-02-05,5.13547645,1.02616484,1.06603511,,
2021-02-06,1.08489466,2021-02-06,4.81767805,1.01462542,1.06166013,,
2021-02-07,1.07390143,2021-02-07,8.98740114,1.01299632,1.03756125,,
2021-02-08,1.1117644,2021-02-08,5.37408982,1.02869131,1.08211356,,
2021-02-09,1.19558279,2021-02-09,5.65109999,1.03381275,1.16053121,,
2021-02-10,1.11218136,2021-02-10,5.0473957,1.02824187,1.07787075,,
2021-02-11,1.11866384,2021-02-11,5.98161635,1.02071816,1.08876721,,
2021-02-12,1.10382654,2021-02-12,5.70988167,1.02304934,1.0769723,,
2021-02-13,1.08105392,2021-02-13,5.83619266,1.01459213,1.06079441,,
2021-02-14,1.07907317,2021-02-14,6.34288288,1.01069297,1.04476711,,
2021-02-15,1.12266836,2021-02-15,6.94938314,1.02472257,1.10622339,,
2021-02-16,1.06606735,2021-02-16,6.72423138,1.01357718,1.04027483,,
2021-02-17,1.11480125,2021-02-17,6.06842284,1.02688537,1.08281864,,
2021-02-18,1.13428645,2021-02-18,6.80782506,1.02775504,1.08909378,,
2021-02-19,1.14262763,2021-02-19,6.1897569,1.04068381,1.10479644,,
2021-02-20,1.17650589,2021-02-20,6.9143291,1.03081094,1.12165589,,
2021-02-21,1.11791104,2021-02-21,7.98895085,1.02307761,1.07724405,,
2021-02-22,1.08239381,2021-02-22,6.44458284,1.01868545,1.03936248,,
2021-02-23,1.09029775,2021-02-23,6.41596274,1.02505532,1.03878498,,
2021-02-24,1.08703989,2021-02-24,7.79607311,1.02202137,1.03644297,,
2021-02-25,1.0775853,2021-02-25,7.00252778,1.01563653,1.03789817,,
2021-02-26,1.10815615,2021-02-26,5.77160638,1.02374021,1.07203067,,
2021-02-27,0.98873005,2021-02-27,6.38412221,0.99700299,0.96746719,,
2021-02-28,1.02011443,2021-02-28,6.46013659,1.00334037,0.99889364,,
2021-03-01,1.05762614,2021-03-01,5.85496503,1.0152883,1.04332185,,
2021-03-02,1.06826277,2021-03-02,6.76254161,1.01547393,1.01905862,,
2021-03-03,1.05296151,2021-03-03,6.13027074,1.01224853,1.03730468,,
