start_time,date,sopr_ratio,close,change
2021-01-01,2021-01-01,3.700675499797144,,
2021-01-02,2021-01-02,4.192921254378066,,
2021-01-03,2021-01-03,3.781195344668449,,
2021-01-04,2021-01-04,4.859434917566901,,
2021-01-05,2021-01-05,3.574931132677923,,
2021-01-06,2021-01-06,4.179354672821038,,
2021-01-07,2021-01-07,3.951350668570733,,
2021-01-08,2021-01-08,4.178774960270837,,
2021-01-09,2021-01-09,4.537188475919547,,
2021-01-10,2021-01-10,4.867791166042764,,
2021-01-11,2021-01-11,3.9286908956847673,,
2021-01-12,2021-01-12,4.263608846009898,,
2021-01-13,2021-01-13,4.351094728056381,,
2021-01-14,2021-01-14,4.628755950512442,,
2021-01-15,2021-01-15,4.248675881612139,,
2021-01-16,2021-01-16,4.497112380018094,,
2021-01-17,2021-01-17,4.252424007842427,,
2021-01-18,2021-01-18,5.09648323601228,,
2021-01-19,2021-01-19,4.23277905010001,,
2021-01-20,2021-01-20,4.755998908168892,,
2021-01-21,2021-01-21,3.962086127460336,,
2021-01-22,2021-01-22,4.361312842217568,,
2021-01-23,2021-01-23,3.7051018347128255,,
2021-01-24,2021-01-24,4.0070058539552,,
2021-01-25,2021-01-25,4.454094581270133,,
2021-01-26,2021-01-26,4.454937887884507,,
2021-01-27,2021-01-27,4.137796408669508,,
2021-01-28,2021-01-28,3.496974395517846,,
2021-01-29,2021-01-29,4.109366421227172,,
2021-01-30,2021-01-30,4.423485841076031,,
2021-01-31,2021-01-31,4.84196945547,,
2021-02-01,2021-02-01,4.281246270642789,,
2021-02-02,2021-02-02,3.734419641763906,,
2021-02-03,2021-02-03,4.494871123953073,,
2021-02-04,2021-02-04,4.168929340896318,,
2021-02-05,2021-02-05,4.817361456322015,,
2021-02-06,2021-02-06,4.53787225672683,,
2021-02-07,2021-02-07,8.662043941984148,,
2021-02-08,2021-02-08,4.96629006293942,,
2021-02-09,2021-02-09,4.86940802738084,,
2021-02-10,2021-02-10,4.682746702236794,,
2021-02-11,2021-02-11,5.49393506257412,,
2021-02-12,2021-02-12,5.301790649583094,,
2021-02-13,2021-02-13,5.501718905174095,,
2021-02-14,2021-02-14,6.071097395093152,,
2021-02-15,2021-02-15,6.282079372774788,,
2021-02-16,2021-02-16,6.463898948703776,,
2021-02-17,2021-02-17,5.604283686878534,,
2021-02-18,2021-02-18,6.250908034751608,,
2021-02-19,2021-02-19,5.602622054068168,,
2021-02-20,2021-02-20,6.164394233243852,,
2021-02-21,2021-02-21,7.416101161106436,,
2021-02-22,2021-02-22,6.2005151850391975,,
2021-02-23,2021-02-23,6.1764107717460455,,
2021-02-24,2021-02-24,7.521950879747875,,
2021-02-25,2021-02-25,6.7468350772793055,,
2021-02-26,2021-02-26,5.38380714424896,,
2021-02-27,2021-02-27,6.598799707099111,,
2021-02-28,2021-02-28,6.467291742892667,,
2021-03-01,2021-03-01,5.611849334891241,,
2021-03-02,2021-03-02,6.636067324566668,,
2021-03-03,2021-03-03,5.909807270897495,,
2021-03-04,2021-03-04,6.276872671655282,,
2021-03-05,2021-03-05,7.256456696644991,,
2021-03-06,2021-03-06,6.042142861585253,,
2021-03-07,2021-03-07,5.873045973709924,,
2021-03-08,2021-03-08,8.001884143721052,,
2021-03-09,2021-03-09,5.997685054279256,,
2021-03-10,2021-03-10,6.259024833794129,,
2021-03-11,2021-03-11,11.623337468609671,,
2021-03-12,2021-03-12,6.855635118383835,,
2021-03-13,2021-03-13,7.609590859122313,,
2021-03-14,2021-03-14,5.064002522489113,,
2021-03-15,2021-03-15,7.281635721935235,,
2021-03-16,2021-03-16,7.410516761147912,,
2021-03-17,2021-03-17,8.880492877262897,,
2021-03-18,2021-03-18,7.0631051033003,,
2021-03-19,2021-03-19,7.303977876740896,,
2021-03-20,2021-03-20,5.755861269102423,,
2021-03-21,2021-03-21,6.876890787494174,,
2021-03-22,2021-03-22,6.893790263354582,,
2021-03-23,2021-03-23,8.785120925916921,,
2021-03-24,2021-03-24,7.374027426995489,,
2021-03-25,2021-03-25,7.878102483127165,,
2021-03-26,2021-03-26,6.951346406700937,,
2021-03-27,2021-03-27,5.897848460752406,,
2021-03-28,2021-03-28,6.769926252849464,,
2021-03-29,2021-03-29,6.519909857226399,,
2021-03-30,2021-03-30,8.100497514239384,,
2021-03-31,2021-03-31,8.205546587656766,,
2021-04-01,2021-04-01,5.725233606258189,,
2021-04-02,2021-04-02,8.243525882647297,,
2021-04-03,2021-04-03,7.267363184363279,,
2021-04-04,2021-04-04,7.343497621099488,,
2021-04-05,2021-04-05,6.787570764691857,,
2021-04-06,2021-04-06,6.436092645001268,,
2021-04-07,2021-04-07,6.64312543420469,,
2021-04-08,2021-04-08,7.954122203939278,,
2021-04-09,2021-04-09,7.240022939696434,,
2021-04-10,2021-04-10,8.162441357343363,,
2021-04-11,2021-04-11,9.516032093901089,,
2021-04-12,2021-04-12,6.55255454617549,,
2021-04-13,2021-04-13,7.609103032502233,,
2021-04-14,2021-04-14,12.847941031117427,,
2021-04-15,2021-04-15,9.605707680534191,,
2021-04-16,2021-04-16,5.787659742944368,,
2021-04-17,2021-04-17,6.746546031665032,,
2021-04-18,2021-04-18,5.325437064366549,,
2021-04-19,2021-04-19,5.985132831302489,,
2021-04-20,2021-04-20,8.112568288965276,,
2021-04-21,2021-04-21,7.359272745593252,,
2021-04-22,2021-04-22,6.274125051932995,,
2021-04-23,2021-04-23,6.328677512011897,,
2021-04-24,2021-04-24,6.291562149367602,,
2021-04-25,2021-04-25,6.701845781994402,,
2021-04-26,2021-04-26,6.6286809249113,,
2021-04-27,2021-04-27,6.757010914614007,,
2021-04-28,2021-04-28,6.846249741033816,,
2021-04-29,2021-04-29,5.7869351218532055,,
2021-04-30,2021-04-30,8.565834131779994,,
2021-05-01,2021-05-01,6.596318649059509,,
2021-05-02,2021-05-02,6.200806292259794,,
2021-05-03,2021-05-03,6.549584510080658,,
2021-05-04,2021-05-04,6.317689449827029,,
2021-05-05,2021-05-05,6.085387818806028,,
2021-05-06,2021-05-06,5.617689053236014,,
2021-05-07,2021-05-07,7.324495780995438,,
2021-05-08,2021-05-08,6.881510542785969,,
2021-05-09,2021-05-09,6.505398368667888,,
2021-05-10,2021-05-10,5.99254800022791,,
2021-05-11,2021-05-11,5.99266265829292,,
2021-05-12,2021-05-12,5.033226414740864,,
2021-05-13,2021-05-13,6.460612169873482,,
2021-05-14,2021-05-14,5.898515780142097,,
2021-05-15,2021-05-15,5.982758432059151,,
2021-05-16,2021-05-16,4.936053728092374,,
2021-05-17,2021-05-17,4.582748325093784,,
2021-05-18,2021-05-18,5.663350535523746,,
2021-05-19,2021-05-19,3.97957878849534,,
2021-05-20,2021-05-20,3.2256800720933927,,
2021-05-21,2021-05-21,4.692175396927628,,
2021-05-22,2021-05-22,4.079037175487467,,
2021-05-23,2021-05-23,3.9655871930934894,,
2021-05-24,2021-05-24,4.273142403857181,,
2021-05-25,2021-05-25,3.4808867421323764,,
2021-05-26,2021-05-26,2.874624999677072,,
2021-05-27,2021-05-27,3.84045376610231,,
2021-05-28,2021-05-28,3.719538840990056,,
2021-05-29,2021-05-29,3.6187395679202585,,
2021-05-30,2021-05-30,9.973577663531543,,
2021-05-31,2021-05-31,3.437305804491728,,
2021-06-01,2021-06-01,3.857419085480312,,
2021-06-02,2021-06-02,3.4028774856257136,,
2021-06-03,2021-06-03,3.5011170047141,,
2021-06-04,2021-06-04,3.9178412640639806,,
2021-06-05,2021-06-05,2.9709974096832976,,
2021-06-06,2021-06-06,3.877015042174317,,
2021-06-07,2021-06-07,3.9299337848495854,,
2021-06-08,2021-06-08,3.348538350596029,,
2021-06-09,2021-06-09,2.697943999955228,,
2021-06-10,2021-06-10,3.266917760874059,,
2021-06-11,2021-06-11,3.102527311861784,,
2021-06-12,2021-06-12,3.153191875067675,,
2021-06-13,2021-06-13,3.6005817774767928,,
2021-06-14,2021-06-14,2.129005478705281,,
2021-06-15,2021-06-15,2.157784745591247,,
2021-06-16,2021-06-16,3.3237257033536234,,
2021-06-17,2021-06-17,2.29915253156652,,
2021-06-18,2021-06-18,2.3917986999065226,,
2021-06-19,2021-06-19,3.153201177488174,,
2021-06-20,2021-06-20,3.57079352426185,,
2021-06-21,2021-06-21,3.370015472414758,,
2021-06-22,2021-06-22,2.3158400913455006,,
2021-06-23,2021-06-23,2.343823059856024,,
2021-06-24,2021-06-24,2.0845916563071825,,
2021-06-25,2021-06-25,3.4276298665803453,,
2021-06-26,2021-06-26,2.0329413927598208,,
2021-06-27,2021-06-27,3.749294032224399,,
2021-06-28,2021-06-28,2.048761852894363,,
2021-06-29,2021-06-29,1.566816723622531,,
2021-06-30,2021-06-30,1.850710861708103,,
2021-07-01,2021-07-01,3.363861044579952,,
2021-07-02,2021-07-02,1.6047256611895755,,
2021-07-03,2021-07-03,2.3606455817330976,,
2021-07-04,2021-07-04,2.91060651505717,,
2021-07-05,2021-07-05,2.989088513518226,,
2021-07-06,2021-07-06,2.5360803809595893,,
2021-07-07,2021-07-07,2.524017469139645,,
2021-07-08,2021-07-08,2.5625396669699705,,
2021-07-09,2021-07-09,2.052410892085195,,
2021-07-10,2021-07-10,2.4485655637126698,,
2021-07-11,2021-07-11,2.37091388292934,,
2021-07-12,2021-07-12,2.225473633651096,,
2021-07-13,2021-07-13,1.6717388978414238,,
2021-07-14,2021-07-14,1.8049916916716444,,
2021-07-15,2021-07-15,2.8919650622440645,,
2021-07-16,2021-07-16,1.5817379164398084,,
2021-07-17,2021-07-17,11.662604900696708,,
2021-07-18,2021-07-18,2.1876805932242878,,
2021-07-19,2021-07-19,2.1556675828320344,,
2021-07-20,2021-07-20,2.455883584567534,,
2021-07-21,2021-07-21,1.8621398936898383,,
2021-07-22,2021-07-22,1.950185482316968,,
2021-07-23,2021-07-23,1.9589379258303468,,
2021-07-24,2021-07-24,1.9848022325586865,,
2021-07-25,2021-07-25,1.9294564538931909,,
2021-07-26,2021-07-26,2.5184892262932896,,
2021-07-27,2021-07-27,2.830001189745099,,
2021-07-28,2021-07-28,3.484138698270551,,
2021-07-29,2021-07-29,5.296176993200414,,
2021-07-30,2021-07-30,1.3426009383638868,,
2021-07-31,2021-07-31,1.2080699078163784,,
2021-08-01,2021-08-01,1.7397966350116352,,
2021-08-02,2021-08-02,2.172641148087161,,
2021-08-03,2021-08-03,1.4639844991104678,,
2021-08-04,2021-08-04,1.7077485846279314,,
2021-08-05,2021-08-05,1.5681913302981014,,
2021-08-06,2021-08-06,2.707052192605633,,
2021-08-07,2021-08-07,2.292517941848479,,
2021-08-08,2021-08-08,1.6550572972611584,,
2021-08-09,2021-08-09,1.9338361529073729,,
2021-08-10,2021-08-10,2.0811687101860934,,
2021-08-11,2021-08-11,1.9856225815197348,,
2021-08-12,2021-08-12,2.3236811621136493,,
2021-08-13,2021-08-13,2.705974886046476,,
2021-08-14,2021-08-14,4.135613257073539,,
2021-08-15,2021-08-15,2.1162534382331017,,
2021-08-16,2021-08-16,2.1817812725382875,,
2021-08-17,2021-08-17,1.9328139842472296,,
2021-08-18,2021-08-18,2.395799892352422,,
2021-08-19,2021-08-19,2.878738806492993,,
2021-08-20,2021-08-20,1.7053536171507462,,
2021-08-21,2021-08-21,2.149821209700624,,
2021-08-22,2021-08-22,2.888157382246578,,
2021-08-23,2021-08-23,1.772070292941072,,
2021-08-24,2021-08-24,2.1962720384812,,
2021-08-25,2021-08-25,4.253941387155699,,
2021-08-26,2021-08-26,1.63616775876433,,
