start_time,average_sa_cdd,binary_cdd,cdd,date,sa_cdd,close,change
2021-01-01,0.51323057,1,24065893.89497589,2021-01-01,1.29471647,29337.16,
2021-01-02,0.5138081,1,56594161.21806495,2021-01-02,3.044544,32199.91,0.0975810201123763
2021-01-03,0.51413537,1,36223318.29680752,2021-01-03,1.948569,33054.53,0.0265410679719291
2021-01-04,0.51469995,1,55583396.16187864,2021-01-04,2.98983606,32031.07,-0.0309627757526729
2021-01-05,0.51485199,1,21966938.91530576,2021-01-05,1.18154133,33999.52,0.0614543941242049
2021-01-06,0.51504227,1,25092783.56899981,2021-01-06,1.34959163,36823.68,0.083064702089912
2021-01-07,0.51540485,1,39159762.26497672,2021-01-07,2.10605183,39498.92,0.0726499904409336
2021-01-08,0.51568581,1,32513918.6246092,2021-01-08,1.74854462,40637.23,0.0288187626395861
2021-01-09,0.51591377,1,28198936.21833513,2021-01-09,1.51642117,40136.04,-0.0123332717313655
2021-01-10,0.51606509,1,21950668.63901538,2021-01-10,1.18035233,38221.67,-0.047697032392832
2021-01-11,0.51625798,1,25352846.02964863,2021-01-11,1.3632269,35408.46,-0.0736024878033848
2021-01-12,0.51633115,1,15580187.62390854,2021-01-12,0.83770771,34056.9,-0.038170538905109
2021-01-13,0.51640283,1,15462038.16422514,2021-01-13,0.83131265,37421.07,0.0987808637897165
2021-01-14,0.51647443,1,15458190.63467722,2021-01-14,0.83106473,39163.31,0.0465577280393103
2021-01-15,0.51658369,1,18541494.20003789,2021-01-15,0.99677768,36755.24,-0.0614879079424083
2021-01-16,0.51659488,1,10524779.54544395,2021-01-16,0.5657768,36025.66,-0.0198496867385438
2021-01-17,0.51659513,1,9630898.87382489,2021-01-17,0.51770164,35869.83,-0.0043255279708963
2021-01-18,0.51664462,1,13661127.24287535,2021-01-18,0.73430773,36686.86,0.0227776379202242
2021-01-19,0.51669356,1,13618599.22598136,2021-01-19,0.73198514,35891.03,-0.0216925078897458
2021-01-20,0.5167022,1,10320876.16536979,2021-01-20,0.55470978,35500.0,-0.0108949227703969
2021-01-21,0.51671222,1,10435011.6266599,2021-01-21,0.56081985,30879.97,-0.1301416901408451
2021-01-22,0.5167358,1,11546597.1534091,2021-01-22,0.62053157,32986.34,0.0682115299982479
2021-01-23,0.51669386,0,6178304.19796842,2021-01-23,0.332014,32086.48,-0.0272797770228524
2021-01-24,0.51664315,0,5458477.56949331,2021-01-24,0.29331777,32275.63,0.0058950062456213
2021-01-25,0.51665024,1,10196018.02384111,2021-01-25,0.54786936,32253.68,-0.0006800796762139
2021-01-26,0.51662743,0,7744459.21236366,2021-01-26,0.41611563,32474.14,0.0068351890388942
2021-01-27,0.51698414,1,38881047.32899858,2021-01-27,2.08900838,30381.04,-0.0644543627637251
2021-01-28,0.51703245,1,13587617.63781318,2021-01-28,0.73000259,33399.75,0.0993616413394669
2021-01-29,0.51713562,1,18093497.02307618,2021-01-29,0.97203394,34269.35,0.0260361230248729
2021-01-30,0.51714293,1,10226701.15835877,2021-01-30,0.54938228,34289.85,0.0005982021835839
2021-01-31,0.5172594,1,19193185.40850034,2021-01-31,1.03101538,33126.21,-0.0339354065415858
2021-02-01,0.51723322,0,7478539.30112691,2021-02-01,0.40171451,33546.09,0.0126751596394516
2021-02-02,0.5172185,0,8419887.56279298,2021-02-02,0.4522564,35504.06,0.0583665637336572
2021-02-03,0.51723183,1,10725563.76540363,2021-02-03,0.5760719,37652.51,0.0605127976913064
2021-02-04,0.51730547,1,15685555.82221906,2021-02-04,0.84242869,36976.93,-0.0179424957326882
2021-02-05,0.51742964,1,19844901.28252929,2021-02-05,1.0657554,38362.65,0.0374752582218156
2021-02-06,0.51743463,1,10045615.61016093,2021-02-06,0.53946339,39249.54,0.0231185801815045
2021-02-07,0.51763755,1,26335003.61696135,2021-02-07,1.41415191,38849.25,-0.0101985908624662
2021-02-08,0.51774365,1,18374109.20351619,2021-02-08,0.98660966,46451.32,0.195681255107885
2021-02-09,0.51794462,1,26190395.42845544,2021-02-09,1.40624271,46492.54,0.0008873805954277
2021-02-10,0.51802971,1,16654543.46703681,2021-02-10,0.89419064,44850.0,-0.0353291087129247
2021-02-11,0.51807718,1,13559891.19133112,2021-02-11,0.72800573,48060.21,0.0715765886287624
2021-02-12,0.51814552,1,15281930.7541901,2021-02-12,0.82041978,47361.03,-0.0145480013508055
2021-02-13,0.51811996,0,7545379.54270286,2021-02-13,0.40505697,47221.62,-0.0029435592933683
2021-02-14,0.51812806,1,10319952.16408747,2021-02-14,0.55397624,48655.21,0.0303587636341149
2021-02-15,0.51818367,1,14239171.14804722,2021-02-15,0.7643214,47981.58,-0.0138449715868043
2021-02-16,0.51825579,1,15603352.10428251,2021-02-16,0.83751306,49197.94,0.0253505616113516
2021-02-17,0.51833562,1,16242962.90126094,2021-02-17,0.87180394,52194.62,0.0609106804065373
2021-02-18,0.51847005,1,20753655.60493441,2021-02-18,1.11385388,51619.7,-0.0110149283585166
2021-02-19,0.51863599,1,23361280.50401909,2021-02-19,1.25374141,56004.1,0.0849365649161075
2021-02-20,0.51877264,1,20950199.028776,2021-02-20,1.12428965,55917.41,-0.0015479223842539
2021-02-21,0.51882896,1,14319959.0349517,2021-02-21,0.76844236,57487.43,0.0280774806987662
2021-02-22,0.51889362,1,15012155.49156583,2021-02-22,0.8055513,54121.1,-0.0585576707812472
2021-02-23,0.51918465,1,33724880.86930415,2021-02-23,1.80959787,48930.0,-0.0959163801179207
2021-02-24,0.51944907,1,31537871.13969578,2021-02-24,1.69215783,49702.03,0.0157782546494993
2021-02-25,0.51955236,1,18223878.18477551,2021-02-25,0.9777472,47089.37,-0.0525664645890719
2021-02-26,0.51968065,1,20296347.19449462,2021-02-26,1.08888851,46313.13,-0.0164843997700543
2021-02-27,0.51968749,1,10253283.20486652,2021-02-27,0.55005438,46102.63,-0.0045451473480631
2021-02-28,0.51970098,1,10804508.81693624,2021-02-28,0.57960033,45163.36,-0.0203734580868812
2021-03-01,0.51968347,0,8239012.64324522,2021-03-01,0.44195682,49592.7,0.0980737482773645
2021-03-02,0.51978648,1,18218681.33882439,2021-03-02,0.97723899,48450.57,-0.023030204042127
2021-03-03,0.51976484,0,7898349.3925778,2021-03-03,0.42364107,50373.75,0.0396936506629332
2021-03-04,0.5197719,1,10276198.25518471,2021-03-04,0.55115729,48385.77,-0.0394646020993076
2021-03-05,0.51985708,1,16751602.06605138,2021-03-05,0.89841654,48770.57,0.0079527513977766
2021-03-06,0.51982299,0,6867784.78832288,2021-03-06,0.36831206,48908.21,0.0028221937943313
2021-03-07,0.51976352,0,4761500.25147249,2021-03-07,0.25534175,50995.27,0.0426729990731618
2021-03-08,0.51991838,1,22537883.5314933,2021-03-08,1.20856101,52429.43,0.0281233926205313
2021-03-09,0.5199167,0,9557054.4171101,2021-03-09,0.51245901,54917.78,0.0474609393998752
2021-03-10,0.51991963,1,9939443.69628059,2021-03-10,0.5329365,55947.98,0.018758952018818
2021-03-11,0.52026611,1,38460813.19447077,2021-03-11,2.06211385,57844.52,0.0338982747902603
2021-03-12,0.52036002,1,17501960.90759149,2021-03-12,0.93833747,57291.03,-0.0095685814317414
2021-03-13,0.52036794,1,10363885.67594009,2021-03-13,0.55561524,61267.41,0.0694066767520151
2021-03-14,0.52048383,1,19336030.84536415,2021-03-14,1.03656376,59037.12,-0.0364025507198688
2021-03-15,0.52049759,1,10852769.50101183,2021-03-15,0.5817652,55646.61,-0.0574301388685627
2021-03-16,0.5205838,1,16876720.41979246,2021-03-16,0.90463531,56954.19,0.0234979273670039
2021-03-17,0.52063407,1,13892349.27806711,2021-03-17,0.74463147,58959.0,0.0352003952650366
2021-03-18,0.52060178,0,7028140.02009487,2021-03-18,0.37668991,57700.01,-0.0213536525382044
2021-03-19,0.52056457,0,6618247.76227268,2021-03-19,0.35470317,58089.11,0.0067434996978337
2021-03-20,0.52060772,1,13304866.38394207,2021-03-20,0.71303387,58145.61,0.0009726435815593
2021-03-21,0.52057748,0,7197562.97956025,2021-03-21,0.38571136,57415.18,-0.0125620833627853
2021-03-22,0.52062765,1,13892430.91664136,2021-03-22,0.74444606,54129.56,-0.0572256326636962
2021-03-23,0.52076979,1,21555112.30654643,2021-03-23,1.15499967,54400.0,0.0049961610624582
2021-03-24,0.52078283,1,10805669.93866395,2021-03-24,0.5789768,52311.54,-0.0383908088235294
2021-03-25,0.52095854,1,24362907.71317823,2021-03-25,1.30531758,51325.21,-0.0188549218776583
2021-03-26,0.52097901,1,11430054.12124242,2021-03-26,0.61237236,55030.0,0.0721826564372556
