start_time,average_dormancy,date,sa_average_dormancy,close,change
2021-01-01,15.01804685,2021-01-01,8.1e-07,29337.16,
2021-01-02,26.15849851,2021-01-02,1.41e-06,32199.91,0.0975810201123763
2021-01-03,16.38457886,2021-01-03,8.8e-07,33054.53,0.0265410679719291
2021-01-04,28.92798543,2021-01-04,1.56e-06,32031.07,-0.0309627757526729
2021-01-05,9.94731076,2021-01-05,5.4e-07,33999.52,0.0614543941242049
2021-01-06,11.77878879,2021-01-06,6.3e-07,36823.68,0.083064702089912
2021-01-07,14.23893884,2021-01-07,7.7e-07,39498.92,0.0726499904409336
2021-01-08,12.91269779,2021-01-08,6.9e-07,40637.23,0.0288187626395861
2021-01-09,14.66205246,2021-01-09,7.9e-07,40136.04,-0.0123332717313655
2021-01-10,12.18420527,2021-01-10,6.6e-07,38221.67,-0.047697032392832
2021-01-11,10.40029105,2021-01-11,5.6e-07,35408.46,-0.0736024878033848
2021-01-12,7.05048311,2021-01-12,3.8e-07,34056.9,-0.038170538905109
2021-01-13,8.68205805,2021-01-13,4.7e-07,37421.07,0.0987808637897165
2021-01-14,7.99268691,2021-01-14,4.3e-07,39163.31,0.0465577280393103
2021-01-15,10.68790619,2021-01-15,5.7e-07,36755.24,-0.0614879079424083
2021-01-16,6.19790757,2021-01-16,3.3e-07,36025.66,-0.0198496867385438
2021-01-17,6.75744332,2021-01-17,3.6e-07,35869.83,-0.0043255279708963
2021-01-18,7.64045863,2021-01-18,4.1e-07,36686.86,0.0227776379202242
2021-01-19,6.45179873,2021-01-19,3.5e-07,35891.03,-0.0216925078897458
2021-01-20,5.10851788,2021-01-20,2.7e-07,35500.0,-0.0108949227703969
2021-01-21,4.72341734,2021-01-21,2.5e-07,30879.97,-0.1301416901408451
2021-01-22,5.77259701,2021-01-22,3.1e-07,32986.34,0.0682115299982479
2021-01-23,3.77807354,2021-01-23,2e-07,32086.48,-0.0272797770228524
2021-01-24,3.6033584,2021-01-24,1.9e-07,32275.63,0.0058950062456213
2021-01-25,4.40874995,2021-01-25,2.4e-07,32253.68,-0.0006800796762139
2021-01-26,4.54786553,2021-01-26,2.4e-07,32474.14,0.0068351890388942
2021-01-27,19.49440945,2021-01-27,1.05e-06,30381.04,-0.0644543627637251
2021-01-28,6.23070285,2021-01-28,3.3e-07,33399.75,0.0993616413394669
2021-01-29,7.25966245,2021-01-29,3.9e-07,34269.35,0.0260361230248729
2021-01-30,5.22745845,2021-01-30,2.8e-07,34289.85,0.0005982021835839
2021-01-31,9.64311313,2021-01-31,5.2e-07,33126.21,-0.0339354065415858
2021-02-01,3.99364849,2021-02-01,2.1e-07,33546.09,0.0126751596394516
2021-02-02,4.25890635,2021-02-02,2.3e-07,35504.06,0.0583665637336572
2021-02-03,5.19597005,2021-02-03,2.8e-07,37652.51,0.0605127976913064
2021-02-04,7.1944852,2021-02-04,3.9e-07,36976.93,-0.0179424957326882
2021-02-05,10.13105943,2021-02-05,5.4e-07,38362.65,0.0374752582218156
2021-02-06,4.65968933,2021-02-06,2.5e-07,39249.54,0.0231185801815045
2021-02-07,12.86264118,2021-02-07,6.9e-07,38849.25,-0.0101985908624662
2021-02-08,8.12062783,2021-02-08,4.4e-07,46451.32,0.195681255107885
2021-02-09,7.70403976,2021-02-09,4.1e-07,46492.54,0.0008873805954277
2021-02-10,7.70391557,2021-02-10,4.1e-07,44850.0,-0.0353291087129247
2021-02-11,5.69524059,2021-02-11,3.1e-07,48060.21,0.0715765886287624
2021-02-12,7.13221949,2021-02-12,3.8e-07,47361.03,-0.0145480013508055
2021-02-13,4.95261206,2021-02-13,2.7e-07,47221.62,-0.0029435592933683
2021-02-14,5.47388269,2021-02-14,2.9e-07,48655.21,0.0303587636341149
2021-02-15,5.99841877,2021-02-15,3.2e-07,47981.58,-0.0138449715868043
2021-02-16,6.20521744,2021-02-16,3.3e-07,49197.94,0.0253505616113516
2021-02-17,7.82102204,2021-02-17,4.2e-07,52194.62,0.0609106804065373
2021-02-18,9.42463438,2021-02-18,5.1e-07,51619.7,-0.0110149283585166
