start_time,date,nvt,close,change
2021-01-01,2021-01-01,11.64799485,29337.16,
2021-01-02,2021-01-02,8.8462438,32199.91,0.0975810201123763
2021-01-03,2021-01-03,8.31711746,33054.53,0.0265410679719291
2021-01-04,2021-01-04,9.74726253,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,8.86922605,33999.52,0.0614543941242049
2021-01-06,2021-01-06,9.20599416,36823.68,0.083064702089912
2021-01-07,2021-01-07,6.98296648,39498.92,0.0726499904409336
2021-01-08,2021-01-08,7.50342345,40637.23,0.0288187626395861
2021-01-09,2021-01-09,9.63502288,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,9.97900091,38221.67,-0.047697032392832
2021-01-11,2021-01-11,7.93275991,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,8.22682185,34056.9,-0.038170538905109
2021-01-13,2021-01-13,11.19048814,37421.07,0.0987808637897165
2021-01-14,2021-01-14,9.75237936,39163.31,0.0465577280393103
2021-01-15,2021-01-15,10.54338637,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,10.73055084,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,13.10299978,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,10.55905265,36686.86,0.0227776379202242
2021-01-19,2021-01-19,8.58162035,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,9.30144438,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,7.94155572,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,9.65645399,32986.34,0.0682115299982479
2021-01-23,2021-01-23,11.27818957,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,12.30648419,32275.63,0.0058950062456213
2021-01-25,2021-01-25,7.76484207,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,11.08400431,32474.14,0.0068351890388942
2021-01-27,2021-01-27,9.13913553,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,8.95202119,33399.75,0.0993616413394669
2021-01-29,2021-01-29,7.2823887,34269.35,0.0260361230248729
2021-01-30,2021-01-30,9.58495476,34289.85,0.0005982021835839
2021-01-31,2021-01-31,9.26528569,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,9.90214312,33546.09,0.0126751596394516
2021-02-02,2021-02-02,9.63463052,35504.06,0.0583665637336572
2021-02-03,2021-02-03,9.27210095,37652.51,0.0605127976913064
2021-02-04,2021-02-04,8.40140817,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,9.67703581,38362.65,0.0374752582218156
2021-02-06,2021-02-06,8.50760881,39249.54,0.0231185801815045
2021-02-07,2021-02-07,9.12169485,38849.25,-0.0101985908624662
2021-02-08,2021-02-08,9.09218577,46451.32,0.195681255107885
2021-02-09,2021-02-09,5.45309332,46492.54,0.0008873805954277
2021-02-10,2021-02-10,8.44405307,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,8.13116471,48060.21,0.0715765886287624
2021-02-12,2021-02-12,8.64960936,47361.03,-0.0145480013508055
2021-02-13,2021-02-13,12.20245373,47221.62,-0.0029435592933683
2021-02-14,2021-02-14,9.88612849,48655.21,0.0303587636341149
2021-02-15,2021-02-15,7.8593021,47981.58,-0.0138449715868043
2021-02-16,2021-02-16,7.4334248,49197.94,0.0253505616113516
2021-02-17,2021-02-17,9.14476513,52194.62,0.0609106804065373
2021-02-18,2021-02-18,8.40421598,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,8.22991839,56004.1,0.0849365649161075
2021-02-20,2021-02-20,8.43070454,55917.41,-0.0015479223842539
2021-02-21,2021-02-21,10.52003705,57487.43,0.0280774806987662
2021-02-22,2021-02-22,9.23386532,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,8.54057594,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,8.76843304,49702.03,0.0157782546494993
2021-02-25,2021-02-25,7.59204688,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,8.95234906,46313.13,-0.0164843997700543
2021-02-27,2021-02-27,10.8930656,46102.63,-0.0045451473480631
