start_time,date,loss_amount,loss_percent,profit_amount,profit_percent,close,change
2021-01-01,2021-01-01,56291,0.04872852,115458060,99.94671814,29337.16,
2021-01-02,2021-01-02,174026,0.15077294,115239838,99.84168434,32199.91,0.0975810201123763
2021-01-03,2021-01-03,335864,0.29087329,115123502,99.70211608,33054.53,0.0265410679719291
2021-01-04,2021-01-04,747193,0.64710275,114716856,99.34995703,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,138232,0.11960199,115434489,99.87698123,33999.52,0.0614543941242049
2021-01-06,2021-01-06,12664,0.01095069,115625247,99.98233743,36823.68,0.083064702089912
2021-01-07,2021-01-07,126380,0.10910598,115696208,99.882481,39498.92,0.0726499904409336
2021-01-08,2021-01-08,243108,0.20949166,115795680,99.78375502,40637.23,0.0288187626395861
2021-01-09,2021-01-09,594296,0.51155226,115570119,99.4793098,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,1414986,1.21843266,114713627,98.77894876,38221.67,-0.047697032392832
2021-01-11,2021-01-11,1884212,1.62161631,114305289,98.37498161,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,2821020,2.42624028,113444834,97.56911541,34056.9,-0.038170538905109
2021-01-13,2021-01-13,1374480,1.18188235,114915632,98.81319314,37421.07,0.0987808637897165
2021-01-14,2021-01-14,987185,0.84806684,115410867,99.14669451,39163.31,0.0465577280393103
2021-01-15,2021-01-15,2160574,1.85499153,114304876,98.13807643,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,2458858,2.11064659,114032068,97.88340566,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,2731027,2.34514645,113717788,97.65002935,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,1904433,1.63529048,114549528,98.36090473,36686.86,0.0227776379202242
2021-01-19,2021-01-19,2699520,2.31699965,113803741,97.67781965,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,3137895,2.69072161,113473622,97.30278632,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,5420066,4.64239239,111322257,95.34968737,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,4528376,3.87405504,112357074,96.12220554,32986.34,0.0682115299982479
2021-01-23,2021-01-23,5064502,4.33527023,111753082,95.66188525,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,4610733,3.95104848,112075440,96.04015176,32275.63,0.0058950062456213
2021-01-25,2021-01-25,4683312,4.01210435,112035169,95.97839934,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,4248861,3.64148136,112424624,96.35339264,32474.14,0.0068351890388942
2021-01-27,2021-01-27,6030635,5.16267719,110778003,94.83430343,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,3382665,2.89401472,113499087,97.10332796,33399.75,0.0993616413394669
2021-01-29,2021-01-29,3236850,2.76443558,113845724,97.23007544,34269.35,0.0260361230248729
2021-01-30,2021-01-30,3223304,2.75001001,113981442,97.24497168,34289.85,0.0005982021835839
2021-01-31,2021-01-31,4378035,3.73604629,112800502,96.25959986,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,4272094,3.63992519,113086420,96.35230606,33546.09,0.0126751596394516
2021-02-02,2021-02-02,2272961,1.9335365,115275777,98.06148114,35504.06,0.0583665637336572
2021-02-03,2021-02-03,972151,0.82600794,116714461,99.16882352,37652.51,0.0605127976913064
2021-02-04,2021-02-04,1944554,1.64987503,115910560,98.34539905,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,1155227,0.97977428,116745531,99.01453905,38362.65,0.0374752582218156
2021-02-06,2021-02-06,934131,0.79215701,116982318,99.20274897,39249.54,0.0231185801815045
2021-02-07,2021-02-07,1117378,0.94843436,116690825,99.04758135,38849.25,-0.0101985908624662
2021-02-08,2021-02-08,0,0.0,117817514,99.98978609,46451.32,0.195681255107885
2021-02-09,2021-02-09,405218,0.34305037,117711048,99.65208517,46492.54,0.0008873805954277
2021-02-10,2021-02-10,1004453,0.84871652,117342154,99.14871482,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,34640,0.02920586,118563541,99.96390918,48060.21,0.0715765886287624
2021-02-12,2021-02-12,457715,0.38508452,118393406,99.60667223,47361.03,-0.0145480013508055
2021-02-13,2021-02-13,1068428,0.89891627,117780822,99.09427472,47221.62,-0.0029435592933683
2021-02-14,2021-02-14,81976,0.06902633,118675733,99.92864293,48655.21,0.0303587636341149
2021-02-15,2021-02-15,697150,0.58687972,118080243,99.4031421,47981.58,-0.0138449715868043
2021-02-16,2021-02-16,172160,0.14466376,118829580,99.85091549,49197.94,0.0253505616113516
2021-02-17,2021-02-17,124573,0.10449761,119082665,99.89206312,52194.62,0.0609106804065373
2021-02-18,2021-02-18,727828,0.60951096,118679233,99.38652209,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,22590,0.01888826,119563889,99.97139503,56004.1,0.0849365649161075
2021-02-20,2021-02-20,397680,0.33211899,119333118,99.66001565,55917.41,-0.0015479223842539
2021-02-21,2021-02-21,207598,0.17342927,119488439,99.82173622,57487.43,0.0280774806987662
2021-02-22,2021-02-22,1483222,1.23786691,118331869,98.75737098,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,2902701,2.41766738,117153496,97.57745847,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,2620436,2.17971259,117591019,97.81373189,49702.03,0.0157782546494993
2021-02-25,2021-02-25,4727629,3.92955105,115582016,96.07044729,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,5523265,4.58293075,114985876,95.40956416,46313.13,-0.0164843997700543
2021-02-27,2021-02-27,5621518,4.66458547,114883323,95.32711264,46102.63,-0.0045451473480631
2021-02-28,2021-02-28,5779556,4.79873988,114649865,95.19327766,45163.36,-0.0203734580868812
2021-03-01,2021-03-01,2218777,1.84016869,118348748,98.15392044,49592.7,0.0980737482773645
2021-03-02,2021-03-02,3456967,2.86331539,117271735,97.13311226,48450.57,-0.023030204042127
2021-03-03,2021-03-03,2173731,1.79857141,118677260,98.19500539,50373.75,0.0396936506629332
2021-03-04,2021-03-04,3883695,3.20852234,117147726,96.78182655,48385.77,-0.0394646020993076
2021-03-05,2021-03-05,3215466,2.65389213,117937339,97.33984923,48770.57,0.0079527513977766
2021-03-06,2021-03-06,3197593,2.64160493,117844818,97.35430742,48908.21,0.0028221937943313
2021-03-07,2021-03-07,1454048,1.20258623,119454693,98.79630468,50995.27,0.0426729990731618
2021-03-08,2021-03-08,893637,0.73967066,119917269,99.25650451,52429.43,0.0281233926205313
2021-03-09,2021-03-09,684132,0.56558171,120271943,99.43053604,54917.78,0.0474609393998752
2021-03-10,2021-03-10,641799,0.52992823,120463911,99.46607377,55947.98,0.018758952018818
2021-03-11,2021-03-11,28069,0.02314279,121246985,99.96771519,57844.52,0.0338982747902603
2021-03-12,2021-03-12,261527,0.21539521,121148263,99.77843599,57291.03,-0.0095685814317414
2021-03-13,2021-03-13,51218,0.04216769,121405312,99.95278467,61267.41,0.0694066767520151
2021-03-14,2021-03-14,823078,0.67805951,120558773,99.31746721,59037.12,-0.0364025507198688
2021-03-15,2021-03-15,2535709,2.08807008,118895360,97.90628341,55646.61,-0.0574301388685627
2021-03-16,2021-03-16,1971841,1.62179496,119607595,98.37456228,56954.19,0.0234979273670039
2021-03-17,2021-03-17,654179,0.53714583,121126532,99.45689381,58959.0,0.0352003952650366
2021-03-18,2021-03-18,1231293,1.00909246,120780775,98.98453809,57700.01,-0.0213536525382044
2021-03-19,2021-03-19,1450564,1.18720989,120722445,98.80493384,58089.11,0.0067434996978337
2021-03-20,2021-03-20,1861631,1.52400845,120287659,98.47247303,58145.61,0.0009726435815593
2021-03-21,2021-03-21,2166455,1.77894138,119611587,98.21667296,57415.18,-0.0125620833627853
2021-03-22,2021-03-22,4540245,3.7269486,117277672,96.26966285,54129.56,-0.0572256326636962
2021-03-23,2021-03-23,4492470,3.68782437,117322438,96.30883378,54400.0,0.0049961610624582
2021-03-24,2021-03-24,5552841,4.55776994,116276647,95.43983087,52311.54,-0.0383908088235294
2021-03-25,2021-03-25,6090309,4.99359024,115859932,94.99633371,51325.21,-0.0188549218776583
2021-03-26,2021-03-26,3972626,3.25235503,118166302,96.74174384,55030.0,0.0721826564372556
2021-03-27,2021-03-27,3320373,2.72051676,118727017,97.27787815,55828.0,0.014501181173905
2021-03-28,2021-03-28,3451745,2.83401882,118341600,97.16312232,55805.08,-0.0004105466790856
2021-03-29,2021-03-29,1438787,1.18078153,120405480,98.81418607,57677.64,0.0335553680776015
2021-03-30,2021-03-30,961933,0.78839217,121045380,99.20777214,58794.16,0.019357934894701
2021-03-31,2021-03-31,1418688,1.1610505,120768664,98.83675456,58807.24,0.0002224710753584
2021-04-01,2021-04-01,1582048,1.29323906,120742143,98.70020093,58794.01,-0.000224972299329
2021-04-02,2021-04-02,1206852,0.98519929,121285278,99.00979574,59031.36,0.0040369758756035
2021-04-03,2021-04-03,4025036,3.28338628,118557385,96.71210185,57134.65,-0.0321305489150173
2021-04-04,2021-04-04,2566842,2.09675223,119844362,97.89614354,58234.61,0.0192520650778467
2021-04-05,2021-04-05,1319256,1.07838075,121006482,98.91261541,59243.39,0.0173226883463286
2021-04-06,2021-04-06,3266798,2.66602574,119260740,97.32839379,58059.99,-0.0199752242402063
2021-04-07,2021-04-07,5712668,4.65720324,116942253,95.33616151,56018.18,-0.0351672468424468
2021-04-08,2021-04-08,3030623,2.46780952,119765598,97.52406792,58122.26,0.0375606633417937
2021-04-09,2021-04-09,3037003,2.46991258,119917413,97.52559571,58176.03,0.000925118878722
2021-04-10,2021-04-10,638974,0.51972076,122299836,99.47472557,59832.43,0.028472207539772
