start_time,date,range_0d_1d,range_0d_1d_percent,range_10y_inf,range_10y_inf_percent,range_12m_18m,range_12m_18m_percent,range_18m_2y,range_18m_2y_percent,range_1d_1w,range_1d_1w_percent,range_1m_3m,range_1m_3m_percent,range_1w_1m,range_1w_1m_percent,range_2y_3y,range_2y_3y_percent,range_3m_6m,range_3m_6m_percent,range_3y_5y,range_3y_5y_percent,range_5y_7y,range_5y_7y_percent,range_6m_12m,range_6m_12m_percent,range_7y_10y,range_7y_10y_percent,close,change
2021-01-01,2021-01-01,167143.13930558,0.00080417,7600473059.724413,36.56775154,526218823.07786864,2.53176862,684369836.9210131,3.29267217,3329621.16744143,0.01601963,111257097.3795349,0.53528535,25356008.62983841,0.12199401,2120839728.9045067,10.20388332,156266685.85461113,0.75183759,2998533345.145654,14.4266839,1756945773.3046584,8.4530997,404584863.1401974,1.94655762,4396291302.491956,21.15164238,29337.16,
2021-01-02,2021-01-02,83895.7260687,0.00040438,7604979221.985352,36.65642365,525219383.5562163,2.5315867,674652536.7779841,3.25186282,3949567.84253929,0.01903714,113145467.8380248,0.54536746,25878807.65172363,0.1247373,2087717132.3110013,10.06291292,155647290.5646939,0.75022861,2998949687.3324423,14.45510461,1746854223.7370534,8.4199347,402979480.2655245,1.94238355,4406591409.307285,21.24001616,32199.91,0.0975810201123763
2021-01-03,2021-01-03,121179.77554822,0.0005846,7602478221.490351,36.67592212,519535349.7213669,2.50634562,676202254.7027127,3.26213907,4326209.93217178,0.02087053,114132265.77540386,0.55059758,25360265.22460101,0.12234315,2071643805.767917,9.99403677,154609641.54114684,0.74586878,3008478387.073331,14.51351991,1740403694.5816207,8.39606619,398894942.4239893,1.92435143,4412612901.962625,21.28735426,33054.53,0.0265410679719291
2021-01-04,2021-01-04,150676.59300057,0.00072819,7605377809.103076,36.75516064,514916463.1549541,2.48848089,677743975.6642998,3.27539135,3954896.04576094,0.01911316,112498482.28793924,0.54368105,26938798.65550082,0.13018944,2063763484.1680112,9.97372652,152657793.86963305,0.73776239,3008104182.5197043,14.53752269,1728218195.6945138,8.35210807,400390226.7836778,1.93500014,4397284934.232496,21.25113547,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,136655.13416797,0.00066053,7608314021.985081,36.77543269,513695730.7135675,2.48299199,675862157.6525315,3.2668372,3740587.16472599,0.01808045,109363631.00949496,0.52861841,28936132.09125517,0.13986525,2055842543.723353,9.93708972,150140443.08170077,0.7257166,3015045799.802529,14.57348021,1726675881.3147187,8.34603468,401820406.46010107,1.9422331,4399003860.986505,21.26295917,33999.52,0.0614543941242049
2021-01-06,2021-01-06,160719.57888014,0.0007771,7612269928.026463,36.80652055,501792856.7976319,2.42624727,687376539.0232348,3.32357351,3600575.13560525,0.01740935,106439940.8823281,0.51465383,30388098.10275364,0.14693123,1991869905.7257023,9.6310038,150485318.37713584,0.72762015,3071426375.2334566,14.85082887,1723627248.5150063,8.33400843,402171823.0342161,1.94456392,4400242185.730668,21.27586199,36823.68,0.083064702089912
2021-01-07,2021-01-07,149686.78917344,0.00072447,7615871327.514689,36.8600802,487473428.1796092,2.35932422,696876813.8503745,3.37281634,3896679.8043261,0.01885955,100935266.38516876,0.48851692,30744093.85216955,0.14879844,1983006428.3354435,9.59755921,152889733.21277598,0.73997151,3072899252.173585,14.872535,1722287885.4515264,8.33570669,397526406.241306,1.92398934,4397013147.249606,21.28111811,39498.92,0.0726499904409336
2021-01-08,2021-01-08,179048.56966289,0.00086717,7619847586.772253,36.90434379,486280336.36908185,2.35514641,695576065.1599604,3.36880468,3624256.12171601,0.01755295,98667581.00996232,0.47786551,32241710.27407565,0.15615262,1974459331.5474868,9.56267499,152315421.2005624,0.73769201,3075155719.723996,14.893553,1719172720.892478,8.3262743,392489252.50790334,1.90089869,4397553839.702878,21.29817387,40637.23,0.0288187626395861
2021-01-09,2021-01-09,138251.05003287,0.00066989,7626507369.475603,36.95397319,479139443.5948909,2.32165332,694840379.8905573,3.36682462,4064333.32364623,0.01969358,98080060.77429648,0.47524348,33594538.9612239,0.16278116,1970086861.472836,9.54598659,150337541.98829266,0.72845527,3077894795.933684,14.91383097,1703114532.4974315,8.25238156,391975827.2675603,1.89930508,4408080969.089796,21.35920128,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,71535.36550323,0.00034668,7633975916.237964,36.99602987,478275354.0206269,2.31783405,693728467.8276279,3.36197014,4655639.45344349,0.02256232,97517097.65894347,0.47259063,35529839.95844776,0.1721859,1961739517.555297,9.50704778,149277650.09711874,0.72343435,3083853273.9118447,14.94507306,1697444652.481387,8.22621315,393413493.4155105,1.90657365,4405099011.92765,21.34813843,38221.67,-0.047697032392832
