start_time,date,sca,scda,close,change
2021-01-01,2021-01-01,20784633289.18383,46086970963896.016,29337.16,
2021-01-02,2021-01-02,20746648105.39067,45895781378559.88,32199.91,0.0975810201123763
2021-01-03,2021-01-03,20728799120.23874,45808778445062.76,33054.53,0.0265410679719291
2021-01-04,2021-01-04,20691999919.61271,45755194729034.695,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,20688577851.013702,45735243666484.95,33999.52,0.0614543941242049
2021-01-06,2021-01-06,20681851515.0622,45713851278736.13,36823.68,0.083064702089912
2021-01-07,2021-01-07,20661570148.622643,45569166665497.92,39498.92,0.0726499904409336
2021-01-08,2021-01-08,20647562869.57853,45467328478129.7,40637.23,0.0288187626395861
2021-01-09,2021-01-09,20637854905.647247,45433531552647.805,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,20634581451.04608,45485988464610.35,38221.67,-0.047697032392832
2021-01-11,2021-01-11,20627797460.239838,45464278783267.97,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,20630847578.695538,45519398902583.49,34056.9,-0.038170538905109
2021-01-13,2021-01-13,20634017203.11539,45607964161344.56,37421.07,0.0987808637897165
2021-01-14,2021-01-14,20637225429.824333,45675785994089.0,39163.31,0.0465577280393103
2021-01-15,2021-01-15,20636894192.35076,45717848548701.75,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,20645091534.16274,45845183355171.125,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,20654236758.21688,45974755518753.96,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,20659197235.348663,46074624571451.016,36686.86,0.0227776379202242
2021-01-19,2021-01-19,20664182414.253696,46130574840754.09,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,20672208670.21796,46246973624622.23,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,20680556798.77715,46349328670890.336,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,20686975013.383545,46458531371827.445,32986.34,0.0682115299982479
2021-01-23,2021-01-23,20700192410.56612,46615987055311.48,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,20713326861.29889,46779625068825.07,32275.63,0.0058950062456213
2021-01-25,2021-01-25,20721643638.730804,46925990741303.06,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,20732522365.07643,47072544406464.88,32474.14,0.0068351890388942
2021-01-27,2021-01-27,20712354149.989044,46987036010532.41,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,20717171583.86948,47060363425258.75,33399.75,0.0993616413394669
2021-01-29,2021-01-29,20717912989.721264,47082833762376.92,34269.35,0.0260361230248729
2021-01-30,2021-01-30,20726244432.351337,47209693338547.63,34289.85,0.0005982021835839
2021-01-31,2021-01-31,20725664307.749737,47301740196768.52,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,20735960195.69392,47427176620889.03,33546.09,0.0126751596394516
2021-02-02,2021-02-02,20747031144.54478,47553452749139.55,35504.06,0.0583665637336572
2021-02-03,2021-02-03,20754955566.70949,47660602190420.87,37652.51,0.0605127976913064
2021-02-04,2021-02-04,20757816411.54246,47701068812402.27,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,20756431875.148563,47727737341207.17,38362.65,0.0374752582218156
2021-02-06,2021-02-06,20765223700.00978,47856590252382.03,39249.54,0.0231185801815045
2021-02-07,2021-02-07,20757516999.25919,47992777966760.18,38849.25,-0.0101985908624662
2021-02-08,2021-02-08,20757499756.009617,48053638584961.71,46451.32,0.195681255107885
2021-02-09,2021-02-09,20750224140.08974,47942776190261.37,46492.54,0.0008873805954277
2021-02-10,2021-02-10,20751671342.48285,47974789761790.266,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,20757177177.706795,48073002377001.47,48060.21,0.0715765886287624
2021-02-12,2021-02-12,20760532851.277798,48156000218482.0,47361.03,-0.0145480013508055
2021-02-13,2021-02-13,20771561532.42265,48320046046138.06,47221.62,-0.0029435592933683
2021-02-14,2021-02-14,20779206230.68912,48478113779345.18,48655.21,0.0303587636341149
2021-02-15,2021-02-15,20784302182.98325,48529393974276.14,47981.58,-0.0138449715868043
2021-02-16,2021-02-16,20787401088.706127,48636972897998.2,49197.94,0.0253505616113516
2021-02-17,2021-02-17,20789627019.477127,48694520161578.24,52194.62,0.0609106804065373
2021-02-18,2021-02-18,20787489158.83642,48742284597337.68,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,20782899402.33442,48738278105026.41,56004.1,0.0849365649161075
2021-02-20,2021-02-20,20780622902.67316,48772472917337.33,55917.41,-0.0015479223842539
2021-02-21,2021-02-21,20784491827.328693,48891405519094.914,57487.43,0.0280774806987662
2021-02-22,2021-02-22,20788070142.310757,48989546681502.56,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,20773434560.88469,48903971860764.56,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,20760576440.06617,48961745557619.94,49702.03,0.0157782546494993
2021-02-25,2021-02-25,20760948969.909763,49060141174856.18,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,20759290035.94434,49093471259011.13,46313.13,-0.0164843997700543
2021-02-27,2021-02-27,20767647961.215824,49250914710421.484,46102.63,-0.0045451473480631
2021-02-28,2021-02-28,20775521750.57902,49459058337143.086,45163.36,-0.0203734580868812
2021-03-01,2021-03-01,20785902723.08673,49612193713298.54,49592.7,0.0980737482773645
2021-03-02,2021-03-02,20786383653.517944,49737247159886.69,48450.57,-0.023030204042127
2021-03-03,2021-03-03,20797114024.585163,49918778978566.63,50373.75,0.0396936506629332
2021-03-04,2021-03-04,20805446040.17604,50075885088679.016,48385.77,-0.0394646020993076
2021-03-05,2021-03-05,20807366317.008705,50203368746645.77,48770.57,0.0079527513977766
2021-03-06,2021-03-06,20819041859.54685,50420213066134.85,48908.21,0.0028221937943313
2021-03-07,2021-03-07,20833025720.180656,50648820664725.41,50995.27,0.0426729990731618
2021-03-08,2021-03-08,20829120209.34261,50782377652223.41,52429.43,0.0281233926205313
2021-03-09,2021-03-09,20838070613.633427,50944927547841.48,54917.78,0.0474609393998752
2021-03-10,2021-03-10,20846784353.24144,51096885900357.66,55947.98,0.018758952018818
