start_time,datetime,range_0d_1d,range_0d_1d_percent,range_10y_inf,range_10y_inf_percent,range_12m_18m,range_12m_18m_percent,range_18m_2y,range_18m_2y_percent,range_1d_1w,range_1d_1w_percent,range_1m_3m,range_1m_3m_percent,range_1w_1m,range_1w_1m_percent,range_2y_3y,range_2y_3y_percent,range_3m_6m,range_3m_6m_percent,range_3y_5y,range_3y_5y_percent,range_5y_7y,range_5y_7y_percent,range_6m_12m,range_6m_12m_percent,range_7y_10y,range_7y_10y_percent,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,570588,0.49316374,41161,0.03557578,19110314,16.51719613,22083159,19.08664967,1745330,1.50850258,4532540,3.91751031,3413069,2.94994264,15891599,13.7352352,5168824,4.46745563,16930185,14.63289333,10120411,8.74715159,11635727,10.05685124,4456597,3.85187217,29015.0,
2021-01-01 01:00:00,2021-01-01 01:00:00,556538,0.48110267,41166,0.0355862,19106347,16.51659824,22087383,19.093573,1748802,1.51176256,4529157,3.9152574,3412117,2.94962536,15893931,13.73960563,5166826,4.46649426,16930493,14.63566797,10120283,8.74854039,11629556,10.05324064,4457075,3.85294568,29448.4,0.0149371014992245
2021-01-01 02:00:00,2021-01-01 02:00:00,557727,0.48218967,41167,0.03559143,19101577,16.51450113,22087821,19.09629476,1738681,1.50319784,4522903,3.9103309,3420494,2.95722976,15897798,13.74463496,5163609,4.46426107,16930890,14.63780724,10120352,8.74967363,11625564,10.051023,4456897,3.8532646,29237.06,-0.0071766208011301
2021-01-01 03:00:00,2021-01-01 03:00:00,553127,0.47822258,41168,0.03559303,19101288,16.51459294,22086466,19.09551835,1745538,1.50915737,4518099,3.90625836,3423699,2.96006193,15899699,13.74656289,5162822,4.46367301,16931830,14.63892279,10120939,8.75036216,11621406,10.04763603,4457006,3.85343857,29302.11,0.0022249159115177
2021-01-01 04:00:00,2021-01-01 04:00:00,533068,0.46089458,41173,0.03559848,19094581,16.50931747,22089715,19.09893272,1763779,1.52497651,4522762,3.91041383,3420532,2.95741754,15901849,13.74885752,5161467,4.46264295,16935116,14.64222789,10120419,8.75018992,11617090,10.04422286,4457870,3.85430773,29237.07,-0.0022196353777936
2021-01-01 05:00:00,2021-01-01 05:00:00,521765,0.45118908,41174,0.03560465,19091631,16.50922415,22093226,19.10481196,1765086,1.52633373,4522211,3.91051949,3413798,2.95203466,15903824,13.75261209,5162844,4.46449802,16935462,14.6447068,10119882,8.75102815,11613185,10.04234129,4458118,3.85509595,29213.8,-0.0007959073874366
2021-01-01 06:00:00,2021-01-01 06:00:00,520414,0.45015529,41175,0.03561615,19088554,16.51149572,22097272,19.11402048,1758223,1.52085336,4526089,3.91504245,3385842,2.92873497,15907095,13.75955093,5159868,4.46325785,16936684,14.65013984,10119937,8.75369064,11608627,10.04139942,4457881,3.8560429,29197.3,-0.000564801566383
2021-01-01 07:00:00,2021-01-01 07:00:00,510646,0.44172466,41176,0.03561852,19085469,16.50952397,22102415,19.11927604,1766086,1.52771929,4526353,3.91543605,3380829,2.92452218,15910864,13.76339196,5158209,4.46201113,16936925,14.65096662,10119612,8.75377895,11606028,10.039575,4458170,3.85645563,29107.71,-0.003068434410031
2021-01-01 08:00:00,2021-01-01 08:00:00,502233,0.43454598,41179,0.03562922,19082946,16.51109653,22106081,19.12679716,1768388,1.53005857,4527640,3.91744027,3358119,2.90553812,15912160,13.76764415,5158664,4.46341981,16938488,14.65565173,10119332,8.75552797,11602881,10.0391359,4458380,3.85751459,29025.89,-0.0028109390948308
2021-01-01 09:00:00,2021-01-01 09:00:00,490000,0.4239678,41180,0.0356306,19069816,16.49997551,22111390,19.13166825,1774974,1.53577924,4529023,3.91869374,3361450,2.90846239,15918774,13.77356662,5157278,4.46228536,16939135,14.65642419,10118398,8.75484688,11604095,10.04033197,4459301,3.85836745,29229.6,0.007018217184727
2021-01-01 10:00:00,2021-01-01 10:00:00,484977,0.41979401,41181,0.0356461,19069041,16.5060802,22113319,19.14119419,1777122,1.53826919,4530665,3.92172421,3318889,2.8728161,15919935,13.78022753,5155286,4.46239348,16939625,14.66286683,10118470,8.75850428,11599539,10.04051126,4459325,3.85997262,29259.29,0.0010157511563622
2021-01-01 11:00:00,2021-01-01 11:00:00,479209,0.41480707,41182,0.03564746,19068081,16.50548039,22118950,19.14633651,1778416,1.53941083,4531496,3.92249846,3321805,2.87538045,15919167,13.77975575,5151715,4.45936489,16939753,14.66318299,10119563,8.75957306,11596844,10.03831907,4459575,3.86024308,29341.99,0.0028264527266383
2021-01-01 12:00:00,2021-01-01 12:00:00,479221,0.41485598,41186,0.03565424,19064396,16.50382321,22122161,19.15089438,1772213,1.53418393,4531573,3.9229294,3316705,2.87123248,15922400,13.78383426,5151105,4.45925096,16940261,14.66498454,10119546,8.76037185,11594427,10.03715897,4459834,3.8608258,29257.82,-0.0028685852595546
2021-01-01 13:00:00,2021-01-01 13:00:00,485656,0.42042283,41190,0.03565737,19058539,16.49860162,22125587,19.15368463,1770487,1.5326757,4532564,3.92375133,3311879,2.86702838,15922983,13.78421258,5151016,4.45913304,16940616,14.66515742,10120105,8.76077546,11595433,10.03793783,4460032,3.86096181,29493.66,0.0080607509376979
2021-01-01 14:00:00,2021-01-01 14:00:00,469904,0.40680286,41192,0.03566052,19057166,16.49807101,22126417,19.15516709,1784516,1.54488195,4532293,3.92367321,3308353,2.86409022,15923018,13.78479265,5150641,4.45898624,16942402,14.66728848,10119797,8.76085823,11595361,10.03827585,4460420,3.86145169,29354.58,-0.0047155897233506
2021-01-01 15:00:00,2021-01-01 15:00:00,473287,0.40976826,41193,0.03566458,19053944,16.49675882,22128230,19.15845209,1774999,1.53678054,4534804,3.92619858,3302616,2.85937964,15922636,13.78569633,5150213,4.45901498,16943072,14.669182,10119667,8.7615302,11595915,10.03965441,4460561,3.86191956,29210.84,-0.0048966805179976
2021-01-01 16:00:00,2021-01-01 16:00:00,464290,0.40198756,41195,0.0356671,19048783,16.49265301,22134345,19.16416769,1786803,1.54703436,4536499,3.92775244,3296266,2.8539446,15922410,13.7858037,5149475,4.45847403,16944623,14.67084735,10119551,8.76162237,11593554,10.03783094,4460804,3.86221485,29324.21,0.0038810934570865
2021-01-01 17:00:00,2021-01-01 17:00:00,470651,0.40749778,41198,0.03566994,19045893,16.49026375,22138041,19.167499,1785265,1.54571333,4534336,3.92590658,3293791,2.85182125,15923953,13.78723407,5148502,4.45766213,16945457,14.67166991,10119748,8.76185294,11590090,10.03490049,4460882,3.86230883,29099.0,-0.0076800022916218
2021-01-01 18:00:00,2021-01-01 18:00:00,476994,0.41302767,41200,0.03567496,19040039,16.48671249,22140858,19.17170233,1773466,1.53563887,4534306,3.92624192,3292501,2.85096671,15925365,13.78972564,5148457,4.45803343,16941015,14.66917392,10123566,8.76596534,11588300,10.03427411,4461111,3.86286259,29086.62,-0.0004254441733393
2021-01-01 19:00:00,2021-01-01 19:00:00,458311,0.39683212,41201,0.0356742,19037237,16.48353862,22144211,19.17373605,1793058,1.55253311,4535376,3.92699032,3294639,2.85268861,15925610,13.78931236,5148941,4.45825031,16940759,14.66828696,10124955,8.76677045,11586793,10.03251417,4461325,3.86287269,29048.47,-0.0013115996289702
