start_time,datetime,tokens_transferred_count_mean,tokens_transferred_count_total,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,51.84981685,14155,734.6,
2021-01-01 01:00:00,2021-01-01 01:00:00,53.82191781,15716,749.33,0.0200517288320174
2021-01-01 02:00:00,2021-01-01 02:00:00,62.09152542,18317,745.15,-0.0055783166295224
2021-01-01 03:00:00,2021-01-01 03:00:00,78.38148148,21163,745.88,0.0009796685231162
2021-01-01 04:00:00,2021-01-01 04:00:00,83.19133574,23044,743.4,-0.0033249316243899
2021-01-01 05:00:00,2021-01-01 05:00:00,68.86267606,19557,741.61,-0.0024078557976862
2021-01-01 06:00:00,2021-01-01 06:00:00,54.612,13653,740.76,-0.0011461549871226
2021-01-01 07:00:00,2021-01-01 07:00:00,78.97942387,19192,738.18,-0.0034829094443544
2021-01-01 08:00:00,2021-01-01 08:00:00,82.636,20659,731.01,-0.0097130781110297
2021-01-01 09:00:00,2021-01-01 09:00:00,76.27419355,18916,734.38,0.004610060053898
2021-01-01 10:00:00,2021-01-01 10:00:00,58.67892977,17545,737.69,0.0045072033552113
2021-01-01 11:00:00,2021-01-01 11:00:00,68.98888889,18627,739.88,0.0029687267009177
2021-01-01 12:00:00,2021-01-01 12:00:00,65.35640138,18888,734.03,-0.0079066875709574
2021-01-01 13:00:00,2021-01-01 13:00:00,70.58088235,19198,741.06,0.0095772652343908
2021-01-01 14:00:00,2021-01-01 14:00:00,68.81184669,19749,738.81,-0.0030361914015059
2021-01-01 15:00:00,2021-01-01 15:00:00,66.50337838,19685,736.06,-0.0037222019193026
2021-01-01 16:00:00,2021-01-01 16:00:00,69.21254355,19864,736.59,0.0007200499959243
2021-01-01 17:00:00,2021-01-01 17:00:00,67.84274194,16825,729.02,-0.0102770876607067
2021-01-01 18:00:00,2021-01-01 18:00:00,75.89454545,20871,725.14,-0.0053222133823489
2021-01-01 19:00:00,2021-01-01 19:00:00,80.35606061,21214,725.68,0.0007446837852
2021-01-01 20:00:00,2021-01-01 20:00:00,65.57194245,18229,730.01,0.0059668173299527
2021-01-01 21:00:00,2021-01-01 21:00:00,66.33333333,17711,728.89,-0.0015342255585539
2021-01-01 22:00:00,2021-01-01 22:00:00,60.8745098,15523,729.53,0.0008780474420009
2021-01-01 23:00:00,2021-01-01 23:00:00,53.4384058,14749,729.77,0.0003289789316409
2021-01-02 00:00:00,2021-01-02 00:00:00,49.4,13338,720.8,-0.0122915439110953
2021-01-02 01:00:00,2021-01-02 01:00:00,53.21641791,14262,730.2,0.013041065482797
2021-01-02 02:00:00,2021-01-02 02:00:00,54.41979522,15945,730.69,0.0006710490276635
2021-01-02 03:00:00,2021-01-02 03:00:00,61.95189003,18028,731.42,0.0009990556870902
2021-01-02 04:00:00,2021-01-02 04:00:00,68.11913357,18869,730.21,-0.0016543162615185
2021-01-02 05:00:00,2021-01-02 05:00:00,58.82022472,15705,732.84,0.0036017036195066
2021-01-02 06:00:00,2021-01-02 06:00:00,53.63257576,14159,737.88,0.0068773538562305
2021-01-02 07:00:00,2021-01-02 07:00:00,75.33579336,20416,735.82,-0.0027917818615492
2021-01-02 08:00:00,2021-01-02 08:00:00,72.40740741,19550,734.51,-0.0017803267103368
2021-01-02 09:00:00,2021-01-02 09:00:00,56.63879599,16935,726.31,-0.011163905188493
2021-01-02 10:00:00,2021-01-02 10:00:00,60.2605364,15728,729.42,0.0042819181892028
2021-01-02 11:00:00,2021-01-02 11:00:00,64.75849057,17161,730.5,0.0014806284445176
2021-01-02 12:00:00,2021-01-02 12:00:00,50.38541667,14511,753.78,0.0318685831622176
2021-01-02 13:00:00,2021-01-02 13:00:00,67.29104478,18034,772.35,0.0246358353896363
2021-01-02 14:00:00,2021-01-02 14:00:00,76.51851852,20660,762.02,-0.0133747653266006
2021-01-02 15:00:00,2021-01-02 15:00:00,78.12195122,19218,769.57,0.0099078764336895
2021-01-02 16:00:00,2021-01-02 16:00:00,74.93055556,21580,783.71,0.0183738971113738
2021-01-02 17:00:00,2021-01-02 17:00:00,78.8619403,21135,780.11,-0.0045935358742392
2021-01-02 18:00:00,2021-01-02 18:00:00,64.53020134,19230,781.16,0.0013459640307136
2021-01-02 19:00:00,2021-01-02 19:00:00,73.00363636,20076,785.41,0.0054406267602027
