l,o,c,t,h,low,high,close,volume,open
3519642109,3592941969,3527345802,1582761600,3592941969,8533.9,8978.0,8828.0,200638.488,8793.96
2989640750,3512645211,3030810420,1582848000,3512645211,8450.0,8908.86,8699.57,196066.11,8827.12
3025077245,3043305844,3039152135,1582934400,3068482521,8530.0,8799.83,8531.98,103524.685,8699.86
2998977064,3039667141,3061279586,1583020800,3099737456,8409.0,8762.24,8537.84,174332.916,8532.5
3045062034,3073924322,3087582321,1583107200,3092824330,8504.95,8972.0,8919.7,160294.484,8537.84
3005264467,3070808130,3030927997,1583193600,3078001429,8657.41,8922.34,8765.0,160123.605,8919.7
2983559630,3013832153,3388922515,1583280000,3411555483,8669.23,8853.88,8756.93,105462.12,8765.0
3301587669,3336546980,3431167376,1583366400,3451266481,8755.98,9172.3,9062.81,161840.623,8755.98
3375907594,3452220729,3750641979,1583452800,3769240195,8994.14,9179.75,9139.48,115011.583,9062.62
3735239095,3751811122,3748308280,1583539200,3763001868,8850.0,9204.0,8897.18,125804.999,9139.77
3715779927,3741212132,3732738524,1583625600,3763539975,7997.7,8897.71,8038.46,237407.028,8895.62
3287878770,3643109525,3341576044,1583712000,3643109525,7635.21,8182.31,7932.15,334399.107,8038.99
3271734618,3375249060,3271734618,1583798400,3375249060,7733.0,8156.31,7897.66,257068.702,7932.45
3186072374,3216263693,3256716007,1583884800,3274099516,7593.29,7988.0,7938.39,220537.381,7898.21
2215858643,3280148459,2215858643,1583971200,3363376095,4347.0,7969.0,4764.65,784747.02,7938.39
1817811605,2170335588,1817811605,1584057600,2484929290,3621.81,5971.0,5570.26,935489.242,4762.28
1765407172,1812511702,1801345085,1584144000,1813966485,5040.0,5638.42,5167.01,316242.586,5569.84
1604441279,1798612573,1604441279,1584230400,1798612573,5089.12,5954.47,5357.32,356311.765,5167.21
1570912492,1604231924,1570912492,1584316800,1665476150,4413.62,5361.26,5026.26,621555.792,5354.81
1536975762,1582037047,1574203357,1584403200,1582037047,4913.49,5529.98,5307.38,429908.098,5027.11
1568641632,1584383295,1650389915,1584489600,1677454778,4982.75,5435.0,5389.64,402005.703,5306.42
1608521490,1641724773,1666766269,1584576000,1674571751,5246.5,6400.0,6159.6,499391.19,5389.94
1587808060,1679258281,1598480905,1584662400,1679258281,5650.0,6911.0,6203.77,571898.016,6159.41
1506308472,1591102842,1578484057,1584748800,1591102842,5854.01,6457.17,6183.69,387679.649,6204.47
1578964664,1578964664,1844957790,1584835200,1844957790,5730.35,6408.91,5810.17,391002.795,6183.84
1582360145,1852114981,1582360145,1584921600,1852114981,5670.0,6619.9,6463.84,489746.087,5810.3
1557461233,1584826353,1599821464,1585008000,1599821464,6369.0,6840.0,6741.33,437968.553,6463.21
1545700515,1589890682,1633261648,1585094400,1644028474,6436.26,6960.71,6673.41,400684.542,6740.86
1603931597,1626168986,1642090389,1585180800,1649067820,6500.0,6777.5,6733.76,281245.628,6673.57
1629015334,1649470263,1702086262,1585267200,1707199035,6230.0,6840.0,6353.64,258213.519,6733.76
1655694959,1698671113,1766771446,1585353600,1766771446,6004.0,6354.74,6230.95,341944.185,6353.64
1738294611,1765774657,1777790815,1585440000,1783481814,5857.6,6260.0,5876.27,251335.919,6231.81
1634285337,1773745077,1784954705,1585526400,1804194512,5850.0,6606.15,6391.08,387321.998,5876.27
1716026293,1774490130,1770494278,1585612800,1778720369,6320.0,6516.63,6407.1,262522.644,6389.52
1719985485,1764284964,1794065124,1585699200,1801609352,6140.0,6693.0,6641.51,390529.602,6407.1
1432962988,1795982187,1734614451,1585785600,1805716067,6542.73,7290.0,6791.63,531321.428,6641.22
1647141307,1756781249,1699206051,1585872000,1785865375,6600.0,7049.11,6729.8,411944.927,6791.65
1701358517,1713326141,1770364781,1585958400,1770364781,6629.99,7020.0,6851.1,319849.757,6729.8
1735523947,1780428896,1760430914,1586044800,1795250025,6668.02,6893.44,6768.9,239224.508,6851.4
1738295531,1762420393,1853141765,1586131200,1864038944,6760.0,7370.0,7325.73,461331.013,6768.9
1846435341,1869204892,1897856570,1586217600,1906300609,7070.43,7457.0,7192.9,419572.04,7325.73
1847646239,1909343455,1880270906,1586304000,1917103465,7145.14,7417.83,7357.66,332599.575,7192.9
1868866857,1879012604,1928423835,1586390400,1942954635,7105.98,7365.69,7278.65,293638.581,7357.15
1903212790,1928785601,1934812353,1586476800,1938321172,6741.0,7290.0,6857.82,440148.453,7278.83
1923910563,1932673473,1985876190,1586563200,1985876190,6757.29,6944.28,6874.18,224157.844,6858.0
1987631779,1987631779,2102630935,1586649600,2102630935,6775.66,7173.98,6900.52,321594.822,6874.17
2023571228,2125353483,2079203999,1586736000,2157953979,6558.0,6900.99,6834.0,421954.773,6900.19
2046199354,2081636972,2081567971,1586822400,2093040820,6751.0,6975.6,6864.11,280445.427,6834.01
2060654497,2096016070,2169313579,1586908800,2622111239,6602.59,6929.0,6616.89,281136.689,6864.11
1991376680,2181631672,1994380676,1586995200,2188755683,6465.33,7190.92,7098.15,559868.603,6616.88
1922743680,1990819625,2072207142,1587081600,2076023524,6981.0,7140.0,7022.44,277339.601,7098.15
2070980953,2075219531,2167047977,1587168000,2167047977,7008.11,7290.0,7242.42,225807.171,7022.0
2073700368,2172225335,2119527619,1587254400,2172225335,7055.0,7258.42,7118.03,216975.114,7242.49
2090852767,2117515128,2187484099,1587340800,2192408571,6735.95,7208.55,6825.29,445104.981,7118.04
2174449546,2186502186,2289385517,1587427200,2295141097,6759.16,6940.0,6838.0,288024.528,6825.28
2254983218,2288678831,2343447492,1587513600,2357183989,6812.57,7154.9,7120.06,306482.163,6838.0
2155150061,2338676861,2155150061,1587600000,2338676861,7020.0,7802.38,7483.35,472510.047,7120.06
2071157683,2155117800,2138001583,1587686400,2160608369,7388.0,7612.91,7504.11,278378.368,7483.36
2100453066,2141224763,2187275242,1587772800,2187275242,7433.0,7722.33,7534.01,243266.807,7504.62
2146468747,2146508747,2252968557,1587859200,2264321884,7476.86,7709.57,7694.17,269921.936,7534.01
2196239929,2212244540,2244066653,1587945600,2244066653,7623.98,7795.6,7774.0,290336.169,7693.63
2224895750,2244988628,2312150089,1588032000,2312302955,7662.49,7780.0,7735.75,217652.761,7774.0
2291777822,2308552825,2492239524,1588118400,2492239524,7710.0,8988.66,8784.2,871197.569,7735.76
1810493958,2505899291,2407282949,1588204800,2595095085,8400.0,9479.77,8624.76,944211.711,8784.05
2362360748,2410492650,2418027707,1588291200,2453282672,8619.84,9065.0,8830.52,417820.386,8623.61
2401270339,2412605561,2505603075,1588377600,2509093056,8755.01,9020.0,8975.18,295769.728,8830.52
2478413861,2516665470,2522818534,1588464000,2599130982,8727.24,9200.0,8900.0,451322.713,8975.18
2543797417,2550358839,2565164821,1588550400,2588857697,8526.0,8954.94,8873.98,440135.307,8899.99
2531508705,2580260375,2578522168,1588636800,2646862627,8766.12,9118.17,9022.78,409920.13,8873.99
2544265452,2575462710,2783848288,1588723200,4150445411,8916.01,9405.0,9148.27,507753.8,9022.76
2705087566,2790707622,2789442167,1588809600,2790707622,9022.0,10080.0,9995.0,738920.219,9148.29
2769210069,2769210069,3088199735,1588896000,3088199735,9726.0,10045.03,9807.49,458034.211,9994.74
3053134713,3068379538,3232751023,1588982400,3232751023,9528.23,9923.98,9550.67,411941.957,9809.63
2646760952,3230286743,2713786823,1589068800,3230286743,7940.0,9580.0,8719.53,842909.031,9550.25
2583846765,2690053529,2679468382,1589155200,2690053529,8151.12,9164.0,8561.09,805164.964,8723.23
2527176934,2681503594,2658879309,1589241600,2681503594,8520.43,8981.0,8808.71,369716.041,8560.73
2637138762,2671951248,2821111320,1589328000,2821111320,8790.04,9397.0,9305.91,379719.0,8808.71
2841028661,2852174216,2858830548,1589414400,2979211779,9250.66,9950.0,9786.8,602528.438,9305.91
2704926346,2872652829,2901818901,1589500800,2901818901,9100.0,9843.5,9310.73,504107.096,9787.62
2783490468,2878858923,2814059284,1589587200,2878858923,9210.03,9585.0,9374.99,287768.201,9311.21
2761712976,2800066885,3007252460,1589673600,3007252460,9317.16,9880.0,9678.57,300859.34,9374.99
2928171214,3022230940,3011589279,1589760000,3101051590,9450.0,9958.67,9731.1,363732.37,9677.31
2914068388,3005706637,2914068388,1589846400,3025217953,9462.0,9900.0,9773.64,376313.845,9731.11
2890245934,2900328408,3042647334,1589932800,3047738411,9281.42,9838.0,9508.11,334423.59,9772.66
2959552360,2994109220,2959552360,1590019200,3044786154,8812.2,9573.0,9060.0,461439.193,9508.0
2879794172,2972506674,2917706613,1590105600,2976001205,8920.0,9259.38,9166.4,276008.073,9060.0
2932330258,2932330258,2950796780,1590192000,2966293459,9076.9,9300.0,9176.41,201589.66,9166.43
2920285704,2947439772,2979942678,1590278400,2989383012,8674.0,9294.44,8711.37,339643.378,9176.32
2981828671,2981828671,3041631524,1590364800,3073129977,8623.38,8977.0,8895.65,302980.106,8711.37
3000202169,3036167847,3047111755,1590451200,3066260998,8693.18,9011.82,8837.05,275619.158,8895.66
3017131249,3037120154,3161981205,1590537600,3161981205,8811.0,9230.0,9197.32,272253.998,8837.88
3058765997,3137550873,3144959047,1590624000,3144959047,9110.97,9621.65,9569.59,327412.374,9197.32
3086032005,3150242855,3099674421,1590710400,3150242855,9317.42,9598.0,9422.26,238691.299,9569.58
3107292448,3108378370,3216446735,1590796800,3216446735,9326.01,9753.0,9695.0,255234.058,9422.11
3162038141,3217376699,3162038141,1590883200,3228763642,9371.76,9698.0,9446.43,219829.356,9694.38
3141010057,3165962003,3309491176,1590969600,3309491176,9420.85,10497.25,10232.48,333740.457,9446.49
3242513592,3283953342,3242513592,1591056000,3769952767,9264.15,10262.3,9514.9,354168.517,10232.41
2991436705,3143028717,3003589337,1591142400,3143028717,9382.33,9694.75,9663.59,185389.412,9514.9
3000316854,3001030553,3585848495,1591228800,3590339561,9440.0,9884.0,9788.33,264515.319,9663.58
3561702895,3592216766,3610992044,1591315200,3642867084,9580.52,9855.0,9617.29,237103.042,9788.32
3564398516,3619218591,3586887079,1591401600,3619218591,9528.0,9738.77,9664.0,152526.703,9616.64
3566067203,3586830596,3701491115,1591488000,3701491115,9373.0,9823.13,9743.92,253986.313,9664.01
3452788929,3716960964,3595703081,1591574400,3727024879,9631.0,9816.0,9778.87,162086.419,9743.92
3545583772,3610178589,3585391044,1591660800,3651807474,9550.03,9890.0,9771.66,204422.819,9778.87
3593117355,3594869205,3659360468,1591747200,3707877609,9681.21,10015.99,9884.99,193628.149,9771.66
3653858402,3661340016,3830081856,1591833600,3830081856,9055.07,9970.1,9278.03,404046.613,9884.99
3574028450,3802395625,3646793783,1591920000,3802395625,9238.0,9550.0,9458.91,211611.34,9277.72
3601567610,3664398584,3612800076,1592006400,3664398584,9340.0,9497.85,9468.54,113449.075,9458.77
3077169973,3608423317,3655426519,1592092800,3655426519,9240.97,9477.0,9339.61,143978.523,9468.55
3620962232,3632396161,3701537030,1592179200,3720605708,8888.43,9490.83,9422.01,413865.727,9339.7
3654568118,3695663930,3696616224,1592265600,3749901749,9370.0,9595.0,9519.12,225713.247,9422.01
3682200410,3698651980,3736962211,1592352000,3736962211,9231.03,9569.0,9458.45,227477.39,9519.13
