o,h,c,l,t,close,low,open,high,volume
0.00361119,0.00719187,0.00643187,-0.00045366,1682208000,27576.0,27279.7,27807.2,27807.3,332082.355
0.00643187,0.00719464,0.00396581,0.00087527,1682294400,27497.5,26919.3,27575.9,28000.0,581268.268
0.00396581,0.01000517,0.00451435,0.00388728,1682380800,28286.7,27176.6,27497.4,28379.9,508254.515
0.00451435,0.011725,0.001335,-0.00594178,1682467200,28395.9,27200.0,28286.7,30048.2,1284924.668
0.001335,0.007383,0.006673,-0.001618,1682553600,29459.0,28365.3,28396.0,29898.0,952584.739
0.006673,0.010006,-0.000404,-0.000404,1682640000,29300.0,28870.0,29459.0,29591.1,508350.155
-0.000404,0.007602,0.002456,-0.006887,1682726400,29212.7,29000.4,29300.0,29443.9,218013.244
0.002456,0.008414,0.002533,0.000008,1682812800,29223.0,29067.4,29212.7,29950.0,417798.846
0.002533,0.010096,0.004048,-0.003352,1682899200,28054.4,27650.0,29223.0,29325.5,624974.488
0.004048,0.009093,0.002537,-0.003829,1682985600,28656.5,27854.0,28054.5,28888.0,513546.269
0.002537,0.010101,0.010002,0.002537,1683072000,29018.4,28080.0,28656.4,29258.4,676466.23
0.010002,0.012066,0.002508,0.002095,1683158400,28826.0,28660.0,29018.4,29380.0,426425.584
0.002508,0.010841,0.007938,-0.000414,1683244800,29491.5,28618.3,28826.0,29693.0,578485.177
0.007938,0.010361,-0.000231,-0.000678,1683331200,28837.8,28333.0,29491.5,29840.0,475628.901
-0.000231,0.007281,0.001835,-0.002062,1683417600,28419.4,28370.0,28837.9,29137.0,308410.643
0.001835,0.005841,0.002151,-0.008572,1683504000,27659.8,27250.0,28419.5,28624.6,658188.777
0.002151,0.009053,0.005392,-0.000272,1683590400,27610.2,27316.8,27659.8,27815.6,367664.686
0.005392,0.007031,-0.00066,-0.007757,1683676800,27582.9,26666.6,27610.2,28297.0,722502.676
-0.00066,0.008063,0.003436,-0.001834,1683763200,26956.4,26688.8,27583.0,27630.0,538822.363
0.003436,0.008349,0.002158,-0.000706,1683849600,26785.1,25751.0,26956.4,27090.0,615645.508
0.002158,0.00795,0.001454,-0.002749,1683936000,26762.7,26674.9,26785.2,27051.5,242694.929
0.001454,0.006619,0.003181,0.000326,1684022400,26901.9,26557.0,26762.8,27200.0,247579.427
0.003181,0.00748,0.007296,-0.003901,1684108800,27152.5,26694.4,26901.9,27650.0,450263.076
0.007296,0.011157,0.008656,0.000402,1684195200,27024.8,26832.0,27152.5,27284.7,373172.951
0.008656,0.011219,0.007553,0.00286,1684281600,27395.8,26527.5,27024.7,27500.0,490065.218
0.007553,0.011203,0.003418,0.00244,1684368000,26809.3,26335.3,27395.7,27482.7,544971.979
0.003418,0.007268,0.005446,0.00041,1684454400,26870.1,26611.2,26809.4,27180.0,324097.956
0.005446,0.006966,0.002678,-0.005519,1684540800,27089.5,26813.5,26870.1,27144.4,137515.354
0.002678,0.009135,0.003987,-0.001134,1684627200,26732.8,26642.0,27089.6,27288.0,238776.425
0.003987,0.008991,0.008738,0.00051,1684713600,26840.2,26500.0,26732.8,27097.8,328030.52
0.008738,0.011176,0.011175,0.006858,1684800000,27209.9,26782.6,26840.2,27527.5,369176.618
0.011175,0.011175,0.006308,-0.00073,1684886400,26313.8,26060.0,27209.9,27212.9,535191.677
0.006308,0.013065,0.007332,0.001712,1684972800,26461.8,25850.0,26313.9,26644.0,394535.225
0.007332,0.010144,0.003182,0.001409,1685059200,26689.9,26313.9,26461.7,26925.0,324475.546
0.003182,0.009641,0.0068,0.001762,1685145600,26841.6,26528.6,26689.8,26890.0,163681.935
0.0068,0.0068,0.0068,0.0068,1685232000,28055.7,26746.0,26841.6,28252.8,440115.394
0.009104,0.011684,0.007002,0.005154,1685318400,27722.0,27513.5,28055.8,28442.0,411290.549
0.007002,0.009303,0.006008,0.00269,1685404800,27680.1,27530.0,27722.1,28038.6,334379.313
0.006008,0.011652,0.002458,-0.002783,1685491200,27201.1,26826.0,27680.0,27825.0,471381.89
0.002458,0.013021,0.006079,0.001353,1685577600,26805.3,26600.0,27201.1,27347.9,404787.572
0.006079,0.013321,0.00892,0.004619,1685664000,27227.8,26477.6,26805.3,27290.0,391110.093
0.00892,0.011488,0.004153,0.001866,1685750400,27054.9,26900.0,27227.8,27340.2,182464.1
0.004153,0.013326,0.008256,0.004153,1685836800,27102.4,26935.3,27054.9,27460.0,218271.544
0.008256,0.010528,-0.004721,-0.015845,1685923200,25714.7,25360.1,27102.4,27125.0,700502.548
-0.004721,0.009466,0.009207,-0.004808,1686009600,27221.5,25321.6,25714.6,27358.1,731445.649
0.009207,0.011903,0.005924,0.003788,1686096000,26325.9,26111.0,27221.5,27394.4,660044.537
0.005924,0.009896,0.006657,0.002571,1686182400,26485.9,26195.4,26325.9,26800.0,333104.839
0.006657,0.010204,0.009137,0.003287,1686268800,26468.1,26236.0,26486.0,26775.0,283719.198
0.009137,0.011154,0.00311,-0.001312,1686355200,25826.6,25300.0,26468.2,26525.0,608917.569
0.00311,0.009972,0.007848,0.000491,1686441600,25909.9,25621.3,25826.6,26199.0,279365.563
0.007848,0.009363,0.008776,0.002598,1686528000,25894.8,25600.0,25910.0,26097.7,298900.468
0.008776,0.010327,0.00374,0.002661,1686614400,25918.0,25708.0,25894.8,26430.5,434536.754
0.00374,0.008921,-0.000767,-0.000791,1686700800,25115.9,24796.8,25918.0,26099.3,464681.602
-0.000767,0.011381,0.006334,-0.006337,1686787200,25586.1,24777.0,25115.9,25750.0,473971.375
0.006334,0.007055,0.006365,-0.000049,1686873600,26336.0,25142.1,25586.0,26526.9,533144.956
0.006365,0.011975,0.003798,0.002315,1686960000,26508.9,26170.8,26335.9,26900.0,305738.396
0.003798,0.008644,0.006623,0.001793,1687046400,26329.7,26230.9,26508.8,26709.4,241977.484
0.006623,0.01097,0.005606,0.000974,1687132800,26828.5,26241.2,26329.6,27077.0,400533.758
0.005606,0.006513,0.000849,-0.005809,1687219200,28290.6,26633.9,26828.6,28397.8,758176.297
0.000849,0.015145,0.014298,-0.003999,1687305600,29988.5,28236.4,28290.7,30822.0,1123474.427
0.014298,0.014298,0.008302,0.005512,1687392000,29875.0,29500.1,29988.5,30488.0,561051.742
0.008302,0.01198,0.007633,0.007198,1687478400,30673.4,29792.0,29875.0,31500.0,699073.071
0.007633,0.013142,0.009865,0.005191,1687564800,30524.2,30222.0,30673.5,30796.5,279539.288
0.009865,0.013829,0.010841,0.008356,1687651200,30458.0,30252.6,30524.2,31053.2,301533.154
0.010841,0.01264,0.007976,0.005007,1687737600,30260.1,29890.1,30458.0,30667.3,415099.356
0.007976,0.012319,0.006221,0.000958,1687824000,30683.2,30213.0,30260.1,30998.5,406073.348
0.006221,0.010334,0.006018,0.002955,1687910400,30066.3,29804.6,30683.2,30701.8,416656.434
0.006018,0.011919,0.010016,0.002713,1687996800,30439.9,30036.1,30066.3,30837.0,382072.846
0.010016,0.011284,0.010029,0.00336,1688083200,30460.2,29500.0,30439.9,31300.0,809331.305
0.010029,0.011572,0.009005,0.008199,1688169600,30573.6,30311.3,30460.2,30668.2,135520.246
0.009005,0.012471,0.009135,0.008157,1688256000,30612.7,30149.9,30573.6,30800.0,231866.188
0.009135,0.012104,0.009416,0.006627,1688342400,31149.0,30559.4,30612.7,31395.2,370293.236
0.009416,0.010833,0.008861,0.006746,1688428800,30756.1,30600.0,31149.0,31319.4,300832.26
