longShortRatio,shortAccount,time,longAccount,low,high,open,volume,close
1.39,41.86,1602892800,58.14,11250.0,11424.09,11319.51,95892.966,11356.25
1.39,41.86,1602979200,58.14,11342.54,11529.93,11356.25,92472.191,11501.1
1.26,44.27,1603065600,55.73,11404.01,11830.0,11501.5,230161.648,11745.0
1.24,44.75,1603152000,55.25,11673.0,12045.78,11744.99,312811.802,11900.03
0.94,51.65,1603238400,48.35,11876.0,13240.0,11900.03,591963.069,12796.07
1.44,41.01,1603324800,58.99,12675.5,13188.27,12796.06,343851.666,12968.87
1.44,41.01,1603411200,58.99,12725.04,13043.0,12970.39,237042.526,12925.82
1.3,43.51,1603497600,56.49,12871.07,13177.59,12925.82,176146.631,13110.88
1.32,43.1,1603584000,56.9,12715.0,13369.0,13110.88,206012.652,13023.81
1.32,43.1,1603670400,56.9,12729.0,13240.0,13024.21,316503.296,13047.24
1.3,43.54,1603756800,56.46,13041.3,13787.83,13047.24,411509.506,13629.38
1.2,45.43,1603843200,54.57,12876.0,13863.0,13629.89,476993.789,13256.17
1.49,40.15,1603929600,59.85,12965.0,13637.22,13255.79,355352.336,13446.65
1.12,47.17,1604016000,52.83,13100.0,13665.65,13446.65,349890.573,13549.12
1.1,47.61,1604102400,52.39,13403.36,14140.0,13549.12,357853.23,13783.73
1.1,47.61,1604188800,52.39,13605.9,13891.52,13783.73,198395.231,13752.86
1.23,44.91,1604275200,55.09,13195.0,13823.75,13752.87,327991.768,13540.54
1.23,44.91,1604361600,55.09,13276.33,14070.0,13541.55,348730.51,14016.55
1.06,48.47,1604448000,51.53,13512.0,14280.0,14016.55,451433.42,14134.31
1.05,48.76,1604534400,51.24,14088.01,15777.0,14134.32,717489.697,15598.75
1.35,42.62,1604620800,57.38,15177.0,15984.2,15598.74,559380.06,15590.96
1.52,39.67,1604707200,60.33,14350.0,15774.0,15590.95,457582.681,14824.34
1.42,41.33,1604793600,58.67,14710.0,15678.0,14824.33,290616.393,15473.2
1.44,41.02,1604880000,58.98,14822.0,15869.0,15473.2,474181.983,15328.72
1.55,39.25,1604966400,60.75,15071.0,15474.17,15328.72,244073.495,15294.68
1.63,38.05,1605052800,61.95,15274.89,16000.0,15294.68,330772.852,15690.24
1.42,41.27,1605139200,58.73,15437.7,16345.0,15690.24,471759.126,16289.02
1.35,42.61,1605225600,57.39,15955.6,16479.99,16289.01,306656.359,16320.54
1.5,40.06,1605312000,59.94,15700.0,16326.82,16320.54,266206.937,16064.51
1.52,39.64,1605398400,60.36,15768.0,16161.23,16064.51,210318.453,15952.27
1.42,41.34,1605484800,58.66,15862.0,16882.0,15951.93,342459.329,16707.07
1.25,44.43,1605571200,55.57,16550.0,17890.1,16707.0,524094.697,17670.01
1.37,42.2,1605657600,57.8,17215.03,18520.0,17670.01,732937.097,17788.32
1.69,37.24,1605744000,62.76,17347.27,18200.0,17788.32,406500.977,17811.68
1.69,37.24,1605830400,62.76,17748.92,18831.6,17811.68,407926.802,18664.31
1.76,36.19,1605916800,63.81,18302.08,18986.0,18662.85,342412.49,18721.99
1.89,34.66,1606003200,65.34,17645.98,18780.0,18721.99,373779.417,18435.2
1.61,38.35,1606089600,61.65,18013.97,18812.65,18434.17,364221.378,18382.07
1.61,38.35,1606176000,61.65,18000.0,19440.0,18382.07,477968.289,19179.64
1.8,35.73,1606262400,64.27,18509.12,19554.19,19178.53,426276.99,18741.67
2.23,31.0,1606348800,69.0,16181.0,18940.69,18741.66,850692.856,17155.34
1.72,36.81,1606435200,63.19,16444.83,17465.0,17155.37,398072.933,17144.1
1.72,36.71,1606521600,63.29,16865.78,17880.0,17144.11,268833.749,17717.74
