longAccount,longShortRatio,shortAccount,time,low,close,high,open,volume
53.19,1.14,46.81,1589587200.0,9210.03,9374.99,9585.0,9311.21,287768.201
52.1,1.09,47.9,1589673600.0,9317.16,9678.57,9880.0,9374.99,300859.34
52.65,1.11,47.35,1589760000.0,9450.0,9731.1,9958.67,9677.31,363732.37
52.81,1.12,47.19,1589846400.0,9462.0,9773.64,9900.0,9731.11,376313.845
53.05,1.13,46.95,1589932800.0,9281.42,9508.11,9838.0,9772.66,334423.59
51.97,1.08,48.03,1590019200.0,8812.2,9060.0,9573.0,9508.0,461439.193
52.16,1.09,47.84,1590105600.0,8920.0,9166.4,9259.38,9060.0,276008.073
51.83,1.08,48.17,1590192000.0,9076.9,9176.41,9300.0,9166.43,201589.66
52.38,1.1,47.62,1590278400.0,8674.0,8711.37,9294.44,9176.32,339643.378
52.11,1.09,47.89,1590364800.0,8623.38,8895.65,8977.0,8711.37,302980.106
51.65,1.07,48.35,1590451200.0,8693.18,8837.05,9011.82,8895.66,275619.158
52.23,1.09,47.77,1590537600.0,8811.0,9197.32,9230.0,8837.88,272253.998
51.87,1.08,48.13,1590624000.0,9110.97,9569.59,9621.65,9197.32,327412.374
51.87,1.08,48.13,1590710400.0,9317.42,9422.26,9598.0,9569.58,238691.299
52.61,1.11,47.39,1590796800.0,9326.01,9695.0,9753.0,9422.11,255234.058
52.54,1.11,47.46,1590883200.0,9371.76,9446.43,9698.0,9694.38,219829.356
52.92,1.12,47.08,1590969600.0,9420.85,10232.48,10497.25,9446.49,333740.457
54.29,1.19,45.71,1591056000.0,9264.15,9514.9,10262.3,10232.41,354168.517
53.73,1.16,46.27,1591142400.0,9382.33,9663.59,9694.75,9514.9,185389.412
52.97,1.13,47.03,1591228800.0,9440.0,9788.33,9884.0,9663.58,264515.319
53.21,1.14,46.79,1591315200.0,9580.52,9617.29,9855.0,9788.32,237103.042
52.94,1.13,47.06,1591401600.0,9528.0,9664.0,9738.77,9616.64,152526.703
52.94,1.13,47.06,1591488000.0,9373.0,9743.92,9823.13,9664.01,253986.313
52.88,1.12,47.12,1591574400.0,9631.0,9778.87,9816.0,9743.92,162086.419
53.13,1.13,46.87,1591660800.0,9550.03,9771.66,9890.0,9778.87,204422.819
53.42,1.15,46.58,1591747200.0,9681.21,9884.99,10015.99,9771.66,193628.149
53.38,1.15,46.62,1591833600.0,9055.07,9278.03,9970.1,9884.99,404046.613
52.6,1.11,47.4,1591920000.0,9238.0,9458.91,9550.0,9277.72,211611.34
51.79,1.07,48.21,1592006400.0,9340.0,9468.54,9497.85,9458.77,113449.075
51.9,1.08,48.1,1592092800.0,9240.97,9339.61,9477.0,9468.55,143978.523
51.86,1.08,48.14,1592179200.0,8888.43,9422.01,9490.83,9339.7,413865.727
52.23,1.09,47.77,1592265600.0,9370.0,9519.12,9595.0,9422.01,225713.247
52.37,1.1,47.63,1592352000.0,9231.03,9458.45,9569.0,9519.13,227477.39
52.37,1.1,47.63,1592438400.0,9272.41,9381.59,9483.85,9458.45,158349.247
51.63,1.07,48.37,1592524800.0,9239.0,9307.0,9453.0,9381.99,219510.059
51.83,1.08,48.17,1592611200.0,9165.0,9354.04,9394.29,9307.0,154462.29
51.83,1.08,48.17,1592697600.0,9279.0,9293.51,9420.47,9353.84,110599.558
51.81,1.08,48.19,1592784000.0,9273.0,9686.99,9795.0,9293.39,260561.647
51.94,1.08,48.06,1592870400.0,9585.0,9631.66,9723.23,9686.99,164673.499
53.46,1.15,46.54,1592956800.0,9210.0,9298.4,9678.0,9631.65,300450.251
52.21,1.09,47.79,1593043200.0,9005.0,9246.75,9350.9,9298.78,272566.502
51.76,1.07,48.24,1593129600.0,9038.52,9159.99,9297.16,9246.75,249348.67
52.17,1.09,47.83,1593216000.0,8816.4,9008.0,9195.75,9159.99,237840.165
51.45,1.06,48.55,1593302400.0,8932.68,9114.0,9188.0,9008.0,153842.891
51.75,1.07,48.25,1593388800.0,9022.0,9189.48,9233.0,9114.01,176660.525
51.71,1.07,48.29,1593475200.0,9063.97,9138.87,9205.0,9189.99,143469.832
52.16,1.09,47.84,1593561600.0,9090.0,9233.29,9293.0,9138.88,161642.185
51.71,1.07,48.29,1593648000.0,8936.0,9087.72,9262.99,9233.29,230747.519
52.45,1.1,47.55,1593734400.0,9036.06,9057.52,9124.52,9087.72,96947.338
52.18,1.09,47.82,1593820800.0,9042.84,9137.18,9194.0,9058.07,100215.438
52.39,1.1,47.61,1593907200.0,8900.0,9071.86,9146.35,9137.18,139545.566
52.2,1.09,47.8,1593993600.0,9058.1,9339.6,9379.0,9071.87,199643.828
51.99,1.08,48.01,1594080000.0,9201.23,9258.51,9380.0,9339.59,127833.975
51.92,1.08,48.08,1594166400.0,9233.47,9436.08,9470.0,9258.51,170243.001
51.72,1.07,48.28,1594252800.0,9164.33,9236.28,9440.81,9436.08,188355.856
52.67,1.11,47.33,1594339200.0,9121.42,9288.39,9317.24,9236.29,140849.874
52.36,1.1,47.64,1594425600.0,9178.91,9233.5,9301.74,9288.39,74976.521
52.29,1.1,47.71,1594512000.0,9155.0,9300.69,9349.0,9233.5,127841.882
52.28,1.1,47.72,1594598400.0,9200.0,9241.2,9345.0,9300.7,136117.659
52.45,1.1,47.55,1594684800.0,9116.0,9254.17,9279.0,9241.18,129704.278
52.38,1.1,47.62,1594771200.0,9156.0,9197.3,9272.56,9254.17,104107.708
52.38,1.1,47.62,1594857600.0,9044.02,9132.0,9223.0,9197.75,148089.45
52.5,1.11,47.5,1594944000.0,9087.0,9151.69,9187.0,9132.0,80940.584
51.97,1.08,48.03,1595030400.0,9121.98,9171.8,9210.0,9151.7,63233.596
52.16,1.09,47.84,1595116800.0,9108.0,9210.51,9239.59,9171.79,75554.579
52.49,1.11,47.51,1595203200.0,9131.01,9161.13,9221.0,9210.68,72429.691
52.38,1.1,47.62,1595289600.0,9152.62,9388.01,9439.6,9161.28,179211.347
51.55,1.06,48.45,1595376000.0,9272.0,9518.25,9543.0,9388.0,126598.902
52.01,1.08,47.99,1595462400.0,9439.86,9604.41,9678.32,9518.25,166990.147
52.93,1.12,47.07,1595548800.0,9470.0,9539.7,9650.0,9604.41,133975.068
52.57,1.11,47.43,1595635200.0,9526.31,9701.49,9735.1,9539.7,133377.589
52.38,1.1,47.62,1595721600.0,9655.2,9939.69,10300.0,9701.54,261998.786
54.28,1.19,45.72,1595808000.0,9928.61,11047.58,11488.0,9939.68,744752.4
56.27,1.29,43.73,1595894400.0,10580.0,10919.94,11270.0,11047.58,499486.679
58.32,1.4,41.68,1595980800.0,10844.34,11113.03,11364.8,10919.94,356188.761
57.47,1.35,42.53,1596067200.0,10826.55,11111.96,11195.52,11113.01,230327.988
57.47,1.35,42.53,1596153600.0,10971.78,11343.68,11450.42,11111.97,307399.731
55.95,1.27,44.05,1596240000.0,11201.0,11811.42,11887.45,11343.67,386322.642
55.95,1.27,44.05,1596326400.0,10490.0,11079.72,12154.25,11811.43,492803.351
57.7,1.36,42.3,1596412800.0,10923.0,11227.07,11483.0,11080.7,238654.591
56.58,1.3,43.42,1596499200.0,11025.0,11200.05,11427.38,11227.07,200044.934
56.03,1.27,43.97,1596585600.0,11103.0,11752.5,11798.56,11200.06,263510.011
55.39,1.24,44.61,1596672000.0,11571.78,11770.56,11916.02,11752.5,236459.595
55.05,1.23,44.95,1596758400.0,11318.93,11596.06,11920.0,11769.97,273935.127
54.2,1.18,45.8,1596844800.0,11513.69,11765.72,11819.0,11596.26,154707.303
55.41,1.24,44.59,1596931200.0,11526.9,11685.99,11811.0,11765.72,125463.463
55.05,1.23,44.95,1597017600.0,11384.9,11896.89,12100.0,11685.99,290418.014
55.56,1.25,44.44,1597104000.0,11127.0,11392.64,11944.0,11896.86,336861.638
55.56,1.25,44.44,1597190400.0,11140.0,11568.36,11630.0,11392.64,213799.491
54.31,1.19,45.69,1597276800.0,11272.0,11790.0,11798.0,11568.37,248214.725
55.43,1.24,44.57,1597363200.0,11644.6,11767.89,11868.42,11790.0,159019.959
54.66,1.21,45.34,1597449600.0,11682.0,11859.04,11993.58,11767.89,222262.987
54.66,1.21,45.34,1597536000.0,11688.0,11921.23,11945.0,11858.91,165733.721
53.89,1.17,46.11,1597622400.0,11780.0,12298.06,12499.42,11921.32,331435.112
54.22,1.18,45.78,1597708800.0,11810.0,11960.79,12403.0,12298.06,291349.888
55.2,1.23,44.8,1597795200.0,11574.78,11763.87,12037.05,11962.03,313267.066
54.93,1.22,45.07,1597881600.0,11676.03,11857.92,11888.0,11763.88,130981.044
54.93,1.22,45.07,1597968000.0,11491.0,11538.53,11882.68,11858.53,195106.536
54.98,1.22,45.02,1598054400.0,11385.06,11670.47,11689.08,11538.53,126696.73
54.9,1.22,45.1,1598140800.0,11522.15,11654.0,11724.0,11670.48,95608.033
55.11,1.23,44.89,1598227200.0,11595.0,11753.3,11831.96,11654.0,108781.125
54.65,1.21,45.35,1598313600.0,11130.0,11327.17,11770.0,11753.29,267234.771
55.43,1.24,44.57,1598400000.0,11255.95,11466.22,11548.68,11327.18,170305.024
55.52,1.25,44.48,1598486400.0,11130.82,11335.53,11593.0,11466.22,253778.342
54.95,1.22,45.05,1598572800.0,11283.19,11526.85,11544.88,11335.83,129477.627
54.95,1.22,45.05,1598659200.0,11419.34,11466.66,11582.0,11526.85,83715.229
54.24,1.19,45.76,1598745600.0,11457.88,11714.14,11724.12,11466.27,113266.672
54.24,1.19,45.76,1598832000.0,11575.78,11658.11,11784.21,11714.13,127272.378
