l,o,t,c,h,volume,high,close,open,low
-0.038971,-0.038971,1585526400,-0.003819,-0.001359,387321.998,6606.15,6391.08,5876.27,5850.0
-0.022323,-0.005167,1585612800,-0.009238,-0.005167,262522.644,6516.63,6407.1,6389.52,6320.0
-0.048596,-0.009083,1585699200,-0.031363,-0.009083,390529.602,6693.0,6641.51,6407.1,6140.0
-0.01944,-0.01944,1585785600,0.007395,0.01,531321.428,7290.0,6791.63,6641.22,6542.73
0.000185,0.009,1585872000,0.008901,0.01,411944.927,7049.11,6729.8,6791.65,6600.0
-0.020881,0.006264,1585958400,-0.0091,0.007604,319849.757,7020.0,6851.1,6729.8,6629.99
-0.004504,-0.004504,1586044800,0.001017,0.01,239224.508,6893.44,6768.9,6851.4,6668.02
-0.011618,0.002587,1586131200,-0.011255,0.01,461331.013,7370.0,7325.73,6768.9,6760.0
-0.013141,-0.013141,1586217600,-0.003435,0.01,419572.04,7457.0,7192.9,7325.73,7070.43
-0.002784,-0.002784,1586304000,0.01,0.01,332599.575,7417.83,7357.66,7192.9,7145.14
-0.010555,0.01,1586390400,-0.004102,0.01,293638.581,7365.69,7278.65,7357.15,7105.98
-0.006107,-0.004864,1586476800,0.01,0.01,440148.453,7290.0,6857.82,7278.83,6741.0
0.01,0.01,1586563200,0.01,0.01,224157.844,6944.28,6874.18,6858.0,6757.29
0.000613,0.01,1586649600,0.006753,0.01,321594.822,7173.98,6900.52,6874.17,6775.66
-0.02271,0.007767,1586736000,-0.001489,0.007767,421954.773,6900.99,6834.0,6900.19,6558.0
-0.026173,-0.001373,1586822400,-0.016122,0.01,280445.427,6975.6,6864.11,6834.01,6751.0
-0.0152,-0.012871,1586908800,-0.010075,0.01,281136.689,6929.0,6616.89,6864.11,6602.59
-0.045959,-0.00717,1586995200,0.003068,0.01,559868.603,7190.92,7098.15,6616.88,6465.33
-0.014311,0.005771,1587081600,-0.005297,0.005771,277339.601,7140.0,7022.44,7098.15,6981.0
-0.020346,-0.00325,1587168000,-0.017521,-0.00325,225807.171,7290.0,7242.42,7022.0,7008.11
-0.019053,-0.019053,1587254400,-0.004791,0.01,216975.114,7258.42,7118.03,7242.49,7055.0
-0.009796,-0.00139,1587340800,-0.009796,0.01,445104.981,7208.55,6825.29,7118.04,6735.95
-0.013007,-0.009253,1587427200,0.002279,0.01,288024.528,6940.0,6838.0,6825.28,6759.16
-0.032365,-0.002696,1587513600,-0.02234,-0.002291,306482.163,7154.9,7120.06,6838.0,6812.57
-0.026666,-0.022409,1587600000,0.01,0.01,472510.047,7802.38,7483.35,7120.06,7020.0
0.01,0.01,1587686400,0.01,0.01,278378.368,7612.91,7504.11,7483.36,7388.0
0.01,0.01,1587772800,0.01,0.01,243266.807,7722.33,7534.01,7504.62,7433.0
0.006402,0.01,1587859200,0.01,0.01,269921.936,7709.57,7694.17,7534.01,7476.86
0.01,0.01,1587945600,0.01,0.01,290336.169,7795.6,7774.0,7693.63,7623.98
0.01,0.01,1588032000,0.01,0.01,217652.761,7780.0,7735.75,7774.0,7662.49
0.01,0.01,1588118400,0.014798,0.014798,871197.569,8988.66,8784.2,7735.76,7710.0
0.01,0.013479,1588204800,0.023533,0.097931,944211.711,9479.77,8624.76,8784.05,8400.0
0.01,0.021243,1588291200,0.01,0.038349,417820.386,9065.0,8830.52,8623.61,8619.84
0.01,0.01,1588377600,0.01,0.010246,295769.728,9020.0,8975.18,8830.52,8755.01
0.01,0.01,1588464000,0.01405,0.023043,451322.713,9200.0,8900.0,8975.18,8727.24
0.01,0.012098,1588550400,0.01,0.012098,440135.307,8954.94,8873.98,8899.99,8526.0
0.01,0.01,1588636800,0.01,0.02696,409920.13,9118.17,9022.78,8873.99,8766.12
0.01,0.01,1588723200,0.01,0.036089,507753.8,9405.0,9148.27,9022.76,8916.01
0.01,0.01,1588809600,0.01,0.01,738920.219,10080.0,9995.0,9148.29,9022.0
0.01583,0.01583,1588896000,0.044799,0.062978,458034.211,10045.03,9807.49,9994.74,9726.0
0.037932,0.042002,1588982400,0.040744,0.078419,411941.957,9923.98,9550.67,9809.63,9528.23
0.01,0.04223,1589068800,0.01,0.04223,842909.031,9580.0,8719.53,9550.25,7940.0
0.01,0.01,1589155200,0.01,0.01,805164.964,9164.0,8561.09,8723.23,8151.12
0.01,0.01,1589241600,0.01,0.01,369716.041,8981.0,8808.71,8560.73,8520.43
0.01,0.01,1589328000,0.01,0.01,379719.0,9397.0,9305.91,8808.71,8790.04
0.01,0.01,1589414400,0.01,0.01,602528.438,9950.0,9786.8,9305.91,9250.66
0.004838,0.01,1589500800,0.01,0.01,504107.096,9843.5,9310.73,9787.62,9100.0
0.01,0.01,1589587200,0.01,0.01,287768.201,9585.0,9374.99,9311.21,9210.03
0.000645,0.007998,1589673600,0.01,0.01,300859.34,9880.0,9678.57,9374.99,9317.16
-0.006572,0.01,1589760000,0.01,0.01,363732.37,9958.67,9731.1,9677.31,9450.0
0.007861,0.01,1589846400,0.01,0.01,376313.845,9900.0,9773.64,9731.11,9462.0
-0.010638,0.01,1589932800,-0.010638,0.01,334423.59,9838.0,9508.11,9772.66,9281.42
-0.009136,-0.009136,1590019200,0.001598,0.01,461439.193,9573.0,9060.0,9508.0,8812.2
-0.011107,-0.005048,1590105600,-0.000224,0.008211,276008.073,9259.38,9166.4,9060.0,8920.0
-0.00463,-0.002073,1590192000,0.01,0.01,201589.66,9300.0,9176.41,9166.43,9076.9
0.006598,0.01,1590278400,0.01,0.01,339643.378,9294.44,8711.37,9176.32,8674.0
-0.007396,0.007045,1590364800,-0.003821,0.007045,302980.106,8977.0,8895.65,8711.37,8623.38
-0.002313,-0.00015,1590451200,0.000243,0.01,275619.158,9011.82,8837.05,8895.66,8693.18
-0.01946,0.002138,1590537600,-0.013083,0.01,272253.998,9230.0,9197.32,8837.88,8811.0
-0.013975,-0.01135,1590624000,0.003822,0.01,327412.374,9621.65,9569.59,9197.32,9110.97
-0.000708,0.002578,1590710400,0.01,0.01,238691.299,9598.0,9422.26,9569.58,9317.42
0.01,0.01,1590796800,0.01,0.01,255234.058,9753.0,9695.0,9422.11,9326.01
0.01,0.01,1590883200,0.01,0.01,219829.356,9698.0,9446.43,9694.38,9371.76
-0.005364,0.01,1590969600,0.00065,0.01,333740.457,10497.25,10232.48,9446.49,9420.85
0.01,0.031864,1591056000,0.01,0.184458,354168.517,10262.3,9514.9,10232.41,9264.15
0.002677,0.01,1591142400,0.01,0.01,185389.412,9694.75,9663.59,9514.9,9382.33
0.01,0.01,1591228800,0.01,0.01,264515.319,9884.0,9788.33,9663.58,9440.0
0.01,0.01,1591315200,0.01,0.01,237103.042,9855.0,9617.29,9788.32,9580.52
0.01,0.01,1591401600,0.01,0.01,152526.703,9738.77,9664.0,9616.64,9528.0
0.01,0.01,1591488000,0.01,0.01,253986.313,9823.13,9743.92,9664.01,9373.0
0.01,0.01,1591574400,0.01,0.01,162086.419,9816.0,9778.87,9743.92,9631.0
0.01,0.01,1591660800,0.01,0.01,204422.819,9890.0,9771.66,9778.87,9550.03
0.01,0.01,1591747200,0.01,0.01,193628.149,10015.99,9884.99,9771.66,9681.21
0.01,0.01,1591833600,0.01,0.01,404046.613,9970.1,9278.03,9884.99,9055.07
-0.003799,0.01,1591920000,-0.000982,0.01,211611.34,9550.0,9458.91,9277.72,9238.0
-0.002462,-0.00191,1592006400,0.008954,0.01,113449.075,9497.85,9468.54,9458.77,9340.0
-0.000945,0.007077,1592092800,0.01,0.01,143978.523,9477.0,9339.61,9468.55,9240.97
-0.020132,0.01,1592179200,-0.018731,0.01,413865.727,9490.83,9422.01,9339.7,8888.43
-0.015328,-0.015328,1592265600,0.01,0.01,225713.247,9595.0,9519.12,9422.01,9370.0
-0.008551,0.007814,1592352000,-0.005655,0.00923,227477.39,9569.0,9458.45,9519.13,9231.03
-0.017627,-0.010005,1592438400,0.003281,0.01,158349.247,9483.85,9381.59,9458.45,9272.41
-0.001095,-0.000068,1592524800,0.01,0.01,219510.059,9453.0,9307.0,9381.99,9239.0
-0.003331,0.01,1592611200,-0.002341,0.01,154462.29,9394.29,9354.04,9307.0,9165.0
-0.009187,-0.003037,1592697600,0.01,0.01,110599.558,9420.47,9293.51,9353.84,9279.0
0.005954,0.01,1592784000,0.01,0.01,260561.647,9795.0,9686.99,9293.39,9273.0
0.01,0.01,1592870400,0.01,0.01634,164673.499,9723.23,9631.66,9686.99,9585.0
0.01,0.011286,1592956800,0.01,0.01464,300450.251,9678.0,9298.4,9631.65,9210.0
0.003792,0.01,1593043200,0.008601,0.01,272566.502,9350.9,9246.75,9298.78,9005.0
0.009401,0.009401,1593129600,0.01,0.01,249348.67,9297.16,9159.99,9246.75,9038.52
0.01,0.01,1593216000,0.01,0.01,237840.165,9195.75,9008.0,9159.99,8816.4
0.004079,0.01,1593302400,0.01,0.01,153842.891,9188.0,9114.0,9008.0,8932.68
0.005355,0.01,1593388800,0.01,0.01,176660.525,9233.0,9189.48,9114.01,9022.0
0.01,0.01,1593475200,0.01,0.01,143469.832,9205.0,9138.87,9189.99,9063.97
0.01,0.01,1593561600,0.01,0.01,161642.185,9293.0,9233.29,9138.88,9090.0
0.01,0.01,1593648000,0.01,0.01,230747.519,9262.99,9087.72,9233.29,8936.0
0.01,0.01,1593734400,0.01,0.01,96947.338,9124.52,9057.52,9087.72,9036.06
0.01,0.01,1593820800,0.01,0.01,100215.438,9194.0,9137.18,9058.07,9042.84
0.01,0.01,1593907200,0.01,0.01,139545.566,9146.35,9071.86,9137.18,8900.0
0.01,0.01,1593993600,0.01,0.01,199643.828,9379.0,9339.6,9071.87,9058.1
0.01,0.01,1594080000,0.01,0.01,127833.975,9380.0,9258.51,9339.59,9201.23
0.01,0.01,1594166400,0.01,0.01,170243.001,9470.0,9436.08,9258.51,9233.47
0.01,0.01,1594252800,0.01,0.01,188355.856,9440.81,9236.28,9436.08,9164.33
0.01,0.01,1594339200,0.01,0.01,140849.874,9317.24,9288.39,9236.29,9121.42
0.01,0.01,1594425600,0.01,0.01,74976.521,9301.74,9233.5,9288.39,9178.91
0.01,0.01,1594512000,0.01,0.01,127841.882,9349.0,9300.69,9233.5,9155.0
0.01,0.01,1594598400,0.01,0.01,136117.659,9345.0,9241.2,9300.7,9200.0
0.01,0.01,1594684800,0.01,0.01,129704.278,9279.0,9254.17,9241.18,9116.0
0.01,0.01,1594771200,0.01,0.01,104107.708,9272.56,9197.3,9254.17,9156.0
0.01,0.01,1594857600,0.01,0.01,148089.45,9223.0,9132.0,9197.75,9044.02
0.01,0.01,1594944000,0.01,0.01,80940.584,9187.0,9151.69,9132.0,9087.0
0.01,0.01,1595030400,0.01,0.01,63233.596,9210.0,9171.8,9151.7,9121.98
0.01,0.01,1595116800,0.01,0.01,75554.579,9239.59,9210.51,9171.79,9108.0
0.01,0.01,1595203200,0.01,0.01,72429.691,9221.0,9161.13,9210.68,9131.01
0.01,0.01,1595289600,0.01,0.01,179211.347,9439.6,9388.01,9161.28,9152.62
0.01,0.01,1595376000,0.01,0.01,126598.902,9543.0,9518.25,9388.0,9272.0
0.01,0.01,1595462400,0.01,0.01,166990.147,9678.32,9604.41,9518.25,9439.86
0.01,0.01,1595548800,0.01,0.01,133975.068,9650.0,9539.7,9604.41,9470.0
0.01,0.01,1595635200,0.01,0.01,133377.589,9735.1,9701.49,9539.7,9526.31
