h,l,t,c,o,open,low,high,close,volume
0.00257056,-0.02801456,1585612800,-0.02801456,0.00060455,6389.52,6320.0,6516.63,6407.1,262522.644
-0.02214161,-0.04545036,1585699200,-0.03637457,-0.02728137,6407.1,6140.0,6693.0,6641.51,390529.602
0.01069718,-0.03260675,1585785600,0.00529891,-0.03260675,6641.22,6542.73,7290.0,6791.63,531321.428
0.00810685,-0.02036349,1585872000,-0.0195717,0.00594207,6791.65,6600.0,7049.11,6729.8,411944.927
-0.00506528,-0.02344284,1585958400,-0.01078045,-0.02113321,6729.8,6629.99,7020.0,6851.1,319849.757
0.00947316,-0.00997679,1586044800,0.00189444,-0.00997679,6851.4,6668.02,6893.44,6768.9,239224.508
0.00631672,-0.00155694,1586131200,0.00207914,0.00200077,6768.9,6760.0,7370.0,7325.73,461331.013
0.00904828,-0.01149594,1586217600,-0.01118986,0.00290314,7325.73,7070.43,7457.0,7192.9,419572.04
0.00994218,-0.01159567,1586304000,0.00282435,-0.01159567,7192.9,7145.14,7417.83,7357.66,332599.575
0.00319208,-0.01748183,1586390400,-0.01243707,0.00319208,7357.15,7105.98,7365.69,7278.65,293638.581
-0.00508349,-0.0459925,1586476800,-0.04136114,-0.01274713,7278.83,6741.0,7290.0,6857.82,440148.453
-0.00017544,-0.04755904,1586563200,-0.01122489,-0.04145581,6858.0,6757.29,6944.28,6874.18,224157.844
-0.00850508,-0.02126031,1586649600,-0.01136307,-0.01255988,6874.17,6775.66,7173.98,6900.52,321594.822
-0.01143039,-0.06110639,1586736000,-0.03042993,-0.01143039,6900.19,6558.0,6900.99,6834.0,421954.773
-0.00547163,-0.03189113,1586822400,-0.01868701,-0.03189113,6834.01,6751.0,6975.6,6864.11,280445.427
-0.00906763,-0.02496374,1586908800,-0.02051479,-0.01626797,6864.11,6602.59,6929.0,6616.89,281136.689
0.00894656,-0.04384472,1586995200,0.00675828,-0.01702727,6616.88,6465.33,7190.92,7098.15,559868.603
0.00741358,-0.014311,1587081600,-0.005297,0.00741358,7098.15,6981.0,7140.0,7022.44,277339.601
-0.00325,-0.020346,1587168000,-0.017521,-0.00325,7022.0,7008.11,7290.0,7242.42,225807.171
0.01,-0.019053,1587254400,-0.004791,-0.019053,7242.49,7055.0,7258.42,7118.03,216975.114
0.01,-0.009796,1587340800,-0.009796,-0.00139,7118.04,6735.95,7208.55,6825.29,445104.981
-0.002336,-0.03969613,1587427200,-0.01532581,-0.009253,6825.28,6759.16,6940.0,6838.0,288024.528
-0.00699012,-0.02314361,1587513600,-0.00734469,-0.01694708,6838.0,6812.57,7154.9,7120.06,306482.163
0.00797955,-0.00764378,1587600000,0.00797955,-0.00764378,7120.06,7020.0,7802.38,7483.35,472510.047
0.01117415,0.00797955,1587686400,0.0104017,0.00797955,7483.36,7388.0,7612.91,7504.11,278378.368
0.0104017,-0.00452108,1587772800,-0.00452108,0.0104017,7504.62,7433.0,7722.33,7534.01,243266.807
0.00597494,-0.00711971,1587859200,-0.00228177,-0.00498242,7534.01,7476.86,7709.57,7694.17,269921.936
0.00478909,-0.01241325,1587945600,-0.01087813,-0.00158839,7693.63,7623.98,7795.6,7774.0,290336.169
0.00903354,-0.01151081,1588032000,-0.010091,-0.0104883,7774.0,7662.49,7780.0,7735.75,217652.761
0.00936168,-0.01238886,1588118400,0.00936168,-0.00995277,7735.76,7710.0,8988.66,8784.2,871197.569
0.03612116,0.00883881,1588204800,0.01316312,0.00883881,8784.05,8400.0,9479.77,8624.76,944211.711
0.01671841,0.00951712,1588291200,0.00951712,0.01242721,8623.61,8619.84,9065.0,8830.52,417820.386
0.01037164,0.00682237,1588377600,0.00814121,0.00990989,8830.52,8755.01,9020.0,8975.18,295769.728
0.01373801,0.00294027,1588464000,0.00344475,0.00887191,8975.18,8727.24,9200.0,8900.0,451322.713
0.00776491,-0.00046167,1588550400,0.00606921,0.00333705,8899.99,8526.0,8954.94,8873.98,440135.307
0.01470645,0.00184746,1588636800,0.00245218,0.00664704,8873.99,8766.12,9118.17,9022.78,409920.13
0.01543958,-0.00121604,1588723200,0.00904387,0.00278157,9022.76,8916.01,9405.0,9148.27,507753.8
0.01058304,0.00574572,1588809600,0.01037619,0.0075598,9148.29,9022.0,10080.0,9995.0,738920.219
0.02552029,0.0123268,1588896000,0.01765017,0.0123268,9994.74,9726.0,10045.03,9807.49,458034.211
0.03340493,0.01657012,1588982400,0.01927453,0.01657012,9809.63,9528.23,9923.98,9550.67,411941.957
0.0204624,-0.02439176,1589068800,0.00240603,0.0204624,9550.25,7940.0,9580.0,8719.53,842909.031
0.01019404,-0.01821634,1589155200,-0.01781987,0.0025756,8723.23,8151.12,9164.0,8561.09,805164.964
0.00769432,-0.01906191,1589241600,-0.00663946,-0.01880905,8560.73,8520.43,8981.0,8808.71,369716.041
0.00377095,-0.01529719,1589328000,-0.00079142,-0.00667555,8808.71,8790.04,9397.0,9305.91,379719.0
0.01185034,-0.00285975,1589414400,0.01066972,-0.00096869,9305.91,9250.66,9950.0,9786.8,602528.438
0.01215914,0.00751439,1589500800,0.01121844,0.01061042,9787.62,9100.0,9843.5,9310.73,504107.096
0.01116346,0.00761805,1589587200,0.00872275,0.01060955,9311.21,9210.03,9585.0,9374.99,287768.201
0.01842386,0.00534587,1589673600,0.01836358,0.00763335,9374.99,9317.16,9880.0,9678.57,300859.34
0.0234658,0.0056823,1589760000,0.00812559,0.01796894,9677.31,9450.0,9958.67,9731.1,363732.37
0.01060049,0.00801426,1589846400,0.01051397,0.00801426,9731.11,9462.0,9900.0,9773.64,376313.845
0.01370857,0.00130272,1589932800,0.00130272,0.0102412,9772.66,9281.42,9838.0,9508.11,334423.59
0.01198091,0.00068372,1590019200,0.00722572,0.00372564,9508.0,8812.2,9573.0,9060.0,461439.193
0.00730588,-0.00346452,1590105600,-0.00346452,0.00658543,9060.0,8920.0,9259.38,9166.4,276008.073
0.00669658,-0.00654328,1590192000,0.0046672,-0.00335174,9166.43,9076.9,9300.0,9176.41,201589.66
0.00841502,0.00373578,1590278400,0.00478694,0.00412995,9176.32,8674.0,9294.44,8711.37,339643.378
0.00288654,-0.01481522,1590364800,-0.00925776,0.00288654,8711.37,8623.38,8977.0,8895.65,302980.106
0.00613224,-0.00856546,1590451200,-0.00505859,-0.00856546,8895.66,8693.18,9011.82,8837.05,275619.158
0.00753382,-0.00757698,1590537600,0.00174022,-0.00588114,8837.88,8811.0,9230.0,9197.32,272253.998
0.00884204,0.00156963,1590624000,0.00806542,0.0028264,9197.32,9110.97,9621.65,9569.59,327412.374
0.01297998,0.00685663,1590710400,0.00948441,0.0076261,9569.58,9317.42,9598.0,9422.26,238691.299
0.01119372,0.00860217,1590796800,0.00924597,0.00889208,9422.11,9326.01,9753.0,9695.0,255234.058
0.01008631,0.00782808,1590883200,0.007932,0.00988978,9694.38,9371.76,9698.0,9446.43,219829.356
0.0106908,0.00590252,1590969600,0.00823663,0.00834766,9446.49,9420.85,10497.25,10232.48,333740.457
0.12015075,0.00911605,1591056000,0.00918676,0.03511316,10232.41,9264.15,10262.3,9514.9,354168.517
0.01161931,0.00412699,1591142400,0.00994868,0.01024733,9514.9,9382.33,9694.75,9663.59,185389.412
0.0115262,0.00771093,1591228800,0.00946146,0.00861614,9663.58,9440.0,9884.0,9788.33,264515.319
0.01198119,0.0068074,1591315200,0.00836559,0.00912305,9788.32,9580.52,9855.0,9617.29,237103.042
0.01207221,0.00683998,1591401600,0.0081934,0.0082299,9616.64,9528.0,9738.77,9664.0,152526.703
0.01139162,-0.01440389,1591488000,0.00799433,0.00804236,9664.01,9373.0,9823.13,9743.92,253986.313
0.01793752,0.00626895,1591574400,0.00848719,0.00747039,9743.92,9631.0,9816.0,9778.87,162086.419
0.01136249,0.00741198,1591660800,0.00862793,0.00899774,9778.87,9550.03,9890.0,9771.66,204422.819
0.01150998,0.00352045,1591747200,0.01011005,0.00889837,9771.66,9681.21,10015.99,9884.99,193628.149
0.01461615,-0.0070808,1591833600,-0.0070808,0.00983734,9884.99,9055.07,9970.1,9278.03,404046.613
0.00799733,-0.00940905,1591920000,0.00389615,-0.00698948,9277.72,9238.0,9550.0,9458.91,211611.34
0.00721404,-0.01343204,1592006400,-0.00380916,0.0047413,9458.77,9340.0,9497.85,9468.54,113449.075
0.0105476,0.00140993,1592092800,0.00979525,0.00140993,9468.55,9240.97,9477.0,9339.61,143978.523
0.0157586,-0.01250858,1592179200,-0.00103091,0.00909643,9339.7,8888.43,9490.83,9422.01,413865.727
0.01316964,-0.00240084,1592265600,-0.00212308,-0.00187076,9422.01,9370.0,9595.0,9519.12,225713.247
0.01017692,-0.00254388,1592352000,0.00597015,0.0015926,9519.13,9231.03,9569.0,9458.45,227477.39
0.00993631,0.00408881,1592438400,0.00651912,0.0053359,9458.45,9272.41,9483.85,9381.59,158349.247
0.01065144,0.00177463,1592524800,0.0078835,0.00610273,9381.99,9239.0,9453.0,9307.0,219510.059
0.0097864,0.00566377,1592611200,0.00590904,0.00835215,9307.0,9165.0,9394.29,9354.04,154462.29
0.01239177,0.00175106,1592697600,0.00951318,0.00489461,9353.84,9279.0,9420.47,9293.51,110599.558
0.01207212,0.00811581,1592784000,0.01165628,0.00992968,9293.39,9273.0,9795.0,9686.99,260561.647
0.02314008,0.00755957,1592870400,0.00853226,0.01111819,9686.99,9585.0,9723.23,9631.66,164673.499
0.01464788,-0.00270451,1592956800,0.00213721,0.00929298,9631.65,9210.0,9678.0,9298.4,300450.251
0.00967679,0.00202752,1593043200,0.00731428,0.00202752,9298.78,9005.0,9350.9,9246.75,272566.502
0.01244503,0.00546149,1593129600,0.00741782,0.008121,9246.75,9038.52,9297.16,9159.99,249348.67
0.00919784,-0.01729646,1593216000,-0.00834247,0.00683408,9159.99,8816.4,9195.75,9008.0,237840.165
0.00736701,-0.00701239,1593302400,0.00652218,-0.00701239,9008.0,8932.68,9188.0,9114.0,153842.891
0.00904895,0.00539095,1593388800,0.00736481,0.00677285,9114.01,9022.0,9233.0,9189.48,176660.525
0.00954805,-0.01108004,1593475200,-0.00890262,0.00762281,9189.99,9063.97,9205.0,9138.87,143469.832
0.01097055,-0.00004757,1593561600,0.00428603,-0.00004757,9138.88,9090.0,9293.0,9233.29,161642.185
0.01003121,-0.00845067,1593648000,-0.0039768,0.00709201,9233.29,8936.0,9262.99,9087.72,230747.519
0.00896477,-0.01031168,1593734400,-0.00653356,-0.00031208,9087.72,9036.06,9124.52,9057.52,96947.338
0.00973878,-0.00094754,1593820800,0.00894816,-0.00094754,9058.07,9042.84,9194.0,9137.18,100215.438
0.00924384,-0.00124025,1593907200,0.00586076,0.00924384,9137.18,8900.0,9146.35,9071.86,139545.566
0.01056347,0.00759809,1593993600,0.00966206,0.00759809,9071.87,9058.1,9379.0,9339.6,199643.828
0.01020626,0.00364748,1594080000,0.00670048,0.00991404,9339.59,9201.23,9380.0,9258.51,127833.975
0.02342398,0.00565087,1594166400,0.00920418,0.00731651,9258.51,9233.47,9470.0,9436.08,170243.001
0.01185123,0.00533073,1594252800,0.00572449,0.00868445,9436.08,9164.33,9440.81,9236.28,188355.856
0.01099984,0.00536556,1594339200,0.00802723,0.00794711,9236.29,9121.42,9317.24,9288.39,140849.874
0.01013233,0.00000786,1594425600,0.00000786,0.00831191,9288.39,9178.91,9301.74,9233.5,74976.521
0.01061508,0.00117724,1594512000,0.01058412,0.00117724,9233.5,9155.0,9349.0,9300.69,127841.882
0.01204748,0.00436932,1594598400,0.00895729,0.01008627,9300.7,9200.0,9345.0,9241.2,136117.659
0.01172247,0.00776632,1594684800,0.00834544,0.0091539,9241.18,9116.0,9279.0,9254.17,129704.278
0.01337436,0.00785396,1594771200,0.00988858,0.0086054,9254.17,9156.0,9272.56,9197.3,104107.708
0.01162707,0.00606155,1594857600,0.00713026,0.00954704,9197.75,9044.02,9223.0,9132.0,148089.45
0.01151981,-0.00737009,1594944000,-0.00737009,0.00833142,9132.0,9087.0,9187.0,9151.69,80940.584
0.00926109,-0.00385086,1595030400,0.00400495,0.00214924,9151.7,9121.98,9210.0,9171.8,63233.596
0.01070879,0.00319165,1595116800,0.01070879,0.00577368,9171.79,9108.0,9239.59,9210.51,75554.579
0.01281023,0.00622886,1595203200,0.00747893,0.01033911,9210.68,9131.01,9221.0,9161.13,72429.691
0.01103098,0.00224922,1595289600,0.00807208,0.00750234,9161.28,9152.62,9439.6,9388.01,179211.347
0.01115055,-0.00388294,1595376000,0.00444106,0.00820542,9388.0,9272.0,9543.0,9518.25,126598.902
0.01489493,0.0023037,1595462400,0.0045141,0.00393802,9518.25,9439.86,9678.32,9604.41,166990.147
0.01196899,-0.00437042,1595548800,0.00941078,0.00317962,9604.41,9470.0,9650.0,9539.7,133975.068
0.01424098,0.00650315,1595635200,0.0122128,0.00864228,9539.7,9526.31,9735.1,9701.49,133377.589
0.06823189,0.0105958,1595721600,0.02220136,0.01134742,9701.54,9655.2,10300.0,9939.69,261998.786
0.08842842,0.0193699,1595808000,0.04382808,0.0193699,9939.68,9928.61,11488.0,11047.58,744752.4
0.10517141,0.03416067,1595894400,0.03416067,0.0691994,11047.58,10580.0,11270.0,10919.94,499486.679
0.07922116,0.02535476,1595980800,0.02762626,0.03433175,10919.94,10844.34,11364.8,11113.03,356188.761
0.07831286,0.0225609,1596067200,0.05110144,0.02678943,11113.01,10826.55,11195.52,11111.96,230327.988
0.05939334,0.01308207,1596153600,0.02601799,0.05819289,11111.97,10971.78,11450.42,11343.68,307399.731
0.08258409,0.02015555,1596240000,0.08258409,0.0302894,11343.67,11201.0,11887.45,11811.42,386322.642
0.08048809,0.01500298,1596326400,0.01546266,0.0716174,11811.43,10490.0,12154.25,11079.72,492803.351
0.04980508,0.0141806,1596412800,0.0141806,0.01831076,11080.7,10923.0,11483.0,11227.07,238654.591
