t,l,h,o,c,high,low,open,close,volume
1582761600,18511.56,20012.48,20012.48,18511.56,8978.0,8533.9,8793.96,8828.0,200638.488
1582848000,18323.37,22048.25,18326.62,20647.05,8908.86,8450.0,8827.12,8699.57,196066.11
1582934400,20653.31,21552.99,20817.13,21070.65,8799.83,8530.0,8699.86,8531.98,103524.685
1583020800,20424.66,22516.55,21115.82,21188.33,8762.24,8409.0,8532.5,8537.84,174332.916
1583107200,19959.37,21377.91,21377.91,19959.37,8972.0,8504.95,8537.84,8919.7,160294.484
1583193600,19455.04,21517.98,19845.61,20083.77,8922.34,8657.41,8919.7,8765.0,160123.605
1583280000,20068.13,21408.66,20076.56,20976.91,8853.88,8669.23,8765.0,8756.93,105462.12
1583366400,20923.64,22038.12,20976.72,21679.99,9172.3,8755.98,8755.98,9062.81,161840.623
1583452800,21347.79,24020.89,21705.25,23256.76,9179.75,8994.14,9062.62,9139.48,115011.583
1583539200,22918.96,23773.47,23296.07,22961.33,9204.0,8850.0,9139.77,8897.18,125804.999
1583625600,19226.3,23382.32,23151.3,19642.27,8897.71,7997.7,8895.62,8038.46,237407.028
1583712000,18078.88,21153.97,19135.96,19950.2,8182.31,7635.21,8038.99,7932.15,334399.107
1583798400,19072.37,20838.58,19845.62,19072.37,8156.31,7733.0,7932.45,7897.66,257068.702
1583884800,18291.36,21759.4,18982.44,19829.76,7988.0,7593.29,7898.21,7938.39,220537.381
1583971200,14288.98,21254.26,19873.47,16597.3,7969.0,4347.0,7938.39,4764.65,784747.02
1584057600,13636.41,17574.58,14969.62,14059.54,5971.0,3621.81,4762.28,5570.26,935489.242
1584144000,13724.15,15470.71,14270.76,15085.87,5638.42,5040.0,5569.84,5167.01,316242.586
1584230400,15027.12,17564.28,15027.12,15711.22,5954.47,5089.12,5167.21,5357.32,356311.765
1584316800,15894.92,18489.98,15894.92,17097.99,5361.26,4413.62,5354.81,5026.26,621555.792
1584403200,16328.44,18697.72,17083.75,18135.47,5529.98,4913.49,5027.11,5307.38,429908.098
1584489600,17910.91,20439.34,17910.91,19611.93,5435.0,4982.75,5306.42,5389.64,402005.703
1584576000,19226.27,21683.46,20066.13,19592.52,6400.0,5246.5,5389.94,6159.6,499391.19
1584662400,15119.7,19772.4,19270.67,15119.7,6911.0,5650.0,6159.41,6203.77,571898.016
1584748800,15178.06,18232.08,15178.06,17739.25,6457.17,5854.01,6204.47,6183.69,387679.649
1584835200,17898.04,20686.65,17972.4,19305.1,6408.91,5730.35,6183.84,5810.17,391002.795
1584921600,17781.24,21013.7,19885.02,18001.44,6619.9,5670.0,5810.3,6463.84,489746.087
1585008000,17885.35,20236.63,18363.86,18396.18,6840.0,6369.0,6463.21,6741.33,437968.553
1585094400,17386.95,18818.53,17950.36,18449.04,6960.71,6436.26,6740.86,6673.41,400684.542
1585180800,17969.59,19495.61,18211.17,19495.61,6777.5,6500.0,6673.57,6733.76,281245.628
1585267200,19491.03,21867.97,19696.68,21296.02,6840.0,6230.0,6733.76,6353.64,258213.519
1585353600,20927.64,23749.57,20927.64,22761.33,6354.74,6004.0,6353.64,6230.95,341944.185
1585440000,22570.98,25404.16,22717.44,24449.48,6260.0,5857.6,6231.81,5876.27,251335.919
1585526400,23476.95,25071.13,24214.31,23476.95,6606.15,5850.0,5876.27,6391.08,387321.998
1585612800,22997.59,26352.45,23294.8,26352.45,6516.63,6320.0,6389.52,6407.1,262522.644
1585699200,26066.41,29336.9,26378.7,27633.82,6693.0,6140.0,6407.1,6641.51,390529.602
1585785600,22208.51,27263.7,26013.1,22558.34,7290.0,6542.73,6641.22,6791.63,531321.428
1585872000,22010.34,23424.25,22046.64,22222.33,7049.11,6600.0,6791.65,6729.8,411944.927
1585958400,22326.19,25480.59,22326.19,23477.81,7020.0,6629.99,6729.8,6851.1,319849.757
1586044800,23364.69,25314.57,23426.02,24335.72,6893.44,6668.02,6851.4,6768.9,239224.508
1586131200,24204.68,29294.65,24694.79,29107.75,7370.0,6760.0,6768.9,7325.73,461331.013
1586217600,26105.79,29669.66,29669.66,26105.79,7457.0,7070.43,7325.73,7192.9,419572.04
1586304000,25031.33,27161.03,25846.16,26511.12,7417.83,7145.14,7192.9,7357.66,332599.575
1586390400,26335.23,28044.26,26335.23,28044.26,7365.69,7105.98,7357.15,7278.65,293638.581
1586476800,26918.6,29697.06,27966.68,28176.19,7290.0,6741.0,7278.83,6857.82,440148.453
1586563200,28764.12,30568.85,28779.74,29357.44,6944.28,6757.29,6858.0,6874.18,224157.844
1586649600,28712.74,32698.43,29039.2,30130.84,7173.98,6775.66,6874.17,6900.52,321594.822
1586736000,29179.31,31226.4,29222.86,29577.89,6900.99,6558.0,6900.19,6834.0,421954.773
1586822400,29664.28,32818.01,29664.28,31656.98,6975.6,6751.0,6834.01,6864.11,280445.427
1586908800,31191.18,35450.68,31516.48,34997.39,6929.0,6602.59,6864.11,6616.89,281136.689
1586995200,30446.68,35884.42,35845.29,30882.71,7190.92,6465.33,6616.88,7098.15,559868.603
