o,h,l,t,c,open,close,high,volume,low
-0.038971,-0.001359,-0.038971,1585526400,-0.003819,5876.27,6391.08,6606.15,387321.998,5850.0
-0.005167,-0.005167,-0.022323,1585612800,-0.009238,6389.52,6407.1,6516.63,262522.644,6320.0
-0.009083,-0.009083,-0.048596,1585699200,-0.031363,6407.1,6641.51,6693.0,390529.602,6140.0
-0.01944,0.01,-0.01944,1585785600,0.007395,6641.22,6791.63,7290.0,531321.428,6542.73
0.009,0.01,0.000185,1585872000,0.008901,6791.65,6729.8,7049.11,411944.927,6600.0
0.006264,0.007604,-0.020881,1585958400,-0.0091,6729.8,6851.1,7020.0,319849.757,6629.99
-0.004504,0.01,-0.004504,1586044800,0.001017,6851.4,6768.9,6893.44,239224.508,6668.02
0.002587,0.01,-0.011618,1586131200,-0.011255,6768.9,7325.73,7370.0,461331.013,6760.0
-0.013141,0.01,-0.013141,1586217600,-0.003435,7325.73,7192.9,7457.0,419572.04,7070.43
-0.002784,0.01,-0.002784,1586304000,0.01,7192.9,7357.66,7417.83,332599.575,7145.14
0.01,0.01,-0.010555,1586390400,-0.004102,7357.15,7278.65,7365.69,293638.581,7105.98
-0.004864,0.01,-0.006107,1586476800,0.01,7278.83,6857.82,7290.0,440148.453,6741.0
0.01,0.01,0.01,1586563200,0.01,6858.0,6874.18,6944.28,224157.844,6757.29
0.01,0.01,0.000613,1586649600,0.006753,6874.17,6900.52,7173.98,321594.822,6775.66
0.007767,0.007767,-0.02271,1586736000,-0.001489,6900.19,6834.0,6900.99,421954.773,6558.0
-0.001373,0.01,-0.026173,1586822400,-0.016122,6834.01,6864.11,6975.6,280445.427,6751.0
-0.012871,0.01,-0.0152,1586908800,-0.010075,6864.11,6616.89,6929.0,281136.689,6602.59
-0.00717,0.01,-0.045959,1586995200,0.003068,6616.88,7098.15,7190.92,559868.603,6465.33
0.005771,0.005771,-0.014311,1587081600,-0.005297,7098.15,7022.44,7140.0,277339.601,6981.0
-0.00325,-0.00325,-0.020346,1587168000,-0.017521,7022.0,7242.42,7290.0,225807.171,7008.11
-0.019053,0.01,-0.019053,1587254400,-0.004791,7242.49,7118.03,7258.42,216975.114,7055.0
-0.00139,0.01,-0.009796,1587340800,-0.009796,7118.04,6825.29,7208.55,445104.981,6735.95
-0.009253,0.01,-0.013007,1587427200,0.002279,6825.28,6838.0,6940.0,288024.528,6759.16
-0.002696,-0.002291,-0.032365,1587513600,-0.02234,6838.0,7120.06,7154.9,306482.163,6812.57
-0.022409,0.01,-0.026666,1587600000,0.01,7120.06,7483.35,7802.38,472510.047,7020.0
0.01,0.01,0.01,1587686400,0.01,7483.36,7504.11,7612.91,278378.368,7388.0
0.01,0.01,0.01,1587772800,0.01,7504.62,7534.01,7722.33,243266.807,7433.0
0.01,0.01,0.006402,1587859200,0.01,7534.01,7694.17,7709.57,269921.936,7476.86
0.01,0.01,0.01,1587945600,0.01,7693.63,7774.0,7795.6,290336.169,7623.98
0.01,0.01,0.01,1588032000,0.01,7774.0,7735.75,7780.0,217652.761,7662.49
0.01,0.014798,0.01,1588118400,0.014798,7735.76,8784.2,8988.66,871197.569,7710.0
0.013479,0.097931,0.01,1588204800,0.023533,8784.05,8624.76,9479.77,944211.711,8400.0
0.021243,0.038349,0.01,1588291200,0.01,8623.61,8830.52,9065.0,417820.386,8619.84
0.01,0.010246,0.01,1588377600,0.01,8830.52,8975.18,9020.0,295769.728,8755.01
0.01,0.023043,0.01,1588464000,0.01405,8975.18,8900.0,9200.0,451322.713,8727.24
0.012098,0.012098,0.01,1588550400,0.01,8899.99,8873.98,8954.94,440135.307,8526.0
0.01,0.02696,0.01,1588636800,0.01,8873.99,9022.78,9118.17,409920.13,8766.12
0.01,0.036089,0.01,1588723200,0.01,9022.76,9148.27,9405.0,507753.8,8916.01
0.01,0.01,0.01,1588809600,0.01,9148.29,9995.0,10080.0,738920.219,9022.0
0.01583,0.062978,0.01583,1588896000,0.044799,9994.74,9807.49,10045.03,458034.211,9726.0
0.042002,0.078419,0.037932,1588982400,0.040744,9809.63,9550.67,9923.98,411941.957,9528.23
0.04223,0.04223,0.01,1589068800,0.01,9550.25,8719.53,9580.0,842909.031,7940.0
0.01,0.01,0.01,1589155200,0.01,8723.23,8561.09,9164.0,805164.964,8151.12
0.01,0.01,0.01,1589241600,0.01,8560.73,8808.71,8981.0,369716.041,8520.43
0.01,0.01,0.01,1589328000,0.01,8808.71,9305.91,9397.0,379719.0,8790.04
0.01,0.01,0.01,1589414400,0.01,9305.91,9786.8,9950.0,602528.438,9250.66
0.01,0.01,0.004838,1589500800,0.01,9787.62,9310.73,9843.5,504107.096,9100.0
0.01,0.01,0.01,1589587200,0.01,9311.21,9374.99,9585.0,287768.201,9210.03
0.007998,0.01,0.000645,1589673600,0.01,9374.99,9678.57,9880.0,300859.34,9317.16
0.01,0.01,-0.006572,1589760000,0.01,9677.31,9731.1,9958.67,363732.37,9450.0
0.01,0.01,0.007861,1589846400,0.01,9731.11,9773.64,9900.0,376313.845,9462.0
0.01,0.01,-0.010638,1589932800,-0.010638,9772.66,9508.11,9838.0,334423.59,9281.42
-0.009136,0.01,-0.009136,1590019200,0.001598,9508.0,9060.0,9573.0,461439.193,8812.2
-0.005048,0.008211,-0.011107,1590105600,-0.000224,9060.0,9166.4,9259.38,276008.073,8920.0
-0.002073,0.01,-0.00463,1590192000,0.01,9166.43,9176.41,9300.0,201589.66,9076.9
0.01,0.01,0.006598,1590278400,0.01,9176.32,8711.37,9294.44,339643.378,8674.0
0.007045,0.007045,-0.007396,1590364800,-0.003821,8711.37,8895.65,8977.0,302980.106,8623.38
-0.00015,0.01,-0.002313,1590451200,0.000243,8895.66,8837.05,9011.82,275619.158,8693.18
0.002138,0.01,-0.01946,1590537600,-0.013083,8837.88,9197.32,9230.0,272253.998,8811.0
-0.01135,0.01,-0.013975,1590624000,0.003822,9197.32,9569.59,9621.65,327412.374,9110.97
0.002578,0.01,-0.000708,1590710400,0.01,9569.58,9422.26,9598.0,238691.299,9317.42
0.01,0.01,0.01,1590796800,0.01,9422.11,9695.0,9753.0,255234.058,9326.01
0.01,0.01,0.01,1590883200,0.01,9694.38,9446.43,9698.0,219829.356,9371.76
0.01,0.01,-0.005364,1590969600,0.00065,9446.49,10232.48,10497.25,333740.457,9420.85
0.031864,0.184458,0.01,1591056000,0.01,10232.41,9514.9,10262.3,354168.517,9264.15
0.01,0.01,0.002677,1591142400,0.01,9514.9,9663.59,9694.75,185389.412,9382.33
0.01,0.01,0.01,1591228800,0.01,9663.58,9788.33,9884.0,264515.319,9440.0
0.01,0.01,0.01,1591315200,0.01,9788.32,9617.29,9855.0,237103.042,9580.52
0.01,0.01,0.01,1591401600,0.01,9616.64,9664.0,9738.77,152526.703,9528.0
0.01,0.01,0.01,1591488000,0.01,9664.01,9743.92,9823.13,253986.313,9373.0
0.01,0.01,0.01,1591574400,0.01,9743.92,9778.87,9816.0,162086.419,9631.0
0.01,0.01,0.01,1591660800,0.01,9778.87,9771.66,9890.0,204422.819,9550.03
0.01,0.01,0.01,1591747200,0.01,9771.66,9884.99,10015.99,193628.149,9681.21
0.01,0.01,0.01,1591833600,0.01,9884.99,9278.03,9970.1,404046.613,9055.07
0.01,0.01,-0.003799,1591920000,-0.000982,9277.72,9458.91,9550.0,211611.34,9238.0
-0.00191,0.01,-0.002462,1592006400,0.008954,9458.77,9468.54,9497.85,113449.075,9340.0
0.007077,0.01,-0.000945,1592092800,0.01,9468.55,9339.61,9477.0,143978.523,9240.97
0.01,0.01,-0.020132,1592179200,-0.018731,9339.7,9422.01,9490.83,413865.727,8888.43
-0.015328,0.01,-0.015328,1592265600,0.01,9422.01,9519.12,9595.0,225713.247,9370.0
0.007814,0.00923,-0.008551,1592352000,-0.005655,9519.13,9458.45,9569.0,227477.39,9231.03
-0.010005,0.01,-0.017627,1592438400,0.003281,9458.45,9381.59,9483.85,158349.247,9272.41
-0.000068,0.01,-0.001095,1592524800,0.01,9381.99,9307.0,9453.0,219510.059,9239.0
0.01,0.01,-0.003331,1592611200,-0.002341,9307.0,9354.04,9394.29,154462.29,9165.0
-0.003037,0.01,-0.009187,1592697600,0.01,9353.84,9293.51,9420.47,110599.558,9279.0
0.01,0.01,0.005954,1592784000,0.01,9293.39,9686.99,9795.0,260561.647,9273.0
0.01,0.01634,0.01,1592870400,0.01,9686.99,9631.66,9723.23,164673.499,9585.0
0.011286,0.01464,0.01,1592956800,0.01,9631.65,9298.4,9678.0,300450.251,9210.0
0.01,0.01,0.003792,1593043200,0.008601,9298.78,9246.75,9350.9,272566.502,9005.0
0.009401,0.01,0.009401,1593129600,0.01,9246.75,9159.99,9297.16,249348.67,9038.52
0.01,0.01,0.01,1593216000,0.01,9159.99,9008.0,9195.75,237840.165,8816.4
0.01,0.01,0.004079,1593302400,0.01,9008.0,9114.0,9188.0,153842.891,8932.68
0.01,0.01,0.005355,1593388800,0.01,9114.01,9189.48,9233.0,176660.525,9022.0
0.01,0.01,0.01,1593475200,0.01,9189.99,9138.87,9205.0,143469.832,9063.97
0.01,0.01,0.01,1593561600,0.01,9138.88,9233.29,9293.0,161642.185,9090.0
0.01,0.01,0.01,1593648000,0.01,9233.29,9087.72,9262.99,230747.519,8936.0
0.01,0.01,0.01,1593734400,0.01,9087.72,9057.52,9124.52,96947.338,9036.06
0.01,0.01,0.01,1593820800,0.01,9058.07,9137.18,9194.0,100215.438,9042.84
0.01,0.01,0.01,1593907200,0.01,9137.18,9071.86,9146.35,139545.566,8900.0
0.01,0.01,0.01,1593993600,0.01,9071.87,9339.6,9379.0,199643.828,9058.1
0.01,0.01,0.01,1594080000,0.01,9339.59,9258.51,9380.0,127833.975,9201.23
0.01,0.01,0.01,1594166400,0.01,9258.51,9436.08,9470.0,170243.001,9233.47
0.01,0.01,0.01,1594252800,0.01,9436.08,9236.28,9440.81,188355.856,9164.33
0.01,0.01,0.01,1594339200,0.01,9236.29,9288.39,9317.24,140849.874,9121.42
0.01,0.01,0.01,1594425600,0.01,9288.39,9233.5,9301.74,74976.521,9178.91
0.01,0.01,0.01,1594512000,0.01,9233.5,9300.69,9349.0,127841.882,9155.0
0.01,0.01,0.01,1594598400,0.01,9300.7,9241.2,9345.0,136117.659,9200.0
0.01,0.01,0.01,1594684800,0.01,9241.18,9254.17,9279.0,129704.278,9116.0
0.01,0.01,0.01,1594771200,0.01,9254.17,9197.3,9272.56,104107.708,9156.0
0.01,0.01,0.01,1594857600,0.01,9197.75,9132.0,9223.0,148089.45,9044.02
0.01,0.01,0.01,1594944000,0.01,9132.0,9151.69,9187.0,80940.584,9087.0
0.01,0.01,0.01,1595030400,0.01,9151.7,9171.8,9210.0,63233.596,9121.98
0.01,0.01,0.01,1595116800,0.01,9171.79,9210.51,9239.59,75554.579,9108.0
0.01,0.01,0.01,1595203200,0.01,9210.68,9161.13,9221.0,72429.691,9131.01
0.01,0.01,0.01,1595289600,0.01,9161.28,9388.01,9439.6,179211.347,9152.62
