l,o,c,t,h,high,open,volume,close,low
-0.02801456,0.00060455,-0.02801456,1585612800,0.00257056,6516.63,6389.52,262522.644,6407.1,6320.0
-0.04545036,-0.02728137,-0.03637457,1585699200,-0.02214161,6693.0,6407.1,390529.602,6641.51,6140.0
-0.03260675,-0.03260675,0.00529891,1585785600,0.01069718,7290.0,6641.22,531321.428,6791.63,6542.73
-0.02036349,0.00594207,-0.0195717,1585872000,0.00810685,7049.11,6791.65,411944.927,6729.8,6600.0
-0.02344284,-0.02113321,-0.01078045,1585958400,-0.00506528,7020.0,6729.8,319849.757,6851.1,6629.99
-0.00997679,-0.00997679,0.00189444,1586044800,0.00947316,6893.44,6851.4,239224.508,6768.9,6668.02
-0.00155694,0.00200077,0.00207914,1586131200,0.00631672,7370.0,6768.9,461331.013,7325.73,6760.0
-0.01149594,0.00290314,-0.01118986,1586217600,0.00904828,7457.0,7325.73,419572.04,7192.9,7070.43
-0.01159567,-0.01159567,0.00282435,1586304000,0.00994218,7417.83,7192.9,332599.575,7357.66,7145.14
-0.01748183,0.00319208,-0.01243707,1586390400,0.00319208,7365.69,7357.15,293638.581,7278.65,7105.98
-0.0459925,-0.01274713,-0.04136114,1586476800,-0.00508349,7290.0,7278.83,440148.453,6857.82,6741.0
-0.04755904,-0.04145581,-0.01122489,1586563200,-0.00017544,6944.28,6858.0,224157.844,6874.18,6757.29
-0.02126031,-0.01255988,-0.01136307,1586649600,-0.00850508,7173.98,6874.17,321594.822,6900.52,6775.66
-0.06110639,-0.01143039,-0.03042993,1586736000,-0.01143039,6900.99,6900.19,421954.773,6834.0,6558.0
-0.03189113,-0.03189113,-0.01868701,1586822400,-0.00547163,6975.6,6834.01,280445.427,6864.11,6751.0
-0.02496374,-0.01626797,-0.02051479,1586908800,-0.00906763,6929.0,6864.11,281136.689,6616.89,6602.59
-0.04384472,-0.01702727,0.00675828,1586995200,0.00894656,7190.92,6616.88,559868.603,7098.15,6465.33
-0.014311,0.00741358,-0.005297,1587081600,0.00741358,7140.0,7098.15,277339.601,7022.44,6981.0
-0.020346,-0.00325,-0.017521,1587168000,-0.00325,7290.0,7022.0,225807.171,7242.42,7008.11
-0.019053,-0.019053,-0.004791,1587254400,0.01,7258.42,7242.49,216975.114,7118.03,7055.0
-0.009796,-0.00139,-0.009796,1587340800,0.01,7208.55,7118.04,445104.981,6825.29,6735.95
-0.03969613,-0.009253,-0.01532581,1587427200,-0.002336,6940.0,6825.28,288024.528,6838.0,6759.16
-0.02314361,-0.01694708,-0.00734469,1587513600,-0.00699012,7154.9,6838.0,306482.163,7120.06,6812.57
-0.00764378,-0.00764378,0.00797955,1587600000,0.00797955,7802.38,7120.06,472510.047,7483.35,7020.0
0.00797955,0.00797955,0.0104017,1587686400,0.01117415,7612.91,7483.36,278378.368,7504.11,7388.0
-0.00452108,0.0104017,-0.00452108,1587772800,0.0104017,7722.33,7504.62,243266.807,7534.01,7433.0
-0.00711971,-0.00498242,-0.00228177,1587859200,0.00597494,7709.57,7534.01,269921.936,7694.17,7476.86
-0.01241325,-0.00158839,-0.01087813,1587945600,0.00478909,7795.6,7693.63,290336.169,7774.0,7623.98
-0.01151081,-0.0104883,-0.010091,1588032000,0.00903354,7780.0,7774.0,217652.761,7735.75,7662.49
-0.01238886,-0.00995277,0.00936168,1588118400,0.00936168,8988.66,7735.76,871197.569,8784.2,7710.0
0.00883881,0.00883881,0.01316312,1588204800,0.03612116,9479.77,8784.05,944211.711,8624.76,8400.0
0.00951712,0.01242721,0.00951712,1588291200,0.01671841,9065.0,8623.61,417820.386,8830.52,8619.84
0.00682237,0.00990989,0.00814121,1588377600,0.01037164,9020.0,8830.52,295769.728,8975.18,8755.01
0.00294027,0.00887191,0.00344475,1588464000,0.01373801,9200.0,8975.18,451322.713,8900.0,8727.24
-0.00046167,0.00333705,0.00606921,1588550400,0.00776491,8954.94,8899.99,440135.307,8873.98,8526.0
0.00184746,0.00664704,0.00245218,1588636800,0.01470645,9118.17,8873.99,409920.13,9022.78,8766.12
-0.00121604,0.00278157,0.00904387,1588723200,0.01543958,9405.0,9022.76,507753.8,9148.27,8916.01
0.00574572,0.0075598,0.01037619,1588809600,0.01058304,10080.0,9148.29,738920.219,9995.0,9022.0
0.0123268,0.0123268,0.01765017,1588896000,0.02552029,10045.03,9994.74,458034.211,9807.49,9726.0
0.01657012,0.01657012,0.01927453,1588982400,0.03340493,9923.98,9809.63,411941.957,9550.67,9528.23
-0.02439176,0.0204624,0.00240603,1589068800,0.0204624,9580.0,9550.25,842909.031,8719.53,7940.0
-0.01821634,0.0025756,-0.01781987,1589155200,0.01019404,9164.0,8723.23,805164.964,8561.09,8151.12
-0.01906191,-0.01880905,-0.00663946,1589241600,0.00769432,8981.0,8560.73,369716.041,8808.71,8520.43
-0.01529719,-0.00667555,-0.00079142,1589328000,0.00377095,9397.0,8808.71,379719.0,9305.91,8790.04
-0.00285975,-0.00096869,0.01066972,1589414400,0.01185034,9950.0,9305.91,602528.438,9786.8,9250.66
0.00751439,0.01061042,0.01121844,1589500800,0.01215914,9843.5,9787.62,504107.096,9310.73,9100.0
0.00761805,0.01060955,0.00872275,1589587200,0.01116346,9585.0,9311.21,287768.201,9374.99,9210.03
0.00534587,0.00763335,0.01836358,1589673600,0.01842386,9880.0,9374.99,300859.34,9678.57,9317.16
0.0056823,0.01796894,0.00812559,1589760000,0.0234658,9958.67,9677.31,363732.37,9731.1,9450.0
0.00801426,0.00801426,0.01051397,1589846400,0.01060049,9900.0,9731.11,376313.845,9773.64,9462.0
0.00130272,0.0102412,0.00130272,1589932800,0.01370857,9838.0,9772.66,334423.59,9508.11,9281.42
0.00068372,0.00372564,0.00722572,1590019200,0.01198091,9573.0,9508.0,461439.193,9060.0,8812.2
-0.00346452,0.00658543,-0.00346452,1590105600,0.00730588,9259.38,9060.0,276008.073,9166.4,8920.0
-0.00654328,-0.00335174,0.0046672,1590192000,0.00669658,9300.0,9166.43,201589.66,9176.41,9076.9
0.00373578,0.00412995,0.00478694,1590278400,0.00841502,9294.44,9176.32,339643.378,8711.37,8674.0
-0.01481522,0.00288654,-0.00925776,1590364800,0.00288654,8977.0,8711.37,302980.106,8895.65,8623.38
-0.00856546,-0.00856546,-0.00505859,1590451200,0.00613224,9011.82,8895.66,275619.158,8837.05,8693.18
-0.00757698,-0.00588114,0.00174022,1590537600,0.00753382,9230.0,8837.88,272253.998,9197.32,8811.0
0.00156963,0.0028264,0.00806542,1590624000,0.00884204,9621.65,9197.32,327412.374,9569.59,9110.97
0.00685663,0.0076261,0.00948441,1590710400,0.01297998,9598.0,9569.58,238691.299,9422.26,9317.42
0.00860217,0.00889208,0.00924597,1590796800,0.01119372,9753.0,9422.11,255234.058,9695.0,9326.01
0.00782808,0.00988978,0.007932,1590883200,0.01008631,9698.0,9694.38,219829.356,9446.43,9371.76
0.00590252,0.00834766,0.00823663,1590969600,0.0106908,10497.25,9446.49,333740.457,10232.48,9420.85
0.00911605,0.03511316,0.00918676,1591056000,0.12015075,10262.3,10232.41,354168.517,9514.9,9264.15
0.00412699,0.01024733,0.00994868,1591142400,0.01161931,9694.75,9514.9,185389.412,9663.59,9382.33
0.00771093,0.00861614,0.00946146,1591228800,0.0115262,9884.0,9663.58,264515.319,9788.33,9440.0
0.0068074,0.00912305,0.00836559,1591315200,0.01198119,9855.0,9788.32,237103.042,9617.29,9580.52
0.00683998,0.0082299,0.0081934,1591401600,0.01207221,9738.77,9616.64,152526.703,9664.0,9528.0
-0.01440389,0.00804236,0.00799433,1591488000,0.01139162,9823.13,9664.01,253986.313,9743.92,9373.0
0.00626895,0.00747039,0.00848719,1591574400,0.01793752,9816.0,9743.92,162086.419,9778.87,9631.0
0.00741198,0.00899774,0.00862793,1591660800,0.01136249,9890.0,9778.87,204422.819,9771.66,9550.03
