h,c,o,l,t,low,open,close,volume,high
0.00719187,0.00643187,0.00361119,-0.00045366,1682208000,27279.7,27807.2,27576.0,332082.355,27807.3
0.00719464,0.00396581,0.00643187,0.00087527,1682294400,26919.3,27575.9,27497.5,581268.268,28000.0
0.01000517,0.00451435,0.00396581,0.00388728,1682380800,27176.6,27497.4,28286.7,508254.515,28379.9
0.011725,0.001335,0.00451435,-0.00594178,1682467200,27200.0,28286.7,28395.9,1284924.668,30048.2
0.007383,0.006673,0.001335,-0.001618,1682553600,28365.3,28396.0,29459.0,952584.739,29898.0
0.010006,-0.000404,0.006673,-0.000404,1682640000,28870.0,29459.0,29300.0,508350.155,29591.1
0.007602,0.002456,-0.000404,-0.006887,1682726400,29000.4,29300.0,29212.7,218013.244,29443.9
0.008414,0.002533,0.002456,0.000008,1682812800,29067.4,29212.7,29223.0,417798.846,29950.0
0.010096,0.004048,0.002533,-0.003352,1682899200,27650.0,29223.0,28054.4,624974.488,29325.5
0.009093,0.002537,0.004048,-0.003829,1682985600,27854.0,28054.5,28656.5,513546.269,28888.0
0.010101,0.010002,0.002537,0.002537,1683072000,28080.0,28656.4,29018.4,676466.23,29258.4
0.012066,0.002508,0.010002,0.002095,1683158400,28660.0,29018.4,28826.0,426425.584,29380.0
0.010841,0.007938,0.002508,-0.000414,1683244800,28618.3,28826.0,29491.5,578485.177,29693.0
0.010361,-0.000231,0.007938,-0.000678,1683331200,28333.0,29491.5,28837.8,475628.901,29840.0
0.007281,0.001835,-0.000231,-0.002062,1683417600,28370.0,28837.9,28419.4,308410.643,29137.0
0.005841,0.002151,0.001835,-0.008572,1683504000,27250.0,28419.5,27659.8,658188.777,28624.6
0.009053,0.005392,0.002151,-0.000272,1683590400,27316.8,27659.8,27610.2,367664.686,27815.6
0.007031,-0.00066,0.005392,-0.007757,1683676800,26666.6,27610.2,27582.9,722502.676,28297.0
0.008063,0.003436,-0.00066,-0.001834,1683763200,26688.8,27583.0,26956.4,538822.363,27630.0
0.008349,0.002158,0.003436,-0.000706,1683849600,25751.0,26956.4,26785.1,615645.508,27090.0
0.00795,0.001454,0.002158,-0.002749,1683936000,26674.9,26785.2,26762.7,242694.929,27051.5
0.006619,0.003181,0.001454,0.000326,1684022400,26557.0,26762.8,26901.9,247579.427,27200.0
0.00748,0.007296,0.003181,-0.003901,1684108800,26694.4,26901.9,27152.5,450263.076,27650.0
0.011157,0.008656,0.007296,0.000402,1684195200,26832.0,27152.5,27024.8,373172.951,27284.7
0.011219,0.007553,0.008656,0.00286,1684281600,26527.5,27024.7,27395.8,490065.218,27500.0
0.011203,0.003418,0.007553,0.00244,1684368000,26335.3,27395.7,26809.3,544971.979,27482.7
0.007268,0.005446,0.003418,0.00041,1684454400,26611.2,26809.4,26870.1,324097.956,27180.0
0.006966,0.002678,0.005446,-0.005519,1684540800,26813.5,26870.1,27089.5,137515.354,27144.4
0.009135,0.003987,0.002678,-0.001134,1684627200,26642.0,27089.6,26732.8,238776.425,27288.0
0.008991,0.008738,0.003987,0.00051,1684713600,26500.0,26732.8,26840.2,328030.52,27097.8
0.011176,0.011175,0.008738,0.006858,1684800000,26782.6,26840.2,27209.9,369176.618,27527.5
0.011175,0.006308,0.011175,-0.00073,1684886400,26060.0,27209.9,26313.8,535191.677,27212.9
0.013065,0.007332,0.006308,0.001712,1684972800,25850.0,26313.9,26461.8,394535.225,26644.0
0.010144,0.003182,0.007332,0.001409,1685059200,26313.9,26461.7,26689.9,324475.546,26925.0
0.009641,0.0068,0.003182,0.001762,1685145600,26528.6,26689.8,26841.6,163681.935,26890.0
0.0068,0.0068,0.0068,0.0068,1685232000,26746.0,26841.6,28055.7,440115.394,28252.8
0.011684,0.007002,0.009104,0.005154,1685318400,27513.5,28055.8,27722.0,411290.549,28442.0
0.009303,0.006008,0.007002,0.00269,1685404800,27530.0,27722.1,27680.1,334379.313,28038.6
0.011652,0.002458,0.006008,-0.002783,1685491200,26826.0,27680.0,27201.1,471381.89,27825.0
0.013021,0.006079,0.002458,0.001353,1685577600,26600.0,27201.1,26805.3,404787.572,27347.9
0.013321,0.00892,0.006079,0.004619,1685664000,26477.6,26805.3,27227.8,391110.093,27290.0
0.011488,0.004153,0.00892,0.001866,1685750400,26900.0,27227.8,27054.9,182464.1,27340.2
0.013326,0.008256,0.004153,0.004153,1685836800,26935.3,27054.9,27102.4,218271.544,27460.0
0.010528,-0.004721,0.008256,-0.015845,1685923200,25360.1,27102.4,25714.7,700502.548,27125.0
0.009466,0.009207,-0.004721,-0.004808,1686009600,25321.6,25714.6,27221.5,731445.649,27358.1
0.011903,0.005924,0.009207,0.003788,1686096000,26111.0,27221.5,26325.9,660044.537,27394.4
0.009896,0.006657,0.005924,0.002571,1686182400,26195.4,26325.9,26485.9,333104.839,26800.0
0.010204,0.009137,0.006657,0.003287,1686268800,26236.0,26486.0,26468.1,283719.198,26775.0
0.011154,0.00311,0.009137,-0.001312,1686355200,25300.0,26468.2,25826.6,608917.569,26525.0
0.009972,0.007848,0.00311,0.000491,1686441600,25621.3,25826.6,25909.9,279365.563,26199.0
0.009363,0.008776,0.007848,0.002598,1686528000,25600.0,25910.0,25894.8,298900.468,26097.7
0.010327,0.00374,0.008776,0.002661,1686614400,25708.0,25894.8,25918.0,434536.754,26430.5
0.008921,-0.000767,0.00374,-0.000791,1686700800,24796.8,25918.0,25115.9,464681.602,26099.3
0.011381,0.006334,-0.000767,-0.006337,1686787200,24777.0,25115.9,25586.1,473971.375,25750.0
0.007055,0.006365,0.006334,-0.000049,1686873600,25142.1,25586.0,26336.0,533144.956,26526.9
0.011975,0.003798,0.006365,0.002315,1686960000,26170.8,26335.9,26508.9,305738.396,26900.0
0.008644,0.006623,0.003798,0.001793,1687046400,26230.9,26508.8,26329.7,241977.484,26709.4
0.01097,0.005606,0.006623,0.000974,1687132800,26241.2,26329.6,26828.5,400533.758,27077.0
