longShortRatio,shortAccount,time,longAccount,high,volume,open,low,close
1.39,41.86,1602892800,58.14,11424.09,95892.966,11319.51,11250.0,11356.25
1.39,41.86,1602979200,58.14,11529.93,92472.191,11356.25,11342.54,11501.1
1.26,44.27,1603065600,55.73,11830.0,230161.648,11501.5,11404.01,11745.0
1.24,44.75,1603152000,55.25,12045.78,312811.802,11744.99,11673.0,11900.03
0.94,51.65,1603238400,48.35,13240.0,591963.069,11900.03,11876.0,12796.07
1.44,41.01,1603324800,58.99,13188.27,343851.666,12796.06,12675.5,12968.87
1.44,41.01,1603411200,58.99,13043.0,237042.526,12970.39,12725.04,12925.82
1.3,43.51,1603497600,56.49,13177.59,176146.631,12925.82,12871.07,13110.88
1.32,43.1,1603584000,56.9,13369.0,206012.652,13110.88,12715.0,13023.81
1.32,43.1,1603670400,56.9,13240.0,316503.296,13024.21,12729.0,13047.24
1.3,43.54,1603756800,56.46,13787.83,411509.506,13047.24,13041.3,13629.38
1.2,45.43,1603843200,54.57,13863.0,476993.789,13629.89,12876.0,13256.17
1.49,40.15,1603929600,59.85,13637.22,355352.336,13255.79,12965.0,13446.65
1.12,47.17,1604016000,52.83,13665.65,349890.573,13446.65,13100.0,13549.12
1.1,47.61,1604102400,52.39,14140.0,357853.23,13549.12,13403.36,13783.73
1.1,47.61,1604188800,52.39,13891.52,198395.231,13783.73,13605.9,13752.86
1.23,44.91,1604275200,55.09,13823.75,327991.768,13752.87,13195.0,13540.54
1.23,44.91,1604361600,55.09,14070.0,348730.51,13541.55,13276.33,14016.55
1.06,48.47,1604448000,51.53,14280.0,451433.42,14016.55,13512.0,14134.31
1.05,48.76,1604534400,51.24,15777.0,717489.697,14134.32,14088.01,15598.75
1.35,42.62,1604620800,57.38,15984.2,559380.06,15598.74,15177.0,15590.96
1.52,39.67,1604707200,60.33,15774.0,457582.681,15590.95,14350.0,14824.34
1.42,41.33,1604793600,58.67,15678.0,290616.393,14824.33,14710.0,15473.2
1.44,41.02,1604880000,58.98,15869.0,474181.983,15473.2,14822.0,15328.72
1.55,39.25,1604966400,60.75,15474.17,244073.495,15328.72,15071.0,15294.68
1.63,38.05,1605052800,61.95,16000.0,330772.852,15294.68,15274.89,15690.24
1.42,41.27,1605139200,58.73,16345.0,471759.126,15690.24,15437.7,16289.02
1.35,42.61,1605225600,57.39,16479.99,306656.359,16289.01,15955.6,16320.54
1.5,40.06,1605312000,59.94,16326.82,266206.937,16320.54,15700.0,16064.51
1.52,39.64,1605398400,60.36,16161.23,210318.453,16064.51,15768.0,15952.27
1.42,41.34,1605484800,58.66,16882.0,342459.329,15951.93,15862.0,16707.07
1.25,44.43,1605571200,55.57,17890.1,524094.697,16707.0,16550.0,17670.01
1.37,42.2,1605657600,57.8,18520.0,732937.097,17670.01,17215.03,17788.32
1.69,37.24,1605744000,62.76,18200.0,406500.977,17788.32,17347.27,17811.68
1.69,37.24,1605830400,62.76,18831.6,407926.802,17811.68,17748.92,18664.31
1.76,36.19,1605916800,63.81,18986.0,342412.49,18662.85,18302.08,18721.99
1.89,34.66,1606003200,65.34,18780.0,373779.417,18721.99,17645.98,18435.2
1.61,38.35,1606089600,61.65,18812.65,364221.378,18434.17,18013.97,18382.07
1.61,38.35,1606176000,61.65,19440.0,477968.289,18382.07,18000.0,19179.64
1.8,35.73,1606262400,64.27,19554.19,426276.99,19178.53,18509.12,18741.67
2.23,31.0,1606348800,69.0,18940.69,850692.856,18741.66,16181.0,17155.34
1.72,36.81,1606435200,63.19,17465.0,398072.933,17155.37,16444.83,17144.1
1.72,36.71,1606521600,63.29,17880.0,268833.749,17144.11,16865.78,17717.74
1.54,39.43,1606608000,60.57,18343.0,256024.006,17717.74,17523.0,18181.09
1.38,41.99,1606694400,58.01,19944.0,500482.574,18180.43,18178.82,19720.0
1.48,40.31,1606780800,59.69,19956.0,553885.333,19722.09,18050.0,18772.7
1.52,39.64,1606867200,60.36,19365.0,335717.482,18770.33,18329.58,19207.01
1.63,38.09,1606953600,61.91,19640.0,245020.576,19207.01,18865.0,19434.3
1.54,39.34,1607040000,60.66,19537.16,276271.939,19432.66,18570.0,18664.2
1.47,40.49,1607126400,59.51,19203.46,165912.647,18662.72,18510.0,19147.62
1.32,43.11,1607212800,56.89,19449.1,176004.606,19147.63,18855.35,19375.02
1.18,45.86,1607299200,54.14,19446.36,169402.371,19375.0,18908.66,19172.88
1.5,40.05,1607385600,59.95,19319.38,280714.132,19172.87,18133.33,18319.32
1.37,42.23,1607472000,57.77,18639.7,353123.689,18319.33,17650.0,18537.98
1.21,45.35,1607558400,54.65,18550.0,233960.241,18537.97,17916.0,18253.51
1.34,42.66,1607644800,57.34,18290.44,317866.07,18254.0,17555.0,18031.47
1.34,42.66,1607731200,57.34,18950.0,196962.282,18031.71,18012.21,18800.0
1.14,46.68,1607817600,53.32,19432.0,239760.089,18800.0,18705.46,19175.07
1.13,47.03,1607904000,52.97,19355.35,181555.823,19175.06,19004.72,19270.7
1.16,46.4,1607990400,53.6,19598.0,248744.054,19270.71,19039.64,19424.91
0.95,51.36,1608076800,48.64,21600.0,459302.012,19424.9,19274.55,21346.8
1.15,46.45,1608163200,53.55,23888.04,823435.821,21346.81,21231.5,22816.99
1.42,41.3,1608249600,58.7,23330.0,305997.222,22816.99,22363.94,23124.35
1.53,39.5,1608336000,60.5,24281.61,337535.438,23124.35,22735.81,23847.28
1.6,38.45,1608422400,61.55,24376.0,322289.774,23847.28,23076.25,23472.96
1.59,38.66,1608508800,61.34,24145.0,476456.589,23472.96,21920.0,22730.1
1.34,42.82,1608595200,57.18,23850.0,326124.313,22736.05,22387.0,23826.99
1.43,41.09,1608681600,58.91,24235.42,394754.939,23826.74,22572.52,23238.27
1.4,41.63,1608768000,58.37,23819.81,237754.257,23237.73,22700.0,23737.44
1.39,41.87,1608854400,58.13,24827.64,284523.431,23738.75,23450.0,24730.0
1.41,41.46,1608940800,58.54,26926.0,367265.555,24729.99,24507.24,26508.83
1.58,38.84,1609027200,61.16,28459.84,540264.148,26508.84,25850.0,26305.64
1.66,37.59,1609113600,62.41,27538.82,267563.468,26301.76,26117.1,27102.66
1.82,35.47,1609200000,64.53,27441.73,260759.449,27101.45,25913.01,27402.83
1.98,33.53,1609286400,66.47,29063.72,374737.655,27402.83,27401.0,28906.99
1.61,38.39,1609372800,61.61,29376.7,313648.835,28906.99,27848.0,28951.68
1.6,38.45,1609459200,61.55,29668.86,210716.398,28948.19,28627.12,29337.16
1.57,38.98,1609545600,61.02,33480.0,545541.08,29337.15,28958.24,32199.91
1.55,39.15,1609632000,60.85,34832.25,487486.989,32198.41,32000.02,33054.53
2.01,33.19,1609718400,66.81,33653.56,506128.023,33053.93,27800.0,32031.07
1.89,34.55,1609804800,65.45,34500.0,433720.833,32029.55,29900.0,33999.52
1.9,34.45,1609891200,65.55,37037.51,444019.83,33999.51,33356.46,36823.68
1.92,34.31,1609977600,65.69,40565.62,520147.908,36825.77,36337.36,39498.92
2.12,32.07,1610064000,67.93,42125.51,518080.826,39498.32,36539.77,40637.23
2.51,28.51,1610150400,71.49,41539.88,260882.805,40638.91,38733.28,40136.04
2.89,25.69,1610236800,74.31,41412.12,436759.048,40136.05,35268.0,38221.67
2.61,27.68,1610323200,72.32,38322.18,906275.651,38200.01,30448.0,35408.46
2.45,29.01,1610409600,70.99,36693.44,449065.693,35406.92,32600.0,34056.9
2.1,32.29,1610496000,67.71,37880.0,398188.088,34065.53,32420.0,37421.07
2.49,28.68,1610582400,71.32,40189.39,353142.386,37416.34,36764.33,39163.31
1.94,34.07,1610668800,65.93,39790.0,437610.113,39163.31,34478.0,36755.24
2.28,30.47,1610755200,69.53,38000.0,301102.477,36755.25,35366.0,36025.66
2.14,31.85,1610841600,68.15,36898.0,287686.129,36025.65,33863.5,35869.83
2.24,30.91,1610928000,69.09,37547.94,253386.703,35875.72,34808.47,36686.86
2.82,26.2,1611014400,73.8,37961.0,257889.419,36690.0,35850.0,35891.03
2.34,29.92,1611100800,70.08,36461.44,329192.419,35891.74,33403.0,35500.0
2.41,29.37,1611187200,70.63,35636.17,550562.277,35499.23,30069.9,30879.97
2.04,32.9,1611273600,67.1,33831.52,453568.538,30875.77,28880.0,32986.34
1.96,33.84,1611360000,66.16,33495.0,256776.411,32990.08,31405.0,32086.48
1.73,36.69,1611446400,63.31,33125.75,212107.044,32086.48,30914.2,32275.63
1.8,35.66,1611532800,64.34,34880.0,316687.524,32274.88,31921.47,32253.68
2.07,32.61,1611619200,67.39,32950.0,346861.707,32253.68,30810.0,32474.14
1.91,34.39,1611705600,65.61,32562.2,431022.839,32474.81,29240.0,30381.04
1.93,34.11,1611792000,65.89,33778.95,311528.373,30382.96,29843.33,33399.75
1.47,40.45,1611878400,59.55,38641.1,713579.785,33399.99,31960.0,34269.35
2.73,26.79,1611964800,73.21,34988.88,267861.872,34267.04,32849.06,34289.85
2.89,25.69,1612051200,74.31,34393.22,211293.891,34284.76,32193.04,33126.21
2.48,28.78,1612137600,71.22,34720.0,240632.325,33125.11,32322.47,33546.09
2.6,27.82,1612224000,72.18,36041.0,239856.23,33546.08,33450.0,35504.06
2.33,30.04,1612310400,69.96,37700.0,240308.078,35504.07,35410.0,37652.51
1.9,34.49,1612396800,65.51,38833.0,306715.022,37651.92,36233.0,36976.93
1.79,35.82,1612483200,64.18,38411.82,196277.444,36975.19,36586.68,38362.65
1.98,33.51,1612569600,66.49,40992.4,310826.315,38357.17,38269.0,39249.54
2.11,32.2,1612656000,67.8,39757.87,296721.925,39249.53,37403.27,38849.25
2.26,30.72,1612742400,69.28,47146.0,440167.093,38849.24,38037.0,46451.32
2.22,31.04,1612828800,68.96,48266.36,381477.426,46451.32,45057.65,46492.54
2.23,30.99,1612915200,69.01,47475.0,334979.017,46492.53,43770.0,44850.0
2.57,28.0,1613001600,72.0,48810.0,330540.045,44850.0,44038.97,48060.21
2.6,27.82,1613088000,72.18,49278.98,259186.288,48060.21,46121.0,47361.03
2.77,26.55,1613174400,73.45,48290.0,199965.397,47364.0,46252.1,47221.62
2.78,26.49,1613260800,73.51,49875.16,241935.666,47221.63,47093.16,48655.21
2.51,28.46,1613347200,71.54,49100.0,248960.404,48655.21,45349.21,47981.58
2.0,33.3,1613433600,66.7,50953.44,343592.011,47981.6,47101.02,49197.94
2.36,29.73,1613520000,70.27,52800.0,312007.458,49197.93,49029.62,52194.62
1.88,34.67,1613606400,65.33,52640.0,185489.89,52194.62,50948.0,51619.7
2.22,31.02,1613692800,68.98,56582.0,257911.872,51612.46,50800.0,56004.1
2.22,31.02,1613779200,68.98,57699.0,240296.308,56005.85,53905.0,55917.41
2.2,31.26,1613865600,68.74,58472.14,196820.573,55908.45,55564.5,57487.43
2.27,30.57,1613952000,69.43,57591.87,480660.187,57475.5,47751.42,54121.1
2.48,28.71,1614038400,71.29,54260.12,748737.462,54125.55,44893.82,48930.0
1.93,34.08,1614124800,65.92,51435.58,333415.219,48930.01,47000.0,49702.03
2.12,32.06,1614211200,67.94,52134.96,349943.016,49702.05,46685.43,47089.37
2.43,29.15,1614297600,70.85,48438.01,440670.32,47087.97,44100.0,46313.13
2.41,29.36,1614384000,70.64,48476.05,256027.074,46313.12,44926.77,46102.63
2.13,31.92,1614470400,68.08,46678.0,370358.825,46097.09,43002.05,45163.36
1.91,34.41,1614556800,65.59,49800.0,315659.931,45162.64,44972.49,49592.7
2.16,31.7,1614643200,68.3,50221.77,273100.435,49594.99,47058.06,48450.57
2.11,32.12,1614729600,67.88,52681.51,350311.234,48454.21,48110.66,50373.75
2.29,30.44,1614816000,69.56,51800.0,387428.957,50373.75,47500.0,48385.77
2.66,27.3,1614902400,72.7,49470.0,354602.756,48385.77,46320.0,48770.57
2.25,30.82,1614988800,69.18,49253.63,215092.91,48772.68,47090.0,48908.21
2.12,32.03,1615075200,67.97,51480.0,248398.116,48908.21,48908.21,50995.27
1.95,33.94,1615161600,66.06,52450.0,308339.866,50991.35,49310.0,52429.43
1.93,34.13,1615248000,65.87,54950.0,285604.798,52429.43,51880.0,54917.78
2.02,33.12,1615334400,66.88,57500.92,401159.493,54917.78,53061.0,55947.98
2.0,33.33,1615420800,66.67,58283.0,364681.318,55949.3,54356.44,57844.52
1.93,34.09,1615507200,65.91,58186.33,335495.042,57842.64,55074.3,57291.03
1.9,34.44,1615593600,65.56,61950.0,320322.173,57291.04,56136.0,61267.41
2.11,32.15,1615680000,67.85,61798.0,231991.901,61267.41,59005.0,59037.12
2.48,28.72,1615766400,71.28,60740.0,448820.83,59037.11,54517.28,55646.61
3.16,24.03,1615852800,75.97,56988.0,339718.202,55646.61,53335.0,56954.19
3.02,24.88,1615939200,75.12,59078.79,339397.712,56953.23,54154.93,58959.0
2.72,26.88,1616025600,73.12,60510.0,305100.026,58959.01,57072.0,57700.01
3.11,24.31,1616112000,75.69,59550.0,259039.479,57700.01,56301.27,58089.11
2.66,27.36,1616198400,72.64,59948.0,203680.149,58089.11,57881.0,58145.61
2.83,26.08,1616284800,73.92,58638.7,237518.696,58144.44,55403.55,57415.18
2.96,25.23,1616371200,74.77,58500.0,293062.947,57415.19,53635.81,54129.56
3.41,22.7,1616457600,77.3,55890.68,276199.041,54129.56,52981.4,54400.0
2.77,26.54,1616544000,73.46,57234.79,394172.526,54400.0,51666.0,52311.54
