shortLiquidationUsd,t,longLiquidationUsd,low,high,open,close,volume
0,1569369600.0,0,8200.0,8725.24,8493.32,8430.07,48222.102
0,1569456000.0,0,7700.67,8464.4,8428.15,8060.15,60065.945
0,1569542400.0,0,7851.94,8260.0,8061.98,8176.52,40034.653
0,1569628800.0,0,8001.14,8311.0,8178.26,8195.38,33820.919
0,1569715200.0,0,7888.98,8226.35,8199.0,8041.96,35966.056
0,1569801600.0,0,7709.01,8331.89,8042.08,8285.84,54412.52
0,1569888000.0,0,8171.0,8499.0,8285.31,8290.0,39212.804
0,1569974400.0,0,8149.35,8365.92,8290.0,8352.14,30329.179
0,1570060800.0,0,8020.0,8386.0,8353.4,8220.27,33430.23
0,1570147200.0,0,7979.95,8227.42,8219.95,8130.56,28421.111
0,1570233600.0,0,8010.0,8175.0,8130.0,8122.14,30262.006
0,1570320000.0,0,7760.0,8148.43,8122.01,7852.79,41909.039
0,1570406400.0,0,7764.42,8330.0,7851.01,8186.88,62760.299
0,1570492800.0,0,8103.88,8322.01,8188.55,8167.62,44715.165
0,1570579200.0,0,8113.0,8700.0,8168.33,8559.77,65453.643
0,1570665600.0,0,8419.34,8640.89,8559.77,8556.02,44285.668
0,1570752000.0,0,8210.0,8788.0,8557.0,8255.58,69157.964
0,1570838400.0,0,8248.34,8397.45,8255.54,8300.22,37761.514
0,1570924800.0,0,8137.3,8456.0,8300.31,8274.66,43820.913
0,1571011200.0,0,8205.02,8381.77,8274.33,8346.05,61999.821
0,1571097600.0,0,8080.0,8408.62,8346.31,8160.01,86246.749
0,1571184000.0,0,7900.24,8184.0,8160.55,7992.21,70434.452
0,1571270400.0,0,7930.0,8124.63,7994.76,8069.2,58354.602
0,1571356800.0,0,7812.0,8117.3,8069.41,7943.94,75251.352
0,1571443200.0,0,7852.12,8108.54,7945.57,7947.13,78024.395
0,1571529600.0,0,7871.17,8300.5,7947.78,8218.23,78663.915
0,1571616000.0,0,8150.0,8334.57,8218.23,8201.74,59928.516
0,1571702400.0,0,8000.0,8290.0,8201.0,8020.89,69506.88
0,1571788800.0,0,7172.76,8047.78,8020.68,7465.0,108484.139
0,1571875200.0,0,7337.44,7495.81,7465.18,7411.35,66719.534
0,1571961600.0,0,7359.0,8800.0,7410.07,8650.0,165118.926
0,1572048000.0,0,8626.89,10408.48,8650.0,9232.22,248161.161
0,1572134400.0,0,9066.07,9803.83,9234.75,9533.32,163544.019
0,1572220800.0,0,9156.03,9930.13,9534.37,9217.36,155599.975
0,1572307200.0,0,9070.0,9569.1,9215.78,9415.02,124703.014
0,1572393600.0,0,8975.72,9418.65,9415.02,9165.3,98464.858
0,1572480000.0,0,8933.0,9438.64,9163.4,9150.0,98836.044
0,1572566400.0,0,9050.27,9280.0,9149.88,9231.01,87256.949
