o,c,t,h,l,volume,close,open,high,low
3592941969,3527345802,1582761600.0,3592941969,3519642109,200638.488,8828.0,8793.96,8978.0,8533.9
3512645211,3030810420,1582848000.0,3512645211,2989640750,196066.11,8699.57,8827.12,8908.86,8450.0
3043305844,3039152135,1582934400.0,3068482521,3025077245,103524.685,8531.98,8699.86,8799.83,8530.0
3039667141,3061279586,1583020800.0,3099737456,2998977064,174332.916,8537.84,8532.5,8762.24,8409.0
3073924322,3087582321,1583107200.0,3092824330,3045062034,160294.484,8919.7,8537.84,8972.0,8504.95
3070808130,3030927997,1583193600.0,3078001429,3005264467,160123.605,8765.0,8919.7,8922.34,8657.41
3013832153,3388922515,1583280000.0,3411555483,2983559630,105462.12,8756.93,8765.0,8853.88,8669.23
3336546980,3431167376,1583366400.0,3451266481,3301587669,161840.623,9062.81,8755.98,9172.3,8755.98
3452220729,3750641979,1583452800.0,3769240195,3375907594,115011.583,9139.48,9062.62,9179.75,8994.14
3751811122,3748308280,1583539200.0,3763001868,3735239095,125804.999,8897.18,9139.77,9204.0,8850.0
3741212132,3732738524,1583625600.0,3763539975,3715779927,237407.028,8038.46,8895.62,8897.71,7997.7
3643109525,3341576044,1583712000.0,3643109525,3287878770,334399.107,7932.15,8038.99,8182.31,7635.21
3375249060,3271734618,1583798400.0,3375249060,3271734618,257068.702,7897.66,7932.45,8156.31,7733.0
3216263693,3256716007,1583884800.0,3274099516,3186072374,220537.381,7938.39,7898.21,7988.0,7593.29
3280148459,2215858643,1583971200.0,3363376095,2215858643,784747.02,4764.65,7938.39,7969.0,4347.0
2170335588,1817811605,1584057600.0,2484929290,1817811605,935489.242,5570.26,4762.28,5971.0,3621.81
1812511702,1801345085,1584144000.0,1813966485,1765407172,316242.586,5167.01,5569.84,5638.42,5040.0
1798612573,1604441279,1584230400.0,1798612573,1604441279,356311.765,5357.32,5167.21,5954.47,5089.12
1604231924,1570912492,1584316800.0,1665476150,1570912492,621555.792,5026.26,5354.81,5361.26,4413.62
1582037047,1574203357,1584403200.0,1582037047,1536975762,429908.098,5307.38,5027.11,5529.98,4913.49
1584383295,1650389915,1584489600.0,1677454778,1568641632,402005.703,5389.64,5306.42,5435.0,4982.75
1641724773,1666766269,1584576000.0,1674571751,1608521490,499391.19,6159.6,5389.94,6400.0,5246.5
1679258281,1598480905,1584662400.0,1679258281,1587808060,571898.016,6203.77,6159.41,6911.0,5650.0
1591102842,1578484057,1584748800.0,1591102842,1506308472,387679.649,6183.69,6204.47,6457.17,5854.01
1578964664,1844957790,1584835200.0,1844957790,1578964664,391002.795,5810.17,6183.84,6408.91,5730.35
1852114981,1582360145,1584921600.0,1852114981,1582360145,489746.087,6463.84,5810.3,6619.9,5670.0
1584826353,1599821464,1585008000.0,1599821464,1557461233,437968.553,6741.33,6463.21,6840.0,6369.0
1589890682,1633261648,1585094400.0,1644028474,1545700515,400684.542,6673.41,6740.86,6960.71,6436.26
1626168986,1642090389,1585180800.0,1649067820,1603931597,281245.628,6733.76,6673.57,6777.5,6500.0
1649470263,1702086262,1585267200.0,1707199035,1629015334,258213.519,6353.64,6733.76,6840.0,6230.0
1698671113,1766771446,1585353600.0,1766771446,1655694959,341944.185,6230.95,6353.64,6354.74,6004.0
1765774657,1777790815,1585440000.0,1783481814,1738294611,251335.919,5876.27,6231.81,6260.0,5857.6
1773745077,1784954705,1585526400.0,1804194512,1634285337,387321.998,6391.08,5876.27,6606.15,5850.0
1774490130,1770494278,1585612800.0,1778720369,1716026293,262522.644,6407.1,6389.52,6516.63,6320.0
1764284964,1794065124,1585699200.0,1801609352,1719985485,390529.602,6641.51,6407.1,6693.0,6140.0
1795982187,1734614451,1585785600.0,1805716067,1432962988,531321.428,6791.63,6641.22,7290.0,6542.73
1756781249,1699206051,1585872000.0,1785865375,1647141307,411944.927,6729.8,6791.65,7049.11,6600.0
1713326141,1770364781,1585958400.0,1770364781,1701358517,319849.757,6851.1,6729.8,7020.0,6629.99
1780428896,1760430914,1586044800.0,1795250025,1735523947,239224.508,6768.9,6851.4,6893.44,6668.02
1762420393,1853141765,1586131200.0,1864038944,1738295531,461331.013,7325.73,6768.9,7370.0,6760.0
1869204892,1897856570,1586217600.0,1906300609,1846435341,419572.04,7192.9,7325.73,7457.0,7070.43
1909343455,1880270906,1586304000.0,1917103465,1847646239,332599.575,7357.66,7192.9,7417.83,7145.14
1879012604,1928423835,1586390400.0,1942954635,1868866857,293638.581,7278.65,7357.15,7365.69,7105.98
1928785601,1934812353,1586476800.0,1938321172,1903212790,440148.453,6857.82,7278.83,7290.0,6741.0
1932673473,1985876190,1586563200.0,1985876190,1923910563,224157.844,6874.18,6858.0,6944.28,6757.29
1987631779,2102630935,1586649600.0,2102630935,1987631779,321594.822,6900.52,6874.17,7173.98,6775.66
2125353483,2079203999,1586736000.0,2157953979,2023571228,421954.773,6834.0,6900.19,6900.99,6558.0
2081636972,2081567971,1586822400.0,2093040820,2046199354,280445.427,6864.11,6834.01,6975.6,6751.0
2096016070,2169313579,1586908800.0,2622111239,2060654497,281136.689,6616.89,6864.11,6929.0,6602.59
2181631672,1994380676,1586995200.0,2188755683,1991376680,559868.603,7098.15,6616.88,7190.92,6465.33
1990819625,2072207142,1587081600.0,2076023524,1922743680,277339.601,7022.44,7098.15,7140.0,6981.0
2075219531,2167047977,1587168000.0,2167047977,2070980953,225807.171,7242.42,7022.0,7290.0,7008.11
2172225335,2119527619,1587254400.0,2172225335,2073700368,216975.114,7118.03,7242.49,7258.42,7055.0
2117515128,2187484099,1587340800.0,2192408571,2090852767,445104.981,6825.29,7118.04,7208.55,6735.95
2186502186,2289385517,1587427200.0,2295141097,2174449546,288024.528,6838.0,6825.28,6940.0,6759.16
2288678831,2343447492,1587513600.0,2357183989,2254983218,306482.163,7120.06,6838.0,7154.9,6812.57
2338676861,2155150061,1587600000.0,2338676861,2155150061,472510.047,7483.35,7120.06,7802.38,7020.0
2155117800,2138001583,1587686400.0,2160608369,2071157683,278378.368,7504.11,7483.36,7612.91,7388.0
2141224763,2187275242,1587772800.0,2187275242,2100453066,243266.807,7534.01,7504.62,7722.33,7433.0
2146508747,2252968557,1587859200.0,2264321884,2146468747,269921.936,7694.17,7534.01,7709.57,7476.86
2212244540,2244066653,1587945600.0,2244066653,2196239929,290336.169,7774.0,7693.63,7795.6,7623.98
2244988628,2312150089,1588032000.0,2312302955,2224895750,217652.761,7735.75,7774.0,7780.0,7662.49
2308552825,2492239524,1588118400.0,2492239524,2291777822,871197.569,8784.2,7735.76,8988.66,7710.0
2505899291,2407282949,1588204800.0,2595095085,1810493958,944211.711,8624.76,8784.05,9479.77,8400.0
2410492650,2418027707,1588291200.0,2453282672,2362360748,417820.386,8830.52,8623.61,9065.0,8619.84
2412605561,2505603075,1588377600.0,2509093056,2401270339,295769.728,8975.18,8830.52,9020.0,8755.01
2516665470,2522818534,1588464000.0,2599130982,2478413861,451322.713,8900.0,8975.18,9200.0,8727.24
2550358839,2565164821,1588550400.0,2588857697,2543797417,440135.307,8873.98,8899.99,8954.94,8526.0
2580260375,2578522168,1588636800.0,2646862627,2531508705,409920.13,9022.78,8873.99,9118.17,8766.12
2575462710,2783848288,1588723200.0,4150445411,2544265452,507753.8,9148.27,9022.76,9405.0,8916.01
2790707622,2789442167,1588809600.0,2790707622,2705087566,738920.219,9995.0,9148.29,10080.0,9022.0
2769210069,3088199735,1588896000.0,3088199735,2769210069,458034.211,9807.49,9994.74,10045.03,9726.0
3068379538,3232751023,1588982400.0,3232751023,3053134713,411941.957,9550.67,9809.63,9923.98,9528.23
3230286743,2713786823,1589068800.0,3230286743,2646760952,842909.031,8719.53,9550.25,9580.0,7940.0
2690053529,2679468382,1589155200.0,2690053529,2583846765,805164.964,8561.09,8723.23,9164.0,8151.12
2681503594,2658879309,1589241600.0,2681503594,2527176934,369716.041,8808.71,8560.73,8981.0,8520.43
2671951248,2821111320,1589328000.0,2821111320,2637138762,379719.0,9305.91,8808.71,9397.0,8790.04
2852174216,2858830548,1589414400.0,2979211779,2841028661,602528.438,9786.8,9305.91,9950.0,9250.66
2872652829,2901818901,1589500800.0,2901818901,2704926346,504107.096,9310.73,9787.62,9843.5,9100.0
2878858923,2814059284,1589587200.0,2878858923,2783490468,287768.201,9374.99,9311.21,9585.0,9210.03
2800066885,3007252460,1589673600.0,3007252460,2761712976,300859.34,9678.57,9374.99,9880.0,9317.16
3022230940,3011589279,1589760000.0,3101051590,2928171214,363732.37,9731.1,9677.31,9958.67,9450.0
3005706637,2914068388,1589846400.0,3025217953,2914068388,376313.845,9773.64,9731.11,9900.0,9462.0
2900328408,3042647334,1589932800.0,3047738411,2890245934,334423.59,9508.11,9772.66,9838.0,9281.42
2994109220,2959552360,1590019200.0,3044786154,2959552360,461439.193,9060.0,9508.0,9573.0,8812.2
2972506674,2917706613,1590105600.0,2976001205,2879794172,276008.073,9166.4,9060.0,9259.38,8920.0
2932330258,2950796780,1590192000.0,2966293459,2932330258,201589.66,9176.41,9166.43,9300.0,9076.9
2947439772,2979942678,1590278400.0,2989383012,2920285704,339643.378,8711.37,9176.32,9294.44,8674.0
2981828671,3041631524,1590364800.0,3073129977,2981828671,302980.106,8895.65,8711.37,8977.0,8623.38
3036167847,3047111755,1590451200.0,3066260998,3000202169,275619.158,8837.05,8895.66,9011.82,8693.18
3037120154,3161981205,1590537600.0,3161981205,3017131249,272253.998,9197.32,8837.88,9230.0,8811.0
3137550873,3144959047,1590624000.0,3144959047,3058765997,327412.374,9569.59,9197.32,9621.65,9110.97
3150242855,3099674421,1590710400.0,3150242855,3086032005,238691.299,9422.26,9569.58,9598.0,9317.42
3108378370,3216446735,1590796800.0,3216446735,3107292448,255234.058,9695.0,9422.11,9753.0,9326.01
3217376699,3162038141,1590883200.0,3228763642,3162038141,219829.356,9446.43,9694.38,9698.0,9371.76
3165962003,3309491176,1590969600.0,3309491176,3141010057,333740.457,10232.48,9446.49,10497.25,9420.85
3283953342,3242513592,1591056000.0,3769952767,3242513592,354168.517,9514.9,10232.41,10262.3,9264.15
3143028717,3003589337,1591142400.0,3143028717,2991436705,185389.412,9663.59,9514.9,9694.75,9382.33
3001030553,3585848495,1591228800.0,3590339561,3000316854,264515.319,9788.33,9663.58,9884.0,9440.0
3592216766,3610992044,1591315200.0,3642867084,3561702895,237103.042,9617.29,9788.32,9855.0,9580.52
3619218591,3586887079,1591401600.0,3619218591,3564398516,152526.703,9664.0,9616.64,9738.77,9528.0
3586830596,3701491115,1591488000.0,3701491115,3566067203,253986.313,9743.92,9664.01,9823.13,9373.0
3716960964,3595703081,1591574400.0,3727024879,3452788929,162086.419,9778.87,9743.92,9816.0,9631.0
3610178589,3585391044,1591660800.0,3651807474,3545583772,204422.819,9771.66,9778.87,9890.0,9550.03
3594869205,3659360468,1591747200.0,3707877609,3593117355,193628.149,9884.99,9771.66,10015.99,9681.21
3661340016,3830081856,1591833600.0,3830081856,3653858402,404046.613,9278.03,9884.99,9970.1,9055.07
3802395625,3646793783,1591920000.0,3802395625,3574028450,211611.34,9458.91,9277.72,9550.0,9238.0
3664398584,3612800076,1592006400.0,3664398584,3601567610,113449.075,9468.54,9458.77,9497.85,9340.0
3608423317,3655426519,1592092800.0,3655426519,3077169973,143978.523,9339.61,9468.55,9477.0,9240.97
3632396161,3701537030,1592179200.0,3720605708,3620962232,413865.727,9422.01,9339.7,9490.83,8888.43
3695663930,3696616224,1592265600.0,3749901749,3654568118,225713.247,9519.12,9422.01,9595.0,9370.0
3698651980,3736962211,1592352000.0,3736962211,3682200410,227477.39,9458.45,9519.13,9569.0,9231.03
3752108557,3706343558,1592438400.0,3756180393,3685852275,158349.247,9381.59,9458.45,9483.85,9272.41
3693716576,3650257993,1592524800.0,3761023872,3650257993,219510.059,9307.0,9381.99,9453.0,9239.0
3650062079,3676139820,1592611200.0,3725745525,3620481722,154462.29,9354.04,9307.0,9394.29,9165.0
3691541033,3677078972,1592697600.0,3726932953,3665619133,110599.558,9293.51,9353.84,9420.47,9279.0
3668628356,3858885643,1592784000.0,3873118370,3642739816,260561.647,9686.99,9293.39,9795.0,9273.0
