t,h,l,c,o,close,high,low,open,volume
1582761600.0,20012.48,18511.56,18511.56,20012.48,8828.0,8978.0,8533.9,8793.96,200638.488
1582848000.0,22048.25,18323.37,20647.05,18326.62,8699.57,8908.86,8450.0,8827.12,196066.11
1582934400.0,21552.99,20653.31,21070.65,20817.13,8531.98,8799.83,8530.0,8699.86,103524.685
1583020800.0,22516.55,20424.66,21188.33,21115.82,8537.84,8762.24,8409.0,8532.5,174332.916
1583107200.0,21377.91,19959.37,19959.37,21377.91,8919.7,8972.0,8504.95,8537.84,160294.484
1583193600.0,21517.98,19455.04,20083.77,19845.61,8765.0,8922.34,8657.41,8919.7,160123.605
1583280000.0,21408.66,20068.13,20976.91,20076.56,8756.93,8853.88,8669.23,8765.0,105462.12
1583366400.0,22038.12,20923.64,21679.99,20976.72,9062.81,9172.3,8755.98,8755.98,161840.623
1583452800.0,24020.89,21347.79,23256.76,21705.25,9139.48,9179.75,8994.14,9062.62,115011.583
1583539200.0,23773.47,22918.96,22961.33,23296.07,8897.18,9204.0,8850.0,9139.77,125804.999
1583625600.0,23382.32,19226.3,19642.27,23151.3,8038.46,8897.71,7997.7,8895.62,237407.028
1583712000.0,21153.97,18078.88,19950.2,19135.96,7932.15,8182.31,7635.21,8038.99,334399.107
1583798400.0,20838.58,19072.37,19072.37,19845.62,7897.66,8156.31,7733.0,7932.45,257068.702
1583884800.0,21759.4,18291.36,19829.76,18982.44,7938.39,7988.0,7593.29,7898.21,220537.381
1583971200.0,21254.26,14288.98,16597.3,19873.47,4764.65,7969.0,4347.0,7938.39,784747.02
1584057600.0,17574.58,13636.41,14059.54,14969.62,5570.26,5971.0,3621.81,4762.28,935489.242
1584144000.0,15470.71,13724.15,15085.87,14270.76,5167.01,5638.42,5040.0,5569.84,316242.586
1584230400.0,17564.28,15027.12,15711.22,15027.12,5357.32,5954.47,5089.12,5167.21,356311.765
1584316800.0,18489.98,15894.92,17097.99,15894.92,5026.26,5361.26,4413.62,5354.81,621555.792
1584403200.0,18697.72,16328.44,18135.47,17083.75,5307.38,5529.98,4913.49,5027.11,429908.098
1584489600.0,20439.34,17910.91,19611.93,17910.91,5389.64,5435.0,4982.75,5306.42,402005.703
1584576000.0,21683.46,19226.27,19592.52,20066.13,6159.6,6400.0,5246.5,5389.94,499391.19
1584662400.0,19772.4,15119.7,15119.7,19270.67,6203.77,6911.0,5650.0,6159.41,571898.016
1584748800.0,18232.08,15178.06,17739.25,15178.06,6183.69,6457.17,5854.01,6204.47,387679.649
1584835200.0,20686.65,17898.04,19305.1,17972.4,5810.17,6408.91,5730.35,6183.84,391002.795
1584921600.0,21013.7,17781.24,18001.44,19885.02,6463.84,6619.9,5670.0,5810.3,489746.087
1585008000.0,20236.63,17885.35,18396.18,18363.86,6741.33,6840.0,6369.0,6463.21,437968.553
1585094400.0,18818.53,17386.95,18449.04,17950.36,6673.41,6960.71,6436.26,6740.86,400684.542
1585180800.0,19495.61,17969.59,19495.61,18211.17,6733.76,6777.5,6500.0,6673.57,281245.628
1585267200.0,21867.97,19491.03,21296.02,19696.68,6353.64,6840.0,6230.0,6733.76,258213.519
1585353600.0,23749.57,20927.64,22761.33,20927.64,6230.95,6354.74,6004.0,6353.64,341944.185
1585440000.0,25404.16,22570.98,24449.48,22717.44,5876.27,6260.0,5857.6,6231.81,251335.919
1585526400.0,25071.13,23476.95,23476.95,24214.31,6391.08,6606.15,5850.0,5876.27,387321.998
1585612800.0,26352.45,22997.59,26352.45,23294.8,6407.1,6516.63,6320.0,6389.52,262522.644
