start_time,premium,premium_rate,time
2024-01-01 00:00:00,5.0,0.0118,1704067200
2024-01-01 01:00:00,-21.4,-0.0504,1704070800
2024-01-01 02:00:00,-18.99,-0.0446,1704074400
2024-01-01 03:00:00,-9.77,-0.0229,1704078000
2024-01-01 04:00:00,-5.4,-0.0128,1704081600
2024-01-01 05:00:00,-10.2,-0.0241,1704085200
2024-01-01 06:00:00,-2.54,-0.006,1704088800
2024-01-01 07:00:00,4.21,0.0099,1704092400
2024-01-01 08:00:00,4.12,0.0097,1704096000
2024-01-01 09:00:00,2.7,0.0063,1704099600
2024-01-01 10:00:00,1.28,0.003,1704103200
2024-01-01 11:00:00,-4.37,-0.0102,1704106800
2024-01-01 12:00:00,-0.21,-0.0005,1704110400
2024-01-01 13:00:00,-0.52,-0.0012,1704114000
2024-01-01 14:00:00,1.99,0.0047,1704117600
2024-01-01 15:00:00,21.33,0.0501,1704121200
2024-01-01 16:00:00,16.32,0.0381,1704124800
2024-01-01 17:00:00,13.73,0.0321,1704128400
2024-01-01 18:00:00,22.92,0.0535,1704132000
2024-01-01 19:00:00,12.72,0.0295,1704135600
2024-01-01 20:00:00,19.06,0.0438,1704139200
2024-01-01 21:00:00,15.21,0.0348,1704142800
2024-01-01 22:00:00,12.57,0.0288,1704146400
2024-01-01 23:00:00,16.05,0.0369,1704150000
2024-01-02 00:00:00,41.23,0.0933,1704153600
2024-01-02 01:00:00,37.14,0.0824,1704157200
2024-01-02 02:00:00,35.45,0.079,1704160800
2024-01-02 03:00:00,106.36,0.2344,1704164400
2024-01-02 04:00:00,73.89,0.1627,1704168000
2024-01-02 05:00:00,39.04,0.0864,1704171600
2024-01-02 06:00:00,34.93,0.0773,1704175200
2024-01-02 07:00:00,40.73,0.0902,1704178800
2024-01-02 08:00:00,48.88,0.1075,1704182400
2024-01-02 09:00:00,51.98,0.1136,1704186000
2024-01-02 10:00:00,35.99,0.0788,1704189600
2024-01-02 11:00:00,36.04,0.0791,1704193200
2024-01-02 12:00:00,54.91,0.1209,1704196800
2024-01-02 13:00:00,37.29,0.0823,1704200400
2024-01-02 14:00:00,53.04,0.1162,1704204000
2024-01-02 15:00:00,46.39,0.1025,1704207600
2024-01-02 16:00:00,51.02,0.1129,1704211200
2024-01-02 17:00:00,37.64,0.083,1704214800
2024-01-02 18:00:00,28.85,0.0642,1704218400
2024-01-02 19:00:00,17.54,0.0388,1704222000
2024-01-02 20:00:00,12.69,0.0282,1704225600
2024-01-02 21:00:00,11.06,0.0247,1704229200
2024-01-02 22:00:00,8.8,0.0195,1704232800
2024-01-02 23:00:00,18.65,0.0415,1704236400
2024-01-03 00:00:00,25.9,0.0576,1704240000
2024-01-03 01:00:00,20.89,0.0463,1704243600
2024-01-03 02:00:00,23.54,0.0519,1704247200
2024-01-03 03:00:00,28.43,0.0628,1704250800
2024-01-03 04:00:00,26.38,0.0583,1704254400
2024-01-03 05:00:00,16.36,0.0362,1704258000
2024-01-03 06:00:00,12.06,0.0267,1704261600
2024-01-03 07:00:00,21.6,0.0477,1704265200
2024-01-03 08:00:00,15.66,0.0348,1704268800
2024-01-03 09:00:00,21.54,0.0477,1704272400
2024-01-03 10:00:00,14.06,0.031,1704276000
2024-01-03 11:00:00,11.67,0.0258,1704279600
2024-01-03 12:00:00,48.26,0.1104,1704283200
2024-01-03 13:00:00,37.23,0.087,1704286800
2024-01-03 14:00:00,40.69,0.0957,1704290400
2024-01-03 15:00:00,19.85,0.0471,1704294000
2024-01-03 16:00:00,22.17,0.0516,1704297600
2024-01-03 17:00:00,33.02,0.0768,1704301200
2024-01-03 18:00:00,20.82,0.0485,1704304800
2024-01-03 19:00:00,13.05,0.0309,1704308400
2024-01-03 20:00:00,15.65,0.0367,1704312000
2024-01-03 21:00:00,21.67,0.0507,1704315600
2024-01-03 22:00:00,28.79,0.0671,1704319200
2024-01-03 23:00:00,14.43,0.0338,1704322800
2024-01-04 00:00:00,15.35,0.0358,1704326400
2024-01-04 01:00:00,25.26,0.0589,1704330000
2024-01-04 02:00:00,27.33,0.064,1704333600
2024-01-04 03:00:00,29.73,0.0689,1704337200
2024-01-04 04:00:00,37.47,0.0869,1704340800
2024-01-04 05:00:00,33.45,0.0775,1704344400
2024-01-04 06:00:00,35.17,0.0814,1704348000
2024-01-04 07:00:00,35.17,0.0815,1704351600
2024-01-04 08:00:00,38.37,0.0897,1704355200
2024-01-04 09:00:00,30.98,0.0723,1704358800
2024-01-04 10:00:00,41.23,0.0959,1704362400
2024-01-04 11:00:00,44.64,0.1036,1704366000
2024-01-04 12:00:00,49.73,0.1152,1704369600
2024-01-04 13:00:00,48.92,0.1128,1704373200
2024-01-04 14:00:00,46.13,0.1064,1704376800
2024-01-04 15:00:00,32.77,0.075,1704380400
2024-01-04 16:00:00,44.53,0.1011,1704384000
2024-01-04 17:00:00,47.92,0.1091,1704387600
2024-01-04 18:00:00,62.53,0.1421,1704391200
2024-01-04 19:00:00,52.04,0.1181,1704394800
2024-01-04 20:00:00,50.28,0.1144,1704398400
2024-01-04 21:00:00,49.37,0.1119,1704402000
2024-01-04 22:00:00,61.94,0.1394,1704405600
2024-01-04 23:00:00,56.04,0.1264,1704409200
2024-01-05 00:00:00,47.25,0.107,1704412800
2024-01-05 01:00:00,53.95,0.122,1704416400
2024-01-05 02:00:00,57.02,0.1315,1704420000
2024-01-05 03:00:00,46.1,0.106,1704423600
2024-01-05 04:00:00,43.94,0.1011,1704427200
2024-01-05 05:00:00,37.36,0.0857,1704430800
2024-01-05 06:00:00,24.56,0.0563,1704434400
2024-01-05 07:00:00,35.33,0.0806,1704438000
2024-01-05 08:00:00,35.15,0.0803,1704441600
2024-01-05 09:00:00,38.3,0.0872,1704445200
2024-01-05 10:00:00,34.45,0.078,1704448800
2024-01-05 11:00:00,32.52,0.0745,1704452400
2024-01-05 12:00:00,36.24,0.0828,1704456000
2024-01-05 13:00:00,35.94,0.0819,1704459600
2024-01-05 14:00:00,39.01,0.0887,1704463200
2024-01-05 15:00:00,35.45,0.0815,1704466800
2024-01-05 16:00:00,25.43,0.0585,1704470400
2024-01-05 17:00:00,33.62,0.0778,1704474000
2024-01-05 18:00:00,33.03,0.0757,1704477600
2024-01-05 19:00:00,33.64,0.0771,1704481200
2024-01-05 20:00:00,24.5,0.0562,1704484800
2024-01-05 21:00:00,39.21,0.0892,1704488400
