start_time,aggregated_long_liquidation_usd,aggregated_short_liquidation_usd,time
2021-01-01,28359527.24342,16620671.21235,1609459200000
2021-01-02,109881434.96233,205560189.00357,1609545600000
2021-01-03,111899526.65052,81593606.37884,1609632000000
2021-01-04,265126887.09426,38919082.50255,1609718400000
2021-01-05,59004516.33606,69951972.85285,1609804800000
2021-01-06,71034600.67147,82238270.8576,1609891200000
2021-01-07,147295266.57904,108778429.6444,1609977600000
2021-01-08,139028469.36678,92125978.4221,1610064000000
2021-01-09,53004370.65111,26382386.40596,1610150400000
2021-01-10,278044875.57428,44368332.19402,1610236800000
2021-01-11,371047907.96246,140251880.73767,1610323200000
2021-01-12,114198080.32332,68129513.84938,1610409600000
2021-01-13,57189649.50589,90321911.66188,1610496000000
2021-01-14,64345888.24775,67080305.92579,1610582400000
2021-01-15,203527239.95679,54624662.72413,1610668800000
2021-01-16,76400037.3394,37934686.8979,1610755200000
2021-01-17,76043982.6872,48000202.56467,1610841600000
2021-01-18,53805536.4989,36338319.45514,1610928000000
2021-01-19,53768468.7316,21406493.02277,1611014400000
2021-01-20,128023451.35649,33718899.15838,1611100800000
2021-01-21,214369038.74049,59140534.73427,1611187200000
2021-01-22,73586608.87491,86730747.9392,1611273600000
2021-01-23,50261535.12836,25235947.8719,1611360000000
2021-01-24,50923777.92238,27886570.59706,1611446400000
2021-01-25,71562653.78747,52436144.64005,1611532800000
2021-01-26,64021144.65144,39826354.44362,1611619200000
2021-01-27,107329042.26376,46065189.07172,1611705600000
2021-01-28,19092009.97941,65435293.24042,1611792000000
2021-01-29,204771156.22352,193055044.01971,1611878400000
2021-01-30,43198495.44857,24915915.38616,1611964800000
2021-01-31,57972086.60985,10578886.6634,1612051200000
2021-02-01,28314018.2219,25182855.57124,1612137600000
2021-02-02,16511560.58984,38283445.50534,1612224000000
2021-02-03,25174325.26599,35480814.49486,1612310400000
2021-02-04,78007547.23799,40226509.14077,1612396800000
2021-02-05,26090720.15448,21818816.35533,1612483200000
2021-02-06,76711301.28351,64757184.83228,1612569600000
2021-02-07,127258674.90555,28842494.01542,1612656000000
2021-02-08,79602515.94848,309529153.55231,1612742400000
2021-02-09,107617744.93333,85061661.22841,1612828800000
2021-02-10,153517965.96539,30896604.93373,1612915200000
2021-02-11,71987975.60276,84840527.74148,1613001600000
2021-02-12,75611055.09401,31172348.23178,1613088000000
2021-02-13,49580296.97101,11793229.29114,1613174400000
2021-02-14,52227777.01522,66798942.13667,1613260800000
2021-02-15,182577992.56652,38326433.17542,1613347200000
2021-02-16,107137423.31343,89491845.26531,1613433600000
2021-02-17,38854545.44602,107414516.83696,1613520000000
2021-02-18,48233850.83828,17565775.11033,1613606400000
2021-02-19,49617448.58691,168798579.94146,1613692800000
2021-02-20,181100566.64428,63019634.17172,1613779200000
2021-02-21,37487754.24189,40967888.45539,1613865600000
2021-02-22,660040210.85816,109356666.4323,1613952000000
2021-02-23,472917868.91812,190394448.47756,1614038400000
2021-02-24,103805715.26768,69539545.19022,1614124800000
2021-02-25,162583670.45187,70988693.31074,1614211200000
2021-02-26,166034214.19937,97289882.60299,1614297600000
2021-02-27,70633653.4933,45768635.18866,1614384000000
2021-02-28,139629886.48041,86231803.70564,1614470400000
2021-03-01,41629279.59179,116740439.10726,1614556800000
2021-03-02,98380955.17007,38918758.2594,1614643200000
2021-03-03,73429295.9075,110626236.03496,1614729600000
2021-03-04,177449638.75025,61790624.3062,1614816000000
2021-03-05,113852225.47821,64666204.90639,1614902400000
