start_time,long_liquidation_usd,short_liquidation_usd,time
2021-01-01,22943027.24342,15278571.21235,1609459200000
2021-01-02,90141934.96233,194408589.00357,1609545600000
2021-01-03,92589526.65052,74771706.37884,1609632000000
2021-01-04,217331987.09426,34963282.50255,1609718400000
2021-01-05,49277016.33606,63741572.85285,1609804800000
2021-01-06,58575400.67147,72749570.8576,1609891200000
2021-01-07,118819266.57904,98822929.6444,1609977600000
2021-01-08,113064969.36678,83348478.4221,1610064000000
2021-01-09,44750870.65111,24053486.40596,1610150400000
2021-01-10,221510575.57428,41378332.19402,1610236800000
2021-01-11,308626307.96246,128326980.73767,1610323200000
2021-01-12,94508780.32332,63484513.84938,1610409600000
2021-01-13,50037449.50589,81568011.66188,1610496000000
2021-01-14,53475888.24775,61425405.92579,1610582400000
2021-01-15,170786539.95679,50827262.72413,1610668800000
2021-01-16,65449137.3394,33633086.8979,1610755200000
2021-01-17,64782382.6872,40226102.56467,1610841600000
2021-01-18,45771936.4989,32983619.45514,1610928000000
2021-01-19,43456068.7316,18425393.02277,1611014400000
2021-01-20,109655651.35649,29695799.15838,1611100800000
2021-01-21,182327538.74049,54274234.73427,1611187200000
2021-01-22,63082006.63511,77037855.9711,1611273600000
2021-01-23,39091314.36006,22486715.5982,1611360000000
2021-01-24,45211827.76208,25838886.54636,1611446400000
2021-01-25,60886288.15167,49649839.37165,1611532800000
2021-01-26,54501993.71864,36485641.34182,1611619200000
2021-01-27,93504957.10886,42993515.53402,1611705600000
2021-01-28,16292609.97941,60971346.47992,1611792000000
2021-01-29,172229485.00722,172162507.37081,1611878400000
2021-01-30,36462702.40677,21386652.04316,1611964800000
2021-01-31,49168634.47185,9561886.6634,1612051200000
2021-02-01,24909002.8305,24004615.28764,1612137600000
2021-02-02,13402279.66844,35727305.19144,1612224000000
2021-02-03,20529149.68309,32967299.83636,1612310400000
2021-02-04,68551254.59889,35698147.68097,1612396800000
2021-02-05,21047828.69268,20054194.90713,1612483200000
2021-02-06,61540723.29051,60054640.49678,1612569600000
2021-02-07,107057175.40815,26324655.86932,1612656000000
2021-02-08,66371424.10368,286730738.25531,1612742400000
2021-02-09,89371697.03483,78146260.81881,1612828800000
2021-02-10,134357720.58269,27634076.01873,1612915200000
2021-02-11,58692810.15196,78327939.70518,1613001600000
2021-02-12,58831606.06831,26727804.71348,1613088000000
2021-02-13,41396631.25351,10728829.29114,1613174400000
2021-02-14,41395497.15602,58871890.15027,1613260800000
2021-02-15,152700479.83442,32777856.37312,1613347200000
2021-02-16,93496982.60823,74287928.51101,1613433600000
2021-02-17,29876645.00282,93262217.15016,1613520000000
2021-02-18,34873003.97128,14152475.11033,1613606400000
2021-02-19,39976821.15251,149664609.01806,1613692800000
2021-02-20,149158602.39218,53592300.89142,1613779200000
2021-02-21,28879951.98229,36877781.34959,1613865600000
2021-02-22,539701131.56346,94042789.3875,1613952000000
2021-02-23,383935157.95992,171353533.98526,1614038400000
2021-02-24,85233428.13218,61754591.49442,1614124800000
2021-02-25,138975865.73127,60220366.02504,1614211200000
2021-02-26,142746057.01467,85676939.44419,1614297600000
2021-02-27,59717088.4077,39153527.53426,1614384000000
