start_time,time,top_account_long_percent,top_account_long_short_ratio,top_account_short_percent
2021-01-01,1609459200000,61.4,1.59,38.6
2021-01-02,1609545600000,60.08,1.51,39.92
2021-01-03,1609632000000,59.74,1.48,40.26
2021-01-04,1609718400000,65.48,1.9,34.52
2021-01-05,1609804800000,63.87,1.77,36.13
2021-01-06,1609891200000,64.07,1.78,35.93
2021-01-07,1609977600000,65.34,1.89,34.66
2021-01-08,1610064000000,67.11,2.04,32.89
2021-01-09,1610150400000,73.14,2.72,26.86
2021-01-10,1610236800000,77.82,3.51,22.18
2021-01-11,1610323200000,75.25,3.04,24.75
2021-01-12,1610409600000,71.54,2.51,28.46
2021-01-13,1610496000000,69.15,2.24,30.85
2021-01-14,1610582400000,68.63,2.19,31.37
2021-01-15,1610668800000,65.68,1.91,34.32
2021-01-16,1610755200000,68.67,2.19,31.33
2021-01-17,1610841600000,66.25,1.96,33.75
2021-01-18,1610928000000,67.83,2.11,32.17
2021-01-19,1611014400000,72.04,2.58,27.96
2021-01-20,1611100800000,68.86,2.21,31.14
2021-01-21,1611187200000,68.32,2.16,31.68
2021-01-22,1611273600000,67.08,2.04,32.92
2021-01-23,1611360000000,63.76,1.76,36.24
2021-01-24,1611446400000,61.94,1.63,38.06
2021-01-25,1611532800000,61.85,1.62,38.15
2021-01-26,1611619200000,65.49,1.9,34.51
2021-01-27,1611705600000,63.08,1.71,36.92
2021-01-28,1611792000000,64.53,1.82,35.47
2021-01-29,1611878400000,56.84,1.32,43.16
2021-01-30,1611964800000,72.31,2.61,27.69
2021-01-31,1612051200000,73.23,2.74,26.77
2021-02-01,1612137600000,68.45,2.17,31.55
2021-02-02,1612224000000,69.89,2.32,30.11
2021-02-03,1612310400000,68.14,2.14,31.86
2021-02-04,1612396800000,64.29,1.8,35.71
2021-02-05,1612483200000,65.32,1.88,34.68
2021-02-06,1612569600000,65.63,1.91,34.37
2021-02-07,1612656000000,70.55,2.4,29.45
2021-02-08,1612742400000,69.48,2.28,30.52
2021-02-09,1612828800000,68.36,2.16,31.64
