start_time,time,top_account_long_percent,top_account_long_short_ratio,top_account_short_percent
2024-01-01 00:00:00,1704067200000,57.77,1.37,42.23
2024-01-01 01:00:00,1704070800000,57.3,1.34,42.7
2024-01-01 02:00:00,1704074400000,57.09,1.33,42.91
2024-01-01 03:00:00,1704078000000,57.09,1.33,42.91
2024-01-01 04:00:00,1704081600000,57.59,1.36,42.41
2024-01-01 05:00:00,1704085200000,57.59,1.36,42.41
2024-01-01 06:00:00,1704088800000,57.9,1.38,42.1
2024-01-01 07:00:00,1704092400000,57.9,1.38,42.1
2024-01-01 08:00:00,1704096000000,57.75,1.37,42.25
2024-01-01 09:00:00,1704099600000,57.17,1.34,42.83
2024-01-01 10:00:00,1704103200000,56.54,1.3,43.46
2024-01-01 11:00:00,1704106800000,55.81,1.26,44.19
2024-01-01 12:00:00,1704110400000,55.1,1.23,44.9
2024-01-01 13:00:00,1704114000000,54.87,1.22,45.13
2024-01-01 14:00:00,1704117600000,54.83,1.21,45.17
2024-01-01 15:00:00,1704121200000,54.83,1.21,45.17
2024-01-01 16:00:00,1704124800000,54.82,1.21,45.18
2024-01-01 17:00:00,1704128400000,54.87,1.22,45.13
2024-01-01 18:00:00,1704132000000,54.5,1.2,45.5
2024-01-01 19:00:00,1704135600000,53.8,1.17,46.2
2024-01-01 20:00:00,1704139200000,53.18,1.14,46.82
2024-01-01 21:00:00,1704142800000,51.59,1.07,48.41
2024-01-01 22:00:00,1704146400000,51.27,1.05,48.73
2024-01-01 23:00:00,1704150000000,51.01,1.04,48.99
2024-01-02 00:00:00,1704153600000,50.51,1.02,49.49
2024-01-02 01:00:00,1704157200000,49.98,1.0,50.02
2024-01-02 02:00:00,1704160800000,49.98,1.0,50.02
2024-01-02 03:00:00,1704164400000,51.48,1.06,48.52
2024-01-02 04:00:00,1704168000000,50.85,1.04,49.15
2024-01-02 05:00:00,1704171600000,50.08,1.0,49.92
2024-01-02 06:00:00,1704175200000,49.93,1.0,50.07
2024-01-02 07:00:00,1704178800000,49.97,1.0,50.03
2024-01-02 08:00:00,1704182400000,49.88,1.0,50.12
2024-01-02 09:00:00,1704186000000,49.86,0.99,50.14
2024-01-02 10:00:00,1704189600000,49.86,0.99,50.14
2024-01-02 11:00:00,1704193200000,50.32,1.01,49.68
