start_time,datetime,netflow_total
2021-01-01 00:00:00,2021-01-01 00:00:00,66.47054923
2021-01-01 01:00:00,2021-01-01 01:00:00,29.45243581
2021-01-01 02:00:00,2021-01-01 02:00:00,37.22907514
2021-01-01 03:00:00,2021-01-01 03:00:00,28.96720571
2021-01-01 04:00:00,2021-01-01 04:00:00,63.35266827
2021-01-01 05:00:00,2021-01-01 05:00:00,12.8702246
2021-01-01 06:00:00,2021-01-01 06:00:00,16.5104718
2021-01-01 07:00:00,2021-01-01 07:00:00,17.47938863
2021-01-01 08:00:00,2021-01-01 08:00:00,9.25689399
2021-01-01 09:00:00,2021-01-01 09:00:00,12.92459569
2021-01-01 10:00:00,2021-01-01 10:00:00,14.23163921
2021-01-01 11:00:00,2021-01-01 11:00:00,16.02320969
2021-01-01 12:00:00,2021-01-01 12:00:00,17.84714459
2021-01-01 13:00:00,2021-01-01 13:00:00,16.11129986
2021-01-01 14:00:00,2021-01-01 14:00:00,25.29536903
2021-01-01 15:00:00,2021-01-01 15:00:00,43.58811067
2021-01-01 16:00:00,2021-01-01 16:00:00,43.10695038
2021-01-01 17:00:00,2021-01-01 17:00:00,45.49601087
2021-01-01 18:00:00,2021-01-01 18:00:00,49.52835658
2021-01-01 19:00:00,2021-01-01 19:00:00,23.96033242
2021-01-01 20:00:00,2021-01-01 20:00:00,48.77172671
2021-01-01 21:00:00,2021-01-01 21:00:00,116.67954618
2021-01-01 22:00:00,2021-01-01 22:00:00,97.51714524
2021-01-01 23:00:00,2021-01-01 23:00:00,26.86675552
2021-01-02 00:00:00,2021-01-02 00:00:00,43.34851588
2021-01-02 01:00:00,2021-01-02 01:00:00,35.47707115
2021-01-02 02:00:00,2021-01-02 02:00:00,12.62896292
2021-01-02 03:00:00,2021-01-02 03:00:00,81.69131513
2021-01-02 04:00:00,2021-01-02 04:00:00,99.65853616
2021-01-02 05:00:00,2021-01-02 05:00:00,24.64064365
2021-01-02 06:00:00,2021-01-02 06:00:00,32.09432536
2021-01-02 07:00:00,2021-01-02 07:00:00,19.38241822
2021-01-02 08:00:00,2021-01-02 08:00:00,25.79382297
