start_time,datetime,reserve,reserve_usd
2021-01-01 00:00:00,2021-01-01 00:00:00,5359.57981253,155725244.97973803
2021-01-01 01:00:00,2021-01-01 01:00:00,5389.03224834,158767933.24343368
2021-01-01 02:00:00,2021-01-01 02:00:00,5426.26132348,159305428.3988383
2021-01-01 03:00:00,2021-01-01 03:00:00,5455.22852919,159954760.35728285
2021-01-01 04:00:00,2021-01-01 04:00:00,5518.58119746,161494932.70960546
2021-01-01 05:00:00,2021-01-01 05:00:00,5531.45142206,161449647.654352
2021-01-01 06:00:00,2021-01-01 06:00:00,5547.96189386,162056256.3642014
2021-01-01 07:00:00,2021-01-01 07:00:00,5565.44128249,162130440.66902176
2021-01-01 08:00:00,2021-01-01 08:00:00,5574.69817648,161779730.12116015
2021-01-01 09:00:00,2021-01-01 09:00:00,5587.62277217,163426921.46496776
2021-01-01 10:00:00,2021-01-01 10:00:00,5601.85441138,164297145.24078095
2021-01-01 11:00:00,2021-01-01 11:00:00,5617.87762107,164743173.76755416
2021-01-01 12:00:00,2021-01-01 12:00:00,5635.72476566,164897313.8613296
2021-01-01 13:00:00,2021-01-01 13:00:00,5651.83606552,166891226.11540997
2021-01-01 14:00:00,2021-01-01 14:00:00,5677.13143455,166720457.80189058
2021-01-01 15:00:00,2021-01-01 15:00:00,5720.71954522,167010124.73123747
2021-01-01 16:00:00,2021-01-01 16:00:00,5763.8264956,169383488.91818047
2021-01-01 17:00:00,2021-01-01 17:00:00,5809.32250647,169412295.82205522
2021-01-01 18:00:00,2021-01-01 18:00:00,5858.85086305,170524834.13855264
2021-01-01 19:00:00,2021-01-01 19:00:00,5882.81119547,171523041.9563286
2021-01-01 20:00:00,2021-01-01 20:00:00,5931.58292218,173822440.65592554
2021-01-01 21:00:00,2021-01-01 21:00:00,6048.26246836,177017770.5919948
2021-01-01 22:00:00,2021-01-01 22:00:00,6145.7796136,180250930.7797366
2021-01-01 23:00:00,2021-01-01 23:00:00,6172.64636912,181429010.83869344
2021-01-02 00:00:00,2021-01-02 00:00:00,6215.994885,181470344.1779402
2021-01-02 01:00:00,2021-01-02 01:00:00,6251.47195615,184012716.45833364
2021-01-02 02:00:00,2021-01-02 02:00:00,6264.10091907,184316234.7884763
2021-01-02 03:00:00,2021-01-02 03:00:00,6345.7922342,186540360.17130575
2021-01-02 04:00:00,2021-01-02 04:00:00,6445.45077036,189494035.64252585
2021-01-02 05:00:00,2021-01-02 05:00:00,6470.09141401,191459116.7331559
2021-01-02 06:00:00,2021-01-02 06:00:00,6502.18573937,193351174.49325383
2021-01-02 07:00:00,2021-01-02 07:00:00,6521.56815759,194397196.4142255
2021-01-02 08:00:00,2021-01-02 08:00:00,6547.36198056,195467332.66750595
2021-01-02 09:00:00,2021-01-02 09:00:00,6559.45211174,194817231.56018415
2021-01-02 10:00:00,2021-01-02 10:00:00,6583.18124894,196215746.3726557
2021-01-02 11:00:00,2021-01-02 11:00:00,6597.58647028,196516523.9420806
2021-01-02 12:00:00,2021-01-02 12:00:00,6607.61899671,202854005.77190796
2021-01-02 13:00:00,2021-01-02 13:00:00,6626.29838286,207594104.45564225
2021-01-02 14:00:00,2021-01-02 14:00:00,6835.41853585,214308948.7379525
2021-01-02 15:00:00,2021-01-02 15:00:00,6876.22460738,217168495.67928383
2021-01-02 16:00:00,2021-01-02 16:00:00,6947.37553391,226106457.03569412
2021-01-02 17:00:00,2021-01-02 17:00:00,7035.60198854,231547125.69632497
2021-01-02 18:00:00,2021-01-02 18:00:00,7102.44040563,233846147.7396743
2021-01-02 19:00:00,2021-01-02 19:00:00,7158.89492095,237540851.6936117
2021-01-02 20:00:00,2021-01-02 20:00:00,7231.8682602,229388969.6306828
2021-01-02 21:00:00,2021-01-02 21:00:00,7264.93756649,229823031.2245646
2021-01-02 22:00:00,2021-01-02 22:00:00,7293.25508155,234769575.61978745
2021-01-02 23:00:00,2021-01-02 23:00:00,7359.88826663,236810428.70071575
2021-01-03 00:00:00,2021-01-03 00:00:00,7398.10360748,240102620.88218272
2021-01-03 01:00:00,2021-01-03 01:00:00,7451.72062219,243493858.67533
2021-01-03 02:00:00,2021-01-03 02:00:00,7477.20928565,245061899.64211705
2021-01-03 03:00:00,2021-01-03 03:00:00,7517.8099053,245786485.1055287
2021-01-03 04:00:00,2021-01-03 04:00:00,7579.09996319,250316950.9158721
2021-01-03 05:00:00,2021-01-03 05:00:00,7605.12080849,257758774.08253765
2021-01-03 06:00:00,2021-01-03 06:00:00,7618.01168806,258414344.72568253
2021-01-03 07:00:00,2021-01-03 07:00:00,7647.13640532,261398270.33446863
2021-01-03 08:00:00,2021-01-03 08:00:00,7679.29664457,263281337.77629888
2021-01-03 09:00:00,2021-01-03 09:00:00,7689.14718305,262673493.803276
2021-01-03 10:00:00,2021-01-03 10:00:00,7698.51937199,261711099.9113574
2021-01-03 11:00:00,2021-01-03 11:00:00,7724.1567408,266062305.58611867
2021-01-03 12:00:00,2021-01-03 12:00:00,7810.79967045,266752466.75883257
