start_time,addresses_count_inflow,addresses_count_outflow,date
2021-01-01,19328,17056,2021-01-01
2021-01-02,29255,23999,2021-01-02
2021-01-03,32237,26257,2021-01-03
2021-01-04,32069,27086,2021-01-04
2021-01-05,30028,42911,2021-01-05
2021-01-06,35607,38178,2021-01-06
2021-01-07,39285,37284,2021-01-07
2021-01-08,35092,36587,2021-01-08
2021-01-09,28749,25628,2021-01-09
2021-01-10,30506,33169,2021-01-10
2021-01-11,34927,31007,2021-01-11
2021-01-12,29303,33504,2021-01-12
2021-01-13,30236,30343,2021-01-13
2021-01-14,29169,31267,2021-01-14
2021-01-15,28626,25655,2021-01-15
2021-01-16,26065,21068,2021-01-16
2021-01-17,24336,30362,2021-01-17
2021-01-18,26553,27264,2021-01-18
2021-01-19,28700,28669,2021-01-19
2021-01-20,29103,27875,2021-01-20
2021-01-21,29993,31803,2021-01-21
2021-01-22,28794,30303,2021-01-22
2021-01-23,23857,22017,2021-01-23
2021-01-24,21521,21682,2021-01-24
2021-01-25,26810,27597,2021-01-25
2021-01-26,25120,24386,2021-01-26
2021-01-27,30426,30937,2021-01-27
2021-01-28,32324,27671,2021-01-28
2021-01-29,60955,52192,2021-01-29
2021-01-30,37894,41750,2021-01-30
2021-01-31,38374,35421,2021-01-31
2021-02-01,37077,40110,2021-02-01
2021-02-02,41179,39215,2021-02-02
2021-02-03,39228,35700,2021-02-03
2021-02-04,48392,49449,2021-02-04
2021-02-05,41985,42070,2021-02-05
2021-02-06,40995,41355,2021-02-06
2021-02-07,38427,32895,2021-02-07
2021-02-08,46730,50445,2021-02-08
2021-02-09,51586,50279,2021-02-09
2021-02-10,53489,47580,2021-02-10
2021-02-11,44814,45605,2021-02-11
2021-02-12,48151,49720,2021-02-12
2021-02-13,42958,41455,2021-02-13
2021-02-14,37759,41041,2021-02-14
2021-02-15,42302,39843,2021-02-15
2021-02-16,39505,41239,2021-02-16
2021-02-17,46850,41490,2021-02-17
2021-02-18,45635,45933,2021-02-18
2021-02-19,52095,49234,2021-02-19
2021-02-20,52012,49751,2021-02-20
2021-02-21,41395,39369,2021-02-21
2021-02-22,47025,42380,2021-02-22
2021-02-23,51093,60753,2021-02-23
2021-02-24,46189,47045,2021-02-24
2021-02-25,44504,37772,2021-02-25
2021-02-26,44977,48054,2021-02-26
2021-02-27,40308,32944,2021-02-27
2021-02-28,33646,36734,2021-02-28
