start_time,date,flow_mean,flow_total,transactions_count_flow
2021-01-01,2021-01-01,14.9842578,11178.25631852,746
2021-01-02,2021-01-02,17.8695088,16225.51398798,908
2021-01-03,2021-01-03,18.17378674,17628.57313399,970
2021-01-04,2021-01-04,22.62809794,23736.87473524,1049
2021-01-05,2021-01-05,19.2878712,18844.25016078,977
2021-01-06,2021-01-06,20.0136594,21614.75215444,1080
2021-01-07,2021-01-07,21.68742874,24268.23276011,1119
2021-01-08,2021-01-08,20.96775125,22729.04235951,1084
2021-01-09,2021-01-09,15.00513365,13414.58948242,894
2021-01-10,2021-01-10,17.83483783,16996.60045428,953
2021-01-11,2021-01-11,22.14367516,23981.60020107,1083
2021-01-12,2021-01-12,21.76006798,24175.43553004,1111
2021-01-13,2021-01-13,19.42198369,18412.04054259,948
2021-01-14,2021-01-14,59.34320411,68897.45997024,1161
2021-01-15,2021-01-15,13.73314165,12414.76005486,904
2021-01-16,2021-01-16,10.50488618,8929.1532506,850
2021-01-17,2021-01-17,12.57669693,11042.33990788,878
2021-01-18,2021-01-18,13.59171443,12246.13469694,901
2021-01-19,2021-01-19,91.89438858,89688.92325584,976
2021-01-20,2021-01-20,50.90932774,52080.24228242,1023
2021-01-21,2021-01-21,21.76555671,21352.01112786,981
2021-01-22,2021-01-22,22.3272991,23220.39106409,1040
2021-01-23,2021-01-23,9.92592006,8278.21733351,834
2021-01-24,2021-01-24,8.74775101,7059.4350631,807
2021-01-25,2021-01-25,18.09945816,16850.5955482,931
2021-01-26,2021-01-26,22.8762046,20954.60341313,916
2021-01-27,2021-01-27,24.29191677,23781.78651822,979
2021-01-28,2021-01-28,21.32241132,21151.83202896,992
2021-01-29,2021-01-29,28.65185246,36846.28226334,1286
2021-01-30,2021-01-30,12.25455788,13234.9225084,1080
2021-01-31,2021-01-31,9.19198916,8668.04578038,943
2021-02-01,2021-02-01,14.72715066,16199.86572598,1100
2021-02-02,2021-02-02,13.76666252,16079.46182715,1168
2021-02-03,2021-02-03,16.03911015,18717.6415415,1167
2021-02-04,2021-02-04,13.16741447,16748.95121172,1272
2021-02-05,2021-02-05,27.56788827,31785.77517397,1153
2021-02-06,2021-02-06,16.76638166,18878.94575263,1126
2021-02-07,2021-02-07,9.99099351,10620.42609794,1063
2021-02-08,2021-02-08,18.35571229,23403.53317294,1275
2021-02-09,2021-02-09,22.73158491,31005.8818166,1364
2021-02-10,2021-02-10,15.93697154,20032.77322309,1257
2021-02-11,2021-02-11,21.52176231,23846.11264247,1108
2021-02-12,2021-02-12,40.76552842,50141.59996119,1230
2021-02-13,2021-02-13,9.02969994,10230.65003573,1133
2021-02-14,2021-02-14,11.63581334,12648.12909977,1087
