start_time,datetime,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total
2021-01-01 00:00:00,2021-01-01 00:00:00,0.1984819,0.15368714,11.82975613,12.70284182
2021-01-01 01:00:00,2021-01-01 01:00:00,0.04560648,0.14257936,3.46155808,5.0167131
2021-01-01 02:00:00,2021-01-01 02:00:00,0.51677859,0.1964419,39.45248573,41.85906551
2021-01-01 03:00:00,2021-01-01 03:00:00,0.04450674,0.19382732,1.5029655,2.13632343
2021-01-01 04:00:00,2021-01-01 04:00:00,0.12204652,0.15703847,7.86476343,9.76372194
2021-01-01 05:00:00,2021-01-01 05:00:00,0.32417006,0.19760075,8.33166745,8.75259155
2021-01-01 06:00:00,2021-01-01 06:00:00,0.08436477,0.19085072,3.48790944,4.30260352
2021-01-01 07:00:00,2021-01-01 07:00:00,0.3671422,0.21494505,22.50178274,23.86424272
2021-01-01 08:00:00,2021-01-01 08:00:00,0.23379722,0.24182944,9.55740755,10.05328043
2021-01-01 09:00:00,2021-01-01 09:00:00,0.30341894,0.21134949,19.51098739,20.93590706
2021-01-01 10:00:00,2021-01-01 10:00:00,0.36059689,0.25650523,18.48123754,19.11163523
2021-01-01 11:00:00,2021-01-01 11:00:00,0.0561264,0.24708807,2.57679851,3.31145769
2021-01-01 12:00:00,2021-01-01 12:00:00,0.2041209,0.22993819,15.26099706,18.37088125
2021-01-01 13:00:00,2021-01-01 13:00:00,0.20485114,0.24715053,18.43606712,20.89481595
2021-01-01 14:00:00,2021-01-01 14:00:00,0.12155083,0.21206605,6.26167797,7.41460038
2021-01-01 15:00:00,2021-01-01 15:00:00,0.05271441,0.18619707,3.65675482,4.95515438
2021-01-01 16:00:00,2021-01-01 16:00:00,0.09658864,0.15664989,6.49115134,8.78956647
2021-01-01 17:00:00,2021-01-01 17:00:00,0.03079409,0.1095352,1.50339564,2.0632038
2021-01-01 18:00:00,2021-01-01 18:00:00,0.05875105,0.10991015,3.46043942,4.58258161
2021-01-01 19:00:00,2021-01-01 19:00:00,0.07328524,0.09121934,2.23488501,3.00469496
2021-01-01 20:00:00,2021-01-01 20:00:00,0.14873909,0.08320334,15.68527258,18.14616881
2021-01-01 21:00:00,2021-01-01 21:00:00,0.0797593,0.07723312,4.84173376,6.14146616
2021-01-01 22:00:00,2021-01-01 22:00:00,0.07797077,0.08084117,3.33955009,3.82056759
2021-01-01 23:00:00,2021-01-01 23:00:00,0.03490369,0.07202903,1.54122284,2.23383615
2021-01-02 00:00:00,2021-01-02 00:00:00,0.24178123,0.10217005,13.05071656,13.78153025
2021-01-02 01:00:00,2021-01-02 01:00:00,0.12246168,0.11127157,5.78187969,6.73539217
2021-01-02 02:00:00,2021-01-02 02:00:00,0.07162404,0.11103426,2.21725871,2.86496149
2021-01-02 03:00:00,2021-01-02 03:00:00,0.04148478,0.09571221,3.13974449,4.35590146
2021-01-02 04:00:00,2021-01-02 04:00:00,0.22497438,0.11645722,11.9740055,12.82353981
2021-01-02 05:00:00,2021-01-02 05:00:00,0.06420993,0.11449139,2.61151441,3.59575623
2021-01-02 06:00:00,2021-01-02 06:00:00,0.11625594,0.12611314,7.22486098,9.30047499
2021-01-02 07:00:00,2021-01-02 07:00:00,0.04549582,0.09807237,2.01737664,2.59326158
2021-01-02 08:00:00,2021-01-02 08:00:00,0.16108232,0.1035896,12.78163815,18.84663091
2021-01-02 09:00:00,2021-01-02 09:00:00,0.0658036,0.10275811,2.93139618,3.9482161
2021-01-02 10:00:00,2021-01-02 10:00:00,0.07878283,0.1080864,6.23931867,8.27219677
2021-01-02 11:00:00,2021-01-02 11:00:00,0.17195634,0.1005124,10.81596155,12.89672573
2021-01-02 12:00:00,2021-01-02 12:00:00,0.16691963,0.11518521,19.29110053,28.04249705
2021-01-02 13:00:00,2021-01-02 13:00:00,0.56008054,0.17858873,111.83929285,134.41932987
2021-01-02 14:00:00,2021-01-02 14:00:00,0.28361133,0.21260523,36.22091861,55.30421023
2021-01-02 15:00:00,2021-01-02 15:00:00,0.23471231,0.2231238,20.81794095,22.76709396
2021-01-02 16:00:00,2021-01-02 16:00:00,0.40863178,0.27209925,71.86711019,118.91184686
2021-01-02 17:00:00,2021-01-02 17:00:00,0.34222582,0.30973396,59.98138651,78.02748635
2021-01-02 18:00:00,2021-01-02 18:00:00,0.10553789,0.30024561,11.78981285,19.10235803
2021-01-02 19:00:00,2021-01-02 19:00:00,0.08002837,0.28783258,9.61537923,13.04462453
