start_time,date,netflow_total
2021-01-01,2021-01-01,2014.2419758200012
2021-01-02,2021-01-02,921.5176931499992
2021-01-03,2021-01-03,5649.254692569997
2021-01-04,2021-01-04,-2530.9285505400003
2021-01-05,2021-01-05,-3179.502746510001
2021-01-06,2021-01-06,-5332.450145810002
2021-01-07,2021-01-07,1040.8527190099994
2021-01-08,2021-01-08,4641.8022021
2021-01-09,2021-01-09,1425.108578469999
2021-01-10,2021-01-10,7320.685251839999
2021-01-11,2021-01-11,-1110.5804648400008
2021-01-12,2021-01-12,3331.367809769999
2021-01-13,2021-01-13,-1358.6571326400008
2021-01-14,2021-01-14,-2935.882460109998
2021-01-15,2021-01-15,1841.1536475499995
2021-01-16,2021-01-16,-1830.114770080001
2021-01-17,2021-01-17,678.7084397399994
2021-01-18,2021-01-18,1242.373681430001
2021-01-19,2021-01-19,-3347.6898360999985
2021-01-20,2021-01-20,4723.669927949999
2021-01-21,2021-01-21,-511.42552010000145
2021-01-22,2021-01-22,393.1736839299992
2021-01-23,2021-01-23,-1208.3565655700004
2021-01-24,2021-01-24,-216.83104937000007
2021-01-25,2021-01-25,512.1744694400004
2021-01-26,2021-01-26,1574.9205941
2021-01-27,2021-01-27,-2421.61177942
2021-01-28,2021-01-28,3493.64784179
2021-01-29,2021-01-29,6220.832109129995
2021-01-30,2021-01-30,-1046.7994100100004
2021-01-31,2021-01-31,-2460.5268801799994
2021-02-01,2021-02-01,-2468.4647655499994
2021-02-02,2021-02-02,-655.9883401900006
2021-02-03,2021-02-03,-1282.19817729
2021-02-04,2021-02-04,-3666.9264791900023
2021-02-05,2021-02-05,-2289.925078890001
2021-02-06,2021-02-06,9381.468428430002
2021-02-07,2021-02-07,-397.07909049999944
2021-02-08,2021-02-08,7944.23382637
2021-02-09,2021-02-09,-2040.606782750001
2021-02-10,2021-02-10,1542.7929374300002
2021-02-11,2021-02-11,2522.4401263599993
2021-02-12,2021-02-12,-841.3110344299985
2021-02-13,2021-02-13,796.9660442500008
2021-02-14,2021-02-14,2686.58306248
2021-02-15,2021-02-15,-2376.456943019999
2021-02-16,2021-02-16,4528.921334830002
2021-02-17,2021-02-17,2076.9301644800016
2021-02-18,2021-02-18,-3460.538357989999
2021-02-19,2021-02-19,4210.380282049999
2021-02-20,2021-02-20,3592.9505222199987
2021-02-21,2021-02-21,3891.24040511
2021-02-22,2021-02-22,-3996.94083507
2021-02-23,2021-02-23,-6718.814810190004
2021-02-24,2021-02-24,63.009732990001794
2021-02-25,2021-02-25,2233.3736808999984
2021-02-26,2021-02-26,2279.26136357
2021-02-27,2021-02-27,1646.445778379999
2021-02-28,2021-02-28,2201.7453776400016
2021-03-01,2021-03-01,-4059.9334880199985
2021-03-02,2021-03-02,-233.86842670999977
2021-03-03,2021-03-03,6509.96201562
2021-03-04,2021-03-04,2954.4285111400004
2021-03-05,2021-03-05,1676.0532889300011
2021-03-06,2021-03-06,2647.439079160001
2021-03-07,2021-03-07,-1091.8234793799984
2021-03-08,2021-03-08,-1194.749561829998
2021-03-09,2021-03-09,2839.3151643599995
2021-03-10,2021-03-10,727.9456580699989
2021-03-11,2021-03-11,1155.87960801
2021-03-12,2021-03-12,-188.06937831999855
2021-03-13,2021-03-13,3983.30105926
2021-03-14,2021-03-14,4646.6641546500005
2021-03-15,2021-03-15,-1677.1269689100009
2021-03-16,2021-03-16,-1880.43877721
2021-03-17,2021-03-17,2664.7757839299993
2021-03-18,2021-03-18,589.7704123400017
2021-03-19,2021-03-19,-966.845811950001
2021-03-20,2021-03-20,-2713.2355470500006
2021-03-21,2021-03-21,2032.87055821
2021-03-22,2021-03-22,2585.9444658400007
2021-03-23,2021-03-23,1108.2711517400005
2021-03-24,2021-03-24,3351.672681780001
2021-03-25,2021-03-25,-4973.04647913
2021-03-26,2021-03-26,5092.52287515
2021-03-27,2021-03-27,672.040879520001
2021-03-28,2021-03-28,1030.9695825
2021-03-29,2021-03-29,4081.3499206000015
2021-03-30,2021-03-30,1657.1838363100014
2021-03-31,2021-03-31,2287.0293479499996
2021-04-01,2021-04-01,307.0282097799991
2021-04-02,2021-04-02,1824.8281985400008
2021-04-03,2021-04-03,793.8307628799994
2021-04-04,2021-04-04,-2165.00025086
2021-04-05,2021-04-05,389.8980071499991
2021-04-06,2021-04-06,-25189.070462180003
2021-04-07,2021-04-07,-212.6878533199997
2021-04-08,2021-04-08,-3477.1793109600003
2021-04-09,2021-04-09,5764.75954877
2021-04-10,2021-04-10,7361.301805049998
2021-04-11,2021-04-11,434.4005502299997
2021-04-12,2021-04-12,6902.2875504700005
2021-04-13,2021-04-13,7660.653644739999
2021-04-14,2021-04-14,2880.975200740002
2021-04-15,2021-04-15,1912.3183211099984
2021-04-16,2021-04-16,-9927.866466839998
2021-04-17,2021-04-17,693.9705896100004
2021-04-18,2021-04-18,-7845.451831570004
2021-04-19,2021-04-19,-10674.940244769998
2021-04-20,2021-04-20,3601.308166040002
2021-04-21,2021-04-21,3255.8611164199974
2021-04-22,2021-04-22,9243.4235405
2021-04-23,2021-04-23,226.11921835000248
2021-04-24,2021-04-24,891.4980778099998
2021-04-25,2021-04-25,-3020.963237089999
2021-04-26,2021-04-26,152.25554528000066
2021-04-27,2021-04-27,3934.079989509999
2021-04-28,2021-04-28,3465.5011616400006
2021-04-29,2021-04-29,1860.49330946
2021-04-30,2021-04-30,5168.110974059999
2021-05-01,2021-05-01,51.071057250001104
2021-05-02,2021-05-02,190.60958003999983
2021-05-03,2021-05-03,3649.03221139
2021-05-04,2021-05-04,3742.379389670001
2021-05-05,2021-05-05,-657.5344377799993
2021-05-06,2021-05-06,533.2196822699989
2021-05-07,2021-05-07,3024.3802918399997
2021-05-08,2021-05-08,3583.195835209999
2021-05-09,2021-05-09,5166.415418279999
2021-05-10,2021-05-10,2717.484255309999
2021-05-11,2021-05-11,-816.305839239998
2021-05-12,2021-05-12,8863.395023680001
2021-05-13,2021-05-13,282.154850540006
2021-05-14,2021-05-14,5457.7820855300015
2021-05-15,2021-05-15,3.244393169999966
2021-05-16,2021-05-16,910.8467494899996
2021-05-17,2021-05-17,7795.756818020003
2021-05-18,2021-05-18,1779.6951434099974
2021-05-19,2021-05-19,21316.34390146
2021-05-20,2021-05-20,1811.6872821700017
2021-05-21,2021-05-21,1216.720940500003
2021-05-22,2021-05-22,2386.5830250699983
2021-05-23,2021-05-23,8436.085282929998
2021-05-24,2021-05-24,-8837.74647671
2021-05-25,2021-05-25,5387.852875500001
2021-05-26,2021-05-26,516.5779487200016
2021-05-27,2021-05-27,-1069.0397695899992
2021-05-28,2021-05-28,3312.494268980001
2021-05-29,2021-05-29,3449.94182948
2021-05-30,2021-05-30,-712.8471510600011
2021-05-31,2021-05-31,-4365.92666234
2021-06-01,2021-06-01,-1314.9815814100002
2021-06-02,2021-06-02,1725.79188945
2021-06-03,2021-06-03,-1407.9018389499995
2021-06-04,2021-06-04,-779.3462935399984
2021-06-05,2021-06-05,1015.8560320399991
2021-06-06,2021-06-06,1119.80792277
2021-06-07,2021-06-07,2753.476473249999
2021-06-08,2021-06-08,-161.7425997600003
2021-06-09,2021-06-09,1808.8107918899989
2021-06-10,2021-06-10,5135.6091442100005
2021-06-11,2021-06-11,2804.350711179999
2021-06-12,2021-06-12,893.4415124799998
2021-06-13,2021-06-13,406.63352440000017
2021-06-14,2021-06-14,1927.8868025699992
2021-06-15,2021-06-15,3610.810955339999
2021-06-16,2021-06-16,2800.6042737499993
2021-06-17,2021-06-17,-2862.7754154299982
2021-06-18,2021-06-18,-1047.1125765900033
2021-06-19,2021-06-19,1015.3247391199992
2021-06-20,2021-06-20,1086.8071214499996
2021-06-21,2021-06-21,4868.9573184
2021-06-22,2021-06-22,-2671.3292791700005
2021-06-23,2021-06-23,2554.733422049998
2021-06-24,2021-06-24,4373.54248063
2021-06-25,2021-06-25,4692.487087320002
2021-06-26,2021-06-26,-3171.4260739799993
2021-06-27,2021-06-27,-4790.4300367000005
2021-06-28,2021-06-28,-3660.04001393
2021-06-29,2021-06-29,2331.982902560001
2021-06-30,2021-06-30,-1651.8960334900005
2021-07-01,2021-07-01,-2277.74342248
2021-07-02,2021-07-02,-1738.67805314
2021-07-03,2021-07-03,-956.4001859299996
2021-07-04,2021-07-04,2356.56391258
2021-07-05,2021-07-05,-1091.6362237700005
2021-07-06,2021-07-06,-261.46434649
2021-07-07,2021-07-07,-8568.368109639998
2021-07-08,2021-07-08,228.4859791200015
2021-07-09,2021-07-09,2091.245081160001
2021-07-10,2021-07-10,-367.18921406999925
2021-07-11,2021-07-11,-1084.0977268000006
2021-07-12,2021-07-12,771.7872101599987
2021-07-13,2021-07-13,78.91376529000081
2021-07-14,2021-07-14,-1223.5633254500008
2021-07-15,2021-07-15,4166.678150420001
2021-07-16,2021-07-16,1797.2332042199996
2021-07-17,2021-07-17,-2139.96008377
2021-07-18,2021-07-18,-3832.512184830001
2021-07-19,2021-07-19,2585.9312773799993
2021-07-20,2021-07-20,-2431.913805
2021-07-21,2021-07-21,-1820.3013036699997
2021-07-22,2021-07-22,1752.9786574299997
2021-07-23,2021-07-23,-2246.7159361900012
2021-07-24,2021-07-24,-506.5090812799999
2021-07-25,2021-07-25,-3745.315838809999
2021-07-26,2021-07-26,-1653.2551413699985
2021-07-27,2021-07-27,4030.41503394
2021-07-28,2021-07-28,-21177.560835899996
2021-07-29,2021-07-29,-20227.81340897
2021-07-30,2021-07-30,380.6392897900005
2021-07-31,2021-07-31,-1171.414451570001
2021-08-01,2021-08-01,3005.32059009
2021-08-02,2021-08-02,1802.1644380899995
2021-08-03,2021-08-03,-1535.6723952400023
2021-08-04,2021-08-04,823.6945921499992
2021-08-05,2021-08-05,-538.6346799599996
2021-08-06,2021-08-06,5427.175728850001
2021-08-07,2021-08-07,-1368.5791659499992
2021-08-08,2021-08-08,1339.7378301600002
2021-08-09,2021-08-09,2843.7077147400014
2021-08-10,2021-08-10,11752.39192003
2021-08-11,2021-08-11,-12706.18113779
2021-08-12,2021-08-12,1796.9314368700016
2021-08-13,2021-08-13,1206.74118549
2021-08-14,2021-08-14,-688.8599069299999
2021-08-15,2021-08-15,-38.15872055
2021-08-16,2021-08-16,2472.986700059999
2021-08-17,2021-08-17,-998.4648259699989
2021-08-18,2021-08-18,2074.863236930001
2021-08-19,2021-08-19,-1605.6810622199991
2021-08-20,2021-08-20,1642.3754971800008
2021-08-21,2021-08-21,12898.16848594
2021-08-22,2021-08-22,-231.10015262999968
2021-08-23,2021-08-23,-169.26559891999932
2021-08-24,2021-08-24,3120.5698753999995
2021-08-25,2021-08-25,-3715.04254864
2021-08-26,2021-08-26,5443.111032410001
2021-08-27,2021-08-27,-451.8371077700013
2021-08-28,2021-08-28,871.7265757300001
2021-08-29,2021-08-29,-813.7370763899999
2021-08-30,2021-08-30,53.626257879999685
2021-08-31,2021-08-31,-130.4753525799988
2021-09-01,2021-09-01,837.5200942800002
2021-09-02,2021-09-02,455.3900718500008
2021-09-03,2021-09-03,-670.9694957700012
2021-09-04,2021-09-04,366.3496343999995
2021-09-05,2021-09-05,1080.7814806899996
2021-09-06,2021-09-06,-4698.53937701
2021-09-07,2021-09-07,6213.927993739999
2021-09-08,2021-09-08,631.7053736899998
2021-09-09,2021-09-09,41.3580782099998
2021-09-10,2021-09-10,2117.5096866799995
2021-09-11,2021-09-11,-1753.00307687
2021-09-12,2021-09-12,-1048.7858542599995
2021-09-13,2021-09-13,-4107.538428530001
2021-09-14,2021-09-14,-1563.9190574200002
2021-09-15,2021-09-15,-1353.5491521000004
2021-09-16,2021-09-16,1935.808601229999
2021-09-17,2021-09-17,1733.7816285699992
2021-09-18,2021-09-18,1331.8139139100003
2021-09-19,2021-09-19,1376.75432283
2021-09-20,2021-09-20,2991.9071666499985
2021-09-21,2021-09-21,340.8708337200005
2021-09-22,2021-09-22,-1201.1365769099991
2021-09-23,2021-09-23,-621.9149259999995
2021-09-24,2021-09-24,-1481.9255821400002
2021-09-25,2021-09-25,-1736.1944906099998
2021-09-26,2021-09-26,921.8207642900006
2021-09-27,2021-09-27,-1008.4155266599992
2021-09-28,2021-09-28,1887.307174130001
2021-09-29,2021-09-29,9034.36865206
2021-09-30,2021-09-30,2412.556462749999
2021-10-01,2021-10-01,-2186.7435418000005
2021-10-02,2021-10-02,-1279.1154136799996
2021-10-03,2021-10-03,-914.2062623399996
2021-10-04,2021-10-04,-1063.8049663399995
2021-10-05,2021-10-05,-2009.774658620001
2021-10-06,2021-10-06,2363.0545287900004
2021-10-07,2021-10-07,-3308.9120046200005
2021-10-08,2021-10-08,-1708.151867819999
2021-10-09,2021-10-09,553.3446887599994
2021-10-10,2021-10-10,1332.2986456499991
2021-10-11,2021-10-11,6032.83684729
2021-10-12,2021-10-12,144.98682777999966
2021-10-13,2021-10-13,-541.4067951800007
2021-10-14,2021-10-14,-236.60575393999895
2021-10-15,2021-10-15,1046.4429912199994
2021-10-16,2021-10-16,4449.978913270001
2021-10-17,2021-10-17,-463.07594556999993
2021-10-18,2021-10-18,1689.67616542
2021-10-19,2021-10-19,-2259.309057999999
2021-10-20,2021-10-20,3015.980226310001
2021-10-21,2021-10-21,-2564.7338273899986
2021-10-22,2021-10-22,-4472.588922270001
2021-10-23,2021-10-23,776.0567518799999
2021-10-24,2021-10-24,701.6376410399998
2021-10-25,2021-10-25,-170.94751498999997
2021-10-26,2021-10-26,2205.972096559999
2021-10-27,2021-10-27,-357.1302193899992
2021-10-28,2021-10-28,3013.6769106700012
2021-10-29,2021-10-29,-736.3305894799996
2021-10-30,2021-10-30,1497.5788163400002
2021-10-31,2021-10-31,-490.77832981999927
2021-11-01,2021-11-01,1414.8200390099992
2021-11-02,2021-11-02,-1293.188803469999
2021-11-03,2021-11-03,-3836.742908350001
2021-11-04,2021-11-04,-102.53445626999928
2021-11-05,2021-11-05,1833.56159259
2021-11-06,2021-11-06,722.54818918
2021-11-07,2021-11-07,1108.64420479
2021-11-08,2021-11-08,7274.054833160002
2021-11-09,2021-11-09,3304.476716990001
2021-11-10,2021-11-10,611.6878065600013
2021-11-11,2021-11-11,254.59411120999903
2021-11-12,2021-11-12,536.3839517400002
2021-11-13,2021-11-13,-746.1815868400004
2021-11-14,2021-11-14,500.3138271299995
2021-11-15,2021-11-15,1889.496011000001
2021-11-16,2021-11-16,510.09801285999856
2021-11-17,2021-11-17,1068.5148060699994
2021-11-18,2021-11-18,2688.720245370001
2021-11-19,2021-11-19,2018.0243578899972
2021-11-20,2021-11-20,1722.7147698000008
2021-11-21,2021-11-21,483.10228067000025
2021-11-22,2021-11-22,-1818.470322449999
2021-11-23,2021-11-23,3301.6189116099995
2021-11-24,2021-11-24,1804.7045300499992
2021-11-25,2021-11-25,-3711.9306310300017
2021-11-26,2021-11-26,12313.294446929998
2021-11-27,2021-11-27,3553.2456436700004
2021-11-28,2021-11-28,91.36270819000038
2021-11-29,2021-11-29,-344.71223631000066
2021-11-30,2021-11-30,-1666.2890368199987
2021-12-01,2021-12-01,839.4368664800004
2021-12-02,2021-12-02,-1541.0416415499983
2021-12-03,2021-12-03,1429.1809470099995
2021-12-04,2021-12-04,-3038.4497263699996
2021-12-05,2021-12-05,-3815.671631740001
2021-12-06,2021-12-06,7521.267590399999
2021-12-07,2021-12-07,-17000.553835979998
2021-12-08,2021-12-08,-310.4080209600006
2021-12-09,2021-12-09,2995.3789606
2021-12-10,2021-12-10,-532.9911357799992
2021-12-11,2021-12-11,8772.341925550001
2021-12-12,2021-12-12,79.43230940000012
2021-12-13,2021-12-13,959.3183243700004
2021-12-14,2021-12-14,1962.977636649999
2021-12-15,2021-12-15,2982.227310880001
2021-12-16,2021-12-16,2009.1285018900007
2021-12-17,2021-12-17,1964.9711523900005
2021-12-18,2021-12-18,2160.556319899999
2021-12-19,2021-12-19,1520.9189433399995
2021-12-20,2021-12-20,718.5372941599999
2021-12-21,2021-12-21,420.71791610999935
2021-12-22,2021-12-22,-2887.70707822
2021-12-23,2021-12-23,240.5407506499996
2021-12-24,2021-12-24,1763.7757106999998
2021-12-25,2021-12-25,3388.3333630399993
2021-12-26,2021-12-26,586.1801941700005
2021-12-27,2021-12-27,3450.6818557099996
2021-12-28,2021-12-28,4407.17518756
2021-12-29,2021-12-29,-3539.2903890999996
2021-12-30,2021-12-30,-3023.3047934899996
2021-12-31,2021-12-31,1836.0678079400004
2022-01-01,2022-01-01,-1009.6095570900002
2022-01-02,2022-01-02,441.2796517500001
2022-01-03,2022-01-03,-1041.2952788699995
2022-01-04,2022-01-04,-39775.58131224
2022-01-05,2022-01-05,362.84446800000114
2022-01-06,2022-01-06,6824.73967682
2022-01-07,2022-01-07,1346.35151855
2022-01-08,2022-01-08,815.99539241
2022-01-09,2022-01-09,157.84399575000043
2022-01-10,2022-01-10,-913.0716317000006
2022-01-11,2022-01-11,-2495.16015023
2022-01-12,2022-01-12,-999.4873497300003
2022-01-13,2022-01-13,1992.63306851
2022-01-14,2022-01-14,-1224.9621380400004
2022-01-15,2022-01-15,-365.4045478600001
2022-01-16,2022-01-16,-1375.6769106299998
2022-01-17,2022-01-17,1133.468208449999
2022-01-18,2022-01-18,-697.5160738300001
2022-01-19,2022-01-19,-382.86289054999907
2022-01-20,2022-01-20,-418.4794178000011
2022-01-21,2022-01-21,2615.0722672400007
2022-01-22,2022-01-22,-2728.5413289800017
2022-01-23,2022-01-23,-2088.3551111899997
