start_time,datetime,netflow_total
2021-01-01 00:00:00,2021-01-01 00:00:00,-167.29740844
2021-01-01 01:00:00,2021-01-01 01:00:00,5.0167131
2021-01-01 02:00:00,2021-01-01 02:00:00,41.85906551
2021-01-01 03:00:00,2021-01-01 03:00:00,2.13632343
2021-01-01 04:00:00,2021-01-01 04:00:00,9.76372194
2021-01-01 05:00:00,2021-01-01 05:00:00,8.75259155
2021-01-01 06:00:00,2021-01-01 06:00:00,-295.69799594
2021-01-01 07:00:00,2021-01-01 07:00:00,23.86424272
2021-01-01 08:00:00,2021-01-01 08:00:00,-589.94688253
2021-01-01 09:00:00,2021-01-01 09:00:00,20.93590706
2021-01-01 10:00:00,2021-01-01 10:00:00,19.11163523
2021-01-01 11:00:00,2021-01-01 11:00:00,3.31145769
2021-01-01 12:00:00,2021-01-01 12:00:00,18.37088125
2021-01-01 13:00:00,2021-01-01 13:00:00,20.89481595
2021-01-01 14:00:00,2021-01-01 14:00:00,7.41460038
2021-01-01 15:00:00,2021-01-01 15:00:00,4.95515438
2021-01-01 16:00:00,2021-01-01 16:00:00,8.78956647
2021-01-01 17:00:00,2021-01-01 17:00:00,2.0632038
2021-01-01 18:00:00,2021-01-01 18:00:00,4.58258161
2021-01-01 19:00:00,2021-01-01 19:00:00,3.00469496
2021-01-01 20:00:00,2021-01-01 20:00:00,18.14616881
2021-01-01 21:00:00,2021-01-01 21:00:00,6.14146616
2021-01-01 22:00:00,2021-01-01 22:00:00,3.82056759
2021-01-01 23:00:00,2021-01-01 23:00:00,2.23383615
2021-01-02 00:00:00,2021-01-02 00:00:00,13.78153025
2021-01-02 01:00:00,2021-01-02 01:00:00,6.73539217
2021-01-02 02:00:00,2021-01-02 02:00:00,2.86496149
2021-01-02 03:00:00,2021-01-02 03:00:00,4.35590146
2021-01-02 04:00:00,2021-01-02 04:00:00,12.79961989
2021-01-02 05:00:00,2021-01-02 05:00:00,3.59575623
2021-01-02 06:00:00,2021-01-02 06:00:00,9.30047499
2021-01-02 07:00:00,2021-01-02 07:00:00,2.59326158
2021-01-02 08:00:00,2021-01-02 08:00:00,18.84663091
2021-01-02 09:00:00,2021-01-02 09:00:00,3.9482161
2021-01-02 10:00:00,2021-01-02 10:00:00,8.27219677
2021-01-02 11:00:00,2021-01-02 11:00:00,12.89672573
2021-01-02 12:00:00,2021-01-02 12:00:00,-571.9598103100001
2021-01-02 13:00:00,2021-01-02 13:00:00,134.41932987
2021-01-02 14:00:00,2021-01-02 14:00:00,55.30421023
2021-01-02 15:00:00,2021-01-02 15:00:00,22.76709396
2021-01-02 16:00:00,2021-01-02 16:00:00,118.91184686
2021-01-02 17:00:00,2021-01-02 17:00:00,78.02748635
2021-01-02 18:00:00,2021-01-02 18:00:00,19.10235803
2021-01-02 19:00:00,2021-01-02 19:00:00,13.04462453
2021-01-02 20:00:00,2021-01-02 20:00:00,74.75992502
2021-01-02 21:00:00,2021-01-02 21:00:00,34.07528934
2021-01-02 22:00:00,2021-01-02 22:00:00,9.28238367
2021-01-02 23:00:00,2021-01-02 23:00:00,-237.00083611
2021-01-03 00:00:00,2021-01-03 00:00:00,59.32845572
2021-01-03 01:00:00,2021-01-03 01:00:00,37.083946
2021-01-03 02:00:00,2021-01-03 02:00:00,26.1189833
2021-01-03 03:00:00,2021-01-03 03:00:00,25.92487999
2021-01-03 04:00:00,2021-01-03 04:00:00,884.36770542
2021-01-03 05:00:00,2021-01-03 05:00:00,86.96812054
2021-01-03 06:00:00,2021-01-03 06:00:00,18.25132421
2021-01-03 07:00:00,2021-01-03 07:00:00,-99.02704314
2021-01-03 08:00:00,2021-01-03 08:00:00,7.785869429999998
2021-01-03 09:00:00,2021-01-03 09:00:00,9.19322212
2021-01-03 10:00:00,2021-01-03 10:00:00,10.52510161
2021-01-03 11:00:00,2021-01-03 11:00:00,37.81613009
2021-01-03 12:00:00,2021-01-03 12:00:00,15.47243245
2021-01-03 13:00:00,2021-01-03 13:00:00,50.38302218
2021-01-03 14:00:00,2021-01-03 14:00:00,45.67818127
2021-01-03 15:00:00,2021-01-03 15:00:00,27.19432843
2021-01-03 16:00:00,2021-01-03 16:00:00,45.58267805
2021-01-03 17:00:00,2021-01-03 17:00:00,14.44979008
2021-01-03 18:00:00,2021-01-03 18:00:00,24.12548488
2021-01-03 19:00:00,2021-01-03 19:00:00,11.71071882
2021-01-03 20:00:00,2021-01-03 20:00:00,20.03245075
2021-01-03 21:00:00,2021-01-03 21:00:00,14.28239196
2021-01-03 22:00:00,2021-01-03 22:00:00,22.30111201
2021-01-03 23:00:00,2021-01-03 23:00:00,8.70318114
2021-01-04 00:00:00,2021-01-04 00:00:00,-572.53569827
2021-01-04 01:00:00,2021-01-04 01:00:00,22.45344894
2021-01-04 02:00:00,2021-01-04 02:00:00,31.20193679
2021-01-04 03:00:00,2021-01-04 03:00:00,20.61503881
2021-01-04 04:00:00,2021-01-04 04:00:00,6.50851558
2021-01-04 05:00:00,2021-01-04 05:00:00,14.12226102
2021-01-04 06:00:00,2021-01-04 06:00:00,27.07318406
2021-01-04 07:00:00,2021-01-04 07:00:00,38.5705347
2021-01-04 08:00:00,2021-01-04 08:00:00,35.28671482
2021-01-04 09:00:00,2021-01-04 09:00:00,72.13895276
2021-01-04 10:00:00,2021-01-04 10:00:00,127.03610422
2021-01-04 11:00:00,2021-01-04 11:00:00,98.44806502
2021-01-04 12:00:00,2021-01-04 12:00:00,31.4268303
2021-01-04 13:00:00,2021-01-04 13:00:00,29.7619246
2021-01-04 14:00:00,2021-01-04 14:00:00,27.65556555
2021-01-04 15:00:00,2021-01-04 15:00:00,-463.85685298
2021-01-04 16:00:00,2021-01-04 16:00:00,33.44512666999998
2021-01-04 17:00:00,2021-01-04 17:00:00,19.45674096
2021-01-04 18:00:00,2021-01-04 18:00:00,11.83783648
2021-01-04 19:00:00,2021-01-04 19:00:00,7.20486916
2021-01-04 20:00:00,2021-01-04 20:00:00,11.16553334
2021-01-04 21:00:00,2021-01-04 21:00:00,9.50779786
2021-01-04 22:00:00,2021-01-04 22:00:00,7.22303177
2021-01-04 23:00:00,2021-01-04 23:00:00,16.00260537
2021-01-05 00:00:00,2021-01-05 00:00:00,-120.62577387
2021-01-05 01:00:00,2021-01-05 01:00:00,8.24946428
2021-01-05 02:00:00,2021-01-05 02:00:00,22.63801722
2021-01-05 03:00:00,2021-01-05 03:00:00,6.15934313
2021-01-05 04:00:00,2021-01-05 04:00:00,11.18219924
2021-01-05 05:00:00,2021-01-05 05:00:00,11.51302402
2021-01-05 06:00:00,2021-01-05 06:00:00,25.78313237
2021-01-05 07:00:00,2021-01-05 07:00:00,29.80586096
2021-01-05 08:00:00,2021-01-05 08:00:00,-215.59037353
2021-01-05 09:00:00,2021-01-05 09:00:00,24.63368112
2021-01-05 10:00:00,2021-01-05 10:00:00,8.99777573
2021-01-05 11:00:00,2021-01-05 11:00:00,9.01563816
2021-01-05 12:00:00,2021-01-05 12:00:00,42.31912152
2021-01-05 13:00:00,2021-01-05 13:00:00,18.1657019
2021-01-05 14:00:00,2021-01-05 14:00:00,69.83653394
2021-01-05 15:00:00,2021-01-05 15:00:00,85.53276051
2021-01-05 16:00:00,2021-01-05 16:00:00,47.74898186
2021-01-05 17:00:00,2021-01-05 17:00:00,17.23461985
2021-01-05 18:00:00,2021-01-05 18:00:00,16.46003607
2021-01-05 19:00:00,2021-01-05 19:00:00,26.55010507
2021-01-05 20:00:00,2021-01-05 20:00:00,42.69102617
2021-01-05 21:00:00,2021-01-05 21:00:00,42.22033851
2021-01-05 22:00:00,2021-01-05 22:00:00,66.77494525
