start_time,date,reserve,reserve_usd
2021-01-01,2021-01-01,316668.64644877,9307657664.668552
2021-01-02,2021-01-02,317590.16414192,10218723463.85713
2021-01-03,2021-01-03,323239.41883449,10790257025.735884
2021-01-04,2021-01-04,320708.49028395,10243478401.19706
2021-01-05,2021-01-05,317528.98753744,10812011843.450024
2021-01-06,2021-01-06,312196.53739163,11364384841.323008
2021-01-07,2021-01-07,313237.39011064,12337282815.904837
2021-01-08,2021-01-08,317879.19231274,12943110545.813553
2021-01-09,2021-01-09,319304.30089121,12906262045.626236
2021-01-10,2021-01-10,326624.98614305,12566038552.12949
2021-01-11,2021-01-11,325514.40567821,11526095659.316929
2021-01-12,2021-01-12,328845.77348798,11124635650.966278
2021-01-13,2021-01-13,327487.11635534,12207143474.212984
2021-01-14,2021-01-14,324551.23389523,12745309181.314331
2021-01-15,2021-01-15,326392.38754278,11908977362.711111
2021-01-16,2021-01-16,324562.2727727,11806908784.874617
2021-01-17,2021-01-17,325240.98121244,11629366708.372252
2021-01-18,2021-01-18,326483.35489387,12015009272.906206
2021-01-19,2021-01-19,323135.66505777,11731549909.353851
2021-01-20,2021-01-20,327859.33498572,11662730810.710072
2021-01-21,2021-01-21,327347.90946562,10209010580.768242
2021-01-22,2021-01-22,327741.08314955,10801449274.153484
2021-01-23,2021-01-23,326532.72658398,10468946116.04432
2021-01-24,2021-01-24,326315.89553461,10547115035.44325
2021-01-25,2021-01-25,326828.07000405,10607103226.307608
2021-01-26,2021-01-26,328402.99059815,10699997615.45015
2021-01-27,2021-01-27,325981.37881873,9921293226.29481
2021-01-28,2021-01-28,329475.02666052,11029511334.025658
2021-01-29,2021-01-29,335695.85876965,11535789247.036814
2021-01-30,2021-01-30,334649.05935964,11501134478.498678
2021-01-31,2021-01-31,332188.53247946,11012534486.227991
2021-02-01,2021-02-01,329720.06771391,11071383883.829016
2021-02-02,2021-02-02,329064.07937372,11704450287.028423
2021-02-03,2021-02-03,327781.88119643,12318302828.61004
2021-02-04,2021-02-04,324114.95471724,11992855084.31659
2021-02-05,2021-02-05,321825.02963835,12188710201.018805
2021-02-06,2021-02-06,331206.49806678,13026740993.18736
2021-02-07,2021-02-07,330809.41897628,12879828954.58298
2021-02-08,2021-02-08,338753.65280265,15712860076.24438
2021-02-09,2021-02-09,336713.0460199,15677151390.342728
2021-02-10,2021-02-10,338255.83895733,15257418187.92054
2021-02-11,2021-02-11,340778.27908369,16368241204.029058
2021-02-12,2021-02-12,339936.96804926,16186398630.30794
2021-02-13,2021-02-13,340733.93409351,16048219307.311272
2021-02-14,2021-02-14,343420.51715599,16862809293.719145
2021-02-15,2021-02-15,341044.06021297,16361506297.8121
2021-02-16,2021-02-16,345572.9815478,16992478727.566496
2021-02-17,2021-02-17,347649.91171228,18149112999.40492
2021-02-18,2021-02-18,344189.37335429,17743690982.786278
2021-02-19,2021-02-19,348399.75363634,19439892473.058254
2021-02-20,2021-02-20,351992.70415856,19716696676.86904
2021-02-21,2021-02-21,355883.94456367,20430544223.999084
2021-02-22,2021-02-22,351887.0037286,18797367047.33277
2021-02-23,2021-02-23,345168.18891841,16830531381.656733
2021-02-24,2021-02-24,345231.1986514,17162466475.020504
2021-02-25,2021-02-25,347464.5723323,16372470615.485228
2021-02-26,2021-02-26,349743.83369587,16161276153.9857
2021-02-27,2021-02-27,351390.27947425,16254293515.116098
2021-02-28,2021-02-28,353592.02485189,15913107458.790497
2021-03-01,2021-03-01,349532.09136387,17350868679.27188
2021-03-02,2021-03-02,349298.22293716,16890497154.491182
2021-03-03,2021-03-03,355808.18495278,17976514632.573345
2021-03-04,2021-03-04,358762.61346392,17412244976.636402
2021-03-05,2021-03-05,360438.66675285,17633098078.022186
2021-03-06,2021-03-06,363086.10583201,17746206097.84741
2021-03-07,2021-03-07,361994.28235263,18556757327.82807
2021-03-08,2021-03-08,360799.5327908,18870716924.3891
2021-03-09,2021-03-09,363638.84795516,19859851340.750317
2021-03-10,2021-03-10,364366.79361323,20438085603.18853
2021-03-11,2021-03-11,365522.67322124,21194598496.48552
2021-03-12,2021-03-12,365334.60384292,20959712141.167
2021-03-13,2021-03-13,369317.90490218,22652689849.523037
2021-03-14,2021-03-14,373964.56905683,22264592934.61811
2021-03-15,2021-03-15,372287.44208792,20758951767.360653
2021-03-16,2021-03-16,370407.00331071,20863519091.396385
2021-03-17,2021-03-17,373071.77909464,21909384450.45917
2021-03-18,2021-03-18,373661.54950698,21647876547.913963
2021-03-19,2021-03-19,372694.70369503,21662873983.907692
2021-03-20,2021-03-20,369981.46814798,21482233440.75573
2021-03-21,2021-03-21,372014.33870619,21379657350.864426
2021-03-22,2021-03-22,374600.28317203,20470409488.712368
2021-03-23,2021-03-23,375708.55432377,20536426561.209545
2021-03-24,2021-03-24,379060.22700555,19890590921.30305
2021-03-25,2021-03-25,374087.18052642,19242741088.54764
2021-03-26,2021-03-26,379179.70340157,20831380068.584263
2021-03-27,2021-03-27,379851.74428109,21215050372.18261
2021-03-28,2021-03-28,380882.71386359,21245407242.567947
2021-03-29,2021-03-29,384964.06378419,22244861154.0669
2021-03-30,2021-03-30,386621.2476205,22717686253.25431
2021-03-31,2021-03-31,388908.27696845,22833311303.870647
