start_time,datetime,reserve,reserve_usd
2021-01-01 00:00:00,2021-01-01 00:00:00,28393.64817315,824991505.3592693
2021-01-01 01:00:00,2021-01-01 01:00:00,28398.66488625,836661783.2453392
2021-01-01 02:00:00,2021-01-01 02:00:00,28440.52395176,834963445.7186215
2021-01-01 03:00:00,2021-01-01 03:00:00,28442.66027519,833977693.8578863
2021-01-01 04:00:00,2021-01-01 04:00:00,28452.42399713,832627469.7120606
2021-01-01 05:00:00,2021-01-01 05:00:00,28461.17658868,830712697.5291071
2021-01-01 06:00:00,2021-01-01 06:00:00,28165.47859274,822715099.1244137
2021-01-01 07:00:00,2021-01-01 07:00:00,28189.34283546,821201831.8228431
2021-01-01 08:00:00,2021-01-01 08:00:00,27599.39595293,800944317.95613
2021-01-01 09:00:00,2021-01-01 09:00:00,27620.33185999,807840111.9347432
2021-01-01 10:00:00,2021-01-01 10:00:00,27639.44349522,810639000.7358004
2021-01-01 11:00:00,2021-01-01 11:00:00,27642.75495291,810618438.0986584
2021-01-01 12:00:00,2021-01-01 12:00:00,27661.12583416,809344944.6335845
2021-01-01 13:00:00,2021-01-01 13:00:00,27682.02065011,817413370.4679385
2021-01-01 14:00:00,2021-01-01 14:00:00,27689.43525049,813156322.7764904
2021-01-01 15:00:00,2021-01-01 15:00:00,27694.39040487,808507314.3880283
2021-01-01 16:00:00,2021-01-01 16:00:00,27703.17997134,814122576.6001054
2021-01-01 17:00:00,2021-01-01 17:00:00,27705.24317514,807944273.6018519
2021-01-01 18:00:00,2021-01-01 18:00:00,27709.82575675,806508571.668632
2021-01-01 19:00:00,2021-01-01 19:00:00,27712.83045171,808013179.8140274
2021-01-01 20:00:00,2021-01-01 20:00:00,27730.97662052,813117102.931828
2021-01-01 21:00:00,2021-01-01 21:00:00,27737.11808668,811797244.5865659
2021-01-01 22:00:00,2021-01-01 22:00:00,27740.93865427,813620130.8082229
2021-01-01 23:00:00,2021-01-01 23:00:00,27743.17249042,815438961.0985829
2021-01-02 00:00:00,2021-01-02 00:00:00,27756.95402067,810339148.0609697
2021-01-02 01:00:00,2021-01-02 01:00:00,27763.68941284,817227037.6637009
2021-01-02 02:00:00,2021-01-02 02:00:00,27766.55437433,817008988.4321053
2021-01-02 03:00:00,2021-01-02 03:00:00,27770.91027579,816351278.7594384
2021-01-02 04:00:00,2021-01-02 04:00:00,27783.70989568,816831514.3239431
2021-01-02 05:00:00,2021-01-02 05:00:00,27787.30565191,822265506.9430673
2021-01-02 06:00:00,2021-01-02 06:00:00,27796.6061269,826569196.4196689
2021-01-02 07:00:00,2021-01-02 07:00:00,27799.19938848,828648308.6726807
2021-01-02 08:00:00,2021-01-02 08:00:00,27818.04601939,830490092.2809557
2021-01-02 09:00:00,2021-01-02 09:00:00,27821.99423549,826319607.3557075
2021-01-02 10:00:00,2021-01-02 10:00:00,27830.26643226,829498124.578452
2021-01-02 11:00:00,2021-01-02 11:00:00,27843.16315799,829339890.2778128
2021-01-02 12:00:00,2021-01-02 12:00:00,27271.20334768,837226366.1163921
2021-01-02 13:00:00,2021-01-02 13:00:00,27405.62267755,858585799.805121
2021-01-02 14:00:00,2021-01-02 14:00:00,27460.92688778,860974692.5991384
2021-01-02 15:00:00,2021-01-02 15:00:00,27483.69398174,868004292.8380191
2021-01-02 16:00:00,2021-01-02 16:00:00,27602.6058286,898343176.9874434
2021-01-02 17:00:00,2021-01-02 17:00:00,27680.63331495,910991140.768134
2021-01-02 18:00:00,2021-01-02 18:00:00,27699.73567298,912007156.7793808
2021-01-02 19:00:00,2021-01-02 19:00:00,27712.78029751,919543799.337524
2021-01-02 20:00:00,2021-01-02 20:00:00,27787.54022253,881398138.1957629
2021-01-02 21:00:00,2021-01-02 21:00:00,27821.61551187,880124289.0228397
2021-01-02 22:00:00,2021-01-02 22:00:00,27830.89789554,895875437.6468283
2021-01-02 23:00:00,2021-01-02 23:00:00,27593.89705943,887856222.1922308
2021-01-03 00:00:00,2021-01-03 00:00:00,27653.22551515,897474849.5439359
2021-01-03 01:00:00,2021-01-03 01:00:00,27690.30946115,904813886.6789492
2021-01-03 02:00:00,2021-01-03 02:00:00,27716.42844445,908392469.223398
2021-01-03 03:00:00,2021-01-03 03:00:00,27742.35332444,907005577.1645222
2021-01-03 04:00:00,2021-01-03 04:00:00,28626.72102986,945462331.6378326
2021-01-03 05:00:00,2021-01-03 05:00:00,28713.6891504,973187080.2804089
2021-01-03 06:00:00,2021-01-03 06:00:00,28731.94047461,974630372.6575724
2021-01-03 07:00:00,2021-01-03 07:00:00,28632.91343147,978744676.2968568
2021-01-03 08:00:00,2021-01-03 08:00:00,28640.6993009,981933890.0160292
2021-01-03 09:00:00,2021-01-03 09:00:00,28649.89252302,978725882.9821104
2021-01-03 10:00:00,2021-01-03 10:00:00,28660.41762463,974310650.9222035
2021-01-03 11:00:00,2021-01-03 11:00:00,28698.23375472,988524507.6266228
2021-01-03 12:00:00,2021-01-03 12:00:00,28713.70618717,980623275.2573808
2021-01-03 13:00:00,2021-01-03 13:00:00,28764.08920935,978059561.9059888
2021-01-03 14:00:00,2021-01-03 14:00:00,28809.76739062,975080143.8622006
2021-01-03 15:00:00,2021-01-03 15:00:00,28836.96171905,970015458.0836653
2021-01-03 16:00:00,2021-01-03 16:00:00,28882.5443971,946034435.5933948
2021-01-03 17:00:00,2021-01-03 17:00:00,28896.99418718,959244778.2666364
2021-01-03 18:00:00,2021-01-03 18:00:00,28921.11967206,945734079.0708607
2021-01-03 19:00:00,2021-01-03 19:00:00,28932.83039088,944859250.095512
2021-01-03 20:00:00,2021-01-03 20:00:00,28952.86284163,976512344.511483
2021-01-03 21:00:00,2021-01-03 21:00:00,28967.14523359,974251738.9970604
2021-01-03 22:00:00,2021-01-03 22:00:00,28989.4463456,961024204.2781053
2021-01-03 23:00:00,2021-01-03 23:00:00,28998.14952674,968005349.6954856
2021-01-04 00:00:00,2021-01-04 00:00:00,28425.61382847,932646780.9264704
2021-01-04 01:00:00,2021-01-04 01:00:00,28448.06727741,940797985.5914544
2021-01-04 02:00:00,2021-01-04 02:00:00,28479.2692142,955824366.1446916
