start_time,datetime,reserve,reserve_usd
2021-01-01 00:00:00,2021-01-01 00:00:00,117592.21001875,3416699881.9697394
2021-01-01 01:00:00,2021-01-01 01:00:00,117585.68625685,3464227995.9934397
2021-01-01 02:00:00,2021-01-01 02:00:00,117572.30649608,3451714824.9295106
2021-01-01 03:00:00,2021-01-01 03:00:00,117532.0094746,3446199239.724786
2021-01-01 04:00:00,2021-01-01 04:00:00,117415.58670385,3436032124.076497
2021-01-01 05:00:00,2021-01-01 05:00:00,117380.77717604,3426060118.8481517
2021-01-01 06:00:00,2021-01-01 06:00:00,117325.19021842,3427074927.2912645
2021-01-01 07:00:00,2021-01-01 07:00:00,117279.80551908,3416553258.806172
2021-01-01 08:00:00,2021-01-01 08:00:00,117251.87973009,3402691384.9729104
2021-01-01 09:00:00,2021-01-01 09:00:00,117232.68296443,3428824251.94835
2021-01-01 10:00:00,2021-01-01 10:00:00,117261.3685859,3439166156.5771236
2021-01-01 11:00:00,2021-01-01 11:00:00,117265.87026234,3438798945.9180536
2021-01-01 12:00:00,2021-01-01 12:00:00,117297.20241749,3432033040.3551235
2021-01-01 13:00:00,2021-01-01 13:00:00,117279.10904324,3463096607.7301426
2021-01-01 14:00:00,2021-01-01 14:00:00,117299.47098398,3444736435.6148396
2021-01-01 15:00:00,2021-01-01 15:00:00,117528.3278759,3431110464.838036
2021-01-01 16:00:00,2021-01-01 16:00:00,117498.73865444,3452974566.8034263
2021-01-01 17:00:00,2021-01-01 17:00:00,117450.45721199,3425107072.2055535
2021-01-01 18:00:00,2021-01-01 18:00:00,117354.23753257,3415654768.9080553
2021-01-01 19:00:00,2021-01-01 19:00:00,117370.15800763,3422120116.9716005
2021-01-01 20:00:00,2021-01-01 20:00:00,117340.64355334,3438616186.9726286
2021-01-01 21:00:00,2021-01-01 21:00:00,117322.65612136,3433745664.1767964
2021-01-01 22:00:00,2021-01-01 22:00:00,117301.46745795,3440360706.123527
2021-01-01 23:00:00,2021-01-01 23:00:00,117293.73210667,3447546566.1133733
2021-01-02 00:00:00,2021-01-02 00:00:00,117312.91959127,3424844500.1329484
2021-01-02 01:00:00,2021-01-02 01:00:00,117344.28942692,3454041161.790403
2021-01-02 02:00:00,2021-01-02 02:00:00,117363.72774562,3453335231.710173
2021-01-02 03:00:00,2021-01-02 03:00:00,117359.59811428,3449892605.02592
2021-01-02 04:00:00,2021-01-02 04:00:00,117318.67697003,3449128749.462337
2021-01-02 05:00:00,2021-01-02 05:00:00,117466.5266797,3475999951.887588
2021-01-02 06:00:00,2021-01-02 06:00:00,117485.11726177,3493576824.558973
2021-01-02 07:00:00,2021-01-02 07:00:00,117583.8270051,3504980054.044814
2021-01-02 08:00:00,2021-01-02 08:00:00,117657.23143576,3512581901.8523846
2021-01-02 09:00:00,2021-01-02 09:00:00,117677.78740248,3495057265.049179
2021-01-02 10:00:00,2021-01-02 10:00:00,117732.09950519,3509077283.8967853
2021-01-02 11:00:00,2021-01-02 11:00:00,117757.03407492,3507525533.826055
2021-01-02 12:00:00,2021-01-02 12:00:00,117916.77540787,3620046835.4944177
2021-01-02 13:00:00,2021-01-02 13:00:00,117893.89117646,3693476409.525164
2021-01-02 14:00:00,2021-01-02 14:00:00,117656.66581319,3688856246.357388
2021-01-02 15:00:00,2021-01-02 15:00:00,117720.90966084,3717922889.488401
2021-01-02 16:00:00,2021-01-02 16:00:00,117768.0279691,3832830315.016434
2021-01-02 17:00:00,2021-01-02 17:00:00,117537.13270582,3868238323.451233
2021-01-02 18:00:00,2021-01-02 18:00:00,117378.97918348,3864674751.2184825
2021-01-02 19:00:00,2021-01-02 19:00:00,117444.05094733,3896936635.67206
2021-01-02 20:00:00,2021-01-02 20:00:00,117574.13744317,3729355855.62771
2021-01-02 21:00:00,2021-01-02 21:00:00,117570.08828888,3719276845.065132
2021-01-02 22:00:00,2021-01-02 22:00:00,117547.74144035,3783856873.84329
2021-01-02 23:00:00,2021-01-02 23:00:00,117544.41447945,3782087740.4432135
2021-01-03 00:00:00,2021-01-03 00:00:00,117573.95022313,3815817551.879442
2021-01-03 01:00:00,2021-01-03 01:00:00,117552.92642173,3841182071.1270847
2021-01-03 02:00:00,2021-01-03 02:00:00,117560.03413732,3852972972.5465794
2021-01-03 03:00:00,2021-01-03 03:00:00,117681.42570548,3847464135.261759
2021-01-03 04:00:00,2021-01-03 04:00:00,117676.97160619,3886548649.383039
2021-01-03 05:00:00,2021-01-03 05:00:00,117738.35229679,3990481428.860319
2021-01-03 06:00:00,2021-01-03 06:00:00,117655.65805123,3991055806.1010566
2021-01-03 07:00:00,2021-01-03 07:00:00,117748.61900218,4024942633.431974
2021-01-03 08:00:00,2021-01-03 08:00:00,117740.95065097,4036697165.5353146
2021-01-03 09:00:00,2021-01-03 09:00:00,117743.1604333,4022293576.410195
2021-01-03 10:00:00,2021-01-03 10:00:00,117800.65104704,4004632120.2963495
2021-01-03 11:00:00,2021-01-03 11:00:00,117726.99857233,4055163265.193359
2021-01-03 12:00:00,2021-01-03 12:00:00,117948.99318191,4028164363.5065265
2021-01-03 13:00:00,2021-01-03 13:00:00,117962.56936759,4011057609.968283
2021-01-03 14:00:00,2021-01-03 14:00:00,117931.17906725,3991436289.352782
2021-01-03 15:00:00,2021-01-03 15:00:00,118035.39594768,3970465397.352809
2021-01-03 16:00:00,2021-01-03 16:00:00,118128.27009077,3869237065.352403
2021-01-03 17:00:00,2021-01-03 17:00:00,118063.54799785,3919156476.517325
2021-01-03 18:00:00,2021-01-03 18:00:00,118071.35663345,3860988336.4321823
2021-01-03 19:00:00,2021-01-03 19:00:00,118060.49004732,3855500640.102656
2021-01-03 20:00:00,2021-01-03 20:00:00,118035.60332532,3981064821.448465
2021-01-03 21:00:00,2021-01-03 21:00:00,118135.09014709,3973236440.259081
2021-01-03 22:00:00,2021-01-03 22:00:00,118165.69073424,3917290711.834576
2021-01-03 23:00:00,2021-01-03 23:00:00,118202.61929413,3945795497.027356
2021-01-04 00:00:00,2021-01-04 00:00:00,118133.686249,3875976183.450381
2021-01-04 01:00:00,2021-01-04 01:00:00,118056.57389905,3904215559.777277
2021-01-04 02:00:00,2021-01-04 02:00:00,118207.12093952,3967280395.996616
2021-01-04 03:00:00,2021-01-04 03:00:00,118085.91365215,3931787429.3385606
2021-01-04 04:00:00,2021-01-04 04:00:00,118021.37924194,3931423559.695889
2021-01-04 05:00:00,2021-01-04 05:00:00,118147.33424573,3886621567.368573
2021-01-04 06:00:00,2021-01-04 06:00:00,117922.96913155,3914184272.5583377
2021-01-04 07:00:00,2021-01-04 07:00:00,118055.89098701,3788574290.319885
2021-01-04 08:00:00,2021-01-04 08:00:00,118024.12404114,3756355349.495065
2021-01-04 09:00:00,2021-01-04 09:00:00,118097.15479094,3646396307.34818
2021-01-04 10:00:00,2021-01-04 10:00:00,118298.93281955,3567680211.74348
2021-01-04 11:00:00,2021-01-04 11:00:00,118232.65354228,3540049932.3222966
2021-01-04 12:00:00,2021-01-04 12:00:00,118055.7746245,3664997145.4699063
2021-01-04 13:00:00,2021-01-04 13:00:00,118141.70759249,3686413419.0522385
2021-01-04 14:00:00,2021-01-04 14:00:00,117835.14304779,3771389446.128665
2021-01-04 15:00:00,2021-01-04 15:00:00,117424.70616916,3726691532.069854
2021-01-04 16:00:00,2021-01-04 16:00:00,117451.04392473,3672137963.398179
2021-01-04 17:00:00,2021-01-04 17:00:00,117504.42648179,3637416967.0391006
