start_time,date,transactions_count_inflow,transactions_count_outflow
2021-01-01,2021-01-01,25516,755
2021-01-02,2021-01-02,32263,916
2021-01-03,2021-01-03,38080,979
2021-01-04,2021-01-04,37460,1053
2021-01-05,2021-01-05,35067,978
2021-01-06,2021-01-06,41065,1081
2021-01-07,2021-01-07,45519,1122
2021-01-08,2021-01-08,38685,1090
2021-01-09,2021-01-09,33528,895
2021-01-10,2021-01-10,35238,958
2021-01-11,2021-01-11,37470,1089
2021-01-12,2021-01-12,32321,1116
2021-01-13,2021-01-13,31517,952
2021-01-14,2021-01-14,34278,1163
2021-01-15,2021-01-15,33347,905
2021-01-16,2021-01-16,31034,855
2021-01-17,2021-01-17,27028,884
2021-01-18,2021-01-18,30464,902
2021-01-19,2021-01-19,31887,976
2021-01-20,2021-01-20,31088,1025
2021-01-21,2021-01-21,31033,987
2021-01-22,2021-01-22,32551,1042
2021-01-23,2021-01-23,29735,839
2021-01-24,2021-01-24,25014,813
2021-01-25,2021-01-25,29192,935
2021-01-26,2021-01-26,30465,918
2021-01-27,2021-01-27,31299,985
2021-01-28,2021-01-28,34366,1001
2021-01-29,2021-01-29,47779,1286
2021-01-30,2021-01-30,35324,1083
2021-01-31,2021-01-31,33950,945
2021-02-01,2021-02-01,31846,1106
2021-02-02,2021-02-02,41045,1175
2021-02-03,2021-02-03,39956,1184
2021-02-04,2021-02-04,44925,1289
2021-02-05,2021-02-05,42898,1168
2021-02-06,2021-02-06,42706,1133
2021-02-07,2021-02-07,35704,1066
2021-02-08,2021-02-08,42028,1280
2021-02-09,2021-02-09,48378,1369
2021-02-10,2021-02-10,47104,1263
2021-02-11,2021-02-11,41552,1113
2021-02-12,2021-02-12,46916,1240
2021-02-13,2021-02-13,45405,1140
2021-02-14,2021-02-14,40926,1106
2021-02-15,2021-02-15,40739,1198
2021-02-16,2021-02-16,39251,1212
2021-02-17,2021-02-17,44356,1197
2021-02-18,2021-02-18,43396,1199
2021-02-19,2021-02-19,47982,1276
2021-02-20,2021-02-20,49010,1315
2021-02-21,2021-02-21,39355,1161
2021-02-22,2021-02-22,41979,1171
2021-02-23,2021-02-23,46058,1598
2021-02-24,2021-02-24,48373,1279
2021-02-25,2021-02-25,45039,1209
2021-02-26,2021-02-26,43255,1316
2021-02-27,2021-02-27,43744,1106
2021-02-28,2021-02-28,34897,1121
2021-03-01,2021-03-01,38606,1228
2021-03-02,2021-03-02,42704,1186
2021-03-03,2021-03-03,44853,1383
2021-03-04,2021-03-04,38462,1180
2021-03-05,2021-03-05,41896,1131
2021-03-06,2021-03-06,36470,949
2021-03-07,2021-03-07,34977,1067
2021-03-08,2021-03-08,38240,1197
2021-03-09,2021-03-09,44972,1377
2021-03-10,2021-03-10,48177,1322
2021-03-11,2021-03-11,41770,1237
2021-03-12,2021-03-12,45805,1210
2021-03-13,2021-03-13,43167,1179
2021-03-14,2021-03-14,44471,1130
2021-03-15,2021-03-15,41757,1296
2021-03-16,2021-03-16,43416,1331
2021-03-17,2021-03-17,42246,1185
2021-03-18,2021-03-18,47009,1412
2021-03-19,2021-03-19,43967,1208
2021-03-20,2021-03-20,42887,1086
2021-03-21,2021-03-21,33068,1039
2021-03-22,2021-03-22,40898,1281
2021-03-23,2021-03-23,44425,1236
2021-03-24,2021-03-24,44255,1319
2021-03-25,2021-03-25,45341,1423
2021-03-26,2021-03-26,44067,1305
2021-03-27,2021-03-27,42337,1059
2021-03-28,2021-03-28,34506,1051
2021-03-29,2021-03-29,42140,1236
2021-03-30,2021-03-30,46732,1242
2021-03-31,2021-03-31,46462,1361
2021-04-01,2021-04-01,47586,1231
2021-04-02,2021-04-02,46732,1300
2021-04-03,2021-04-03,46428,1169
2021-04-04,2021-04-04,39610,1036
2021-04-05,2021-04-05,48690,1261
2021-04-06,2021-04-06,49604,1284
2021-04-07,2021-04-07,50343,1482
2021-04-08,2021-04-08,44804,1134
2021-04-09,2021-04-09,50039,1456
2021-04-10,2021-04-10,49605,1299
2021-04-11,2021-04-11,39810,1149
2021-04-12,2021-04-12,47879,1527
2021-04-13,2021-04-13,51834,1530
2021-04-14,2021-04-14,52525,1640
2021-04-15,2021-04-15,56646,1663
2021-04-16,2021-04-16,42078,1401
2021-04-17,2021-04-17,39715,1178
2021-04-18,2021-04-18,50137,2091
2021-04-19,2021-04-19,39218,1351
2021-04-20,2021-04-20,54423,1766
2021-04-21,2021-04-21,45238,1574
2021-04-22,2021-04-22,50696,1826
2021-04-23,2021-04-23,53705,1893
2021-04-24,2021-04-24,50315,1520
2021-04-25,2021-04-25,37460,1464
2021-04-26,2021-04-26,42787,1610
2021-04-27,2021-04-27,50558,1669
2021-04-28,2021-04-28,49465,1510
2021-04-29,2021-04-29,46340,1623
2021-04-30,2021-04-30,50095,1686
2021-05-01,2021-05-01,50682,1532
2021-05-02,2021-05-02,40398,1330
2021-05-03,2021-05-03,48863,1621
2021-05-04,2021-05-04,52582,1780
2021-05-05,2021-05-05,57255,1672
2021-05-06,2021-05-06,57138,1755
2021-05-07,2021-05-07,59187,1802
2021-05-08,2021-05-08,55822,1657
2021-05-09,2021-05-09,47269,1502
2021-05-10,2021-05-10,57973,1935
2021-05-11,2021-05-11,61359,1724
2021-05-12,2021-05-12,59247,1757
2021-05-13,2021-05-13,55185,2067
2021-05-14,2021-05-14,52526,1815
2021-05-15,2021-05-15,48318,1575
2021-05-16,2021-05-16,43735,1562
2021-05-17,2021-05-17,46885,2839
