start_time,transactions_count_inflow,transactions_count_outflow
2021-01-01 00:00:00,943,50
2021-01-01 01:00:00,1144,9
2021-01-01 02:00:00,696,50
2021-01-01 03:00:00,634,9
2021-01-01 04:00:00,734,51
2021-01-01 05:00:00,350,5
2021-01-01 06:00:00,1119,49
2021-01-01 07:00:00,1032,9
2021-01-01 08:00:00,1282,50
2021-01-01 09:00:00,1140,10
2021-01-01 10:00:00,1314,48
2021-01-01 11:00:00,1004,9
2021-01-01 12:00:00,1334,57
2021-01-01 13:00:00,1368,9
2021-01-01 14:00:00,858,59
2021-01-01 15:00:00,1521,8
2021-01-01 16:00:00,1458,63
2021-01-01 17:00:00,1356,12
2021-01-01 18:00:00,1261,62
2021-01-01 19:00:00,533,10
2021-01-01 20:00:00,1503,50
2021-01-01 21:00:00,1358,11
2021-01-01 22:00:00,792,56
2021-01-01 23:00:00,782,9
2021-01-02 00:00:00,736,46
2021-01-02 01:00:00,624,8
2021-01-02 02:00:00,236,9
2021-01-02 03:00:00,1043,50
2021-01-02 04:00:00,770,48
2021-01-02 05:00:00,673,8
2021-01-02 06:00:00,1065,51
2021-01-02 07:00:00,983,7
2021-01-02 08:00:00,1613,58
2021-01-02 09:00:00,1132,8
2021-01-02 10:00:00,1251,92
2021-01-02 11:00:00,1088,11
2021-01-02 12:00:00,1403,56
2021-01-02 13:00:00,1895,20
2021-01-02 14:00:00,2029,65
2021-01-02 15:00:00,1092,12
2021-01-02 16:00:00,1822,51
2021-01-02 17:00:00,1936,19
2021-01-02 18:00:00,2227,104
2021-01-02 19:00:00,1543,18
2021-01-02 20:00:00,2361,72
2021-01-02 21:00:00,1718,17
2021-01-02 22:00:00,1317,54
2021-01-02 23:00:00,1706,32
2021-01-03 00:00:00,801,57
2021-01-03 01:00:00,1670,12
2021-01-03 02:00:00,700,59
2021-01-03 03:00:00,1112,11
2021-01-03 04:00:00,1441,55
2021-01-03 05:00:00,1942,12
2021-01-03 06:00:00,948,61
2021-01-03 07:00:00,2166,14
2021-01-03 08:00:00,1538,72
2021-01-03 09:00:00,1792,12
2021-01-03 10:00:00,1264,17
2021-01-03 11:00:00,1603,63
2021-01-03 12:00:00,2411,59
2021-01-03 13:00:00,1720,66
2021-01-03 14:00:00,2415,61
2021-01-03 15:00:00,1761,20
2021-01-03 16:00:00,2302,66
2021-01-03 17:00:00,1790,21
2021-01-03 18:00:00,1743,71
2021-01-03 19:00:00,1575,17
2021-01-03 20:00:00,1476,63
2021-01-03 21:00:00,1488,16
2021-01-03 22:00:00,1410,56
2021-01-03 23:00:00,1012,18
2021-01-04 00:00:00,1854,70
2021-01-04 01:00:00,793,13
2021-01-04 02:00:00,1113,60
2021-01-04 03:00:00,1125,10
2021-01-04 04:00:00,309,8
2021-01-04 05:00:00,1245,55
2021-01-04 06:00:00,1988,62
2021-01-04 07:00:00,2004,14
2021-01-04 08:00:00,1840,109
2021-01-04 09:00:00,2541,20
2021-01-04 10:00:00,1860,66
2021-01-04 11:00:00,2020,21
2021-01-04 12:00:00,1905,83
2021-01-04 13:00:00,1343,19
2021-01-04 14:00:00,1619,20
2021-01-04 15:00:00,1966,75
2021-01-04 16:00:00,1316,75
2021-01-04 17:00:00,1094,14
2021-01-04 18:00:00,2318,76
2021-01-04 19:00:00,1703,21
2021-01-04 20:00:00,1298,67
2021-01-04 21:00:00,1630,13
2021-01-04 22:00:00,1112,61
2021-01-04 23:00:00,1464,21
2021-01-05 00:00:00,1459,58
