start_time,datetime,transactions_count_inflow,transactions_count_outflow
2021-01-01 00:00:00,2021-01-01 00:00:00,64,1
2021-01-01 01:00:00,2021-01-01 01:00:00,110,0
2021-01-01 02:00:00,2021-01-01 02:00:00,81,0
2021-01-01 03:00:00,2021-01-01 03:00:00,48,0
2021-01-01 04:00:00,2021-01-01 04:00:00,80,0
2021-01-01 05:00:00,2021-01-01 05:00:00,27,0
2021-01-01 06:00:00,2021-01-01 06:00:00,51,1
2021-01-01 07:00:00,2021-01-01 07:00:00,65,0
2021-01-01 08:00:00,2021-01-01 08:00:00,43,1
2021-01-01 09:00:00,2021-01-01 09:00:00,69,0
2021-01-01 10:00:00,2021-01-01 10:00:00,53,0
2021-01-01 11:00:00,2021-01-01 11:00:00,59,0
2021-01-01 12:00:00,2021-01-01 12:00:00,90,0
2021-01-01 13:00:00,2021-01-01 13:00:00,102,0
2021-01-01 14:00:00,2021-01-01 14:00:00,61,0
2021-01-01 15:00:00,2021-01-01 15:00:00,94,0
2021-01-01 16:00:00,2021-01-01 16:00:00,91,0
2021-01-01 17:00:00,2021-01-01 17:00:00,67,0
2021-01-01 18:00:00,2021-01-01 18:00:00,78,0
2021-01-01 19:00:00,2021-01-01 19:00:00,41,0
2021-01-01 20:00:00,2021-01-01 20:00:00,122,0
2021-01-01 21:00:00,2021-01-01 21:00:00,77,0
2021-01-01 22:00:00,2021-01-01 22:00:00,49,0
2021-01-01 23:00:00,2021-01-01 23:00:00,64,0
2021-01-02 00:00:00,2021-01-02 00:00:00,57,0
2021-01-02 01:00:00,2021-01-02 01:00:00,55,0
2021-01-02 02:00:00,2021-01-02 02:00:00,40,0
2021-01-02 03:00:00,2021-01-02 03:00:00,105,0
2021-01-02 04:00:00,2021-01-02 04:00:00,57,11
2021-01-02 05:00:00,2021-01-02 05:00:00,56,0
2021-01-02 06:00:00,2021-01-02 06:00:00,80,0
2021-01-02 07:00:00,2021-01-02 07:00:00,57,0
2021-01-02 08:00:00,2021-01-02 08:00:00,117,0
2021-01-02 09:00:00,2021-01-02 09:00:00,60,0
2021-01-02 10:00:00,2021-01-02 10:00:00,105,0
2021-01-02 11:00:00,2021-01-02 11:00:00,75,0
2021-01-02 12:00:00,2021-01-02 12:00:00,168,1
2021-01-02 13:00:00,2021-01-02 13:00:00,240,0
2021-01-02 14:00:00,2021-01-02 14:00:00,195,0
2021-01-02 15:00:00,2021-01-02 15:00:00,97,0
2021-01-02 16:00:00,2021-01-02 16:00:00,291,0
2021-01-02 17:00:00,2021-01-02 17:00:00,228,0
2021-01-02 18:00:00,2021-01-02 18:00:00,181,0
2021-01-02 19:00:00,2021-01-02 19:00:00,163,0
2021-01-02 20:00:00,2021-01-02 20:00:00,173,0
2021-01-02 21:00:00,2021-01-02 21:00:00,184,0
2021-01-02 22:00:00,2021-01-02 22:00:00,145,0
2021-01-02 23:00:00,2021-01-02 23:00:00,146,1
2021-01-03 00:00:00,2021-01-03 00:00:00,92,0
2021-01-03 01:00:00,2021-01-03 01:00:00,165,0
2021-01-03 02:00:00,2021-01-03 02:00:00,64,0
2021-01-03 03:00:00,2021-01-03 03:00:00,121,0
2021-01-03 04:00:00,2021-01-03 04:00:00,90,0
2021-01-03 05:00:00,2021-01-03 05:00:00,180,0
2021-01-03 06:00:00,2021-01-03 06:00:00,106,0
2021-01-03 07:00:00,2021-01-03 07:00:00,183,1
2021-01-03 08:00:00,2021-01-03 08:00:00,170,1
2021-01-03 09:00:00,2021-01-03 09:00:00,96,0
2021-01-03 10:00:00,2021-01-03 10:00:00,134,0
2021-01-03 11:00:00,2021-01-03 11:00:00,120,0
2021-01-03 12:00:00,2021-01-03 12:00:00,204,0
2021-01-03 13:00:00,2021-01-03 13:00:00,148,0
2021-01-03 14:00:00,2021-01-03 14:00:00,151,0
2021-01-03 15:00:00,2021-01-03 15:00:00,182,0
2021-01-03 16:00:00,2021-01-03 16:00:00,156,0
2021-01-03 17:00:00,2021-01-03 17:00:00,160,0
2021-01-03 18:00:00,2021-01-03 18:00:00,126,0
2021-01-03 19:00:00,2021-01-03 19:00:00,126,0
2021-01-03 20:00:00,2021-01-03 20:00:00,133,0
2021-01-03 21:00:00,2021-01-03 21:00:00,91,0
2021-01-03 22:00:00,2021-01-03 22:00:00,89,0
2021-01-03 23:00:00,2021-01-03 23:00:00,120,0
2021-01-04 00:00:00,2021-01-04 00:00:00,190,1
2021-01-04 01:00:00,2021-01-04 01:00:00,100,0
2021-01-04 02:00:00,2021-01-04 02:00:00,114,0
2021-01-04 03:00:00,2021-01-04 03:00:00,110,0
2021-01-04 04:00:00,2021-01-04 04:00:00,47,0
2021-01-04 05:00:00,2021-01-04 05:00:00,120,0
2021-01-04 06:00:00,2021-01-04 06:00:00,121,0
2021-01-04 07:00:00,2021-01-04 07:00:00,165,0
2021-01-04 08:00:00,2021-01-04 08:00:00,133,25
2021-01-04 09:00:00,2021-01-04 09:00:00,262,0
2021-01-04 10:00:00,2021-01-04 10:00:00,322,0
2021-01-04 11:00:00,2021-01-04 11:00:00,274,0
2021-01-04 12:00:00,2021-01-04 12:00:00,267,0
2021-01-04 13:00:00,2021-01-04 13:00:00,180,0
2021-01-04 14:00:00,2021-01-04 14:00:00,167,0
2021-01-04 15:00:00,2021-01-04 15:00:00,173,1
2021-01-04 16:00:00,2021-01-04 16:00:00,160,1
2021-01-04 17:00:00,2021-01-04 17:00:00,123,0
2021-01-04 18:00:00,2021-01-04 18:00:00,174,0
2021-01-04 19:00:00,2021-01-04 19:00:00,125,0
2021-01-04 20:00:00,2021-01-04 20:00:00,86,0
2021-01-04 21:00:00,2021-01-04 21:00:00,117,0
2021-01-04 22:00:00,2021-01-04 22:00:00,85,0
2021-01-04 23:00:00,2021-01-04 23:00:00,152,0
2021-01-05 00:00:00,2021-01-05 00:00:00,155,1
2021-01-05 01:00:00,2021-01-05 01:00:00,121,0
2021-01-05 02:00:00,2021-01-05 02:00:00,97,0
2021-01-05 03:00:00,2021-01-05 03:00:00,115,0
2021-01-05 04:00:00,2021-01-05 04:00:00,135,0
2021-01-05 05:00:00,2021-01-05 05:00:00,107,0
2021-01-05 06:00:00,2021-01-05 06:00:00,140,0
2021-01-05 07:00:00,2021-01-05 07:00:00,87,0
2021-01-05 08:00:00,2021-01-05 08:00:00,115,1
2021-01-05 09:00:00,2021-01-05 09:00:00,131,0
2021-01-05 10:00:00,2021-01-05 10:00:00,147,0
2021-01-05 11:00:00,2021-01-05 11:00:00,109,0
2021-01-05 12:00:00,2021-01-05 12:00:00,171,0
2021-01-05 13:00:00,2021-01-05 13:00:00,168,0
2021-01-05 14:00:00,2021-01-05 14:00:00,129,0
2021-01-05 15:00:00,2021-01-05 15:00:00,81,0
2021-01-05 16:00:00,2021-01-05 16:00:00,195,0
2021-01-05 17:00:00,2021-01-05 17:00:00,158,0
2021-01-05 18:00:00,2021-01-05 18:00:00,142,0
2021-01-05 19:00:00,2021-01-05 19:00:00,149,0
2021-01-05 20:00:00,2021-01-05 20:00:00,165,0
2021-01-05 21:00:00,2021-01-05 21:00:00,151,0
2021-01-05 22:00:00,2021-01-05 22:00:00,164,0
2021-01-05 23:00:00,2021-01-05 23:00:00,128,0
2021-01-06 00:00:00,2021-01-06 00:00:00,119,1
2021-01-06 01:00:00,2021-01-06 01:00:00,114,0
2021-01-06 02:00:00,2021-01-06 02:00:00,44,0
2021-01-06 03:00:00,2021-01-06 03:00:00,124,0
2021-01-06 04:00:00,2021-01-06 04:00:00,164,0
2021-01-06 05:00:00,2021-01-06 05:00:00,156,0
2021-01-06 06:00:00,2021-01-06 06:00:00,110,0
2021-01-06 07:00:00,2021-01-06 07:00:00,103,0
2021-01-06 08:00:00,2021-01-06 08:00:00,123,0
2021-01-06 09:00:00,2021-01-06 09:00:00,156,0
2021-01-06 10:00:00,2021-01-06 10:00:00,124,0
2021-01-06 11:00:00,2021-01-06 11:00:00,137,0
2021-01-06 12:00:00,2021-01-06 12:00:00,85,0
2021-01-06 13:00:00,2021-01-06 13:00:00,200,0
2021-01-06 14:00:00,2021-01-06 14:00:00,124,0
2021-01-06 15:00:00,2021-01-06 15:00:00,125,0
2021-01-06 16:00:00,2021-01-06 16:00:00,132,0
2021-01-06 17:00:00,2021-01-06 17:00:00,139,0
2021-01-06 18:00:00,2021-01-06 18:00:00,144,0
2021-01-06 19:00:00,2021-01-06 19:00:00,137,0
2021-01-06 20:00:00,2021-01-06 20:00:00,141,0
2021-01-06 21:00:00,2021-01-06 21:00:00,129,0
2021-01-06 22:00:00,2021-01-06 22:00:00,165,0
2021-01-06 23:00:00,2021-01-06 23:00:00,130,0
2021-01-07 00:00:00,2021-01-07 00:00:00,206,0
2021-01-07 01:00:00,2021-01-07 01:00:00,171,0
2021-01-07 02:00:00,2021-01-07 02:00:00,108,0
2021-01-07 03:00:00,2021-01-07 03:00:00,121,0
2021-01-07 04:00:00,2021-01-07 04:00:00,115,0
2021-01-07 05:00:00,2021-01-07 05:00:00,96,1
2021-01-07 06:00:00,2021-01-07 06:00:00,121,0
2021-01-07 07:00:00,2021-01-07 07:00:00,103,0
2021-01-07 08:00:00,2021-01-07 08:00:00,110,0
2021-01-07 09:00:00,2021-01-07 09:00:00,154,0
2021-01-07 10:00:00,2021-01-07 10:00:00,140,0
2021-01-07 11:00:00,2021-01-07 11:00:00,144,0
2021-01-07 12:00:00,2021-01-07 12:00:00,211,0
2021-01-07 13:00:00,2021-01-07 13:00:00,271,0
2021-01-07 14:00:00,2021-01-07 14:00:00,127,0
2021-01-07 15:00:00,2021-01-07 15:00:00,216,0
2021-01-07 16:00:00,2021-01-07 16:00:00,203,0
2021-01-07 17:00:00,2021-01-07 17:00:00,173,0
2021-01-07 18:00:00,2021-01-07 18:00:00,290,0
2021-01-07 19:00:00,2021-01-07 19:00:00,196,0
2021-01-07 20:00:00,2021-01-07 20:00:00,206,0
2021-01-07 21:00:00,2021-01-07 21:00:00,216,0
2021-01-07 22:00:00,2021-01-07 22:00:00,188,0
2021-01-07 23:00:00,2021-01-07 23:00:00,189,0
2021-01-08 00:00:00,2021-01-08 00:00:00,163,0
2021-01-08 01:00:00,2021-01-08 01:00:00,187,0
2021-01-08 02:00:00,2021-01-08 02:00:00,175,0
2021-01-08 03:00:00,2021-01-08 03:00:00,195,3
2021-01-08 04:00:00,2021-01-08 04:00:00,137,0
2021-01-08 05:00:00,2021-01-08 05:00:00,92,0
2021-01-08 06:00:00,2021-01-08 06:00:00,109,0
2021-01-08 07:00:00,2021-01-08 07:00:00,87,0
2021-01-08 08:00:00,2021-01-08 08:00:00,142,0
2021-01-08 09:00:00,2021-01-08 09:00:00,59,0
2021-01-08 10:00:00,2021-01-08 10:00:00,298,0
2021-01-08 11:00:00,2021-01-08 11:00:00,147,0
2021-01-08 12:00:00,2021-01-08 12:00:00,153,0
2021-01-08 13:00:00,2021-01-08 13:00:00,317,0
2021-01-08 14:00:00,2021-01-08 14:00:00,198,0
2021-01-08 15:00:00,2021-01-08 15:00:00,254,0
2021-01-08 16:00:00,2021-01-08 16:00:00,186,0
2021-01-08 17:00:00,2021-01-08 17:00:00,99,0
2021-01-08 18:00:00,2021-01-08 18:00:00,147,0
2021-01-08 19:00:00,2021-01-08 19:00:00,145,0
2021-01-08 20:00:00,2021-01-08 20:00:00,241,0
2021-01-08 21:00:00,2021-01-08 21:00:00,151,0
2021-01-08 22:00:00,2021-01-08 22:00:00,128,0
2021-01-08 23:00:00,2021-01-08 23:00:00,127,0
2021-01-09 00:00:00,2021-01-09 00:00:00,115,1
2021-01-09 01:00:00,2021-01-09 01:00:00,113,0
2021-01-09 02:00:00,2021-01-09 02:00:00,112,0
2021-01-09 03:00:00,2021-01-09 03:00:00,102,0
2021-01-09 04:00:00,2021-01-09 04:00:00,81,0
2021-01-09 05:00:00,2021-01-09 05:00:00,114,0
2021-01-09 06:00:00,2021-01-09 06:00:00,115,0
2021-01-09 07:00:00,2021-01-09 07:00:00,54,0
2021-01-09 08:00:00,2021-01-09 08:00:00,153,0
2021-01-09 09:00:00,2021-01-09 09:00:00,107,0
2021-01-09 10:00:00,2021-01-09 10:00:00,137,0
2021-01-09 11:00:00,2021-01-09 11:00:00,152,0
2021-01-09 12:00:00,2021-01-09 12:00:00,168,0
2021-01-09 13:00:00,2021-01-09 13:00:00,123,0
2021-01-09 14:00:00,2021-01-09 14:00:00,84,0
2021-01-09 15:00:00,2021-01-09 15:00:00,208,0
2021-01-09 16:00:00,2021-01-09 16:00:00,102,0
2021-01-09 17:00:00,2021-01-09 17:00:00,124,0
2021-01-09 18:00:00,2021-01-09 18:00:00,115,0
2021-01-09 19:00:00,2021-01-09 19:00:00,113,0
2021-01-09 20:00:00,2021-01-09 20:00:00,93,0
2021-01-09 21:00:00,2021-01-09 21:00:00,98,0
2021-01-09 22:00:00,2021-01-09 22:00:00,138,0
2021-01-09 23:00:00,2021-01-09 23:00:00,70,0
2021-01-10 00:00:00,2021-01-10 00:00:00,94,0
2021-01-10 01:00:00,2021-01-10 01:00:00,110,0
2021-01-10 02:00:00,2021-01-10 02:00:00,83,0
2021-01-10 03:00:00,2021-01-10 03:00:00,81,0
