start_time,bank_supply_ratio,date
2021-01-01,0.00051653,2021-01-01
2021-01-02,0.0005165,2021-01-02
2021-01-03,0.00051648,2021-01-03
2021-01-04,0.00051645,2021-01-04
2021-01-05,0.00051642,2021-01-05
2021-01-06,0.00051639,2021-01-06
2021-01-07,0.00051636,2021-01-07
2021-01-08,0.00051633,2021-01-08
2021-01-09,0.00051631,2021-01-09
2021-01-10,0.00051628,2021-01-10
2021-01-11,0.00051625,2021-01-11
2021-01-12,0.00051623,2021-01-12
2021-01-13,0.0005162,2021-01-13
2021-01-14,0.0006237,2021-01-14
2021-01-15,0.00062367,2021-01-15
2021-01-16,0.00062364,2021-01-16
2021-01-17,0.00062361,2021-01-17
2021-01-18,0.00062358,2021-01-18
2021-01-19,0.00062355,2021-01-19
2021-01-20,0.00062352,2021-01-20
2021-01-21,0.00062349,2021-01-21
2021-01-22,0.00062346,2021-01-22
2021-01-23,0.00062343,2021-01-23
2021-01-24,0.0006234,2021-01-24
2021-01-25,0.00062337,2021-01-25
2021-01-26,0.00062334,2021-01-26
2021-01-27,0.00062331,2021-01-27
2021-01-28,0.00062328,2021-01-28
2021-01-29,0.00062325,2021-01-29
2021-01-30,0.00062322,2021-01-30
2021-01-31,0.00062319,2021-01-31
2021-02-01,0.00062316,2021-02-01
2021-02-02,0.00062313,2021-02-02
2021-02-03,0.0006231,2021-02-03
2021-02-04,0.00062307,2021-02-04
2021-02-05,0.00073044,2021-02-05
2021-02-06,0.0007304,2021-02-06
2021-02-07,0.00073036,2021-02-07
2021-02-08,0.00073032,2021-02-08
2021-02-09,0.00073029,2021-02-09
2021-02-10,0.00073025,2021-02-10
2021-02-11,0.00073022,2021-02-11
2021-02-12,0.00073019,2021-02-12
2021-02-13,0.00073015,2021-02-13
2021-02-14,0.00073011,2021-02-14
2021-02-15,0.00073007,2021-02-15
2021-02-16,0.00073004,2021-02-16
2021-02-17,0.00073001,2021-02-17
2021-02-18,0.00072998,2021-02-18
2021-02-19,0.00072994,2021-02-19
2021-02-20,0.0007299,2021-02-20
2021-02-21,0.00072987,2021-02-21
2021-02-22,0.00072984,2021-02-22
2021-02-23,0.00115907,2021-02-23
2021-02-24,0.001159,2021-02-24
2021-02-25,0.00115894,2021-02-25
2021-02-26,0.00115889,2021-02-26
2021-02-27,0.00115883,2021-02-27
2021-02-28,0.00115878,2021-02-28
2021-03-01,0.00115873,2021-03-01
2021-03-02,0.00115867,2021-03-02
2021-03-03,0.00115861,2021-03-03
2021-03-04,0.00115856,2021-03-04
2021-03-05,0.00115851,2021-03-05
2021-03-06,0.00115845,2021-03-06
2021-03-07,0.00115839,2021-03-07
2021-03-08,0.00115833,2021-03-08
2021-03-09,0.00115827,2021-03-09
2021-03-10,0.00115822,2021-03-10
2021-03-11,0.00115817,2021-03-11
2021-03-12,0.00115811,2021-03-12
2021-03-13,0.00115805,2021-03-13
2021-03-14,0.00115799,2021-03-14
2021-03-15,0.00115793,2021-03-15
2021-03-16,0.00115788,2021-03-16
2021-03-17,0.00115782,2021-03-17
2021-03-18,0.00115776,2021-03-18
2021-03-19,0.00115771,2021-03-19
2021-03-20,0.00115765,2021-03-20
2021-03-21,0.00115759,2021-03-21
2021-03-22,0.00115753,2021-03-22
2021-03-23,0.00115747,2021-03-23
2021-03-24,0.00115741,2021-03-24
2021-03-25,0.00115735,2021-03-25
2021-03-26,0.00115729,2021-03-26
2021-03-27,0.00115723,2021-03-27
2021-03-28,0.00115717,2021-03-28
2021-03-29,0.00115711,2021-03-29
2021-03-30,0.00115706,2021-03-30
2021-03-31,0.001157,2021-03-31
2021-04-01,0.00115694,2021-04-01
2021-04-02,0.00115689,2021-04-02
2021-04-03,0.00115683,2021-04-03
2021-04-04,0.00115678,2021-04-04
2021-04-05,0.00115672,2021-04-05
2021-04-06,0.00254887,2021-04-06
2021-04-07,0.00254873,2021-04-07
2021-04-08,0.00286986,2021-04-08
2021-04-09,0.00286972,2021-04-09
2021-04-10,0.00286957,2021-04-10
2021-04-11,0.00286943,2021-04-11
2021-04-12,0.00286929,2021-04-12
2021-04-13,0.00286915,2021-04-13
2021-04-14,0.00286902,2021-04-14
