start_time,date,inflow_cdd
2021-01-01,2021-01-01,362913.91651667
2021-01-02,2021-01-02,896230.34618358
2021-01-03,2021-01-03,893223.83287456
2021-01-04,2021-01-04,1144420.58520178
2021-01-05,2021-01-05,313387.67840708
2021-01-06,2021-01-06,433411.97693649
2021-01-07,2021-01-07,3732577.17468792
2021-01-08,2021-01-08,918181.27662051
2021-01-09,2021-01-09,453809.82490253
2021-01-10,2021-01-10,622747.35620604
2021-01-11,2021-01-11,822166.68063739
2021-01-12,2021-01-12,693441.53224779
2021-01-13,2021-01-13,223600.23234027
2021-01-14,2021-01-14,301986.92204788
2021-01-15,2021-01-15,213828.54496908
2021-01-16,2021-01-16,171997.66721178
2021-01-17,2021-01-17,135561.49563787
2021-01-18,2021-01-18,179703.13700705
2021-01-19,2021-01-19,284518.05495293
2021-01-20,2021-01-20,219654.48171883
2021-01-21,2021-01-21,321031.86853325
2021-01-22,2021-01-22,212617.66980543
2021-01-23,2021-01-23,145693.59114729
2021-01-24,2021-01-24,251112.66608138
2021-01-25,2021-01-25,323955.80503146
2021-01-26,2021-01-26,190454.85013791
2021-01-27,2021-01-27,299885.06844234
2021-01-28,2021-01-28,226536.70074254
2021-01-29,2021-01-29,1479107.42627294
2021-01-30,2021-01-30,158019.28162986
2021-01-31,2021-01-31,159699.2500867
2021-02-01,2021-02-01,132885.20042527
2021-02-02,2021-02-02,182552.82524893
2021-02-03,2021-02-03,280761.94323904
2021-02-04,2021-02-04,633495.13654172
2021-02-05,2021-02-05,198308.2299793
2021-02-06,2021-02-06,301458.89130395
2021-02-07,2021-02-07,309950.74899967
2021-02-08,2021-02-08,398662.40608654
2021-02-09,2021-02-09,572091.62970221
2021-02-10,2021-02-10,296920.83361365
2021-02-11,2021-02-11,266774.21506427
2021-02-12,2021-02-12,248049.92332429
2021-02-13,2021-02-13,220284.19999857
2021-02-14,2021-02-14,278306.93618735
2021-02-15,2021-02-15,224390.7265726
2021-02-16,2021-02-16,425407.65932386
2021-02-17,2021-02-17,548210.22828876
2021-02-18,2021-02-18,242363.65188059
2021-02-19,2021-02-19,434208.91340332
2021-02-20,2021-02-20,612906.2313251
2021-02-21,2021-02-21,370326.22072009
2021-02-22,2021-02-22,566357.50438441
2021-02-23,2021-02-23,635872.61731155
2021-02-24,2021-02-24,320969.05890965
2021-02-25,2021-02-25,334427.10568237
2021-02-26,2021-02-26,293023.96127409
2021-02-27,2021-02-27,242488.22469371
2021-02-28,2021-02-28,286455.3775185
2021-03-01,2021-03-01,325762.1841838
2021-03-02,2021-03-02,261009.34240344
2021-03-03,2021-03-03,315575.90268251
2021-03-04,2021-03-04,224232.87693543
2021-03-05,2021-03-05,211539.48405385
2021-03-06,2021-03-06,98863.08777117
2021-03-07,2021-03-07,134177.16057559
2021-03-08,2021-03-08,152812.9586445
2021-03-09,2021-03-09,264046.49919274
2021-03-10,2021-03-10,337894.7058496
2021-03-11,2021-03-11,189817.80959148
2021-03-12,2021-03-12,232720.91515388
2021-03-13,2021-03-13,222082.97877681
2021-03-14,2021-03-14,463729.07537564
2021-03-15,2021-03-15,245543.32267237
2021-03-16,2021-03-16,154029.99643518
2021-03-17,2021-03-17,134623.162569
2021-03-18,2021-03-18,166702.2107109
2021-03-19,2021-03-19,230985.83006026
2021-03-20,2021-03-20,162707.17971269
2021-03-21,2021-03-21,169461.5631373
2021-03-22,2021-03-22,219376.91877396
2021-03-23,2021-03-23,188090.44139652
2021-03-24,2021-03-24,255547.70391896
2021-03-25,2021-03-25,168610.94684998
2021-03-26,2021-03-26,222137.81138767
2021-03-27,2021-03-27,182093.56837728
2021-03-28,2021-03-28,117029.9660446
2021-03-29,2021-03-29,228224.5312672
2021-03-30,2021-03-30,192749.04434788
2021-03-31,2021-03-31,162002.44977295
2021-04-01,2021-04-01,162789.41145417
2021-04-02,2021-04-02,307776.96133036
2021-04-03,2021-04-03,216385.62893282
2021-04-04,2021-04-04,221127.34511332
2021-04-05,2021-04-05,246366.13925322
2021-04-06,2021-04-06,293311.74871755
2021-04-07,2021-04-07,237324.36949867
2021-04-08,2021-04-08,128018.49817488
2021-04-09,2021-04-09,188582.0750725
2021-04-10,2021-04-10,260274.3228435
2021-04-11,2021-04-11,220177.68018508
2021-04-12,2021-04-12,319326.5068373
2021-04-13,2021-04-13,2219813.42903809
2021-04-14,2021-04-14,423881.02953715
2021-04-15,2021-04-15,401639.8913818
2021-04-16,2021-04-16,332137.89139933
2021-04-17,2021-04-17,311525.69185933
2021-04-18,2021-04-18,485572.26774818
2021-04-19,2021-04-19,311569.5263685
2021-04-20,2021-04-20,455335.7560106
2021-04-21,2021-04-21,268976.57962396
2021-04-22,2021-04-22,415736.17266606
2021-04-23,2021-04-23,526839.371939
2021-04-24,2021-04-24,194289.55396635
2021-04-25,2021-04-25,330085.34366009
2021-04-26,2021-04-26,452129.3220255
2021-04-27,2021-04-27,451193.5446328
2021-04-28,2021-04-28,473383.97756277
2021-04-29,2021-04-29,245943.47397609
2021-04-30,2021-04-30,261164.81276814
2021-05-01,2021-05-01,181587.84127061
2021-05-02,2021-05-02,177068.38872505
2021-05-03,2021-05-03,218038.10401107
2021-05-04,2021-05-04,339259.56978046
2021-05-05,2021-05-05,345180.410647
2021-05-06,2021-05-06,445616.06839095
2021-05-07,2021-05-07,302367.54108155
2021-05-08,2021-05-08,373338.73552523
2021-05-09,2021-05-09,408125.30941629
2021-05-10,2021-05-10,426871.20806821
2021-05-11,2021-05-11,274428.83074753
2021-05-12,2021-05-12,431896.86833453
2021-05-13,2021-05-13,627999.86635783
2021-05-14,2021-05-14,404850.1394701
2021-05-15,2021-05-15,446190.44494142
2021-05-16,2021-05-16,432160.02212138
2021-05-17,2021-05-17,543029.70117139
2021-05-18,2021-05-18,468684.22032775
2021-05-19,2021-05-19,1282195.49835036
2021-05-20,2021-05-20,510717.61740328
2021-05-21,2021-05-21,370399.95877866
2021-05-22,2021-05-22,249932.7103097
2021-05-23,2021-05-23,729062.4481104
2021-05-24,2021-05-24,355573.47778128
2021-05-25,2021-05-25,213364.01974865
2021-05-26,2021-05-26,225225.18325149
2021-05-27,2021-05-27,97617.34104414
2021-05-28,2021-05-28,413985.24840885
2021-05-29,2021-05-29,151176.26863037
2021-05-30,2021-05-30,107742.84736101
2021-05-31,2021-05-31,130374.52194501
2021-06-01,2021-06-01,153850.0787096
2021-06-02,2021-06-02,118305.27197096
2021-06-03,2021-06-03,145658.97898842
2021-06-04,2021-06-04,159699.81477356
2021-06-05,2021-06-05,80878.78368657
2021-06-06,2021-06-06,322649.64988446
2021-06-07,2021-06-07,137968.56420022
2021-06-08,2021-06-08,388095.39319156
2021-06-09,2021-06-09,138641.11542092
2021-06-10,2021-06-10,140128.91895502
2021-06-11,2021-06-11,82537.30589623
2021-06-12,2021-06-12,92672.68924075
2021-06-13,2021-06-13,56285.89250485
2021-06-14,2021-06-14,105832.51537821
2021-06-15,2021-06-15,209071.75955116
2021-06-16,2021-06-16,143259.71965688
2021-06-17,2021-06-17,49682.74386433
