start_time,date,range_001_01,range_001_01_percent,range_01_1,range_01_1_percent,range_0_001,range_0_001_percent,range_100_1k,range_100_1k_percent,range_10_100,range_10_100_percent,range_10k_inf,range_10k_inf_percent,range_1_10,range_1_10_percent,range_1k_10k,range_1k_10k_percent
2021-01-01,2021-01-01,425.58257831,2.76381328,1074.79040881,6.979891,72.71986194,0.47225646,6190.2046646,40.200353,3491.06598456,22.67163891,18.99999998,0.12338957,2697.6214588,17.51886097,1427.39889489,9.26979681
2021-01-02,2021-01-02,563.41018092,3.03955014,1977.69413634,10.66949211,89.01305668,0.48021789,4761.45046098,25.68762135,6512.38548652,35.13376729,0.0,0.0,4292.87380354,23.15969003,339.14549817,1.82966119
2021-01-03,2021-01-03,607.8424313,2.77196618,2072.35392604,9.45063176,102.98265541,0.46963559,6152.96499153,28.05959235,7433.56253409,33.89954839,4.9824166,0.0227215,5251.38570078,23.94808718,302.13055046,1.37781705
2021-01-04,2021-01-04,595.78631024,2.57592553,2171.74525423,9.38969887,87.74761957,0.37938323,6278.21419337,27.14431657,8795.59409585,38.02839203,0.0,0.0,4988.80600357,21.5694663,211.12572852,0.91281747
2021-01-05,2021-01-05,860.05517793,4.6094496,2666.48696752,14.29098691,125.94630297,0.67500685,2862.70535644,15.34261569,6498.47254015,34.82844175,0.90268221,0.00483791,5641.87602079,30.23752876,2.07716672,0.01113254
2021-01-06,2021-01-06,794.10233829,3.08030448,2128.12922245,8.25496369,115.35994509,0.44747854,8667.19492022,33.61984724,7654.66308415,29.69225983,0.0,0.0,5412.04024161,20.99317806,1008.50519359,3.91196816
2021-01-07,2021-01-07,815.7561235,2.81270425,2712.79908537,9.35365521,116.44559518,0.40150115,9197.61923319,31.71313332,9110.67603179,31.4133556,0.229768,0.00079223,6280.35377415,21.65448379,768.67633143,2.65037445
2021-01-08,2021-01-08,666.90208064,2.86636574,2537.87172169,10.90785102,91.69897108,0.39412501,4480.06902986,19.25547502,7987.58267881,34.33087699,50.76947893,0.21820879,6191.15235684,26.609764,1260.42217519,5.41733343
2021-01-09,2021-01-09,519.2149884,3.612525,1644.52978621,11.44209066,90.21841674,0.6277097,3803.22940877,26.46160383,4497.36756702,31.291186,6.48932605,0.04515057,3390.23556044,23.58813015,421.34871927,2.93160409
2021-01-10,2021-01-10,596.24056959,2.96509198,1842.33000693,9.16186889,110.77481889,0.55088088,4702.79952856,23.38692446,6592.28207256,32.78328194,0.0,0.0,4986.02675213,24.79540757,1278.21653111,6.35654428
