start_time,date,exchange_supply_ratio
2021-01-01,2021-01-01,0.0170364
2021-01-02,2021-01-02,0.01708511
2021-01-03,2021-01-03,0.01738809
2021-01-04,2021-01-04,0.01725094
2021-01-05,2021-01-05,0.01707901
2021-01-06,2021-01-06,0.0167912
2021-01-07,2021-01-07,0.01684623
2021-01-08,2021-01-08,0.01709502
2021-01-09,2021-01-09,0.01717085
2021-01-10,2021-01-10,0.01756359
2021-01-11,2021-01-11,0.01750297
2021-01-12,2021-01-12,0.01768121
2021-01-13,2021-01-13,0.01760726
2021-01-14,2021-01-14,0.01744855
2021-01-15,2021-01-15,0.01754663
2021-01-16,2021-01-16,0.01744738
2021-01-17,2021-01-17,0.01748308
2021-01-18,2021-01-18,0.01754901
2021-01-19,2021-01-19,0.0173682
2021-01-20,2021-01-20,0.01762125
2021-01-21,2021-01-21,0.017593
2021-01-22,2021-01-22,0.0176133
2021-01-23,2021-01-23,0.01754744
2021-01-24,2021-01-24,0.01753497
2021-01-25,2021-01-25,0.01756167
2021-01-26,2021-01-26,0.01764534
2021-01-27,2021-01-27,0.01751439
2021-01-28,2021-01-28,0.01770124
2021-01-29,2021-01-29,0.01803453
2021-01-30,2021-01-30,0.01797747
2021-01-31,2021-01-31,0.01784443
2021-02-01,2021-02-01,0.01771112
2021-02-02,2021-02-02,0.01767498
2021-02-03,2021-02-03,0.01760522
2021-02-04,2021-02-04,0.01740734
2021-02-05,2021-02-05,0.01728337
2021-02-06,2021-02-06,0.01778625
2021-02-07,2021-02-07,0.01776399
2021-02-08,2021-02-08,0.0181896
2021-02-09,2021-02-09,0.01807916
2021-02-10,2021-02-10,0.01816112
2021-02-11,2021-02-11,0.01829576
2021-02-12,2021-02-12,0.01824972
2021-02-13,2021-02-13,0.01829155
2021-02-14,2021-02-14,0.01843485
2021-02-15,2021-02-15,0.01830635
2021-02-16,2021-02-16,0.0185487
2021-02-17,2021-02-17,0.01865932
2021-02-18,2021-02-18,0.01847273
2021-02-19,2021-02-19,0.01869774
2021-02-20,2021-02-20,0.01888964
2021-02-21,2021-02-21,0.01909756
2021-02-22,2021-02-22,0.01888223
2021-02-23,2021-02-23,0.01852091
2021-02-24,2021-02-24,0.01852331
2021-02-25,2021-02-25,0.01864216
2021-02-26,2021-02-26,0.01876358
2021-02-27,2021-02-27,0.01885091
2021-02-28,2021-02-28,0.0189682
2021-03-01,2021-03-01,0.01874959
2021-03-02,2021-03-02,0.01873614
2021-03-03,2021-03-03,0.01908436
2021-03-04,2021-03-04,0.019242
2021-03-05,2021-03-05,0.01933093
2021-03-06,2021-03-06,0.01947193
2021-03-07,2021-03-07,0.01941242
