start_time,date,exchange_whale_ratio
2021-01-01,2021-01-01,0.25285184
2021-01-02,2021-01-02,0.13972852
2021-01-03,2021-01-03,0.18448842
2021-01-04,2021-01-04,0.13731467
2021-01-05,2021-01-05,0.14853645
2021-01-06,2021-01-06,0.16809059
2021-01-07,2021-01-07,0.17298969
2021-01-08,2021-01-08,0.14918173
2021-01-09,2021-01-09,0.22727844
2021-01-10,2021-01-10,0.23228364
2021-01-11,2021-01-11,0.12755185
2021-01-12,2021-01-12,0.19554289
2021-01-13,2021-01-13,0.2389238
2021-01-14,2021-01-14,0.33469826
2021-01-15,2021-01-15,0.18472529
2021-01-16,2021-01-16,0.21812376
2021-01-17,2021-01-17,0.24580454
2021-01-18,2021-01-18,0.18328312
2021-01-19,2021-01-19,0.57755661
2021-01-20,2021-01-20,0.43412685
2021-01-21,2021-01-21,0.26437065
2021-01-22,2021-01-22,0.15357783
2021-01-23,2021-01-23,0.27996592
2021-01-24,2021-01-24,0.12955872
2021-01-25,2021-01-25,0.2082175
2021-01-26,2021-01-26,0.23594354
2021-01-27,2021-01-27,0.24563975
2021-01-28,2021-01-28,0.20627274
2021-01-29,2021-01-29,0.13000874
2021-01-30,2021-01-30,0.19851163
2021-01-31,2021-01-31,0.16863188
2021-02-01,2021-02-01,0.10402119
2021-02-02,2021-02-02,0.19884047
2021-02-03,2021-02-03,0.19266887
2021-02-04,2021-02-04,0.18668144
2021-02-05,2021-02-05,0.1753899
2021-02-06,2021-02-06,0.10896059
2021-02-07,2021-02-07,0.21058881
2021-02-08,2021-02-08,0.21879089
2021-02-09,2021-02-09,0.14765363
2021-02-10,2021-02-10,0.25638596
2021-02-11,2021-02-11,0.17987614
2021-02-12,2021-02-12,0.30063296
2021-02-13,2021-02-13,0.21172419
2021-02-14,2021-02-14,0.16119011
2021-02-15,2021-02-15,0.15216747
2021-02-16,2021-02-16,0.15811044
2021-02-17,2021-02-17,0.15402778
2021-02-18,2021-02-18,0.14575991
2021-02-19,2021-02-19,0.15130998
2021-02-20,2021-02-20,0.23448598
2021-02-21,2021-02-21,0.14177493
2021-02-22,2021-02-22,0.18350124
2021-02-23,2021-02-23,0.23765787
2021-02-24,2021-02-24,0.29987824
2021-02-25,2021-02-25,0.23729063
2021-02-26,2021-02-26,0.28436001
2021-02-27,2021-02-27,0.18937112
2021-02-28,2021-02-28,0.25557953
2021-03-01,2021-03-01,0.17741894
2021-03-02,2021-03-02,0.26885835
2021-03-03,2021-03-03,0.21252831
2021-03-04,2021-03-04,0.27854276
2021-03-05,2021-03-05,0.41682851
2021-03-06,2021-03-06,0.43103325
2021-03-07,2021-03-07,0.28790238
2021-03-08,2021-03-08,0.27850367
2021-03-09,2021-03-09,0.26616067
2021-03-10,2021-03-10,0.16958515
2021-03-11,2021-03-11,0.21507325
2021-03-12,2021-03-12,0.21426322
2021-03-13,2021-03-13,0.18167154
2021-03-14,2021-03-14,0.29008971
2021-03-15,2021-03-15,0.32782509
2021-03-16,2021-03-16,0.25166602
2021-03-17,2021-03-17,0.48344952
2021-03-18,2021-03-18,0.24285788
2021-03-19,2021-03-19,0.35179405
2021-03-20,2021-03-20,0.27586089
2021-03-21,2021-03-21,0.12850545
