start_time,date,fund_flow_ratio
2021-01-01,2021-01-01,0.0182066
2021-01-02,2021-01-02,0.01746625
2021-01-03,2021-01-03,0.01798829
2021-01-04,2021-01-04,0.02665036
2021-01-05,2021-01-05,0.0151394
2021-01-06,2021-01-06,0.02715763
2021-01-07,2021-01-07,0.02093728
2021-01-08,2021-01-08,0.01653292
2021-01-09,2021-01-09,0.01423501
2021-01-10,2021-01-10,0.01837537
2021-01-11,2021-01-11,0.02317155
2021-01-12,2021-01-12,0.02041544
2021-01-13,2021-01-13,0.02072043
2021-01-14,2021-01-14,0.0271746
2021-01-15,2021-01-15,0.01721651
2021-01-16,2021-01-16,0.01225427
2021-01-17,2021-01-17,0.01535014
2021-01-18,2021-01-18,0.01317728
2021-01-19,2021-01-19,0.02962838
2021-01-20,2021-01-20,0.02307306
2021-01-21,2021-01-21,0.0240668
2021-01-22,2021-01-22,0.02404611
2021-01-23,2021-01-23,0.01170749
2021-01-24,2021-01-24,0.010296
2021-01-25,2021-01-25,0.01393312
2021-01-26,2021-01-26,0.01776825
2021-01-27,2021-01-27,0.01961639
2021-01-28,2021-01-28,0.02269272
2021-01-29,2021-01-29,0.03226889
2021-01-30,2021-01-30,0.01241209
2021-01-31,2021-01-31,0.01084975
2021-02-01,2021-02-01,0.01598819
2021-02-02,2021-02-02,0.01971496
2021-02-03,2021-02-03,0.02041086
2021-02-04,2021-02-04,0.02053507
2021-02-05,2021-02-05,0.01687635
2021-02-06,2021-02-06,0.01354529
2021-02-07,2021-02-07,0.0132986
2021-02-08,2021-02-08,0.02347215
2021-02-09,2021-02-09,0.0154972
2021-02-10,2021-02-10,0.02117616
2021-02-11,2021-02-11,0.0147717
2021-02-12,2021-02-12,0.01560503
2021-02-13,2021-02-13,0.01497524
2021-02-14,2021-02-14,0.01224548
2021-02-15,2021-02-15,0.01260794
2021-02-16,2021-02-16,0.01182654
2021-02-17,2021-02-17,0.01545034
2021-02-18,2021-02-18,0.01404779
2021-02-19,2021-02-19,0.01727111
2021-02-20,2021-02-20,0.02077701
2021-02-21,2021-02-21,0.01235926
2021-02-22,2021-02-22,0.02418453
2021-02-23,2021-02-23,0.02955691
2021-02-24,2021-02-24,0.01943136
2021-02-25,2021-02-25,0.01413756
2021-02-26,2021-02-26,0.0207707
2021-02-27,2021-02-27,0.01277887
2021-02-28,2021-02-28,0.01455093
2021-03-01,2021-03-01,0.01990377
2021-03-02,2021-03-02,0.0153823
