start_time,date,miner_supply_ratio
2021-01-01,2021-01-01,0.00085033
2021-01-02,2021-01-02,0.00084728
2021-01-03,2021-01-03,0.00082227
2021-01-04,2021-01-04,0.00084786
2021-01-05,2021-01-05,0.0008717
2021-01-06,2021-01-06,0.00087914
2021-01-07,2021-01-07,0.00087785
2021-01-08,2021-01-08,0.00087821
2021-01-09,2021-01-09,0.00087976
2021-01-10,2021-01-10,0.00087958
2021-01-11,2021-01-11,0.00088088
2021-01-12,2021-01-12,0.00088345
2021-01-13,2021-01-13,0.00088737
2021-01-14,2021-01-14,0.0008879
2021-01-15,2021-01-15,0.00088788
2021-01-16,2021-01-16,0.00088744
2021-01-17,2021-01-17,0.00086958
2021-01-18,2021-01-18,0.00086952
2021-01-19,2021-01-19,0.00086957
2021-01-20,2021-01-20,0.00086926
2021-01-21,2021-01-21,0.00086985
2021-01-22,2021-01-22,0.00087026
2021-01-23,2021-01-23,0.00086813
2021-01-24,2021-01-24,0.00086747
2021-01-25,2021-01-25,0.00086779
2021-01-26,2021-01-26,0.00086652
2021-01-27,2021-01-27,0.00086594
2021-01-28,2021-01-28,0.00086625
2021-01-29,2021-01-29,0.00086562
2021-01-30,2021-01-30,0.00086642
2021-01-31,2021-01-31,0.00086703
2021-02-01,2021-02-01,0.00086778
2021-02-02,2021-02-02,0.00087271
2021-02-03,2021-02-03,0.0008735
2021-02-04,2021-02-04,0.00087395
2021-02-05,2021-02-05,0.00087441
2021-02-06,2021-02-06,0.0008741
2021-02-07,2021-02-07,0.0008738
2021-02-08,2021-02-08,0.00087322
2021-02-09,2021-02-09,0.00089113
2021-02-10,2021-02-10,0.00089254
2021-02-11,2021-02-11,0.00089279
2021-02-12,2021-02-12,0.0008929
2021-02-13,2021-02-13,0.00089256
2021-02-14,2021-02-14,0.000893
2021-02-15,2021-02-15,0.00089253
2021-02-16,2021-02-16,0.0008929
2021-02-17,2021-02-17,0.00089598
2021-02-18,2021-02-18,0.00092378
2021-02-19,2021-02-19,0.00092377
2021-02-20,2021-02-20,0.00092423
2021-02-21,2021-02-21,0.00092202
2021-02-22,2021-02-22,0.00086882
2021-02-23,2021-02-23,0.00086879
2021-02-24,2021-02-24,0.00086807
2021-02-25,2021-02-25,0.00087266
2021-02-26,2021-02-26,0.00086944
2021-02-27,2021-02-27,0.00085387
2021-02-28,2021-02-28,0.00085459
2021-03-01,2021-03-01,0.00085439
2021-03-02,2021-03-02,0.0008547
2021-03-03,2021-03-03,0.00084614
2021-03-04,2021-03-04,0.00084661
2021-03-05,2021-03-05,0.00084651
2021-03-06,2021-03-06,0.00084654
2021-03-07,2021-03-07,0.00085193
2021-03-08,2021-03-08,0.0008644
2021-03-09,2021-03-09,0.00086455
2021-03-10,2021-03-10,0.00086438
2021-03-11,2021-03-11,0.00084305
2021-03-12,2021-03-12,0.00084377
2021-03-13,2021-03-13,0.00084288
2021-03-14,2021-03-14,0.00084351
2021-03-15,2021-03-15,0.00083154
2021-03-16,2021-03-16,0.00083591
2021-03-17,2021-03-17,0.0008254
2021-03-18,2021-03-18,0.0008254
2021-03-19,2021-03-19,0.00082466
2021-03-20,2021-03-20,0.0008247
