start_time,date,mpi
2021-01-01,2021-01-01,0.11187924223600576
2021-01-02,2021-01-02,0.6024318992052877
2021-01-03,2021-01-03,1.515012402093472
2021-01-04,2021-01-04,0.5609917119124619
2021-01-05,2021-01-05,0.2827235419489119
2021-01-06,2021-01-06,1.2225147089604562
2021-01-07,2021-01-07,1.5765924521475077
2021-01-08,2021-01-08,1.860880669816037
2021-01-09,2021-01-09,0.1976050548946556
2021-01-10,2021-01-10,0.5663236868002907
2021-01-11,2021-01-11,0.91069387790308
2021-01-12,2021-01-12,1.0385336556615228
2021-01-13,2021-01-13,0.06662161932049059
2021-01-14,2021-01-14,1.6043214283060416
2021-01-15,2021-01-15,0.41543026258271215
2021-01-16,2021-01-16,0.09458265286323334
2021-01-17,2021-01-17,0.7099398225688056
2021-01-18,2021-01-18,0.814761598580034
2021-01-19,2021-01-19,0.31519189463359365
2021-01-20,2021-01-20,0.6865075447253272
2021-01-21,2021-01-21,0.046022444867478175
2021-01-22,2021-01-22,0.6593583789577947
2021-01-23,2021-01-23,-0.1830348384278729
2021-01-24,2021-01-24,0.0526677003682408
2021-01-25,2021-01-25,0.8562135045544922
2021-01-26,2021-01-26,0.4017998132700596
2021-01-27,2021-01-27,0.9024375024336188
2021-01-28,2021-01-28,-0.09893732576744046
2021-01-29,2021-01-29,0.6334317630391154
2021-01-30,2021-01-30,0.13527904155642964
2021-01-31,2021-01-31,-0.18620172280876507
2021-02-01,2021-02-01,-0.09907034450276732
2021-02-02,2021-02-02,0.8766784530019478
2021-02-03,2021-02-03,-0.1681376278387504
2021-02-04,2021-02-04,0.3377858265355583
2021-02-05,2021-02-05,0.7016049181282417
2021-02-06,2021-02-06,-0.03644556714262585
2021-02-07,2021-02-07,0.18873850355932084
2021-02-08,2021-02-08,0.68153643193469
2021-02-09,2021-02-09,0.798175310127946
2021-02-10,2021-02-10,0.23797276707309148
2021-02-11,2021-02-11,0.11563644639951871
2021-02-12,2021-02-12,-0.0658277691765256
2021-02-13,2021-02-13,0.024628416657332022
2021-02-14,2021-02-14,0.7280224647907827
2021-02-15,2021-02-15,0.06479040251205213
2021-02-16,2021-02-16,0.3263018221782773
2021-02-17,2021-02-17,1.0493748008536072
2021-02-18,2021-02-18,0.8341742403918863
2021-02-19,2021-02-19,0.5010000583563066
2021-02-20,2021-02-20,1.495838917582154
2021-02-21,2021-02-21,0.6237607706266192
2021-02-22,2021-02-22,1.2706997208358923
2021-02-23,2021-02-23,1.4825745509956954
2021-02-24,2021-02-24,1.2692264006506015
2021-02-25,2021-02-25,0.014835777898384344
2021-02-26,2021-02-26,-0.06845782074592954
2021-02-27,2021-02-27,0.283826219189416
2021-02-28,2021-02-28,0.5541588677847381
2021-03-01,2021-03-01,0.7986502886350904
2021-03-02,2021-03-02,0.021311118953737895
2021-03-03,2021-03-03,0.17069646448592907
2021-03-04,2021-03-04,-0.13699259607828507
2021-03-05,2021-03-05,0.5042598628348912
2021-03-06,2021-03-06,-0.17335223076128023
2021-03-07,2021-03-07,0.11850106729094616
2021-03-08,2021-03-08,0.3961758695006984
2021-03-09,2021-03-09,0.3083170422778574
2021-03-10,2021-03-10,0.16723573075362969
2021-03-11,2021-03-11,0.2635219411084218
2021-03-12,2021-03-12,0.2884425397212358
2021-03-13,2021-03-13,0.08025788933069276
2021-03-14,2021-03-14,0.07251307720855965
2021-03-15,2021-03-15,0.7931840013697514
2021-03-16,2021-03-16,0.7488041533845091
2021-03-17,2021-03-17,0.28118783267727626
2021-03-18,2021-03-18,0.5476218655900423
2021-03-19,2021-03-19,0.05181454184507567
2021-03-20,2021-03-20,-0.19826196824484357
2021-03-21,2021-03-21,-0.11317281413966634
2021-03-22,2021-03-22,0.11528208234086536
2021-03-23,2021-03-23,0.5654726631445577
2021-03-24,2021-03-24,0.7948498093827417
