start_time,date,stablecoins_ratio,stablecoins_ratio_usd
2021-01-01,2021-01-01,0.00018524,5.44568933
2021-01-02,2021-01-02,0.00017209,5.52761417
2021-01-03,2021-01-03,0.00017357,5.73799457
2021-01-04,2021-01-04,0.00016792,5.37420508
2021-01-05,2021-01-05,0.00016437,5.5931951
2021-01-06,2021-01-06,0.00015499,5.71032282
2021-01-07,2021-01-07,0.00016295,6.43125393
2021-01-08,2021-01-08,0.00015642,6.34606428
2021-01-09,2021-01-09,0.00015235,6.12828205
2021-01-10,2021-01-10,0.00015904,6.07041028
2021-01-11,2021-01-11,0.0001592,5.64122323
2021-01-12,2021-01-12,0.00015619,5.32081167
2021-01-13,2021-01-13,0.00015765,5.89063037
2021-01-14,2021-01-14,0.00015918,6.22544617
2021-01-15,2021-01-15,0.00014685,5.3950106
2021-01-16,2021-01-16,0.00013752,4.95134278
2021-01-17,2021-01-17,0.00013656,4.89470446
2021-01-18,2021-01-18,0.00013649,5.00131868
2021-01-19,2021-01-19,0.00013641,4.8978781
2021-01-20,2021-01-20,0.00014481,5.13952817
2021-01-21,2021-01-21,0.00015103,4.66168522
2021-01-22,2021-01-22,0.00014372,4.74249924
2021-01-23,2021-01-23,0.00013852,4.44708171
2021-01-24,2021-01-24,0.00013089,4.22862916
2021-01-25,2021-01-25,0.00013236,4.26951653
2021-01-26,2021-01-26,0.00012895,4.19142982
2021-01-27,2021-01-27,0.00011892,3.61731832
2021-01-28,2021-01-28,0.0001305,4.36276881
2021-01-29,2021-01-29,0.00012502,4.2841637
2021-01-30,2021-01-30,0.00011801,4.04891274
2021-01-31,2021-01-31,0.0001172,3.8818236
2021-02-01,2021-02-01,0.00012338,4.13958552
2021-02-02,2021-02-02,0.0001242,4.41274203
2021-02-03,2021-02-03,6.879e-05,2.59049294
2021-02-04,2021-02-04,6.765e-05,2.50115638
2021-02-05,2021-02-05,6.773e-05,2.59445454
2021-02-06,2021-02-06,7.042e-05,2.76282204
2021-02-07,2021-02-07,6.872e-05,2.66962359
2021-02-08,2021-02-08,7.254e-05,3.36808325
2021-02-09,2021-02-09,7.057e-05,3.28058284
2021-02-10,2021-02-10,7.019e-05,3.14764354
2021-02-11,2021-02-11,6.867e-05,3.29633889
2021-02-12,2021-02-12,6.919e-05,3.2776202
2021-02-13,2021-02-13,6.845e-05,3.23181337
2021-02-14,2021-02-14,6.858e-05,3.33538686
2021-02-15,2021-02-15,7.02e-05,3.36437692
2021-02-16,2021-02-16,7.133e-05,3.50595087
2021-02-17,2021-02-17,7.006e-05,3.65330498
2021-02-18,2021-02-18,6.972e-05,3.59547386
2021-02-19,2021-02-19,6.716e-05,3.75553071
2021-02-20,2021-02-20,6.687e-05,3.73507886
2021-02-21,2021-02-21,6.613e-05,3.80017096
2021-02-22,2021-02-22,6.361e-05,3.44143391
2021-02-23,2021-02-23,6.486e-05,3.17126337
2021-02-24,2021-02-24,6.157e-05,3.06078477
2021-02-25,2021-02-25,6.283e-05,2.95929148
2021-02-26,2021-02-26,6.308e-05,2.92055053
2021-02-27,2021-02-27,6.022e-05,2.78080035
2021-02-28,2021-02-28,5.833e-05,2.63904988
2021-03-01,2021-03-01,5.745e-05,2.85046942
2021-03-02,2021-03-02,5.401e-05,2.61883219
2021-03-03,2021-03-03,5.578e-05,2.81033804
2021-03-04,2021-03-04,5.773e-05,2.7919163
2021-03-05,2021-03-05,5.608e-05,2.73516604
2021-03-06,2021-03-06,5.589e-05,2.73240899
2021-03-07,2021-03-07,5.958e-05,3.0381311
2021-03-08,2021-03-08,6.235e-05,3.26702745
2021-03-09,2021-03-09,6.201e-05,3.40635316
2021-03-10,2021-03-10,5.988e-05,3.34614744
2021-03-11,2021-03-11,6.296e-05,3.64104931
2021-03-12,2021-03-12,6.066e-05,3.47182458
2021-03-13,2021-03-13,6.174e-05,3.77680418
