start_time,date,market_premium
2021-01-04,2021-01-04,15.497725021325
2021-01-05,2021-01-05,22.04288290731342
2021-01-06,2021-01-06,25.644897900896503
2021-01-07,2021-01-07,20.066939473201153
2021-01-08,2021-01-08,15.370824208101164
2021-01-11,2021-01-11,11.21994035018372
2021-01-12,2021-01-12,20.326512749794155
2021-01-13,2021-01-13,9.705840278418895
2021-01-14,2021-01-14,17.239736673615823
2021-01-15,2021-01-15,12.797264874238913
2021-01-19,2021-01-19,11.670059150871426
2021-01-20,2021-01-20,4.941884213155512
2021-01-21,2021-01-21,9.018032629689651
2021-01-22,2021-01-22,10.010777496047329
2021-01-25,2021-01-25,7.981640796655466
2021-01-26,2021-01-26,2.0972960109414185
2021-01-27,2021-01-27,8.674305701778074
2021-01-28,2021-01-28,6.083182930480646
2021-01-29,2021-01-29,6.719507932767899
2021-02-01,2021-02-01,6.689258190619607
2021-02-02,2021-02-02,9.214669869867276
2021-02-03,2021-02-03,6.576157453174236
2021-02-04,2021-02-04,8.265918988441513
2021-02-05,2021-02-05,4.277849227142005
2021-02-08,2021-02-08,3.791250263098145
2021-02-09,2021-02-09,8.68168122734112
2021-02-10,2021-02-10,5.737689768765852
2021-02-11,2021-02-11,5.491454281764807
2021-02-12,2021-02-12,8.916515720261264
2021-02-16,2021-02-16,7.997034877124377
2021-02-17,2021-02-17,9.42400393806917
2021-02-18,2021-02-18,10.65293075246876
2021-02-19,2021-02-19,7.009308987611584
2021-02-22,2021-02-22,4.378251138094047
2021-02-23,2021-02-23,-1.0384928619124878
2021-02-24,2021-02-24,2.7839811536600756
2021-02-25,2021-02-25,8.487506729080142
2021-02-26,2021-02-26,-1.481275194687803
2021-03-01,2021-03-01,-2.480853774225722
2021-03-02,2021-03-02,-3.905741271951768
2021-03-03,2021-03-03,-3.250832430498441
2021-03-04,2021-03-04,-9.59538812862627
2021-03-05,2021-03-05,-5.14846220532601
2021-03-08,2021-03-08,-8.47760045329694
2021-03-09,2021-03-09,-5.5300452583676885
2021-03-10,2021-03-10,-4.674764339323135
2021-03-11,2021-03-11,-4.443268369504427
2021-03-12,2021-03-12,-7.699185214035131
2021-03-15,2021-03-15,-2.4024731118246434
2021-03-16,2021-03-16,-7.401797480520456
2021-03-17,2021-03-17,-6.704736757006069
2021-03-18,2021-03-18,-6.826669028722998
2021-03-19,2021-03-19,-3.556754253113137
2021-03-22,2021-03-22,-3.2582347160673324
2021-03-23,2021-03-23,-9.04821789474337
2021-03-24,2021-03-24,-9.046068743747526
2021-03-25,2021-03-25,-8.31407552213036
2021-03-26,2021-03-26,-10.780619566844376
2021-03-29,2021-03-29,-9.259329263036964
2021-03-30,2021-03-30,-8.587819974534805
2021-03-31,2021-03-31,-9.950770989016569
2021-04-01,2021-04-01,-8.365620916713068
2021-04-05,2021-04-05,-5.263505612332009
2021-04-06,2021-04-06,-7.666754990079183
2021-04-07,2021-04-07,-10.026542487694943
2021-04-08,2021-04-08,-10.640796565414924
2021-04-09,2021-04-09,-9.590014176205198
2021-04-12,2021-04-12,-8.455655904681148
2021-04-13,2021-04-13,-8.544862580662915
2021-04-14,2021-04-14,-13.396858333487703
2021-04-15,2021-04-15,-11.925920141515745
2021-04-16,2021-04-16,-11.441336551082726
2021-04-19,2021-04-19,-8.806182886508829
2021-04-20,2021-04-20,-11.862725542040664
2021-04-21,2021-04-21,-10.735117177524325
2021-04-22,2021-04-22,-15.36765954262731
2021-04-23,2021-04-23,-12.26374997577675
2021-04-26,2021-04-26,-10.02274191485295
2021-04-27,2021-04-27,-10.386501854462072
2021-04-28,2021-04-28,-10.827718664449126
2021-04-29,2021-04-29,-14.973871721475373
2021-04-30,2021-04-30,-14.028405001062904
2021-05-03,2021-05-03,-12.488188796416376
2021-05-04,2021-05-04,-11.719799468810663
2021-05-05,2021-05-05,-15.111984192855752
2021-05-06,2021-05-06,-15.107130785505175
2021-05-07,2021-05-07,-13.381547647366297
2021-05-10,2021-05-10,-16.08129856692343
