start_time,date,price_usd_adj_close,price_usd_close,price_usd_high,price_usd_low,price_usd_open
2021-01-04,2021-01-04,35.08,35.08,36.6,32.9,34.09
2021-01-05,2021-01-05,39.41,39.41,39.54,34.49,34.49
2021-01-06,2021-01-06,43.93,43.93,44.0,39.75,41.42
2021-01-07,2021-01-07,44.97,44.97,48.41,40.81,47.7
2021-01-08,2021-01-08,44.42,44.42,48.65,44.36,47.85
2021-01-11,2021-01-11,37.4,37.4,39.7,35.85,37.07
2021-01-12,2021-01-12,38.92,38.92,40.0,36.2,37.46
2021-01-13,2021-01-13,38.92,38.92,40.95,37.28,40.0
2021-01-14,2021-01-14,43.53,43.53,44.5,43.45,43.9
2021-01-15,2021-01-15,39.34,39.34,41.74,38.14,41.74
2021-01-19,2021-01-19,38.055,38.055,40.98,37.85,40.85
2021-01-20,2021-01-20,35.35,35.35,37.18,33.3,37.17
2021-01-21,2021-01-21,31.935,31.935,33.01,30.75,32.59
2021-01-22,2021-01-22,34.45,34.45,34.99,32.8,32.81
2021-01-25,2021-01-25,33.05,33.05,36.04,32.85,35.75
2021-01-26,2021-01-26,31.487,31.487,32.66,31.05,31.84
2021-01-27,2021-01-27,31.361,31.361,31.37,28.44,30.18
2021-01-28,2021-01-28,33.645,33.645,33.88,31.58,31.83
2021-01-29,2021-01-29,34.69,34.69,39.15,33.38,39.09
2021-02-01,2021-02-01,33.95,33.95,34.36,32.8,34.04
2021-02-02,2021-02-02,36.8,36.8,37.06,34.65,34.97
2021-02-03,2021-02-03,38.06,38.06,38.3,37.35,37.75
2021-02-04,2021-02-04,37.96,37.96,38.63,36.15,38.54
2021-02-05,2021-02-05,37.88,37.88,39.0,37.51,38.9
2021-02-08,2021-02-08,45.69,45.69,45.73,42.85,43.76
2021-02-09,2021-02-09,47.9,47.9,49.03,46.9,46.95
2021-02-10,2021-02-10,44.95,44.95,46.78,43.16,46.26
2021-02-11,2021-02-11,48.0,48.0,49.2,47.26,48.3
2021-02-12,2021-02-12,48.91,48.91,49.0,46.97,48.45
2021-02-16,2021-02-16,50.3065,50.3065,52.15,49.05,50.19
2021-02-17,2021-02-17,54.07,54.07,54.34,51.9,52.0
2021-02-18,2021-02-18,54.07,54.07,55.08,51.51,53.59
2021-02-19,2021-02-19,56.7,56.7,58.22,54.21,54.21
2021-02-22,2021-02-22,53.5,53.5,55.19,49.18,51.76
2021-02-23,2021-02-23,45.84,45.84,49.99,42.4,48.29
2021-02-24,2021-02-24,48.4,48.4,49.45,46.43,48.29
2021-02-25,2021-02-25,48.4,48.4,50.49,45.0,49.89
2021-02-26,2021-02-26,43.2,43.2,45.6,40.8,43.7
2021-03-01,2021-03-01,45.82,45.82,47.07,45.2,46.18
2021-03-02,2021-03-02,44.12,44.12,47.25,43.9,47.15
2021-03-03,2021-03-03,46.16,46.16,47.63,45.4,47.63
2021-03-04,2021-03-04,41.4,41.4,47.12,39.82,45.39
2021-03-05,2021-03-05,43.8,43.8,43.83,37.88,43.24
2021-03-08,2021-03-08,45.4,45.4,45.93,43.8,44.55
2021-03-09,2021-03-09,49.12,49.12,49.52,46.0,47.74
2021-03-10,2021-03-10,50.42,50.42,52.05,50.15,51.14
2021-03-11,2021-03-11,52.3,52.3,52.43,50.47,51.35
2021-03-12,2021-03-12,50.0,50.0,51.95,49.26,50.69
2021-03-15,2021-03-15,51.38,51.38,51.97,49.75,50.7
2021-03-16,2021-03-16,49.86,49.86,50.75,49.33,50.62
2021-03-17,2021-03-17,51.99,51.99,52.64,47.99,49.33
2021-03-18,2021-03-18,50.81,50.81,54.0,50.78,52.12
2021-03-19,2021-03-19,52.955,52.955,53.26,51.36,52.0
2021-03-22,2021-03-22,49.5,49.5,52.95,49.34,51.97
2021-03-23,2021-03-23,46.75,46.75,49.08,45.99,49.07
2021-03-24,2021-03-24,45.0,45.0,49.35,44.51,49.15
2021-03-25,2021-03-25,44.5,44.5,44.99,40.67,41.98
2021-03-26,2021-03-26,46.43,46.43,46.53,44.75,45.09
2021-03-29,2021-03-29,49.45,49.45,49.95,48.31,49.61
2021-03-30,2021-03-30,50.82,50.82,51.44,49.49,51.0
2021-03-31,2021-03-31,50.04,50.04,50.99,49.76,50.41
2021-04-01,2021-04-01,50.865,50.865,50.87,50.15,50.15
2021-04-05,2021-04-05,52.95,52.95,53.0,50.05,50.3
2021-04-06,2021-04-06,50.62,50.62,53.5,50.28,52.74
2021-04-07,2021-04-07,47.57,47.57,49.5499,47.05,48.72
2021-04-08,2021-04-08,49.05,49.05,49.77,48.87,48.99
2021-04-09,2021-04-09,49.65,49.65,50.68,49.25,50.18
2021-04-12,2021-04-12,51.78,51.78,52.45,49.9,51.99
2021-04-13,2021-04-13,54.93,54.93,55.1,51.78,54.14
2021-04-14,2021-04-14,51.5,51.5,55.77,50.5,55.47
2021-04-15,2021-04-15,52.6,52.6,52.75,51.47,52.35
2021-04-16,2021-04-16,51.37,51.37,51.87,49.71,50.59
2021-04-19,2021-04-19,47.9499,47.9499,48.13,46.08,47.0
2021-04-20,2021-04-20,47.01,47.01,48.04,45.33,47.76
2021-04-21,2021-04-21,45.35,45.35,48.21,45.28,46.15
2021-04-22,2021-04-22,41.32,41.32,45.26,41.25,45.005
2021-04-23,2021-04-23,42.385,42.385,42.95,38.51,38.8
2021-04-26,2021-04-26,45.91,45.91,46.18,44.85,45.07
2021-04-27,2021-04-27,46.575,46.575,47.05,45.91,46.965
2021-04-28,2021-04-28,46.2,46.2,46.9,45.02,46.86
2021-04-29,2021-04-29,43.0,43.0,45.64,42.66,45.31
2021-04-30,2021-04-30,46.85,46.85,46.92,44.51,44.53
2021-05-03,2021-05-03,47.23,47.23,48.26,46.9801,48.05
2021-05-04,2021-05-04,44.35,44.35,45.54,42.72,45.53
2021-05-05,2021-05-05,46.06,46.06,47.15,44.74,45.5
2021-05-06,2021-05-06,45.205,45.205,47.0,44.28,46.2
2021-05-07,2021-05-07,46.88,46.88,48.32,46.0,46.16
2021-05-10,2021-05-10,44.22,44.22,48.08,43.99,47.09
2021-05-11,2021-05-11,44.876,44.876,45.0,42.75,43.0
2021-05-12,2021-05-12,44.876,44.876,45.37,40.95,44.08
2021-05-13,2021-05-13,37.182,37.182,40.13,34.9,38.34
2021-05-14,2021-05-14,39.43,39.43,40.5,39.01,39.01
2021-05-17,2021-05-17,35.5,35.5,36.25,33.76,35.27
2021-05-18,2021-05-18,34.38,34.38,35.2,34.0,35.02
2021-05-19,2021-05-19,32.6,32.6,33.84,28.0,28.8
2021-05-20,2021-05-20,33.0499,33.0499,35.95,32.02,35.37
2021-05-21,2021-05-21,33.0499,33.0499,34.65,29.98,34.0
2021-05-24,2021-05-24,33.115,33.115,33.51,30.97,31.33
2021-05-25,2021-05-25,31.51,31.51,35.06,31.5,31.93
2021-05-26,2021-05-26,32.05,32.05,33.25,31.96,33.21
2021-05-27,2021-05-27,32.46,32.46,33.59,32.07,33.35
2021-05-28,2021-05-28,30.22,30.22,31.5,30.1,31.05
2021-06-01,2021-06-01,29.54,29.54,31.18,29.05,30.73
2021-06-02,2021-06-02,31.1,31.1,31.48,30.55,30.85
2021-06-03,2021-06-03,32.25,32.25,32.49,31.2,32.04
2021-06-04,2021-06-04,30.9,30.9,31.46,30.27,30.85
2021-06-07,2021-06-07,29.5665,29.5665,30.83,28.5,30.83
2021-06-08,2021-06-08,27.45,27.45,27.69,25.92,27.6
2021-06-09,2021-06-09,30.1,30.1,30.59,28.7,29.14
2021-06-10,2021-06-10,30.4,30.4,31.61,30.15,30.97
2021-06-11,2021-06-11,30.78,30.78,31.1,30.17,30.94
2021-06-14,2021-06-14,33.08,33.08,34.25,32.54,33.53
2021-06-15,2021-06-15,33.2335,33.2335,34.14,32.795,33.495
2021-06-16,2021-06-16,32.05,32.05,32.74,31.0,32.655
2021-06-17,2021-06-17,32.05,32.05,32.74,31.01,32.19
2021-06-18,2021-06-18,29.8,29.8,30.85,29.63,30.85
2021-06-21,2021-06-21,27.7,27.7,28.99,27.26,27.97
2021-06-22,2021-06-22,28.01,28.01,28.69,24.0,25.97
2021-06-23,2021-06-23,27.79,27.79,29.88,27.78,29.87
2021-06-24,2021-06-24,29.61,29.61,30.0,28.5,28.6
2021-06-25,2021-06-25,27.68,27.68,28.65,27.4,28.32
2021-06-28,2021-06-28,29.25,29.25,29.8,28.77,29.1
2021-06-29,2021-06-29,31.13,31.13,31.24,30.71,30.85
2021-06-30,2021-06-30,29.81,29.81,29.88,29.05,29.72
2021-07-01,2021-07-01,28.47,28.47,29.14,28.36,29.04
2021-07-02,2021-07-02,28.58,28.58,29.05,28.41,28.85
2021-07-06,2021-07-06,28.72,28.72,29.6,28.44,29.59
2021-07-07,2021-07-07,28.75,28.75,30.0,28.52,29.08
2021-07-08,2021-07-08,27.4,27.4,27.65,26.5,27.04
2021-07-09,2021-07-09,27.65,27.65,27.98,27.47,27.48
2021-07-12,2021-07-12,26.9,26.9,27.65,26.86,27.59
2021-07-13,2021-07-13,26.4,26.4,27.1,26.32,26.79
2021-07-14,2021-07-14,26.88,26.88,27.465,26.54,26.56
2021-07-15,2021-07-15,25.52,25.52,26.45,25.01,26.24
2021-07-16,2021-07-16,26.2,26.2,26.42,25.75,25.86
2021-07-19,2021-07-19,25.25,25.25,25.35,24.7,25.025
2021-07-20,2021-07-20,24.02,24.02,24.47,24.01,24.4
2021-07-21,2021-07-21,26.03,26.03,27.15,25.41,25.48
2021-07-22,2021-07-22,27.05,27.05,27.19,26.45,26.525
2021-07-23,2021-07-23,27.19,27.19,27.47,26.92,27.21
2021-07-26,2021-07-26,33.79,33.79,34.33,31.37,31.53
2021-07-27,2021-07-27,33.0,33.0,33.22,31.86,32.6
2021-07-28,2021-07-28,35.18,35.18,35.5,33.59,34.44
2021-07-29,2021-07-29,34.15,34.15,35.16,33.95,34.89
2021-07-30,2021-07-30,34.15,34.15,34.75,33.32,33.65
2021-08-02,2021-08-02,33.55,33.55,34.74,33.55,34.54
2021-08-03,2021-08-03,31.87,31.87,33.475,31.82,33.19
2021-08-04,2021-08-04,33.14,33.14,33.45,32.9,33.045
2021-08-05,2021-08-05,33.72,33.72,34.44,31.62,31.685
2021-08-06,2021-08-06,36.01,36.01,36.26,33.79,34.15
2021-08-09,2021-08-09,38.55,38.55,38.85,37.59,37.88
2021-08-10,2021-08-10,37.8,37.8,39.53,36.74,38.64
2021-08-11,2021-08-11,38.87,38.87,39.27,38.43,38.44
2021-08-12,2021-08-12,36.87,36.87,39.86,36.33,37.4
2021-08-13,2021-08-13,38.37,38.37,38.94,38.16,38.695
2021-08-16,2021-08-16,38.37,38.37,38.88,37.75,38.71
2021-08-17,2021-08-17,36.61,36.61,38.2,36.45,38.14
2021-08-18,2021-08-18,35.33,35.33,37.0,35.27,36.5
2021-08-19,2021-08-19,37.49,37.49,37.75,34.58,34.685
2021-08-20,2021-08-20,39.58,39.58,39.68,38.2,38.205
2021-08-23,2021-08-23,39.86,39.86,41.18,39.75,40.72
2021-08-24,2021-08-24,39.09,39.09,40.88,38.45,39.65
2021-08-25,2021-08-25,39.12,39.12,39.65,38.13,38.505
2021-08-26,2021-08-26,37.82,37.82,38.11,36.95,37.795
2021-08-27,2021-08-27,39.15,39.15,39.48,37.82,37.85
2021-08-30,2021-08-30,38.9,38.9,39.18,38.33,38.47
2021-08-31,2021-08-31,37.77,37.77,38.92,37.48,38.4
2021-09-01,2021-09-01,38.24,38.24,39.0,37.74,38.08
2021-09-02,2021-09-02,39.07,39.07,40.35,38.93,39.89
2021-09-03,2021-09-03,40.73,40.73,40.93,40.0,40.45
2021-09-07,2021-09-07,37.81,37.81,41.77,35.6,41.31
2021-09-08,2021-09-08,37.52,37.52,37.89,36.63,37.5
2021-09-09,2021-09-09,37.45,37.45,39.355,37.29,37.97
2021-09-10,2021-09-10,36.8,36.8,37.34,35.8,37.19
2021-09-13,2021-09-13,35.73,35.73,37.55,34.61,36.17
2021-09-14,2021-09-14,36.81,36.81,37.51,36.71,37.215
2021-09-15,2021-09-15,38.805,38.805,38.86,37.77,37.79
2021-09-16,2021-09-16,38.0,38.0,38.76,37.63,38.76
2021-09-17,2021-09-17,37.7,37.7,38.11,37.27,37.6
2021-09-20,2021-09-20,34.555,34.555,35.18,33.77,34.35
2021-09-21,2021-09-21,33.18,33.18,34.4,32.9,34.0
2021-09-22,2021-09-22,34.88,34.88,35.27,33.36,33.43
2021-09-23,2021-09-23,35.89,35.89,36.0,34.79,34.81
2021-09-24,2021-09-24,34.23,34.23,34.42,32.9,32.98
2021-09-27,2021-09-27,34.18,34.18,35.0,33.84,34.945
2021-09-28,2021-09-28,32.73,32.73,33.61,32.44,33.54
2021-09-29,2021-09-29,32.12,32.12,33.14,32.1,32.94
2021-09-30,2021-09-30,33.85,33.85,34.44,33.29,34.05
2021-10-01,2021-10-01,37.19,37.19,37.47,36.56,37.1
2021-10-04,2021-10-04,39.13,39.13,39.15,36.0,37.0
2021-10-05,2021-10-05,40.44,40.44,40.45,39.2,39.36
2021-10-06,2021-10-06,42.78,42.78,42.92,41.77,42.6
2021-10-07,2021-10-07,41.55,41.55,42.75,41.4,42.07
2021-10-08,2021-10-08,42.34,42.34,42.75,41.98,42.54
2021-10-11,2021-10-11,44.315,44.315,44.82,43.75,43.9
2021-10-12,2021-10-12,42.45,42.45,44.37,42.3,44.37
2021-10-13,2021-10-13,44.65,44.65,44.75,42.02,42.37
2021-10-14,2021-10-14,44.9101,44.9101,45.44,44.58,44.87
2021-10-15,2021-10-15,47.41,47.41,48.22,46.33,46.78
2021-10-18,2021-10-18,45.65,45.65,48.3,44.98,47.11
2021-10-19,2021-10-19,48.82,48.82,48.85,46.05,47.0
2021-10-20,2021-10-20,51.75,51.75,52.68,48.99,49.02
2021-10-21,2021-10-21,48.97,48.97,51.83,48.7,51.35
