start_time,date,volume
2021-01-04,2021-01-04,22817754
2021-01-05,2021-01-05,19229033
2021-01-06,2021-01-06,40502899
2021-01-07,2021-01-07,32619323
2021-01-08,2021-01-08,23114265
2021-01-11,2021-01-11,39773925
2021-01-12,2021-01-12,16072222
2021-01-13,2021-01-13,16079442
2021-01-14,2021-01-14,13053648
2021-01-15,2021-01-15,17498108
2021-01-19,2021-01-19,14866771
2021-01-20,2021-01-20,19216990
2021-01-21,2021-01-21,28626225
2021-01-22,2021-01-22,17117788
2021-01-25,2021-01-25,12345686
2021-01-26,2021-01-26,9805197
2021-01-27,2021-01-27,17234804
2021-01-28,2021-01-28,11579944
2021-01-29,2021-01-29,19315891
2021-02-01,2021-02-01,9026754
2021-02-02,2021-02-02,9903038
2021-02-03,2021-02-03,10209260
2021-02-04,2021-02-04,9593765
2021-02-05,2021-02-05,7808626
2021-02-08,2021-02-08,24164321
2021-02-09,2021-02-09,13947089
2021-02-10,2021-02-10,14184535
2021-02-11,2021-02-11,11818540
2021-02-12,2021-02-12,9790041
2021-02-16,2021-02-16,13481649
2021-02-17,2021-02-17,14213812
2021-02-18,2021-02-18,14268497
2021-02-19,2021-02-19,17989277
2021-02-22,2021-02-22,19086013
2021-02-23,2021-02-23,28876867
2021-02-24,2021-02-24,12797125
2021-02-25,2021-02-25,12799959
2021-02-26,2021-02-26,21944763
2021-03-01,2021-03-01,12908050
2021-03-02,2021-03-02,7070736
2021-03-03,2021-03-03,10287323
2021-03-04,2021-03-04,16875054
2021-03-05,2021-03-05,22820282
2021-03-08,2021-03-08,11466432
2021-03-09,2021-03-09,10269148
2021-03-10,2021-03-10,12048589
2021-03-11,2021-03-11,8881375
2021-03-12,2021-03-12,9038130
2021-03-15,2021-03-15,9907200
2021-03-16,2021-03-16,6088129
2021-03-17,2021-03-17,9194941
2021-03-18,2021-03-18,10315191
2021-03-19,2021-03-19,6469578
2021-03-22,2021-03-22,6884599
2021-03-23,2021-03-23,11498086
2021-03-24,2021-03-24,14409225
2021-03-25,2021-03-25,16413593
2021-03-26,2021-03-26,8776549
2021-03-29,2021-03-29,6538985
2021-03-30,2021-03-30,6686315
2021-03-31,2021-03-31,6518257
2021-04-01,2021-04-01,6541792
2021-04-05,2021-04-05,9881310
2021-04-06,2021-04-06,7089567
2021-04-07,2021-04-07,8610469
2021-04-08,2021-04-08,4501575
2021-04-09,2021-04-09,4501079
2021-04-12,2021-04-12,8230018
2021-04-13,2021-04-13,11611500
2021-04-14,2021-04-14,15617198
2021-04-15,2021-04-15,6926654
2021-04-16,2021-04-16,6419874
2021-04-19,2021-04-19,12926467
2021-04-20,2021-04-20,7715463
2021-04-21,2021-04-21,7475904
2021-04-22,2021-04-22,15926857
2021-04-23,2021-04-23,13704538
2021-04-26,2021-04-26,7994420
2021-04-27,2021-04-27,5166617
2021-04-28,2021-04-28,4292117
2021-04-29,2021-04-29,8603131
2021-04-30,2021-04-30,7521952
2021-05-03,2021-05-03,7645759
2021-05-04,2021-05-04,8110586
2021-05-05,2021-05-05,8933165
2021-05-06,2021-05-06,6641329
2021-05-07,2021-05-07,7319905
2021-05-10,2021-05-10,8692342
2021-05-11,2021-05-11,6976137
2021-05-12,2021-05-12,6991755
2021-05-13,2021-05-13,21863713
2021-05-14,2021-05-14,8948582
2021-05-17,2021-05-17,17928715
2021-05-18,2021-05-18,10580147
2021-05-19,2021-05-19,30405113
2021-05-20,2021-05-20,12656602
2021-05-21,2021-05-21,12659514
2021-05-24,2021-05-24,12215382
2021-05-25,2021-05-25,8603857
2021-05-26,2021-05-26,6660825
2021-05-27,2021-05-27,5796491
2021-05-28,2021-05-28,9922061
2021-06-01,2021-06-01,8572953
2021-06-02,2021-06-02,6221208
2021-06-03,2021-06-03,6900421
2021-06-04,2021-06-04,6934881
2021-06-07,2021-06-07,8100536
2021-06-08,2021-06-08,17671184
2021-06-09,2021-06-09,12190038
2021-06-10,2021-06-10,7963882
2021-06-11,2021-06-11,4662449
2021-06-14,2021-06-14,9768310
2021-06-15,2021-06-15,7373629
2021-06-16,2021-06-16,7650702
2021-06-17,2021-06-17,7653610
2021-06-18,2021-06-18,7784832
2021-06-21,2021-06-21,12111370
2021-06-22,2021-06-22,23329259
2021-06-23,2021-06-23,8760881
2021-06-24,2021-06-24,8025687
2021-06-25,2021-06-25,9151534
2021-06-28,2021-06-28,8513985
2021-06-29,2021-06-29,7677534
2021-06-30,2021-06-30,6652490
2021-07-01,2021-07-01,6850339
2021-07-02,2021-07-02,6347116
2021-07-06,2021-07-06,6353218
2021-07-07,2021-07-07,6243135
2021-07-08,2021-07-08,7177773
2021-07-09,2021-07-09,3680677
2021-07-12,2021-07-12,4153409
2021-07-13,2021-07-13,5001283
2021-07-14,2021-07-14,5717452
2021-07-15,2021-07-15,8356042
2021-07-16,2021-07-16,4391365
2021-07-19,2021-07-19,6995966
2021-07-20,2021-07-20,7708193
2021-07-21,2021-07-21,7856724
2021-07-22,2021-07-22,6419993
2021-07-23,2021-07-23,4929620
2021-07-26,2021-07-26,16681817
2021-07-27,2021-07-27,9757904
2021-07-28,2021-07-28,10203316
2021-07-29,2021-07-29,6873968
2021-07-30,2021-07-30,6873968
2021-08-02,2021-08-02,5495529
2021-08-03,2021-08-03,5923613
2021-08-04,2021-08-04,5516014
2021-08-05,2021-08-05,6013261
2021-08-06,2021-08-06,7089656
2021-08-09,2021-08-09,8201068
2021-08-10,2021-08-10,6035073
2021-08-11,2021-08-11,5567988
2021-08-12,2021-08-12,4671238
2021-08-13,2021-08-13,4187310
2021-08-16,2021-08-16,4187310
2021-08-17,2021-08-17,4994321
2021-08-18,2021-08-18,4888649
2021-08-19,2021-08-19,6477858
2021-08-20,2021-08-20,7337685
2021-08-23,2021-08-23,6347767
2021-08-24,2021-08-24,5292419
2021-08-25,2021-08-25,4657091
2021-08-26,2021-08-26,4233185
2021-08-27,2021-08-27,4604576
2021-08-30,2021-08-30,3079201
2021-08-31,2021-08-31,3717058
2021-09-01,2021-09-01,5947376
2021-09-02,2021-09-02,6551281
2021-09-03,2021-09-03,5406321
2021-09-07,2021-09-07,12766094
2021-09-08,2021-09-08,4659330
2021-09-09,2021-09-09,3544792
2021-09-10,2021-09-10,4898769
2021-09-13,2021-09-13,5569526
2021-09-14,2021-09-14,3859728
2021-09-15,2021-09-15,4443162
2021-09-16,2021-09-16,3353170
2021-09-17,2021-09-17,2509556
2021-09-20,2021-09-20,8659362
2021-09-21,2021-09-21,5509559
2021-09-22,2021-09-22,5534405
2021-09-23,2021-09-23,3663621
2021-09-24,2021-09-24,6720312
2021-09-27,2021-09-27,3662098
2021-09-28,2021-09-28,4878085
2021-09-29,2021-09-29,3414409
2021-09-30,2021-09-30,5149021
2021-10-01,2021-10-01,8586921
2021-10-04,2021-10-04,8723254
2021-10-05,2021-10-05,7114294
2021-10-06,2021-10-06,9767567
2021-10-07,2021-10-07,6740861
2021-10-08,2021-10-08,4901141
2021-10-11,2021-10-11,7734371
2021-10-12,2021-10-12,7658618
2021-10-13,2021-10-13,7358364
2021-10-14,2021-10-14,7368296
2021-10-15,2021-10-15,11637516
2021-10-18,2021-10-18,10137967
2021-10-19,2021-10-19,15346352
2021-10-20,2021-10-20,13664907
2021-10-21,2021-10-21,11433667
2021-10-22,2021-10-22,9146561
2021-10-25,2021-10-25,7487544
2021-10-26,2021-10-26,5925422
2021-10-27,2021-10-27,8352160
2021-10-28,2021-10-28,5163596
2021-10-29,2021-10-29,4692051
2021-11-01,2021-11-01,4110040
2021-11-02,2021-11-02,7159560
2021-11-03,2021-11-03,7164219
2021-11-04,2021-11-04,4061514
2021-11-05,2021-11-05,3083160
2021-11-08,2021-11-08,7786084
2021-11-09,2021-11-09,6752003
2021-11-10,2021-11-10,6752003
