start_time,average_cap,date,delta_cap,market_cap,realized_cap,thermo_cap
2021-01-01,46251113736.991295,2021-01-01,126618518394.93854,546430046878.96234,172869632131.92984,21111472915.570335
2021-01-02,46376785023.293236,2021-01-02,129514120214.91658,597068361598.3763,175890905238.2098,21142994112.57899
2021-01-03,46506382796.60261,2021-01-03,132541798416.91995,614533423211.5876,179048181213.52258,21178948011.945553
2021-01-04,46631467072.24168,2021-01-04,135129595521.84377,595000931473.9382,181761062594.08545,21216790867.113804
2021-01-05,46765073206.26335,2021-01-05,137676463801.8885,632627970891.2911,184441537008.15182,21252164623.33809
2021-01-06,46910558602.694336,2021-01-06,140767682740.6011,685009507348.981,187678241343.29544,21295171684.16462
2021-01-07,47067106973.15865,2021-01-07,146233334740.83698,733844808200.1105,193300441713.99564,21339779308.124542
2021-01-08,47228270224.24949,2021-01-08,151185415663.2406,754412616010.839,198413685887.49008,21382081957.971764
2021-01-09,47387903931.8397,2021-01-09,154468449554.96097,748020246545.2705,201856353486.8007,21421641922.724617
2021-01-10,47538764259.093994,2021-01-10,156080440857.21127,709815600905.4589,203619205116.30527,21464706111.61648
2021-01-11,47677984431.256256,2021-01-11,157030127429.88644,658993760395.7607,204708111861.1427,21502348844.315823
2021-01-12,47811354582.916435,2021-01-12,158273899169.51596,633573060674.4186,206085253752.4324,21540290350.21575
2021-01-13,47958639584.25852,2021-01-13,159277325626.3644,694981650480.0436,207235965210.62292,21577963172.72623
2021-01-14,48113241253.85589,2021-01-14,161390132758.92346,727432977464.6718,209503374012.77936,21618729730.241604
2021-01-15,48257750779.10624,2021-01-15,162487468969.6884,683377114254.4108,210745219748.79465,21660398137.801857
2021-01-16,48399104092.22129,2021-01-16,163136980189.20068,669788268545.9797,211536084281.42197,21697531434.851814
2021-01-17,48539709472.310005,2021-01-17,163538964127.28745,666781565722.3942,212078673599.59744,21729512372.9667
2021-01-18,48683642141.59976,2021-01-18,164621264133.2027,681699521677.9645,213304906274.8025,21765304921.00468
2021-01-19,48824396905.020035,2021-01-19,165526920902.89166,668004601190.7852,214351317807.91168,21803273528.167
2021-01-20,48963353357.9558,2021-01-20,165806010946.50903,660371746275.3494,214769364304.4648,21837540811.410324
2021-01-21,49082699628.60174,2021-01-21,165820629278.6983,574325636741.35,214903328907.30005,21867769989.36508
2021-01-22,49211008447.5829,2021-01-22,165865985448.28488,614026429602.6719,215076993895.86777,21899454753.213875
2021-01-23,49335489698.67293,2021-01-23,166068975818.36862,597426438248.0432,215404465517.04153,21933475820.76725
2021-01-24,49460768196.52885,2021-01-24,166148010779.1569,601187272754.0187,215608778975.68576,21963326946.146713
2021-01-25,49585795648.88183,2021-01-25,166539496805.51556,600331723263.7614,216125292454.3974,21995912248.749275
2021-01-26,49711818626.90628,2021-01-26,166593723456.71695,604969059802.6398,216305542083.62323,22030763666.224705
2021-01-27,49828975331.44332,2021-01-27,167711010818.862,566138572226.1748,217539986150.30533,22060837161.35154
2021-01-28,49958809629.0555,2021-01-28,168513589747.39597,622268393503.527,218472399376.45145,22092422540.896057
2021-01-29,50092116727.643005,2021-01-29,170457679725.52734,637843114399.9672,220549796453.17035,22131780478.37547
2021-01-30,50225549854.66608,2021-01-30,170886285327.3183,638665640026.4319,221111835181.9844,22165457289.006863
2021-01-31,50353922657.978165,2021-01-31,171431498429.68042,616606358067.5723,221785421087.6586,22198901298.76133
2021-02-01,50484047802.26825,2021-02-01,171745787240.35684,624596184410.1382,222229835042.6251,22228242947.85055
2021-02-02,50622461654.41177,2021-02-02,172642213315.6068,661442791163.7754,223264674970.01865,22266704578.83438
2021-02-03,50769796483.18765,2021-02-03,173506109679.88437,701105730699.9222,224275906163.072,22305891953.08851
2021-02-04,50914192617.73404,2021-02-04,174888236846.7577,688423126640.019,225802429464.49173,22349730004.586163
2021-02-05,51064160736.58513,2021-02-05,176657509968.60858,713323373582.9906,227721670705.19373,22394876601.403988
2021-02-06,51217979198.43443,2021-02-06,177781183478.05203,730634125186.8264,228999162676.48648,22439157803.58707
2021-02-07,51370105020.57219,2021-02-07,178684373082.29065,723461987225.1752,230054478102.8628,22480206207.932095
2021-02-08,51554119155.17043,2021-02-08,181194762329.8677,864712579944.8054,232748881485.03815,22527696231.627655
2021-02-09,51738303538.53324,2021-02-09,186245457513.52347,865833278002.1559,237983761052.0567,22578610114.962276
2021-02-10,51915480733.744514,2021-02-10,188825990976.2863,835215860762.782,240741471710.0308,22627289387.34463
2021-02-11,52105880937.14445,2021-02-11,190904765642.00815,894055580371.6536,243010646579.1526,22673276815.298157
2021-02-12,52293570812.39588,2021-02-12,193057863774.93027,882445889049.492,245351434587.32617,22725150289.199905
2021-02-13,52480504439.59405,2021-02-13,193953886099.2909,879474871164.2576,246434390538.88492,22778349370.454098
2021-02-14,52673343699.47334,2021-02-14,194775498923.29773,905987068665.3502,247448842622.77103,22828305472.29484
2021-02-15,52863113288.17724,2021-02-15,197371839915.47787,892783312891.6298,250234953203.6551,22879705482.004917
