start_time,date,funding_rates
2021-01-01,2021-01-01,0.0286498
2021-01-02,2021-01-02,0.07135565
2021-01-03,2021-01-03,0.12205606
2021-01-04,2021-01-04,0.13498102
2021-01-05,2021-01-05,0.07545928
2021-01-06,2021-01-06,0.14723436
2021-01-07,2021-01-07,0.14178688
2021-01-08,2021-01-08,0.11901409
2021-01-09,2021-01-09,0.11268614
2021-01-10,2021-01-10,0.11143989
2021-01-11,2021-01-11,0.06960056
2021-01-12,2021-01-12,0.04500101
2021-01-13,2021-01-13,0.04991114
2021-01-14,2021-01-14,0.0732052
2021-01-15,2021-01-15,0.07108814
2021-01-16,2021-01-16,0.045507
2021-01-17,2021-01-17,0.02626257
2021-01-18,2021-01-18,0.07414731
2021-01-19,2021-01-19,0.14697097
2021-01-20,2021-01-20,0.03616702
2021-01-21,2021-01-21,0.04165337
2021-01-22,2021-01-22,0.01008644
2021-01-23,2021-01-23,0.01035531
2021-01-24,2021-01-24,0.02578807
2021-01-25,2021-01-25,0.04838661
2021-01-26,2021-01-26,0.01003489
2021-01-27,2021-01-27,0.01
2021-01-28,2021-01-28,0.01524837
2021-01-29,2021-01-29,0.1005944
2021-01-30,2021-01-30,0.04144031
2021-01-31,2021-01-31,0.04128088
2021-02-01,2021-02-01,0.04410328
2021-02-02,2021-02-02,0.08267592
2021-02-03,2021-02-03,0.06958561
2021-02-04,2021-02-04,0.06973769
2021-02-05,2021-02-05,0.07232637
2021-02-06,2021-02-06,0.09977254
2021-02-07,2021-02-07,0.09467498
2021-02-08,2021-02-08,0.13310043
2021-02-09,2021-02-09,0.17697462
2021-02-10,2021-02-10,0.14368866
2021-02-11,2021-02-11,0.11978925
2021-02-12,2021-02-12,0.13038573
2021-02-13,2021-02-13,0.11320021
2021-02-14,2021-02-14,0.13469933
2021-02-15,2021-02-15,0.07318596
2021-02-16,2021-02-16,0.12320869
2021-02-17,2021-02-17,0.12378531
2021-02-18,2021-02-18,0.13600988
2021-02-19,2021-02-19,0.11898304
2021-02-20,2021-02-20,0.12585014
2021-02-21,2021-02-21,0.11645257
2021-02-22,2021-02-22,0.08468316
2021-02-23,2021-02-23,0.02063733
2021-02-24,2021-02-24,0.0340719
2021-02-25,2021-02-25,0.02124573
2021-02-26,2021-02-26,0.01294222
2021-02-27,2021-02-27,0.02823111
2021-02-28,2021-02-28,0.02085887
2021-03-01,2021-03-01,0.0102129
2021-03-02,2021-03-02,0.01269545
2021-03-03,2021-03-03,0.01531867
2021-03-04,2021-03-04,0.01
2021-03-05,2021-03-05,0.01
2021-03-06,2021-03-06,0.01
2021-03-07,2021-03-07,0.01288063
2021-03-08,2021-03-08,0.02469454
2021-03-09,2021-03-09,0.0503144
2021-03-10,2021-03-10,0.05758723
2021-03-11,2021-03-11,0.09846631
2021-03-12,2021-03-12,0.06604346
2021-03-13,2021-03-13,0.06271975
2021-03-14,2021-03-14,0.09608697
2021-03-15,2021-03-15,0.05820957
2021-03-16,2021-03-16,0.03619871
2021-03-17,2021-03-17,0.02494552
2021-03-18,2021-03-18,0.03694611
2021-03-19,2021-03-19,0.02891197
2021-03-20,2021-03-20,0.05137785
2021-03-21,2021-03-21,0.02891506
2021-03-22,2021-03-22,0.05040377
2021-03-23,2021-03-23,0.03295433
2021-03-24,2021-03-24,0.03059453
2021-03-25,2021-03-25,0.01133972
2021-03-26,2021-03-26,0.01055895
2021-03-27,2021-03-27,0.01
2021-03-28,2021-03-28,0.01
2021-03-29,2021-03-29,0.01683428
2021-03-30,2021-03-30,0.058789
2021-03-31,2021-03-31,0.07699675
2021-04-01,2021-04-01,0.0800812
2021-04-02,2021-04-02,0.09343141
2021-04-03,2021-04-03,0.08853206
2021-04-04,2021-04-04,0.04631494
2021-04-05,2021-04-05,0.05232029
2021-04-06,2021-04-06,0.07548578
2021-04-07,2021-04-07,0.06061752
2021-04-08,2021-04-08,0.02987583
2021-04-09,2021-04-09,0.02099129
2021-04-10,2021-04-10,0.10355551
2021-04-11,2021-04-11,0.10048458
2021-04-12,2021-04-12,0.10132387
2021-04-13,2021-04-13,0.1057919
2021-04-14,2021-04-14,0.09852633
2021-04-15,2021-04-15,0.09670781
2021-04-16,2021-04-16,0.10803924
2021-04-17,2021-04-17,0.0691991
2021-04-18,2021-04-18,0.04125714
2021-04-19,2021-04-19,0.01313844
2021-04-20,2021-04-20,0.01
2021-04-21,2021-04-21,0.01
2021-04-22,2021-04-22,0.01
2021-04-23,2021-04-23,0.02005472
2021-04-24,2021-04-24,0.02044642
2021-04-25,2021-04-25,0.02129088
2021-04-26,2021-04-26,0.01
2021-04-27,2021-04-27,0.01
2021-04-28,2021-04-28,0.01
2021-04-29,2021-04-29,0.0135725
2021-04-30,2021-04-30,0.01215089
2021-05-01,2021-05-01,0.02190877
2021-05-02,2021-05-02,0.04335196
2021-05-03,2021-05-03,0.05138939
2021-05-04,2021-05-04,0.03911802
2021-05-05,2021-05-05,0.04194566
2021-05-06,2021-05-06,0.07489403
2021-05-07,2021-05-07,0.04590392
2021-05-08,2021-05-08,0.04943532
2021-05-09,2021-05-09,0.05770265
2021-05-10,2021-05-10,0.07881369
2021-05-11,2021-05-11,0.0373474
2021-05-12,2021-05-12,0.03605213
2021-05-13,2021-05-13,0.01845656
2021-05-14,2021-05-14,0.02642819
2021-05-15,2021-05-15,0.02045079
2021-05-16,2021-05-16,0.02198923
2021-05-17,2021-05-17,0.0570024
2021-05-18,2021-05-18,0.02174562
2021-05-19,2021-05-19,0.00293476
2021-05-20,2021-05-20,0.00991887
2021-05-21,2021-05-21,0.00117902
2021-05-22,2021-05-22,0.00017088
2021-05-23,2021-05-23,-0.00070957
2021-05-24,2021-05-24,-0.00677141
2021-05-25,2021-05-25,0.01
2021-05-26,2021-05-26,0.01
2021-05-27,2021-05-27,0.01
2021-05-28,2021-05-28,0.01
2021-05-29,2021-05-29,0.01131664
2021-05-30,2021-05-30,0.01
2021-05-31,2021-05-31,0.01
2021-06-01,2021-06-01,0.01
2021-06-02,2021-06-02,0.01
2021-06-03,2021-06-03,0.01
2021-06-04,2021-06-04,0.01118356
2021-06-05,2021-06-05,0.01
2021-06-06,2021-06-06,0.01
2021-06-07,2021-06-07,0.01
2021-06-08,2021-06-08,0.00589783
2021-06-09,2021-06-09,-0.00531943
2021-06-10,2021-06-10,0.0036332
2021-06-11,2021-06-11,0.00138256
2021-06-12,2021-06-12,0.006157
2021-06-13,2021-06-13,-0.00234597
2021-06-14,2021-06-14,0.00687944
2021-06-15,2021-06-15,0.00993871
2021-06-16,2021-06-16,0.01
2021-06-17,2021-06-17,0.00993641
2021-06-18,2021-06-18,0.00427928
2021-06-19,2021-06-19,0.0011279
2021-06-20,2021-06-20,-0.00299523
2021-06-21,2021-06-21,-0.00460543
2021-06-22,2021-06-22,-0.00792256
2021-06-23,2021-06-23,-0.01194267
2021-06-24,2021-06-24,-0.00647505
2021-06-25,2021-06-25,0.00597334
2021-06-26,2021-06-26,-0.0159988
2021-06-27,2021-06-27,-0.03240232
2021-06-28,2021-06-28,0.00847646
2021-06-29,2021-06-29,0.0088557
2021-06-30,2021-06-30,0.01
2021-07-01,2021-07-01,0.00974308
2021-07-02,2021-07-02,0.00097619
2021-07-03,2021-07-03,-0.00354816
2021-07-04,2021-07-04,-0.00183026
2021-07-05,2021-07-05,0.00019636
2021-07-06,2021-07-06,-0.00854399
2021-07-07,2021-07-07,0.005484
2021-07-08,2021-07-08,-0.01648853
2021-07-09,2021-07-09,-0.01255697
2021-07-10,2021-07-10,0.00545069
2021-07-11,2021-07-11,0.00527011
2021-07-12,2021-07-12,0.007282
2021-07-13,2021-07-13,0.00774866
2021-07-14,2021-07-14,-0.00144745
2021-07-15,2021-07-15,0.00348774
2021-07-16,2021-07-16,0.00125745
2021-07-17,2021-07-17,0.00416474
2021-07-18,2021-07-18,0.00070426
2021-07-19,2021-07-19,0.00143127
2021-07-20,2021-07-20,-0.01766556
2021-07-21,2021-07-21,-0.02422499
2021-07-22,2021-07-22,-0.00440176
2021-07-23,2021-07-23,-0.00513073
2021-07-24,2021-07-24,-0.01110613
2021-07-25,2021-07-25,-0.02641088
2021-07-26,2021-07-26,0.00588161
2021-07-27,2021-07-27,0.00437486
2021-07-28,2021-07-28,0.00755447
2021-07-29,2021-07-29,0.00847252
2021-07-30,2021-07-30,0.00803403
2021-07-31,2021-07-31,0.01
2021-08-01,2021-08-01,0.01
2021-08-02,2021-08-02,0.01
2021-08-03,2021-08-03,0.00944846
2021-08-04,2021-08-04,0.00873242
2021-08-05,2021-08-05,0.00947422
2021-08-06,2021-08-06,0.01
2021-08-07,2021-08-07,0.01
2021-08-08,2021-08-08,0.01
2021-08-09,2021-08-09,0.01
2021-08-10,2021-08-10,0.01
2021-08-11,2021-08-11,0.01
2021-08-12,2021-08-12,0.01
2021-08-13,2021-08-13,0.01
2021-08-14,2021-08-14,0.01101261
2021-08-15,2021-08-15,0.01
2021-08-16,2021-08-16,0.01070886
2021-08-17,2021-08-17,0.01
2021-08-18,2021-08-18,0.01
2021-08-19,2021-08-19,0.01
2021-08-20,2021-08-20,0.01041281
2021-08-21,2021-08-21,0.0131643
