start_time,date,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd
2021-01-01,2021-01-01,793.88143664,22997192.24342,520.24239973,15291992.21235
2021-01-02,2021-01-02,2852.30751259,90339329.96233,6167.09237052,194520105.00357
2021-01-03,2021-01-03,2778.84338087,92782626.65052,2214.84813397,74839925.37883998
2021-01-04,2021-01-04,8034.88489537,241818568.38067,1184.46143396,37139274.81021
2021-01-05,2021-01-05,1564.21652685,49374291.33606,1959.07196029,63825003.88473
2021-01-06,2021-01-06,1702.43142928,58699992.67147,2052.11323453,72844457.85759999
2021-01-07,2021-01-07,3119.49967407,119078909.13094,2554.50070917,98922484.6444
2021-01-08,2021-01-08,3224.05036917,126266045.56726998,2113.87060246,85195902.22522
2021-01-09,2021-01-09,1120.95093134,44833405.65111,593.13986659,24076775.40596
2021-01-10,2021-01-10,5905.14060678,223240874.39603,1101.13727097,42545818.84734
2021-01-11,2021-01-11,9685.65168471,324846282.40813,3958.86968957,134317398.69311
2021-01-12,2021-01-12,2763.8032564,94669380.40513998,1822.0647073,63530963.84938
2021-01-13,2021-01-13,1469.68724989,50108971.50589,2296.06431596,81655550.66188
2021-01-14,2021-01-14,1436.5439425,55264954.29334001,1606.40739774,62546273.37488
2021-01-15,2021-01-15,4717.73103586,171380768.44228998,1390.70005376,50947731.20083
2021-01-16,2021-01-16,1804.6763206,65764884.76739,916.107341,33985845.74312
2021-01-17,2021-01-17,1858.92076163,64991716.81575,1128.94818374,40380076.42227
2021-01-18,2021-01-18,1279.00050019,45867078.57489999,904.16829259,33068407.46994
2021-01-19,2021-01-19,1189.44594909,43570235.97135,496.13359124,18469446.44817
2021-01-20,2021-01-20,3182.68489743,110061894.66193,862.88726918,30244119.01322
2021-01-21,2021-01-21,6482.76132867,207660059.68503,1759.86591709,56800263.48887
2021-01-22,2021-01-22,3019.47348872,91382337.02891,2623.73310448,82988703.36701001
2021-01-23,2021-01-23,1223.45887535,39261843.12836,693.32551284,22517011.8719
2021-01-24,2021-01-24,1430.1352878,45293449.92238,798.03471137,25879246.59706
2021-01-25,2021-01-25,1849.97586541,61118665.48458,1510.16437366,50880208.55415
2021-01-26,2021-01-26,1992.93325572,62855618.08570001,1140.80185403,36699843.87059
2021-01-27,2021-01-27,3081.68153218,93646732.78158,1403.50199083,43251073.701
2021-01-28,2021-01-28,530.16664563,16705461.00734,1948.41928039,62906376.09392
2021-01-29,2021-01-29,4972.87514273,175342525.71017,4880.6497242,174555895.79735
2021-01-30,2021-01-30,1085.93776953,36548368.44857,624.9752146,21422700.38616
2021-01-31,2021-01-31,1495.08113091,49303943.60985,286.65643557,9572056.6634
2021-02-01,2021-02-01,744.11718533,24948414.2219,705.93831554,24026436.57124
2021-02-02,2021-02-02,386.292265,13435531.58984,1017.99220252,35796664.50534
2021-02-03,2021-02-03,455.27902617,16498335.17295,897.33481745,32986723.17266
2021-02-04,2021-02-04,1839.05335709,68256752.85846,922.99228935,34933545.08617
2021-02-05,2021-02-05,563.88728508,21101417.15448,529.82035207,20074139.35533
2021-02-06,2021-02-06,1559.39479141,61700723.28351,1514.55511426,60233676.83228
2021-02-07,2021-02-07,2809.92307813,107427390.90555002,679.68099202,26355218.01542
2021-02-08,2021-02-08,1550.60803055,66493288.42199,6669.10329778,287472052.55231
2021-02-09,2021-02-09,1932.32336985,89577766.93333,1661.63930488,78334512.22841
2021-02-10,2021-02-10,2985.15704632,134627775.96539003,601.72237456,27669204.93373
2021-02-11,2021-02-11,1261.45511439,58851269.60276,1668.68788469,78544919.74148001
2021-02-12,2021-02-12,1253.45165225,59013606.09401003,557.14291173,26781896.23178
2021-02-13,2021-02-13,886.11469005,41492491.97101,227.28368529,10739473.29114
2021-02-14,2021-02-14,852.62999936,41509146.01522,1207.87421803,59082882.13667
2021-02-15,2021-02-15,3262.77700028,153135491.56652004,688.71123303,32994392.17542
2021-02-16,2021-02-16,1928.08193579,93721834.31343,1498.68381041,74570763.26530997
2021-02-17,2021-02-17,591.38804412,29970780.44602,1814.25703969,93455219.83696
2021-02-18,2021-02-18,679.27183663,35026755.83828,272.51206447,14186608.11033
2021-02-19,2021-02-19,757.18286027,40067629.58691,2752.0114334,150197013.94146
2021-02-20,2021-02-20,2700.30383746,149524516.64428,948.21760114,53731652.17172
2021-02-21,2021-02-21,508.62282511,28968408.24189,641.27317948,36920174.45539001
2021-02-22,2021-02-22,10476.06277575,542121161.8581601,1775.7998042,94260249.3883
2021-02-23,2021-02-23,8067.67894157,385058161.36651,3554.53478343,171643790.52543
2021-02-24,2021-02-24,1733.70711264,85475469.26768,1236.24495963,61854579.35592
2021-02-25,2021-02-25,2857.79246825,139325600.45187,1195.42618331,60366983.31074
2021-02-26,2021-02-26,3549.24874009,162655267.48675,1845.75916168,86367428.42866
2021-02-27,2021-02-27,1291.1536795,59846415.49330001,832.23618214,39263048.18866
