start_time,datetime,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd
2021-01-01 00:00:00,2021-01-01 00:00:00,46.30705953,1331682.70416,21.21779297,614865.07632
2021-01-01 01:00:00,2021-01-01 01:00:00,0.98067037,28765.54095,197.56170336,5802971.65606
2021-01-01 02:00:00,2021-01-01 02:00:00,35.11309049,1026581.12919,1.314,38566.89525
2021-01-01 03:00:00,2021-01-01 03:00:00,0.45940371,13403.86844,0.895,26222.80668
2021-01-01 04:00:00,2021-01-01 04:00:00,33.55855556,978194.20332,8.97495904,263696.37038
2021-01-01 05:00:00,2021-01-01 05:00:00,0.007,205.54214,0.0,0.0
2021-01-01 06:00:00,2021-01-01 06:00:00,0.875,25526.26251,0.77787683,22767.21459
2021-01-01 07:00:00,2021-01-01 07:00:00,117.13631382,3388721.22247,2.185,63569.53895
2021-01-01 08:00:00,2021-01-01 08:00:00,10.94964374,317072.2503,8.42521353,245377.90224
2021-01-01 09:00:00,2021-01-01 09:00:00,0.0,0.0,16.49781838,482942.68277
2021-01-01 10:00:00,2021-01-01 10:00:00,0.25639381,7508.9686,6.841,200733.01892
2021-01-01 11:00:00,2021-01-01 11:00:00,1.8550142,54297.4943,17.10635832,503364.52603
2021-01-01 12:00:00,2021-01-01 12:00:00,68.09716747,1995100.08057,166.07914669,4912484.79756
2021-01-01 13:00:00,2021-01-01 13:00:00,0.0,0.0,6.6947335,197093.59172
2021-01-01 14:00:00,2021-01-01 14:00:00,20.68153559,606585.32937,4.96114833,146547.27856
2021-01-01 15:00:00,2021-01-01 15:00:00,71.21132525,2075985.64333,2.31459737,67670.17778
2021-01-01 16:00:00,2021-01-01 16:00:00,0.491,14317.36215,4.966,145768.47795
2021-01-01 17:00:00,2021-01-01 17:00:00,95.71878903,2777967.47775,0.89120566,25967.98327
2021-01-01 18:00:00,2021-01-01 18:00:00,280.31320307,8069452.35501,26.26050829,762635.35655
2021-01-01 19:00:00,2021-01-01 19:00:00,0.0,0.0,1.577,45890.45253
2021-01-01 20:00:00,2021-01-01 20:00:00,8.30190123,240129.8587,14.85494534,434178.0857
2021-01-01 21:00:00,2021-01-01 21:00:00,0.049,1429.98271,5.45,159748.03389
2021-01-01 22:00:00,2021-01-01 22:00:00,1.50336977,43796.16809,4.23039212,124063.70246
2021-01-01 23:00:00,2021-01-01 23:00:00,0.016,468.79936,0.166,4866.58619
2021-01-02 00:00:00,2021-01-02 00:00:00,56.9902064,1655602.31768,1.978,57695.58403
2021-01-02 01:00:00,2021-01-02 01:00:00,0.015,436.8264,20.36334045,597922.2722
2021-01-02 02:00:00,2021-01-02 02:00:00,0.045,1320.8823,12.0618982,355289.76718
2021-01-02 03:00:00,2021-01-02 03:00:00,4.40403404,129060.62153,0.045,1321.55555
2021-01-02 04:00:00,2021-01-02 04:00:00,4.30770659,126370.14758,1.71810182,50399.67811
2021-01-02 05:00:00,2021-01-02 05:00:00,0.001,29.47981,47.67538278,1409424.57712
2021-01-02 06:00:00,2021-01-02 06:00:00,0.449,13300.05387,92.25884056,2743402.41861
2021-01-02 07:00:00,2021-01-02 07:00:00,0.66020185,19577.75098,57.88181395,1726572.66014
2021-01-02 08:00:00,2021-01-02 08:00:00,11.10311641,329686.72571,12.92214031,386100.00281
2021-01-02 09:00:00,2021-01-02 09:00:00,51.98799694,1541332.93557,53.73503417,1607792.78047
2021-01-02 10:00:00,2021-01-02 10:00:00,22.15156272,654628.5324,16.71484647,498086.18795
2021-01-02 11:00:00,2021-01-02 11:00:00,3.62248677,107418.66716,0.058,1728.04637
2021-01-02 12:00:00,2021-01-02 12:00:00,46.96032576,1431077.27136,1751.39375836,53358375.96786001
2021-01-02 13:00:00,2021-01-02 13:00:00,34.09907696,1056960.52781,1030.22034792,32215327.12153001
2021-01-02 14:00:00,2021-01-02 14:00:00,82.04377842,2563196.69164,40.00449434,1262345.41891
2021-01-02 15:00:00,2021-01-02 15:00:00,7.37052234,232555.55538,371.77483365,11798221.48674
2021-01-02 16:00:00,2021-01-02 16:00:00,371.10925055,12037497.88609,1753.60710984,56955789.39463001
2021-01-02 17:00:00,2021-01-02 17:00:00,24.52535697,797811.47549,77.25442956,2536380.94006
2021-01-02 18:00:00,2021-01-02 18:00:00,159.81841186,5233743.65046,444.42195039,14789068.87426
2021-01-02 19:00:00,2021-01-02 19:00:00,42.63984644,1400777.78209,35.33615546,1173687.65634
2021-01-02 20:00:00,2021-01-02 20:00:00,1419.53529376,45182060.9938,35.34234414,1149076.96764
2021-01-02 21:00:00,2021-01-02 21:00:00,373.04530422,11516183.32841,199.37441111,6285093.75352
2021-01-02 22:00:00,2021-01-02 22:00:00,39.31067667,1250539.37345,78.31731197,2513296.93099
2021-01-02 23:00:00,2021-01-02 23:00:00,96.11235692,3058160.48536,32.63282507,1047704.96055
2021-01-03 00:00:00,2021-01-03 00:00:00,8.91237557,285659.26719,63.57770479,2063626.2229
2021-01-03 01:00:00,2021-01-03 01:00:00,19.33531446,627190.68802,86.95523034,2842481.80357
2021-01-03 02:00:00,2021-01-03 02:00:00,2.37236624,77640.30979,20.29924896,667244.62726
2021-01-03 03:00:00,2021-01-03 03:00:00,35.00616959,1141042.53375,6.9785169,228113.97487
2021-01-03 04:00:00,2021-01-03 04:00:00,2.94954658,95972.274,163.0638625,5397183.16427
2021-01-03 05:00:00,2021-01-03 05:00:00,82.13277672,2777884.56379,651.07402896,21980798.43338999
2021-01-03 06:00:00,2021-01-03 06:00:00,19.40771044,657531.70257,15.14464049,515648.66934
2021-01-03 07:00:00,2021-01-03 07:00:00,162.69628858,5570816.521,438.27281106,15135546.33994
2021-01-03 08:00:00,2021-01-03 08:00:00,157.22662504,5344585.47118,84.49367668,2919046.61808
2021-01-03 09:00:00,2021-01-03 09:00:00,111.77600648,3809117.51117,19.98501339,684478.90985
2021-01-03 10:00:00,2021-01-03 10:00:00,290.51611052,9786283.82595,45.98633879,1567622.44874
2021-01-03 11:00:00,2021-01-03 11:00:00,9.59538241,326593.58186,74.91111548,2571729.27983
2021-01-03 12:00:00,2021-01-03 12:00:00,111.01144157,3788857.77551,61.82084017,2137969.90201
2021-01-03 13:00:00,2021-01-03 13:00:00,95.03938144,3230308.28243,24.30121861,831273.19719
2021-01-03 14:00:00,2021-01-03 14:00:00,204.53522512,6893691.90144,29.81075154,1016268.81212
2021-01-03 15:00:00,2021-01-03 15:00:00,550.44361184,18247724.85400001,94.0817693,3148134.63763
2021-01-03 16:00:00,2021-01-03 16:00:00,260.85312324,8612127.55296,18.30469171,617875.85973
2021-01-03 17:00:00,2021-01-03 17:00:00,148.03249755,4841948.19423,78.94188596,2610023.15707
2021-01-03 18:00:00,2021-01-03 18:00:00,250.36263834,8160959.77988,8.70610752,285447.83461
2021-01-03 19:00:00,2021-01-03 19:00:00,13.55158227,442727.98746,25.8166851,849466.58084
2021-01-03 20:00:00,2021-01-03 20:00:00,17.19617822,577985.10825,147.77607118,4943559.8751
2021-01-03 21:00:00,2021-01-03 21:00:00,16.90885409,568736.51381,4.22,142957.48433
2021-01-03 22:00:00,2021-01-03 22:00:00,83.91576138,2794718.27233,15.84891712,531666.73183
2021-01-03 23:00:00,2021-01-03 23:00:00,125.06641318,4122522.17795,34.47700742,1151760.81434
2021-01-04 00:00:00,2021-01-04 00:00:00,147.50764504,4812658.30465,14.04984606,463057.17877
2021-01-04 01:00:00,2021-01-04 01:00:00,5.98160911,195763.15656,60.42084473,2003116.00397
2021-01-04 02:00:00,2021-01-04 02:00:00,1.08054196,35748.08258,38.84581486,1299472.17591
2021-01-04 03:00:00,2021-01-04 03:00:00,8.67366454,288758.32921,4.048,135419.10629
2021-01-04 04:00:00,2021-01-04 04:00:00,2.89506661,96565.57506,1.05669369,35512.47279
2021-01-04 05:00:00,2021-01-04 05:00:00,33.53522162,1109540.77999,7.40917957,247370.71167
2021-01-04 06:00:00,2021-01-04 06:00:00,11.1095443,368271.17286,42.43212794,1416467.28785
2021-01-04 07:00:00,2021-01-04 07:00:00,849.22614344,27274272.32399998,29.11235497,940353.91889
2021-01-04 08:00:00,2021-01-04 08:00:00,287.47617124,9133231.27857,40.59721622,1308393.18923
2021-01-04 09:00:00,2021-01-04 09:00:00,1265.21881838,39425299.2142,81.25873737,2545934.49976
2021-01-04 10:00:00,2021-01-04 10:00:00,4665.39309917,135698052.15326998,219.87147048,6527128.93536
2021-01-04 11:00:00,2021-01-04 11:00:00,121.42810866,3623610.50332,124.71538353,3808554.42971
2021-01-04 12:00:00,2021-01-04 12:00:00,52.79398088,1629810.27263,88.69029601,2759062.91939
2021-01-04 13:00:00,2021-01-04 13:00:00,89.16620459,2746821.87019,43.3416412,1353395.59303
2021-01-04 14:00:00,2021-01-04 14:00:00,4.45611362,141008.80693,129.90568946,4125736.57289
2021-01-04 15:00:00,2021-01-04 15:00:00,48.92539371,1551698.98488,14.68431808,470951.92546
2021-01-04 16:00:00,2021-01-04 16:00:00,210.36199632,6556512.73216,44.73805437,1401196.33513
2021-01-04 17:00:00,2021-01-04 17:00:00,109.02104671,3367446.58595,23.27505911,725933.39136
2021-01-04 18:00:00,2021-01-04 18:00:00,9.5845312,298795.9782,29.77353999,932795.86137
2021-01-04 19:00:00,2021-01-04 19:00:00,5.7258709,180446.58094,58.56923203,1857331.8887
2021-01-04 20:00:00,2021-01-04 20:00:00,20.77577355,652931.40681,1.28145936,40585.8858
2021-01-04 21:00:00,2021-01-04 21:00:00,67.94395178,2109973.35,8.06202968,253104.34084
2021-01-04 22:00:00,2021-01-04 22:00:00,1.463,45883.33193,14.27100427,447542.34177
2021-01-04 23:00:00,2021-01-04 23:00:00,15.14139804,475467.60578,64.05144098,2040857.84427
2021-01-05 00:00:00,2021-01-05 00:00:00,22.19594818,721212.24853,253.08894887,8239380.42182
2021-01-05 01:00:00,2021-01-05 01:00:00,20.92912177,677852.86389,10.71862296,350914.80935
2021-01-05 02:00:00,2021-01-05 02:00:00,18.21407251,590939.30319,3.94931179,129288.11058
2021-01-05 03:00:00,2021-01-05 03:00:00,241.03985631,7646836.74052,7.71791884,247802.0512
2021-01-05 04:00:00,2021-01-05 04:00:00,310.69944209,9569382.88403,92.76612452,2895323.10175
2021-01-05 05:00:00,2021-01-05 05:00:00,278.06229035,8446851.05988,36.74263779,1133571.39826
2021-01-05 06:00:00,2021-01-05 06:00:00,69.23504072,2081814.92796,230.82404271,7140894.49734
2021-01-05 07:00:00,2021-01-05 07:00:00,17.48359815,540385.38437,21.44284479,669438.38221
2021-01-05 08:00:00,2021-01-05 08:00:00,10.87253656,338860.56342,44.94011744,1409059.97104
2021-01-05 09:00:00,2021-01-05 09:00:00,6.91709187,217287.57766,66.82780919,2117129.47945
2021-01-05 10:00:00,2021-01-05 10:00:00,63.76483821,1996639.51772,10.43860175,328198.31311
2021-01-05 11:00:00,2021-01-05 11:00:00,1.89715951,59470.64423,25.68587697,812425.96914
2021-01-05 12:00:00,2021-01-05 12:00:00,25.70653239,815273.53129,94.01262627,3009627.66702
2021-01-05 13:00:00,2021-01-05 13:00:00,38.63008853,1218295.22215,7.434,236870.57678
2021-01-05 14:00:00,2021-01-05 14:00:00,76.58574246,2396627.55915,147.98768477,4746648.33635
2021-01-05 15:00:00,2021-01-05 15:00:00,23.22972712,744327.6585,8.41278377,271094.95473
2021-01-05 16:00:00,2021-01-05 16:00:00,50.3148337,1612886.63775,90.26107302,2937304.48313
2021-01-05 17:00:00,2021-01-05 17:00:00,17.84809239,578280.10611,46.79498948,1533365.47385
2021-01-05 18:00:00,2021-01-05 18:00:00,15.45575112,511127.6905,272.17120344,9039096.88078
2021-01-05 19:00:00,2021-01-05 19:00:00,61.22175608,2060176.35864,249.7736518,8464278.98052
2021-01-05 20:00:00,2021-01-05 20:00:00,69.19998943,2323898.51988,34.03388455,1152869.43099
2021-01-05 21:00:00,2021-01-05 21:00:00,33.44252301,1125324.46331,9.05477323,307463.69483
2021-01-05 22:00:00,2021-01-05 22:00:00,8.80241766,301517.77421,170.56787379,5855982.11668
2021-01-05 23:00:00,2021-01-05 23:00:00,82.46807673,2799022.09917,23.42455855,796974.78382
2021-01-06 00:00:00,2021-01-06 00:00:00,121.71096051,4087714.83124,21.07366818,714472.49356
2021-01-06 01:00:00,2021-01-06 01:00:00,33.93352071,1142556.52263,3.58111801,121253.04944
2021-01-06 02:00:00,2021-01-06 02:00:00,14.72115048,499456.36686,33.20585558,1132655.76619
2021-01-06 03:00:00,2021-01-06 03:00:00,14.39056322,485730.54645,11.77550482,400858.16141
2021-01-06 04:00:00,2021-01-06 04:00:00,57.8515181,2041021.92373,807.90525833,28519252.59978999
2021-01-06 05:00:00,2021-01-06 05:00:00,142.61296851,4980224.82706,12.09816852,425907.1826
2021-01-06 06:00:00,2021-01-06 06:00:00,24.23414227,848316.13811,12.69216013,447026.029
2021-01-06 07:00:00,2021-01-06 07:00:00,120.00320916,4159294.24004,10.42302587,364653.85732
2021-01-06 08:00:00,2021-01-06 08:00:00,191.86638713,6573761.08416,9.09757034,315374.2634
2021-01-06 09:00:00,2021-01-06 09:00:00,289.62688162,9824680.79833,15.28125321,521064.09154
2021-01-06 10:00:00,2021-01-06 10:00:00,2.70823257,92429.17299,32.20586733,1108131.39181
2021-01-06 11:00:00,2021-01-06 11:00:00,51.89214613,1802877.17173,169.32665218,5935737.66893
2021-01-06 12:00:00,2021-01-06 12:00:00,36.39427769,1261037.60682,29.64637738,1036326.89159
2021-01-06 13:00:00,2021-01-06 13:00:00,75.45056166,2605806.05285,14.30839456,498754.69191
2021-01-06 14:00:00,2021-01-06 14:00:00,97.11441175,3325358.91566,13.17676292,454170.3008
2021-01-06 15:00:00,2021-01-06 15:00:00,8.99705434,310692.26071,29.08565221,1008422.84426
2021-01-06 16:00:00,2021-01-06 16:00:00,52.12151297,1802022.01747,22.61045648,791616.93288
2021-01-06 17:00:00,2021-01-06 17:00:00,3.47608544,121229.31068,14.99104945,523695.6682
2021-01-06 18:00:00,2021-01-06 18:00:00,6.01457936,210667.16126,39.30287513,1382485.41458
2021-01-06 19:00:00,2021-01-06 19:00:00,134.42830997,4711535.34586,99.33396183,3527088.65233
2021-01-06 20:00:00,2021-01-06 20:00:00,151.50098039,5241670.5361,266.45760283,9534858.67429
2021-01-06 21:00:00,2021-01-06 21:00:00,54.59305621,1962602.85063,148.54875951,5417944.62381
2021-01-06 22:00:00,2021-01-06 22:00:00,7.33454052,264696.279,19.99485261,725584.95063
2021-01-06 23:00:00,2021-01-06 23:00:00,9.45437857,344610.7111,215.99038712,7937121.65733
2021-01-07 00:00:00,2021-01-07 00:00:00,50.42980169,1853196.0271,159.71559683,5944368.07943
2021-01-07 01:00:00,2021-01-07 01:00:00,23.58454916,869634.5805,5.74544648,213386.18326
2021-01-07 02:00:00,2021-01-07 02:00:00,55.04164361,2018010.61381,11.45808632,424054.59997
2021-01-07 03:00:00,2021-01-07 03:00:00,8.8329197,330831.71417,209.80180322,7871145.09195
2021-01-07 04:00:00,2021-01-07 04:00:00,16.53801263,616368.5145,7.06664793,265229.04284
2021-01-07 05:00:00,2021-01-07 05:00:00,30.49851246,1138127.71895,12.4570653,468811.16316
2021-01-07 06:00:00,2021-01-07 06:00:00,84.31306243,3117128.12467,6.64861885,247101.37196
2021-01-07 07:00:00,2021-01-07 07:00:00,44.79787593,1654309.79729,6.66454075,247724.44188
2021-01-07 08:00:00,2021-01-07 08:00:00,122.03214671,4462056.23482,45.42942446,1684270.73628
2021-01-07 09:00:00,2021-01-07 09:00:00,14.97611496,554637.65464,11.23321747,420345.39695
2021-01-07 10:00:00,2021-01-07 10:00:00,21.65576628,803782.89619,1.138,42275.98647
2021-01-07 11:00:00,2021-01-07 11:00:00,1.44024165,53987.04909,124.05477094,4690335.68572
2021-01-07 12:00:00,2021-01-07 12:00:00,53.19781711,2011313.64119,99.78160099,3804365.28919
2021-01-07 13:00:00,2021-01-07 13:00:00,27.51002872,1049203.53992,153.29013188,5879650.37898
2021-01-07 14:00:00,2021-01-07 14:00:00,33.63634657,1288038.93958,77.78341597,3001476.59876
2021-01-07 15:00:00,2021-01-07 15:00:00,9.52968951,363729.75583,157.35604648,6113123.88673
2021-01-07 16:00:00,2021-01-07 16:00:00,59.49986107,2329536.90986,321.51179576,12644131.67657
2021-01-07 17:00:00,2021-01-07 17:00:00,25.61549166,1012604.79968,122.69394055,4875039.40269
2021-01-07 18:00:00,2021-01-07 18:00:00,1745.81035247,66778995.72385,698.95149334,27442357.38582
2021-01-07 19:00:00,2021-01-07 19:00:00,228.44498154,8734143.25269,99.44407959,3860329.34613
2021-01-07 20:00:00,2021-01-07 20:00:00,133.72708417,5167168.61837,43.95944114,1714974.12414
2021-01-07 21:00:00,2021-01-07 21:00:00,50.89515142,2014204.88125,115.40901335,4582927.25033
2021-01-07 22:00:00,2021-01-07 22:00:00,66.09461427,2611454.68451,18.95186616,755840.84249
2021-01-07 23:00:00,2021-01-07 23:00:00,211.39760835,8246443.45848,43.95466541,1729220.6827
2021-01-08 00:00:00,2021-01-08 00:00:00,77.80026732,3048101.25061,9.95095147,393126.10933
2021-01-08 01:00:00,2021-01-08 01:00:00,339.35084072,12996465.18087,50.00192179,1928706.20378
2021-01-08 02:00:00,2021-01-08 02:00:00,719.05158858,26780421.87006,56.02552784,2098695.35611
2021-01-08 03:00:00,2021-01-08 03:00:00,17.17404709,652470.07047,73.50810898,2796756.99648
2021-01-08 04:00:00,2021-01-08 04:00:00,16.84256884,646919.82112,52.7816041,2043685.08743
2021-01-08 05:00:00,2021-01-08 05:00:00,73.68460742,2814108.10357,10.2858551,397310.40631
