start_time,date,open_interest
2021-01-01,2021-01-01,1309956866.0045102
2021-01-02,2021-01-02,1425403921.1499798
2021-01-03,2021-01-03,1438587212.46028
2021-01-04,2021-01-04,1265640975.66716
2021-01-05,2021-01-05,1342799280.33
2021-01-06,2021-01-06,1394047752.79
2021-01-07,2021-01-07,1525251061.46476
2021-01-08,2021-01-08,1476205725.86288
2021-01-09,2021-01-09,1648380231.50289
2021-01-10,2021-01-10,1585339781.22314
2021-01-11,2021-01-11,1336462631.75458
2021-01-12,2021-01-12,1198003342.45408
2021-01-13,2021-01-13,1435970364.20885
2021-01-14,2021-01-14,1479453612.7908
2021-01-15,2021-01-15,1428087338.6320798
2021-01-16,2021-01-16,1369307726.36956
2021-01-17,2021-01-17,1322402865.986
2021-01-18,2021-01-18,1400370014.4364002
2021-01-19,2021-01-19,1455683158.23257
2021-01-20,2021-01-20,1470123492.4044
2021-01-21,2021-01-21,1298397493.20951
2021-01-22,2021-01-22,1266565954.97474
2021-01-23,2021-01-23,1215660130.86725
2021-01-24,2021-01-24,1242719473.032
2021-01-25,2021-01-25,1280236406.8907
2021-01-26,2021-01-26,1284049472.05167
2021-01-27,2021-01-27,1256887346.38972
2021-01-28,2021-01-28,1400551548.31492
2021-01-29,2021-01-29,1447496928.21317
2021-01-30,2021-01-30,1423760687.33966
2021-01-31,2021-01-31,1421976752.93862
2021-02-01,2021-02-01,1373421756.25792
2021-02-02,2021-02-02,1468458757.593
2021-02-03,2021-02-03,1512310978.29541
2021-02-04,2021-02-04,1478690832.30924
2021-02-05,2021-02-05,1581704630.36444
2021-02-06,2021-02-06,1846306386.24864
2021-02-07,2021-02-07,1763107952.2367802
2021-02-08,2021-02-08,2201195365.8377404
2021-02-09,2021-02-09,2185008239.75233
2021-02-10,2021-02-10,2076261714.6555
2021-02-11,2021-02-11,2404982047.2938404
2021-02-12,2021-02-12,2305014436.8005
2021-02-13,2021-02-13,2253871021.79742
2021-02-14,2021-02-14,2490168517.67152
2021-02-15,2021-02-15,2298612739.54394
2021-02-16,2021-02-16,2376063462.2097
2021-02-17,2021-02-17,2634542403.0026293
2021-02-18,2021-02-18,2485007601.24134
2021-02-19,2021-02-19,2625325211.6909204
2021-02-20,2021-02-20,2484463225.62352
2021-02-21,2021-02-21,2593816956.2778
2021-02-22,2021-02-22,2309741287.9585996
2021-02-23,2021-02-23,1944815950.6247096
2021-02-24,2021-02-24,2113660143.88493
2021-02-25,2021-02-25,2100299879.28488
2021-02-26,2021-02-26,1877250185.3516
2021-02-27,2021-02-27,1903080136.8212
2021-02-28,2021-02-28,1977804583.78926
2021-03-01,2021-03-01,2102343915.8757
2021-03-02,2021-03-02,2067224262.42408
2021-03-03,2021-03-03,2158946599.18416
2021-03-04,2021-03-04,2117011193.74591
2021-03-05,2021-03-05,2090499540.53604
2021-03-06,2021-03-06,2078918864.0298
2021-03-07,2021-03-07,2252024279.51592
2021-03-08,2021-03-08,2518900862.21122
2021-03-09,2021-03-09,2596368607.1334004
2021-03-10,2021-03-10,2787622257.5224
2021-03-11,2021-03-11,3008093321.45728
2021-03-12,2021-03-12,2826348786.52635
2021-03-13,2021-03-13,3249307583.2038803
2021-03-14,2021-03-14,3235372796.8770003
2021-03-15,2021-03-15,2828144739.87272
2021-03-16,2021-03-16,2774501864.5649896
2021-03-17,2021-03-17,2813394828.1863003
2021-03-18,2021-03-18,2853770212.55784
2021-03-19,2021-03-19,2822142645.003099
2021-03-20,2021-03-20,2861098881.8496
2021-03-21,2021-03-21,2847376871.4202003
2021-03-22,2021-03-22,2776050736.3226
2021-03-23,2021-03-23,2845441629.58164
2021-03-24,2021-03-24,2689261250.1900406
2021-03-25,2021-03-25,2686252770.616
2021-03-26,2021-03-26,2788491907.2406
2021-03-27,2021-03-27,2804622490.94595
2021-03-28,2021-03-28,2747653317.9461703
2021-03-29,2021-03-29,2898785694.59026
2021-03-30,2021-03-30,3092707208.42508
2021-03-31,2021-03-31,3080750074.6620903
2021-04-01,2021-04-01,3059333738.62034
2021-04-02,2021-04-02,3122629318.3002796
2021-04-03,2021-04-03,3110387287.3638997
2021-04-04,2021-04-04,3103636174.49467
2021-04-05,2021-04-05,3116846104.0064797
2021-04-06,2021-04-06,3077691745.56204
2021-04-07,2021-04-07,3087324112.9906
2021-04-08,2021-04-08,3101398479.6904
2021-04-09,2021-04-09,3060565226.4410996
2021-04-10,2021-04-10,3183824890.1
2021-04-11,2021-04-11,3241635148.5743203
2021-04-12,2021-04-12,3393259401.022
2021-04-13,2021-04-13,3814133954.68796
2021-04-14,2021-04-14,3642510718.16384
2021-04-15,2021-04-15,3631954585.30268
2021-04-16,2021-04-16,3466976847.55758
2021-04-17,2021-04-17,3481431334.1248603
2021-04-18,2021-04-18,2722989531.0034204
2021-04-19,2021-04-19,2597264129.2854
2021-04-20,2021-04-20,2699701038.9284
2021-04-21,2021-04-21,2665464375.33123
2021-04-22,2021-04-22,2721565238.1768403
2021-04-23,2021-04-23,2656324046.9576
2021-04-24,2021-04-24,2735923150.71004
2021-04-25,2021-04-25,2677314451.9167
2021-04-26,2021-04-26,2547418568.9583097
2021-04-27,2021-04-27,2584640471.0644
2021-04-28,2021-04-28,2570124636.27216
2021-04-29,2021-04-29,2676245074.89794
2021-04-30,2021-04-30,2943082405.78708
2021-05-01,2021-05-01,2978131838.5848804
2021-05-02,2021-05-02,3003788072.42632
2021-05-03,2021-05-03,3120736870.9403806
2021-05-04,2021-05-04,2928582979.952
2021-05-05,2021-05-05,2887467911.1745796
2021-05-06,2021-05-06,2990234527.5122995
2021-05-07,2021-05-07,2861699112.1694503
2021-05-08,2021-05-08,2993646897.46344
2021-05-09,2021-05-09,2989598503.48372
2021-05-10,2021-05-10,2990827330.9650197
2021-05-11,2021-05-11,2975319512.8862996
2021-05-12,2021-05-12,2952476955.98385
2021-05-13,2021-05-13,2600442007.55275
2021-05-14,2021-05-14,2572797443.89132
2021-05-15,2021-05-15,2691255280.84451
2021-05-16,2021-05-16,2670911100.7856603
2021-05-17,2021-05-17,2747627782.334
2021-05-18,2021-05-18,2701042091.4434
2021-05-19,2021-05-19,1523358471.44961
2021-05-20,2021-05-20,1571399944.52505
2021-05-21,2021-05-21,1673910934.3117
2021-05-22,2021-05-22,1622824314.74346
2021-05-23,2021-05-23,1591134476.4901
2021-05-24,2021-05-24,1751748304.5335202
2021-05-25,2021-05-25,1777142758.2018502
2021-05-26,2021-05-26,1833410219.13875
2021-05-27,2021-05-27,1777012144.18594
2021-05-28,2021-05-28,1846657171.0038395
2021-05-29,2021-05-29,1869976823.82384
2021-05-30,2021-05-30,1870200846.59345
2021-05-31,2021-05-31,1973167540.9204
2021-06-01,2021-06-01,1943832118.9831
2021-06-02,2021-06-02,2056507941.60208
2021-06-03,2021-06-03,2284347125.1875997
2021-06-04,2021-06-04,2119976864.0288303
2021-06-05,2021-06-05,2091956115.38103
2021-06-06,2021-06-06,2148262481.5370803
2021-06-07,2021-06-07,2221229425.5840397
2021-06-08,2021-06-08,2174361330.1295996
2021-06-09,2021-06-09,2601016543.8146
2021-06-10,2021-06-10,2300293792.7150803
2021-06-11,2021-06-11,2379805140.0512004
2021-06-12,2021-06-12,2295544050.5526004
2021-06-13,2021-06-13,2628774384.663
2021-06-14,2021-06-14,2684650762.92338
2021-06-15,2021-06-15,2701872875.6006
2021-06-16,2021-06-16,2718499923.6751
2021-06-17,2021-06-17,2748448041.04023
2021-06-18,2021-06-18,2493621846.0927997
2021-06-19,2021-06-19,2503244194.505869
2021-06-20,2021-06-20,2539000306.0231
2021-06-21,2021-06-21,2212904729.49678
2021-06-22,2021-06-22,2228623796.5932302
2021-06-23,2021-06-23,2319984851.13591
2021-06-24,2021-06-24,2491657584.9796796
2021-06-25,2021-06-25,2277401971.0805
2021-06-26,2021-06-26,2295388651.1868
2021-06-27,2021-06-27,2426878915.0092
2021-06-28,2021-06-28,2392121893.5012
2021-06-29,2021-06-29,2558358238.08704
2021-06-30,2021-06-30,2456671627.0893
2021-07-01,2021-07-01,2388816816.1446004
2021-07-02,2021-07-02,2434216178.12867
2021-07-03,2021-07-03,2554082331.3269
2021-07-04,2021-07-04,2619897921.0682797
2021-07-05,2021-07-05,2494769687.3965197
2021-07-06,2021-07-06,2445033971.0197997
2021-07-07,2021-07-07,2479220058.80358
2021-07-08,2021-07-08,2511769827.5815797
2021-07-09,2021-07-09,2569231820.3995996
2021-07-10,2021-07-10,2520781528.01693
2021-07-11,2021-07-11,2641811076.28956
2021-07-12,2021-07-12,2533961249.3896003
2021-07-13,2021-07-13,2565042465.85539
2021-07-14,2021-07-14,2489776650.5424
2021-07-15,2021-07-15,2620632790.4536996
2021-07-16,2021-07-16,2508474591.62986
2021-07-17,2021-07-17,2627477054.553
2021-07-18,2021-07-18,2586718728.91216
2021-07-19,2021-07-19,2803528007.7532
2021-07-20,2021-07-20,2627605157.95032
2021-07-21,2021-07-21,2725823440.28689
2021-07-22,2021-07-22,2704576414.72339
2021-07-23,2021-07-23,2862404397.33318
2021-07-24,2021-07-24,2928127334.76032
2021-07-25,2021-07-25,3146677453.79105
2021-07-26,2021-07-26,2573060474.45958
2021-07-27,2021-07-27,2757071546.933
2021-07-28,2021-07-28,2776145072.3936605
2021-07-29,2021-07-29,2829957881.8606
2021-07-30,2021-07-30,2891513510.9443
2021-07-31,2021-07-31,2845292777.95843
2021-08-01,2021-08-01,2586245315.9353204
2021-08-02,2021-08-02,2666960071.33844
2021-08-03,2021-08-03,2752730907.19524
2021-08-04,2021-08-04,2753700462.25009
2021-08-05,2021-08-05,2813988711.3884
2021-08-06,2021-08-06,3001568803.54462
2021-08-07,2021-08-07,3063859195.74301
2021-08-08,2021-08-08,2940928917.6414
2021-08-09,2021-08-09,3279575162.023
2021-08-10,2021-08-10,3201105578.0954
2021-08-11,2021-08-11,3254512328.59776
2021-08-12,2021-08-12,3196410703.19324
2021-08-13,2021-08-13,3412336159.60624
2021-08-14,2021-08-14,3364211028.00502
2021-08-15,2021-08-15,3251512630.49396
2021-08-16,2021-08-16,3427691524.0417805
2021-08-17,2021-08-17,3357720268.4877996
2021-08-18,2021-08-18,3230166666.39645
2021-08-19,2021-08-19,3365692032.0906
2021-08-20,2021-08-20,3671224955.93734
2021-08-21,2021-08-21,3675573359.00372
2021-08-22,2021-08-22,3630488425.29092
2021-08-23,2021-08-23,3863818766.45276
2021-08-24,2021-08-24,3956407457.06936
2021-08-25,2021-08-25,3818671751.3893
2021-08-26,2021-08-26,3726249703.42414
2021-08-27,2021-08-27,3748012076.585621
2021-08-28,2021-08-28,3784137383.43817
2021-08-29,2021-08-29,3681749950.98469
2021-08-30,2021-08-30,3683076740.77993
2021-08-31,2021-08-31,3767482573.39807
2021-09-01,2021-09-01,3787209960.06191
2021-09-02,2021-09-02,4036573043.49338
2021-09-03,2021-09-03,4003233375.31796
2021-09-04,2021-09-04,3789138403.8871
2021-09-05,2021-09-05,4262939922.82224
2021-09-06,2021-09-06,4320110337.054
2021-09-07,2021-09-07,2820667913.29782
2021-09-08,2021-09-08,2804368924.72826
2021-09-09,2021-09-09,2810957105.5768
2021-09-10,2021-09-10,2818544315.8185897
2021-09-11,2021-09-11,2818335765.43894
2021-09-12,2021-09-12,2931297646.4573994
2021-09-13,2021-09-13,2822707924.1428
2021-09-14,2021-09-14,3085253319.66493
2021-09-15,2021-09-15,3256667058.22201
2021-09-16,2021-09-16,3160426012.36344
2021-09-17,2021-09-17,3174305085.12594
2021-09-18,2021-09-18,3223026831.74756
2021-09-19,2021-09-19,3214534030.1788
2021-09-20,2021-09-20,2859914957.6448
2021-09-21,2021-09-21,2600545949.5407
2021-09-22,2021-09-22,2612295344.8886003
2021-09-23,2021-09-23,2786404625.1867504
2021-09-24,2021-09-24,2625169640.8844395
2021-09-25,2021-09-25,2567679842.10112
2021-09-26,2021-09-26,2601698758.1030397
2021-09-27,2021-09-27,2552378959.41328
2021-09-28,2021-09-28,2563655334.84519
2021-09-29,2021-09-29,2709162864.83139
2021-09-30,2021-09-30,2797732012.52749
2021-10-01,2021-10-01,3199721796.32736
2021-10-02,2021-10-02,3139498687.89419
2021-10-03,2021-10-03,3081491179.6944404
2021-10-04,2021-10-04,3146084526.39958
2021-10-05,2021-10-05,3526394778.52196
2021-10-06,2021-10-06,3616911065.8149
2021-10-07,2021-10-07,3655431868.6268
2021-10-08,2021-10-08,3627945272.962
2021-10-09,2021-10-09,3697911277.098
2021-10-10,2021-10-10,3855349291.0828
2021-10-11,2021-10-11,4148140306.3452
2021-10-12,2021-10-12,3874480059.1104097
2021-10-13,2021-10-13,3837226317.29925
2021-10-14,2021-10-14,3961889898.54485
2021-10-15,2021-10-15,4447250071.86883
2021-10-16,2021-10-16,4525029950.2159395
2021-10-17,2021-10-17,4519780614.04025
2021-10-18,2021-10-18,4465427927.0439
2021-10-19,2021-10-19,4895918564.1402
2021-10-20,2021-10-20,5143381661.0341
2021-10-21,2021-10-21,4839996483.824459
2021-10-22,2021-10-22,4728586190.291901
2021-10-23,2021-10-23,4698608810.73011
2021-10-24,2021-10-24,4820806941.69622
2021-10-25,2021-10-25,4919414081.515679
2021-10-26,2021-10-26,4923079862.9541
2021-10-27,2021-10-27,4609991789.911701
2021-10-28,2021-10-28,4563248622.952259
2021-10-29,2021-10-29,4675437629.31276
2021-10-30,2021-10-30,4605259928.959721
2021-10-31,2021-10-31,4837111104.87749
2021-11-01,2021-11-01,4683944752.7510195
2021-11-02,2021-11-02,5035639106.139919
2021-11-03,2021-11-03,4881231807.64165
2021-11-04,2021-11-04,4917730685.4813
2021-11-05,2021-11-05,4924425262.6057
2021-11-06,2021-11-06,4960352930.9036
2021-11-07,2021-11-07,5100202754.79381
2021-11-08,2021-11-08,5725488766.030161
2021-11-09,2021-11-09,5707575951.745999
2021-11-10,2021-11-10,5340379724.394381
2021-11-11,2021-11-11,5104165284.7226
2021-11-12,2021-11-12,5248564774.50128
2021-11-13,2021-11-13,5236862775.454159
2021-11-14,2021-11-14,5366780152.66963
2021-11-15,2021-11-15,5588652517.1661005
2021-11-16,2021-11-16,5093772307.32965
2021-11-17,2021-11-17,5062540094.08602
2021-11-18,2021-11-18,4948098825.64464
2021-11-19,2021-11-19,4841635231.19832
2021-11-20,2021-11-20,4849836227.79374
2021-11-21,2021-11-21,4747852162.6799
2021-11-22,2021-11-22,4872801891.95396
2021-11-23,2021-11-23,4916274797.223499
2021-11-24,2021-11-24,4947177793.9766
2021-11-25,2021-11-25,5130362839.2004
2021-11-26,2021-11-26,5070095974.52018
