start_time,date,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
2021-01-01,2021-01-01,0.4807427,0.92582752,2960175587.62208,0.5192573,3197329436.46303
2021-01-02,2021-01-02,0.50099489,1.00398751,8577590636.74428,0.49900511,8543523235.45665
2021-01-03,2021-01-03,0.48992074,0.96047961,8029365512.72767,0.51007926,8359745898.79993
2021-01-04,2021-01-04,0.48047747,0.92484434,7630915523.97287,0.51952253,8251026853.25729
2021-01-05,2021-01-05,0.49475435,0.97923525,6895572556.3895,0.50524565,7041793628.08237
2021-01-06,2021-01-06,0.49865273,0.99462542,7735576187.76391,0.50134727,7777376324.76959
2021-01-07,2021-01-07,0.4962185,0.98498755,9889830541.32753,0.5037815,10040563998.52986
2021-01-08,2021-01-08,0.49125788,0.96563243,10152258176.3946,0.50874212,10513584527.95326
2021-01-09,2021-01-09,0.48347518,0.93601537,5083312427.77601,0.51652482,5430800156.34815
2021-01-10,2021-01-10,0.48522536,0.94259765,8261959915.9274,0.51477464,8765097102.79109
2021-01-11,2021-01-11,0.48964638,0.95942571,15051842525.74106,0.51035362,15688387640.72065
2021-01-12,2021-01-12,0.49528553,0.98131829,7715238347.05414,0.50471447,7862116141.03636
2021-01-13,2021-01-13,0.50118368,1.00474594,6915954097.40281,0.49881632,6883286408.92944
2021-01-14,2021-01-14,0.49808155,0.99235552,6805101989.35095,0.50191845,6857524184.3471
2021-01-15,2021-01-15,0.49272136,0.97130321,7944471737.94397,0.50727864,8179188223.5958
2021-01-16,2021-01-16,0.48688953,0.94889808,5406084183.44571,0.51311047,5697223230.08128
2021-01-17,2021-01-17,0.4964165,0.98576801,5063903373.76581,0.5035835,5137013288.75582
2021-01-18,2021-01-18,0.50109315,1.00438216,4587768159.51769,0.49890685,4567751531.41752
2021-01-19,2021-01-19,0.4955799,0.98247452,4722975322.38824,0.5044201,4807224228.42505
2021-01-20,2021-01-20,0.48688846,0.94889401,5600619551.16411,0.51311154,5902260401.03166
2021-01-21,2021-01-21,0.48988341,0.96033616,8750339522.89083,0.51011659,9111746370.036
2021-01-22,2021-01-22,0.49808036,0.99235079,7098310689.9717,0.50191964,7153025675.94984
2021-01-23,2021-01-23,0.49379958,0.97550212,4098760291.67768,0.50620042,4201692872.74382
2021-01-24,2021-01-24,0.50202536,1.00813438,3423147354.3261,0.49797464,3395526855.60943
2021-01-25,2021-01-25,0.49764633,0.99062942,5259259233.21813,0.50235367,5309007700.15665
2021-01-26,2021-01-26,0.49794423,0.9918106,5489329351.26216,0.50205577,5534654861.53491
2021-01-27,2021-01-27,0.49523224,0.98110907,6560348275.77555,0.50476776,6686665573.664
2021-01-28,2021-01-28,0.5085841,1.0349362,5023622351.84581,0.4914159,4854040601.2808
2021-01-29,2021-01-29,0.49844286,0.99379078,12607375177.41538,0.50155714,12686146269.84563
2021-01-30,2021-01-30,0.49901686,0.99607517,4543845280.39645,0.50098314,4561749350.70978
2021-01-31,2021-01-31,0.48905868,0.95717192,3448990149.04268,0.51094132,3603313144.83833
2021-02-01,2021-02-01,0.50980677,1.04001184,4140325331.57152,0.49019323,3981036732.33486
2021-02-02,2021-02-02,0.51497727,1.06175905,4307228055.70126,0.48502273,4056690709.71342
2021-02-03,2021-02-03,0.50339455,1.013671,4417522720.86717,0.49660545,4357945260.99204
2021-02-04,2021-02-04,0.48944833,0.95866563,5630493972.66126,0.51055167,5873261548.96149
2021-02-05,2021-02-05,0.49531497,0.98143384,3658704954.10746,0.50468503,3727918088.76572
2021-02-06,2021-02-06,0.497887,0.99158357,6158711637.22946,0.502113,6210985967.41844
2021-02-07,2021-02-07,0.48458766,0.94019415,5553683900.68563,0.51541234,5906954351.9315
2021-02-08,2021-02-08,0.50778073,1.03161488,9528439264.93547,0.49221927,9236430585.30541
2021-02-09,2021-02-09,0.48643168,0.94716059,8668350783.10618,0.51356832,9151933577.93995
2021-02-10,2021-02-10,0.48874449,0.95596914,7458121875.28372,0.51125551,7801634530.72054
2021-02-11,2021-02-11,0.49799939,0.99202943,7676564093.70282,0.50200061,7738242267.05571
2021-02-12,2021-02-12,0.4922601,0.96951233,6073066605.69618,0.5077399,6264042693.43276
2021-02-13,2021-02-13,0.48871613,0.95586063,4603238741.22571,0.51128387,4815805345.15839
2021-02-14,2021-02-14,0.49490078,0.97980904,5838345379.70789,0.50509922,5958656391.38176
2021-02-15,2021-02-15,0.47958735,0.92155208,5692911943.03273,0.52041265,6177526029.38899
2021-02-16,2021-02-16,0.49704357,0.98824378,8363976740.91747,0.50295643,8463475208.60097
2021-02-17,2021-02-17,0.50482292,1.01947958,8024056367.84194,0.49517708,7870737706.16344
2021-02-18,2021-02-18,0.47612252,0.90884327,4581026657.01392,0.52387748,5040502384.95674
2021-02-19,2021-02-19,0.50436309,1.017606,6952515583.87719,0.49563691,6832227411.0148
2021-02-20,2021-02-20,0.48181497,0.9298126,6515165007.00245,0.51818503,7006965708.72354
2021-02-21,2021-02-21,0.49768651,0.99078865,5596937461.32151,0.50231349,5648972105.29391
2021-02-22,2021-02-22,0.47520932,0.90552166,12278569857.56332,0.52479068,13559664468.3095
2021-02-23,2021-02-23,0.4918783,0.96803247,17843945571.99126,0.5081217,18433209787.49575
2021-02-24,2021-02-24,0.49579961,0.98333842,8157013973.91202,0.50420039,8295225516.99457
2021-02-25,2021-02-25,0.49318401,0.97310269,8553594268.28019,0.50681599,8790022249.79944
2021-02-26,2021-02-26,0.49490933,0.97984257,10039081581.38924,0.50509067,10245606714.50738
2021-02-27,2021-02-27,0.49578967,0.98329931,5933235572.45386,0.50421033,6034007670.84274
2021-02-28,2021-02-28,0.49583569,0.98348035,8147450631.36169,0.50416431,8284304472.08295
2021-03-01,2021-03-01,0.50096679,1.00387464,7480243083.37162,0.49903321,7451371720.91884
2021-03-02,2021-03-02,0.49088303,0.96418515,6426321480.96291,0.50911697,6665028457.58531
2021-03-03,2021-03-03,0.50482327,1.019481,8901577006.90305,0.49517673,8731479100.04387
2021-03-04,2021-03-04,0.48650924,0.94745471,9223485068.49666,0.51349076,9735014262.61563
2021-03-05,2021-03-05,0.49593014,0.98385198,8350638762.52364,0.50406986,8487698266.32791
2021-03-06,2021-03-06,0.49580658,0.98336585,5111961900.68401,0.50419342,5198433441.21082
2021-03-07,2021-03-07,0.50475884,1.01921828,6236953154.58515,0.49524116,6119349790.14446
2021-03-08,2021-03-08,0.50200682,1.00805964,7738758855.39612,0.49799318,7676885894.74313
2021-03-09,2021-03-09,0.49346191,0.97418521,7536949677.86398,0.50653809,7736670178.19793
2021-03-10,2021-03-10,0.49182989,0.96784498,10840012001.58704,0.50817011,11200153202.96914
2021-03-11,2021-03-11,0.48754538,0.95139228,9883994646.5097,0.51245462,10388979215.2048
2021-03-12,2021-03-12,0.4864391,0.94718875,9173572200.19234,0.5135609,9685051889.97761
2021-03-13,2021-03-13,0.50910298,1.03708714,9560117456.51204,0.49089702,9218239326.11493
2021-03-14,2021-03-14,0.48092966,0.92652117,6654804808.35476,0.51907034,7182571742.40754
2021-03-15,2021-03-15,0.48290562,0.93388294,12309445113.41725,0.51709438,13180929360.00527
2021-03-16,2021-03-16,0.49289957,0.97199598,9154578559.94969,0.50710043,9418329664.84641
2021-03-17,2021-03-17,0.49662913,0.9866068,9409684053.08929,0.50337087,9537420632.53721
2021-03-18,2021-03-18,0.48128009,0.92782265,8546341807.59843,0.51871991,9211180377.87634
2021-03-19,2021-03-19,0.49573503,0.98308442,7415129588.46275,0.50426497,7542719071.92391
2021-03-20,2021-03-20,0.49486628,0.97967382,5876813621.70366,0.50513372,5998745168.92663
2021-03-21,2021-03-21,0.4853138,0.94293143,6546278169.9096,0.5146862,6942475295.13845
