start_time,datetime,estimated_leverage_ratio
2021-01-01 00:00:00,2021-01-01 00:00:00,0.14048065
2021-01-01 01:00:00,2021-01-01 01:00:00,0.14316107
2021-01-01 02:00:00,2021-01-01 02:00:00,0.1439795
2021-01-01 03:00:00,2021-01-01 03:00:00,0.14314417
2021-01-01 04:00:00,2021-01-01 04:00:00,0.14311047
2021-01-01 05:00:00,2021-01-01 05:00:00,0.14394426
2021-01-01 06:00:00,2021-01-01 06:00:00,0.14425187
2021-01-01 07:00:00,2021-01-01 07:00:00,0.14444138
2021-01-01 08:00:00,2021-01-01 08:00:00,0.1453442
2021-01-01 09:00:00,2021-01-01 09:00:00,0.14486009
2021-01-01 10:00:00,2021-01-01 10:00:00,0.14692017
2021-01-01 11:00:00,2021-01-01 11:00:00,0.14782157
2021-01-01 12:00:00,2021-01-01 12:00:00,0.14941676
2021-01-01 13:00:00,2021-01-01 13:00:00,0.14990877
2021-01-01 14:00:00,2021-01-01 14:00:00,0.14929817
2021-01-01 15:00:00,2021-01-01 15:00:00,0.14667561
2021-01-01 16:00:00,2021-01-01 16:00:00,0.1462833
2021-01-01 17:00:00,2021-01-01 17:00:00,0.14626081
2021-01-01 18:00:00,2021-01-01 18:00:00,0.14297037
2021-01-01 19:00:00,2021-01-01 19:00:00,0.14299496
2021-01-01 20:00:00,2021-01-01 20:00:00,0.14150773
2021-01-01 21:00:00,2021-01-01 21:00:00,0.14130612
2021-01-01 22:00:00,2021-01-01 22:00:00,0.14073669
2021-01-01 23:00:00,2021-01-01 23:00:00,0.14071639
2021-01-02 00:00:00,2021-01-02 00:00:00,0.14106182
2021-01-02 01:00:00,2021-01-02 01:00:00,0.13900102
2021-01-02 02:00:00,2021-01-02 02:00:00,0.13965733
2021-01-02 03:00:00,2021-01-02 03:00:00,0.13867641
2021-01-02 04:00:00,2021-01-02 04:00:00,0.1381699
2021-01-02 05:00:00,2021-01-02 05:00:00,0.14213028
2021-01-02 06:00:00,2021-01-02 06:00:00,0.14640682
2021-01-02 07:00:00,2021-01-02 07:00:00,0.14807019
2021-01-02 08:00:00,2021-01-02 08:00:00,0.15075256
2021-01-02 09:00:00,2021-01-02 09:00:00,0.15132711
2021-01-02 10:00:00,2021-01-02 10:00:00,0.15060151
2021-01-02 11:00:00,2021-01-02 11:00:00,0.15042799
2021-01-02 12:00:00,2021-01-02 12:00:00,0.15332333
2021-01-02 13:00:00,2021-01-02 13:00:00,0.15190056
2021-01-02 14:00:00,2021-01-02 14:00:00,0.15653784
2021-01-02 15:00:00,2021-01-02 15:00:00,0.15512983
2021-01-02 16:00:00,2021-01-02 16:00:00,0.14420595
2021-01-02 17:00:00,2021-01-02 17:00:00,0.14385619
2021-01-02 18:00:00,2021-01-02 18:00:00,0.14373401
2021-01-02 19:00:00,2021-01-02 19:00:00,0.14372337
2021-01-02 20:00:00,2021-01-02 20:00:00,0.14950047
2021-01-02 21:00:00,2021-01-02 21:00:00,0.14182526
2021-01-02 22:00:00,2021-01-02 22:00:00,0.13967785
2021-01-02 23:00:00,2021-01-02 23:00:00,0.13973211
2021-01-03 00:00:00,2021-01-03 00:00:00,0.13784989
2021-01-03 01:00:00,2021-01-03 01:00:00,0.13772721
2021-01-03 02:00:00,2021-01-03 02:00:00,0.1381133
2021-01-03 03:00:00,2021-01-03 03:00:00,0.13678907
2021-01-03 04:00:00,2021-01-03 04:00:00,0.1350951
2021-01-03 05:00:00,2021-01-03 05:00:00,0.13765412
2021-01-03 06:00:00,2021-01-03 06:00:00,0.14006527
2021-01-03 07:00:00,2021-01-03 07:00:00,0.13521858
2021-01-03 08:00:00,2021-01-03 08:00:00,0.13200414
2021-01-03 09:00:00,2021-01-03 09:00:00,0.13226383
2021-01-03 10:00:00,2021-01-03 10:00:00,0.13036819
2021-01-03 11:00:00,2021-01-03 11:00:00,0.1295015
2021-01-03 12:00:00,2021-01-03 12:00:00,0.13161809
2021-01-03 13:00:00,2021-01-03 13:00:00,0.13307199
2021-01-03 14:00:00,2021-01-03 14:00:00,0.13291184
2021-01-03 15:00:00,2021-01-03 15:00:00,0.13573889
2021-01-03 16:00:00,2021-01-03 16:00:00,0.13625738
2021-01-03 17:00:00,2021-01-03 17:00:00,0.13683962
2021-01-03 18:00:00,2021-01-03 18:00:00,0.13836428
2021-01-03 19:00:00,2021-01-03 19:00:00,0.13977493
2021-01-03 20:00:00,2021-01-03 20:00:00,0.13622136
2021-01-03 21:00:00,2021-01-03 21:00:00,0.13593475
2021-01-03 22:00:00,2021-01-03 22:00:00,0.13427898
2021-01-03 23:00:00,2021-01-03 23:00:00,0.13462906
2021-01-04 00:00:00,2021-01-04 00:00:00,0.13517018
2021-01-04 01:00:00,2021-01-04 01:00:00,0.133426
2021-01-04 02:00:00,2021-01-04 02:00:00,0.13222437
2021-01-04 03:00:00,2021-01-04 03:00:00,0.13232128
2021-01-04 04:00:00,2021-01-04 04:00:00,0.13384442
2021-01-04 05:00:00,2021-01-04 05:00:00,0.13593907
2021-01-04 06:00:00,2021-01-04 06:00:00,0.13444966
2021-01-04 07:00:00,2021-01-04 07:00:00,0.14095305
2021-01-04 08:00:00,2021-01-04 08:00:00,0.14242906
2021-01-04 09:00:00,2021-01-04 09:00:00,0.14853452
2021-01-04 10:00:00,2021-01-04 10:00:00,0.14806668
2021-01-04 11:00:00,2021-01-04 11:00:00,0.14663662
2021-01-04 12:00:00,2021-01-04 12:00:00,0.12448724
2021-01-04 13:00:00,2021-01-04 13:00:00,0.12223889
2021-01-04 14:00:00,2021-01-04 14:00:00,0.12601214
2021-01-04 15:00:00,2021-01-04 15:00:00,0.12321057
2021-01-04 16:00:00,2021-01-04 16:00:00,0.12039653
2021-01-04 17:00:00,2021-01-04 17:00:00,0.12199151
2021-01-04 18:00:00,2021-01-04 18:00:00,0.12147171
2021-01-04 19:00:00,2021-01-04 19:00:00,0.11925037
2021-01-04 20:00:00,2021-01-04 20:00:00,0.12047947
2021-01-04 21:00:00,2021-01-04 21:00:00,0.12125461
2021-01-04 22:00:00,2021-01-04 22:00:00,0.12098935
2021-01-04 23:00:00,2021-01-04 23:00:00,0.12330484
2021-01-05 00:00:00,2021-01-05 00:00:00,0.12353751
2021-01-05 01:00:00,2021-01-05 01:00:00,0.12036678
2021-01-05 02:00:00,2021-01-05 02:00:00,0.12255322
2021-01-05 03:00:00,2021-01-05 03:00:00,0.12138067
2021-01-05 04:00:00,2021-01-05 04:00:00,0.11848308
2021-01-05 05:00:00,2021-01-05 05:00:00,0.1184875
2021-01-05 06:00:00,2021-01-05 06:00:00,0.11753775
2021-01-05 07:00:00,2021-01-05 07:00:00,0.11821655
2021-01-05 08:00:00,2021-01-05 08:00:00,0.11639835
2021-01-05 09:00:00,2021-01-05 09:00:00,0.11626047
2021-01-05 10:00:00,2021-01-05 10:00:00,0.11733067
2021-01-05 11:00:00,2021-01-05 11:00:00,0.11614513
2021-01-05 12:00:00,2021-01-05 12:00:00,0.12022368
2021-01-05 13:00:00,2021-01-05 13:00:00,0.11980708
2021-01-05 14:00:00,2021-01-05 14:00:00,0.11747194
2021-01-05 15:00:00,2021-01-05 15:00:00,0.12113835
2021-01-05 16:00:00,2021-01-05 16:00:00,0.12101983
2021-01-05 17:00:00,2021-01-05 17:00:00,0.12051398
2021-01-05 18:00:00,2021-01-05 18:00:00,0.12337402
2021-01-05 19:00:00,2021-01-05 19:00:00,0.12389692
2021-01-05 20:00:00,2021-01-05 20:00:00,0.12032569
2021-01-05 21:00:00,2021-01-05 21:00:00,0.12103805
2021-01-05 22:00:00,2021-01-05 22:00:00,0.12355743
2021-01-05 23:00:00,2021-01-05 23:00:00,0.12427963
2021-01-06 00:00:00,2021-01-06 00:00:00,0.12409928
2021-01-06 01:00:00,2021-01-06 01:00:00,0.12238684
2021-01-06 02:00:00,2021-01-06 02:00:00,0.12415004
2021-01-06 03:00:00,2021-01-06 03:00:00,0.12238898
2021-01-06 04:00:00,2021-01-06 04:00:00,0.12552843
2021-01-06 05:00:00,2021-01-06 05:00:00,0.12586021
2021-01-06 06:00:00,2021-01-06 06:00:00,0.12711221
2021-01-06 07:00:00,2021-01-06 07:00:00,0.12782777
2021-01-06 08:00:00,2021-01-06 08:00:00,0.12693649
2021-01-06 09:00:00,2021-01-06 09:00:00,0.12679304
2021-01-06 10:00:00,2021-01-06 10:00:00,0.12391639
2021-01-06 11:00:00,2021-01-06 11:00:00,0.12428403
2021-01-06 12:00:00,2021-01-06 12:00:00,0.12206193
2021-01-06 13:00:00,2021-01-06 13:00:00,0.1234623
2021-01-06 14:00:00,2021-01-06 14:00:00,0.12415543
2021-01-06 15:00:00,2021-01-06 15:00:00,0.12171208
2021-01-06 16:00:00,2021-01-06 16:00:00,0.12067191
2021-01-06 17:00:00,2021-01-06 17:00:00,0.11998545
2021-01-06 18:00:00,2021-01-06 18:00:00,0.11943291
2021-01-06 19:00:00,2021-01-06 19:00:00,0.11962413
2021-01-06 20:00:00,2021-01-06 20:00:00,0.12171842
2021-01-06 21:00:00,2021-01-06 21:00:00,0.12170194
2021-01-06 22:00:00,2021-01-06 22:00:00,0.12016429
2021-01-06 23:00:00,2021-01-06 23:00:00,0.12119911
2021-01-07 00:00:00,2021-01-07 00:00:00,0.1216031
2021-01-07 01:00:00,2021-01-07 01:00:00,0.12128742
2021-01-07 02:00:00,2021-01-07 02:00:00,0.11957684
2021-01-07 03:00:00,2021-01-07 03:00:00,0.12021319
2021-01-07 04:00:00,2021-01-07 04:00:00,0.12143574
2021-01-07 05:00:00,2021-01-07 05:00:00,0.12158897
2021-01-07 06:00:00,2021-01-07 06:00:00,0.12148398
2021-01-07 07:00:00,2021-01-07 07:00:00,0.12032026
2021-01-07 08:00:00,2021-01-07 08:00:00,0.12159525
2021-01-07 09:00:00,2021-01-07 09:00:00,0.12006648
2021-01-07 10:00:00,2021-01-07 10:00:00,0.12025737
2021-01-07 11:00:00,2021-01-07 11:00:00,0.12167246
2021-01-07 12:00:00,2021-01-07 12:00:00,0.12135097
2021-01-07 13:00:00,2021-01-07 13:00:00,0.12125609
2021-01-07 14:00:00,2021-01-07 14:00:00,0.1207414
2021-01-07 15:00:00,2021-01-07 15:00:00,0.11962578
2021-01-07 16:00:00,2021-01-07 16:00:00,0.11928256
2021-01-07 17:00:00,2021-01-07 17:00:00,0.11908914
2021-01-07 18:00:00,2021-01-07 18:00:00,0.11997955
2021-01-07 19:00:00,2021-01-07 19:00:00,0.12491326
2021-01-07 20:00:00,2021-01-07 20:00:00,0.12307126
2021-01-07 21:00:00,2021-01-07 21:00:00,0.12451686
2021-01-07 22:00:00,2021-01-07 22:00:00,0.12420103
2021-01-07 23:00:00,2021-01-07 23:00:00,0.12337708
2021-01-08 00:00:00,2021-01-08 00:00:00,0.12398679
2021-01-08 01:00:00,2021-01-08 01:00:00,0.1209126
2021-01-08 02:00:00,2021-01-08 02:00:00,0.12052619
2021-01-08 03:00:00,2021-01-08 03:00:00,0.12264073
2021-01-08 04:00:00,2021-01-08 04:00:00,0.12417874
2021-01-08 05:00:00,2021-01-08 05:00:00,0.12485663
2021-01-08 06:00:00,2021-01-08 06:00:00,0.12526538
2021-01-08 07:00:00,2021-01-08 07:00:00,0.12665945
2021-01-08 08:00:00,2021-01-08 08:00:00,0.12536893
2021-01-08 09:00:00,2021-01-08 09:00:00,0.12454958
2021-01-08 10:00:00,2021-01-08 10:00:00,0.12525917
2021-01-08 11:00:00,2021-01-08 11:00:00,0.12220428
2021-01-08 12:00:00,2021-01-08 12:00:00,0.12243708
2021-01-08 13:00:00,2021-01-08 13:00:00,0.12301955
2021-01-08 14:00:00,2021-01-08 14:00:00,0.12197258
2021-01-08 15:00:00,2021-01-08 15:00:00,0.11932343
2021-01-08 16:00:00,2021-01-08 16:00:00,0.11877613
